	y	z
0	12.0	5.0
1	10.293012807911367	5.646178108738205
2	8.739827094962124	6.175536107959481
3	7.4203485543403	6.565334235255509
4	6.367661411550236	6.81659738511292
5	5.566300912035317	6.948760648867296
6	4.98248936018134	6.9848407219139546
7	4.572226701977395	6.951087824110414
8	4.294379804068656	6.870157094782414
9	4.116848620106156	6.758973685756148
10	4.0116381987586065	6.631069327237153
11	3.958766358820196	6.4955923078581135
12	3.9430094180673	6.359003680378207
13	3.9537996304862424	6.2253944167033
14	3.9831658215671966	6.097512186071673
15	4.025168443795435	5.977056197248596
16	4.076124680492872	5.864687555925895
17	4.133000457532286	5.760760655076096
18	4.193699214072488	5.665263792948613
19	4.256148695493029	5.578183460811919
20	4.318929681687634	5.499267217632851
21	4.380771198468812	5.428225073995909
22	4.440832089839406	5.364627313004789
23	4.49842080529707	5.308026494636872
24	4.553074314987412	5.257931507065508
25	4.604458502626063	5.213846290510683
26	4.6523671554537716	5.175274499116446
27	4.69669964650591	5.1417311167840944
28	4.737426699636939	5.112751228292007
29	4.7745709925665745	5.087893101433253
30	4.808200031663924	5.066738719024445
31	4.838422597677249	5.048893771144335
32	4.865382765382487	5.033988211701665
33	4.8892518781187695	5.021677042738478
34	4.910220507896471	5.011640853357578
35	4.928491764804106	5.0035858448957375
36	4.944275985242494	4.997243408490042
37	4.957786347824966	4.992369417511575
38	4.9692350627514035	4.988743360369353
39	4.9788300483411385	4.986167357594993
40	4.986772263971091	4.9844651171227135
41	4.993253093269185	4.983480766556888
42	4.9984529051031386	4.983077306025249
43	5.002539838584122	4.9831353728891346
44	5.00566940977394	4.983551824815352
45	5.007983760398442	4.984238502181605
46	5.0096116822367005	4.985120603697243
47	5.010668501383986	4.986135707210977
48	5.011256746846221	4.987232255046141
49	5.011466744952804	4.9883682007273835
50	5.011377283245184	4.989509842128515
51	5.011056396518929	4.9906307587420295
52	5.01056223653046	4.991710808782489
53	5.009943928464235	4.992735235030628
54	5.009242503101804	4.9936937583584795
55	5.008491836293804	4.994579753540863
56	5.007719448080048	4.995389629006185
57	5.00694725389101	4.996122284985139
58	5.006192296724989	4.996778601933366
59	5.0054674569675	4.997360964260056
60	5.004782102450609	4.997872856870256
61	5.004142661877639	4.998318543251114
62	5.003553126979867	4.998702807571782
63	5.003015497710849	4.999030739367083
64	5.002530178157913	4.99930755220491
65	5.002096323545961	4.999538437080034
66	5.001712137639006	4.9997284507413315
67	5.0013751476780826	4.999882426246714
68	5.0010823559413256	5.000004935905689
69	5.000830436773428	5.000100240901596
70	5.0006159023423855	5.000172257841185
71	5.000435219311862	5.000224547435073
72	5.00028489606308	5.000260277549371
73	5.000161547569422	5.00028233841461
74	5.00006193419361	5.000293281736959
75	4.999983002880553	5.0002953292563665
76	4.9999219178454215	5.000290402919092
77	4.999876077332601	5.000280153558988
78	4.999843119429879	5.000265985331243
79	4.999820920712579	5.000249078672192
80	4.999807590095699	5.000230413234636
81	4.999801459145514	5.000210790571673
82	4.999800789954296	5.000190968656701
83	4.999804581591069	5.000171333254537
84	4.999811833064081	5.000152243515169
85	4.999821644736093	5.00013398980904
86	4.999833243566557	5.000116788060388
87	4.999846311429715	5.000101419013749
88	4.99985957389166	5.000087376389973
89	4.999872728982909	5.000074649412249
90	4.999885541965294	5.0000632038357224
91	4.999897835433885	5.0000529876802595
92	4.99990948042938	5.000043936074602
93	4.999920388517732	5.000035975308419
94	4.999930504783632	5.00002902618369
95	4.9999398016780665	5.000023006750833
96	4.999948273656331	5.000017834508661
97	4.999955932541118	5.0000134281406785
98	4.999962803545183	5.000009708853684
99	4.999968921889308	5.000006601378213
100	4.999974329953458	5.00000403468414
