time	A	I1	I2	S
0.0.	1800.0	5400.0	4500.0	15300.0
1.0.	4678.226759010446	17430.101293983887	3202.966452431235	178.8890216630558
2.0.	5108.841328071989	14915.726874362046	2279.7764656407103	210.8236178280012
3.0.	4733.121661653725	13125.980340155289	1622.6772307486146	241.6524222374287
4.0.	4224.698694872127	11853.365806063242	1154.9734962575928	269.834421888515
5.0.	3777.9891481548248	10949.81751112838	822.0758583065406	294.3189724052068
6.0.	3430.5358662532526	10309.46924604161	585.1291989315844	314.64792108535454
7.0.	3173.333223193072	9856.534850085725	416.47759886854493	330.8854654004026
8.0.	2987.2757614744974	9536.767853072906	296.43639515306404	343.44924258233846
9.0.	2854.2368178840165	9311.398144784394	210.9946286574017	352.92838797931836
10.0.	2759.697469859728	9152.786258710128	150.1797150062235	359.9425955504601
11.0.	2692.7522772594607	9041.286280956345	106.89346443597553	365.05746287937467
12.0.	2645.4462973637983	8962.975168705803	76.08359568812969	368.7471870946419
13.0.	2612.061745620747	8908.011596245091	54.154045483901065	371.3879579669815
14.0.	2588.52158589582	8869.454531258089	38.54524251000117	373.2672707651983
15.0.	2571.9321276803475	8842.416963368983	27.435359704070503	374.5992605222126
16.0.	2560.245361237864	8823.462625114968	19.527674840445847	375.5405984607107
17.0.	2552.0144191002832	8810.17772522064	13.899219451762248	376.20449319386756
18.0.	2546.2183389815987	8800.867949165768	9.893051915909577	376.6720379454822
19.0.	2542.1372673581504	8794.344644734654	7.041580758496597	377.0009676011464
20.0.	2539.263928847129	8789.774236339315	5.011988219249515	377.23221140419923
21.0.	2537.2409814926764	8786.572324172552	3.56738447268696	377.39469784910506
22.0.	2535.816763854543	8784.329286794298	2.539158398711756	377.5088303858222
23.0.	2534.814070010353	8782.758055125149	1.8072975966078721	377.5889784619576
24.0.	2534.108134616543	8781.657470977676	1.286380793726793	377.6452515031194
25.0.	2533.6111198350554	8780.886589857799	0.9156076733778521	377.68475668345843
26.0.	2533.26118785868	8780.346664282786	0.6517023704760341	377.71248797296283
27.0.	2533.0148055413724	8779.968514815291	0.463862407122386	377.73195320815114
28.0.	2532.8413260361217	8779.703679047047	0.330163496145485	377.7456157243832
29.0.	2532.719174086731	8779.518209084734	0.235000578443139	377.7552050642084
30.0.	2532.6331605436694	8779.388325461212	0.16726643771240202	377.7619354132045
31.0.	2532.572591885088	8779.297372038975	0.11905528668875401	377.7666590885641
32.0.	2532.5299394207873	8779.233682600368	0.084740020067763	377.76997435167414
33.0.	2532.4999024838194	8779.18908624698	0.06031543160161001	377.77230111815953
34.0.	2532.4787489592986	8779.157860372477	0.042930734337558	377.7739341151342
