[AcanmRNA]	[ADAMTS5]	[AGEprod]	[Alk1]	[Alk1_Alk5]	[Alk5]	[Alk5_dimer]	[Bax]	[Bax_Bcl2]	[Bax_Bcl2_Beclin]	[Bax_Bcl2_Beclin_I]	[Bcl2]	[Bcl2_Beclin]	[Bcl2_Beclin_I]	[Beclin]	[Beclin_I]	[Caspase_A]	[Caspase_I]	[Col2mRNA]	[DamP]	[IkB]	[IkB_NFkB]	[IL1]	[Lys_A]	[Lys_I]	[MMP13]	[MMP2]	[NFkB]	[NFkB_P]	[p38]	[p38_P]	[proMMP13]	[proMMP2]	[RAGE]	[ROS]	[Runx2_A]	[Runx2_I]	[Smad1]	[Smad1_P]	[Smad1_P_Smad4]	[Smad2]	[Smad2_P]	[Smad2_P_Smad4]	[Smad4]	[Smad7]	[SOD]	[Sox9]	[Sox9_A]	[Sox9mRNA]	[Tgfb_A]	[Tgfb_Alk1_Alk5]	[Tgfb_Alk1_Alk5_Smad7]	[Tgfb_Alk5_dimer]	[Tgfb_Alk5_dimer_Smad7]	[AggFrag]	[Aggrecan]	[Aggrecan_Collagen2]	[ColFrag]	[Collagen2]	[Integrin]	[Tgfb_I]	[IntegrinCount]
0.0	0.0	0.0	500.0	0.0	500.0	0.0	0.0	90.0	10.0	0.0	30.0	25.0	0.0	75.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	40.0	360.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	2.0	0.0	100.0	600.0	0.0	0.0	600.0	0.0	0.0	600.0	0.0	2.0	100.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	200.0	0.0
1.3581841112297175e-16	4.833293633556688e-10	2e-05	403.64316870559554	96.35682635661892	133.16906689488687	135.2361276588655	0.003993159096145493	91.1958117917914	8.800195039321807	9.790681600249922e-09	25.032263143304984	28.09349112739168	1.457978392900544e-08	73.10631309161644	7.172995835547859e-07	0.00026869030206204473	99.99973130969792	2.0835706944322238e-14	0.03926004878938216	4.801221304360102e-08	99.99601301627276	2.355520722360918e-07	39.9990653072502	360.00093469275	1.0576613591075227e-14	1.6530433181780168e-18	0.003977633465399774	9.350261850652064e-06	99.63936773542464	0.3606322645753645	3.09287981918583e-11	4.834118396268761e-12	2.0346124651380102e-07	1.9872473612012418	2.414797519864451e-10	99.99999999975856	599.9999999923167	6.9314123282235796e-09	7.515689744446865e-10	599.9999999659102	2.781584339610161e-08	6.273991750877266e-09	599.9999999929744	2.0514119413767286e-13	1.9603974420082002	99.99990505372196	1.0359110734872354e-11	9.980219786804673	1.1378976561236094e-05	1.374583588929356e-07	2.741694973583671e-20	3.0128364811647397e-07	2.4344404088367977e-24	1.6528315730931414e-15	3.4170848963189543e-22	1000.0	2.76862751299539e-37	1.6528375079332246e-15	7.960133019649918e-06	199.99998818228147	7.999999999999998e-06
1.731078665429592e-14	1.407058891597199e-08	4e-05	385.4811898735847	114.51881002518334	80.10985348454317	152.6843862368578	0.004758194678443274	92.04999581247402	7.945245958499303	3.434826080250398e-08	21.003351751873193	30.56719217715958	5.094235700394941e-08	71.48756039174295	1.3873075435333192e-06	0.0009073997629624104	99.999092600237	1.2491637742223029e-12	0.07708293467416691	6.918920302229368e-07	99.99205064062522	3.3377379511901267e-06	39.99800795111997	360.0019920488802	6.300599169910189e-13	9.849384159793711e-17	0.007883727856793778	6.563151801679172e-05	99.34745076532846	0.6525492346715508	9.003527408739486e-10	1.4075502470479168e-10	8.584108447512097e-07	1.9755190854009912	1.6940142649776663e-08	99.99999998305991	599.9999998654051	1.1011057717188747e-07	2.4483923627030828e-08	599.9999994547993	3.7212038555771846e-07	1.7308053927091286e-07	599.9999998024355	1.208530040975572e-11	1.9215802191617584	99.99962059011953	6.170940293188319e-10	9.960479094305484	3.389447587749263e-05	1.1051481743625484e-06	2.855474862175334e-17	2.2611708773844206e-06	2.362287508919359e-21	9.846808540759087e-14	9.218467361486364e-20	1000.0	2.0082981413780683e-33	9.846884606139441e-14	1.584106334282441e-05	199.9999627392051	1.6000000000000003e-05
2.4165171372548354e-13	9.52517535647952e-08	6.000000000000001e-05	381.9433226117823	118.05668315711462	63.22205264299383	159.35911367285976	0.005635266655612026	92.66470558417656	7.329659080701406	6.846653723544811e-08	17.720046732735533	32.55560444154487	1.0114524110881297e-07	70.11473427876965	2.0293722613836514e-06	0.0017396856293945499	99.99826031437065	1.1434943997113494e-11	0.11352894819123885	3.1237793266283225e-06	99.98811099440526	1.4859007655978944e-05	39.996846367440575	360.00315363255953	6.409396243009606e-12	1.0020823803249477e-15	0.011694729949994508	0.0001942756447425194	99.11144516601966	0.8885548339803346	6.095207617820725e-09	9.53017379984894e-10	2.076784013966687e-06	1.9646729983662867	1.6990728355267598e-07	99.99999983009278	599.9999993660525	4.763627812592142e-07	1.575844659616303e-07	599.9999975214675	1.4661519760420858e-06	1.0123807549284115e-06	599.9999988300348	1.0872332070974992e-10	1.8835352743651497	99.99914716328877	5.6129340804004716e-09	9.94077784393456	5.966591840645532e-05	3.2893821809453866e-06	1.1863944038127102e-15	6.648416306565844e-06	9.663162582189168e-20	1.0016929532791e-12	1.9415609497257423e-18	1000.0	3.0999761277625646e-31	1.0017036286121985e-12	2.3643575129614862e-05	199.99993039628316	2.399999999999998e-05
1.4943865663417988e-12	3.6166945679758906e-07	7.999999999999997e-05	382.7838708787255	117.21613973069539	56.597922673091475	163.09125374598395	0.0066573624765909716	93.11226049310461	6.881082035637092	1.0878186028782914e-07	15.030435864699932	34.161495003214995	1.599819823083693e-07	68.95742003649026	2.6558937402636835e-06	0.0026534741636276035	99.99734652583638	5.175961925710029e-11	0.14865497110043593	8.821224766838314e-06	99.98419249290048	4.146378808346482e-05	39.99559702980238	360.00440297019753	3.2885288382848885e-11	5.1419633651738884e-15	0.015402879539536589	0.0004046275599282168	98.9208369831791	1.0791630168208872	2.3145639795966835e-08	3.6192590638771917e-09	4.002685500614118e-06	1.9545908466006645	8.183074046748427e-07	99.9999991816927	599.9999981965041	1.257456957966579e-06	5.460385829117946e-07	599.9999930369256	3.6642213638656513e-06	3.2988531390174987e-06	599.9999961551084	4.831043765131135e-10	1.846250356427623	99.99848532480176	2.523328168436479e-08	9.9211159565491	8.626993609906318e-05	6.726074613963098e-06	1.5047994127214964e-14	1.3715143022296363e-05	1.2325009896654479e-18	5.1392765203574435e-12	1.640240196093843e-17	999.9999999999959	1.1164063021941949e-29	5.139342919302723e-12	3.136845199765263e-05	199.99989328884638	3.1999999999999985e-05
5.974394023212284e-12	1.0002004819480329e-06	9.999999999999995e-05	384.94508770762917	115.05492615779352	53.49465991690546	165.7233101278249	0.007795196079975253	93.4421843918314	6.550020258932369	1.5315641886742945e-07	12.81648909278812	35.46372338506761	2.2399890332502887e-07	67.98625270408176	3.2747628759291643e-06	0.0035787127526687203	99.99642128724734	1.6124315369332783e-10	0.18251481481093718	1.92414876067042e-05	99.98029385414847	8.957193797852325e-05	39.99427436747112	360.00572563252877	1.1599474702451418e-10	1.8138102620084414e-14	0.019010474722590775	0.0006956711288606619	98.76703556565523	1.2329644343447481	6.401902314875094e-08	1.0011049692421198e-08	6.786017666537722e-06	1.9451744999024374	2.6606484415697646e-06	99.99999733935167	599.9999960640702	2.5717817934578493e-06	1.3641475798273243e-06	599.9999848247863	7.256588126388492e-06	7.918625707422877e-06	599.9999907172269	1.475802253909466e-09	1.809713495821999	99.99763562195064	7.803659868821178e-08	9.901493352414649	0.00011297314206724301	1.1352658423542743e-05	1.0234055602063154e-13	2.354991686054366e-05	8.516116095302947e-18	1.812602564303465e-11	8.471758962068213e-17	999.9999999999828	1.8567978031026035e-28	1.8126292763139383e-11	3.9016476979622636e-05	199.99985212428265	3.999999999999998e-05
1.7887244465754617e-11	2.2506086405674724e-06	0.00011999999999999995	387.40547845392354	112.59453698468056	51.77742474345397	167.8119464597032	0.009082670736381191	93.68764503419672	6.303272094797569	2.002694938571059e-07	10.988436676453425	36.521611560781146	2.9095845441185056e-07	67.17511196235871	3.890834565470653e-06	0.0044735522342208645	99.9955264477658	3.960079524633473e-10	0.2151578628534294	3.558169401641354e-05	99.97641412977923	0.00016443414082062524	39.992890480020336	360.00710951997945	3.181388295455721e-10	4.9748913764205344e-14	0.022525218032277045	0.0010606521884258713	98.64323393029659	1.3567660697034032	1.4407955113681744e-07	2.2530890988018775e-08	1.0561496512220011e-05	1.9363448108176584	6.7249802315758765e-06	99.99999327501988	599.9999927012407	4.512939331258724e-06	2.785819571014978e-06	599.9999717435012	1.2496439476734286e-05	1.576005955696421e-05	599.999981454121	3.554660276574257e-09	1.77391309455829	99.99659857851775	1.902639433270014e-07	9.881909954007874	0.00013954536243931668	1.7098156768427156e-05	4.550036570580734e-13	3.6189980038778825e-05	3.858107889653576e-17	4.9708674365757145e-11	3.1060863450223274e-16	999.9999999999512	1.6597756070706496e-27	4.970947907285458e-11	4.658840532443862e-05	199.9998071665004	4.799999999999999e-05
4.460662302863578e-11	4.410123439544176e-06	0.00013999999999999993	389.7916734557847	110.20834191803084	50.635136449189936	169.57601450335062	0.010530172162970749	93.87254117540971	6.116928403173661	2.4925381542106316e-07	9.472791032178177	37.38317734251049	3.5932463715045545e-07	66.49988913850956	4.507227775961411e-06	0.005312577215250125	99.99468742278478	8.339206197940071e-10	0.24663263466342963	5.874205107917546e-05	99.97255264063887	0.00027013157449093313	39.99145610167534	360.00854389832443	7.404007075516187e-10	1.1578075282739334e-13	0.02595776024570042	0.001489599115353791	98.54368460413929	1.4563153958607093	2.8239075395564e-07	4.415895346221524e-08	1.5448626553281803e-05	1.9280335377052382	1.444442048334488e-05	99.99998555557963	599.9999878475875	7.165990856982885e-06	4.986421238105448e-06	599.9999526236722	1.963206220983006e-05	2.7744265781214654e-05	599.9999672693132	7.337428319520073e-09	1.7388369738538167	99.99537472965599	3.9765683985452664e-07	9.86236568084573	0.00016590504144318007	2.389827710223288e-05	1.581018743617511e-12	5.165384179672445e-05	1.369566801918531e-16	1.1566972775337959e-10	9.23945262033816e-16	999.9999999998853	1.1047285328378956e-26	1.156717474952571e-10	5.408501477749576e-05	199.99975854283818	5.5999999999999986e-05
9.583955984774521e-11	7.775974374711731e-06	0.00015999999999999996	391.9908697659688	108.00914398296325	49.77268069160787	171.10666838935703	0.012159048484588628	94.0122693369864	5.975571314929313	2.9959985745482553e-07	8.216040180864043	38.083044990727124	4.2818908047880726e-07	65.94137784089328	5.125661280727302e-06	0.00608299377392049	99.99391700622611	1.5613734441066227e-09	0.2769808291294751	8.921217041102661e-05	99.9687090192115	0.00040917271534076304	39.989979565808696	360.0100204341911	1.5079242415077083e-09	2.357999905640542e-13	0.029318509295721287	0.0019724714926850177	98.46410641715259	1.5358935828473956	4.980353658913833e-07	7.787727811442731e-08	2.1535759825580356e-05	1.9201886980619687	2.7402474910443304e-05	99.99997259752523	599.9999812802906	1.0602258581134016e-05	8.117450350301088e-06	599.9999264279049	2.8879809773889252e-05	4.469228544259299e-05	599.9999471902645	1.3479295664967617e-08	1.7044739820821289	99.99396455104036	7.392089411800633e-07	9.842860460358326	0.00019202449833381158	3.170557619240356e-05	4.403720988462538e-12	6.994957967405525e-05	3.888863797623388e-16	2.355404110667721e-10	2.2833791178178445e-15	999.9999999997655	5.015790735233961e-26	2.355447765237384e-10	6.150700144280323e-05	199.99970632034155	6.4e-05
1.8691814018399826e-10	1.2705688606029985e-05	0.00017999999999999996	393.9744167206928	106.02559393938654	49.059961117059686	172.45463004899347	0.014003280326951095	94.1191893255268	5.866807043209009	3.5093739856474813e-07	7.169482813867559	38.65245359613523	4.969131071389816e-07	65.48073276559093	5.747214263822215e-06	0.006778478882315992	99.99322152111772	2.6952255347160583e-09	0.3062473640695504	0.00012716530738035424	99.96488310867254	0.0005830676953361686	39.98846889172181	360.011531108278	2.806329063133681e-09	4.3882278515836956e-13	0.032618831179355504	0.0024980601480111557	98.40054098918274	1.599459010817264	8.139988536700497e-07	1.2727558478386396e-07	2.8898863945264897e-05	1.91276090306067	4.7721203191490176e-05	99.99995227879695	599.9999727593339	1.4898648492994554e-05	1.2342017175303275e-05	599.9998920073825	4.047670278604763e-05	6.751591494508856e-05	599.9999201420682	2.2824367773935825e-08	1.6708112912898387	99.99236857252347	1.2667110310070939e-06	9.82339421051793	0.00021789337226912886	4.04754525208367e-05	1.0821362509222976e-11	9.107829574121785e-05	9.749780217627106e-16	4.3827525401046e-10	5.0533405236124506e-15	999.9999999995628	1.968424303300373e-25	4.3828382025992126e-10	6.885514603325038e-05	199.9996505528688	7.2e-05
