time	ADP	ATP	BPG	Glc	NAD	NADH	P3G	gap	pep	pyr
0.0.	0.0	10.0	0.0	10.0	-1.2924697071141052e-26	0.2	3.0	0.365	10.0	0.15
1.0.22.0	0.00029754238260700004	9.999702457617385	0.001098786276335	9.96508095885142	0.00029702267765600003	0.19970297732234302	2.963685149897411	0.400216063826257	9.963982692280016	0.186017307719985
2.0.44.0	0.00029705913914700004	9.999702940860844	0.0011574514922910002	9.929064912592386	0.00029654451398400004	0.199703455486015	2.92761091658609	0.436231631921621	9.927907975725233	0.22209202427476601
3.0.66.0	0.00029656359641600004	9.999703436403577	0.0012150674934740002	9.893237485126415	0.000296054125765	0.199703945874234	2.891726363507154	0.47205856899937604	9.892022927103568	0.257977072896434
4.0.88.0	0.00029605554579400004	9.999703944454199	0.0012716370258450001	9.857599057360702	0.00029555128626700003	0.19970444871373103	2.856031869048566	0.507696493925593	9.856327924594359	0.293672075405644
6.0.1.0	0.000295534776089	9.999704465223905	0.001327162771088	9.822150021233123	0.00029503579218200003	0.19970496420781703	2.820527822669829	0.543145014559086	9.820823357445915	0.329176642554086
7.0.32.0	0.000295001074559	9.999704998925436	0.001381647348802	9.786890779681631	0.000294507431488	0.19970549256851103	2.785214624901315	0.578403727749887	9.785509625975875	0.36449037402412904
8.0.54.0	0.000294454226692	9.999705545773303	0.001435093318333	9.751821746637253	0.000293965990589	0.19970603400941	2.750092687328306	0.613472219353365	9.750387141554997	0.39961285844500705
9.0.76.0	0.000293894016212	9.999706105983782	0.001487503180572	9.716943347023324	0.000293411254114	0.199706588745885	2.715162432588614	0.6483500642308181	9.715456326604826	0.434543673395179
10.0.98.0	0.000293320225092	9.999706679774901	0.001538879379741	9.682256016753236	0.00029284300492700004	0.19970715699507202	2.680424294368542	0.683036826251721	9.680717614593632	0.469282385406371
12.0.2.0	0.00029273263355800004	9.999707267366434	0.0015892243051840002	9.6477602027297	0.000292261024137	0.19970773897586203	2.6458787174003513	0.7175320582944681	9.646171450033908	0.503828549966095
13.0.42.0	0.00029213102010700005	9.999707868979886	0.00163854029314	9.613456362845325	0.00029166509110500004	0.199708334908894	2.6115261574610553	0.7518353022458101	9.61181828848116	0.5381817115188441
14.0.64.0	0.000291515161512	9.999708484838482	0.00168682962852	9.57934496598441	0.000291054983462	0.19970894501653702	2.577367081372404	0.785946088999081	9.577658596533917	0.5723414034660891
15.0.86.0	0.000290884832847	9.99970911516715	0.001734094546688	9.545426492025795	0.00029043047711700004	0.19970956952288202	2.543401967001965	0.8198639384513521	9.543692851834814	0.606307148165193
17.0.08.0	0.000290239807497	9.9997097601925	0.0017803372352370001	9.511701431846694	0.000289791346282	0.19971020865371703	2.509631303265154	0.8535883594996161	9.509921543072652	0.6400784569273541
18.0.3.0	0.000289579857185	9.999710420142813	0.001825559835769	9.478170287327378	0.000289137363486	0.19971086263651303	2.476055590128102	0.8871188500361341	9.476345169985288	0.673654830014718
