	a1	a2	a3	x1	x2	x3
0	1.0	1.0	1.0	0.01	0.01	0.01
1	0.9967604377365427	1.6436730662683028	12.902190869055687	0.016486900149800206	0.01647883204754997	0.016479189249402237
2	0.9914458738196856	2.695511074529553	165.94716087516494	0.027165388175545948	0.02713925762681039	0.027140555878065374
3	0.9827537357922548	4.405234071116944	2115.292061338359	0.04472948943082638	0.04466582906594074	0.044670671577410816
4	0.9686153575708957	7.158685290816486	26708.192262800836	0.07356601707754665	0.07342805061588846	0.0734589060036225
5	0.9458241516590995	11.52553973583148	335010.5314051405	0.1207677149508446	0.12048780329854235	0.12065237764876116
6	0.9096206435012922	18.27685562590622	4133903.3102808385	0.19765230096516379	0.1971094652783091	0.19837398832422934
7	0.8534691479049286	28.278607659180853	49740809.65483872	0.32188976956902693	0.3208748547943632	0.3279277250391075
8	0.769662322123205	42.05990370461385	573590357.9498208	0.5200766184524975	0.5182447191601071	0.5302978143886486
9	0.651974024538566	58.77760759516702	6210764253.758913	0.8298261961101935	0.8266484460377532	0.8451156474889376
10	0.5015879543519404	74.63218472892831	60937268570.166885	1.298784717665458	1.2935436699893696	1.3209353472317666
11	0.33469690928537693	82.24335791898274	518420685095.35	1.9756514018847349	1.9675813886915343	2.0059551131261593
12	0.18312099897046477	74.36689848783291	3608459169719.0596	2.888066619704523	2.8767996806447713	2.9264507457752376
13	0.07760086140504621	52.10621879137175	19375325871834.434	4.010552196004987	3.9970998534262914	4.055081669862754
14	0.024458403919125713	27.08139626175562	77132657933070.4	5.243919206881531	5.233259417133557	5.29337246685956
15	0.005665646622092479	10.353625085920102	225744062282550.56	6.42811033720073	6.441413812017208	6.496512016193331
16	0.0010185230582969388	2.976109726640959	497964841498493.7	7.339114559939574	7.490281248402447	7.5354166843701496
17	0.0001605080462361582	0.6812383167720897	871712462080802.6	7.476997129339454	8.310836006953013	8.34474304980986
18	3.106520651448745e-05	0.13220400517193892	1283348171997467.5	6.41220342735898	8.901184315006935	8.926162671904653
19	8.795842849859094e-06	0.022410052710806056	1674200393600443.0	5.144078853510342	9.295199912913246	9.319950841598246
20	2.458521655658995e-06	0.003543162226605198	2015669632524106.0	4.1783441543045425	9.508897864568484	9.576186398859273
