	T	Tm	Tmw	Tw
0	32554830.0	134173.0	9818.0	26180.0
1	33038926.703321617	137812.92368947677	9912.277683107419	27376.345583787326
2	33529985.404086247	141655.02321619214	10009.758511161572	28641.983884885183
3	34028089.18881573	145712.10642763687	10110.637940295703	29981.67253020934
4	34533320.70007762	149997.96966433458	10215.129505240038	31400.543633907568
5	35045762.01440486	154527.4757698896	10323.46679322304	32904.133593921964
6	35565494.498472705	159316.6513861843	10435.905880159113	34498.420193773396
7	36092598.62154739	164382.7902685578	10552.728052634859	36189.86202554227
8	36627153.75889323	169744.56358700368	10674.242819319983	37985.44053005594
9	37169237.96955458	175422.14515107006	10800.79143550873	39892.70769157632
10	37718927.75296886	181437.34629531892	10932.750856119857	41919.837369259236
11	38276297.77734108	187813.76595013335	11070.538295345472	44075.68236121609
12	38841420.5793412	194576.9552686141	11214.616430441372	46369.836935289895
13	39414366.23316574	201754.59864864984	11365.499349924952	48812.70552288262
14	39995201.98604411	209376.71196435986	11523.759328749247	51415.57785099833
15	40583991.8489016	217475.86454877432	11690.0347493775	54190.712981009936
16	41180796.15212843	226087.41919555352	11865.038991205629	57151.4300666917
17	41785671.04197602	235249.80328375645	12049.570980019827	60312.21072704362
18	42398667.93583501	245004.80135846205	12244.527003176197	63688.809405933716
19	43019832.9104987	255397.8827757565	12450.91458819626	67298.37675272678
20	43649206.01907781	266478.5666036578	12669.868699513565	71159.5968458983
21	44286820.55183888	278300.8157341476	12902.670016961974	75292.8352095409
22	44932702.19505229	290923.48440315545	13150.766717892453	79720.306593877
23	45586868.11253462	304410.80585856223	13415.7994322344	84466.25754388382
24	46249325.93315166	318832.929032626	13699.63003858028	89557.16699782206
25	46920072.57860771	334266.5386171945	14004.376676823264	95021.97773470332
26	47599093.03914063	350795.5015111925	14332.452348622965	100892.33723018752
27	48286358.9484466	368511.6180720951	14686.611947605614	107202.87717247604
28	48981827.02003728	387515.4446437052	15070.006863688095	113991.51900925854
29	49685437.335912466	407917.19191304524	15486.247965378505	121299.80720956497
