	a1	a2	a3	x1	x2	x3
0	1.0	1.0	1.0	0.01	0.01	0.01
1	0.9967627837357561	1.6433193211072932	12.76452010161324	0.0164757010538851	0.016475876656198686	0.016476227235066723
2	0.9914531960862449	2.6948781206783057	162.60471203957516	0.02713347452602919	0.027134475516710842	0.027135664066475912
3	0.9827735109833733	4.404139003907277	2064.264015860928	0.04465467468234164	0.04465792265076113	0.044660524500342295
4	0.968662067055075	7.156861439341876	26057.593360088293	0.07340670371811277	0.0734151193733952	0.07342004191217448
5	0.9459244865105819	11.522591811490352	325887.583049711	0.1204473252853926	0.12046666538498256	0.12047537083681818
6	0.9098205077883238	18.272249137221298	4014334.1939548515	0.19703387858677512	0.19707513983035319	0.1970899512406454
7	0.8538403361760679	28.271750491126166	48247732.9546027	0.32073605705852165	0.32081968415391454	0.32084419509200046
8	0.7703006748916521	42.050384315205335	557436347.1848493	0.5179944437762415	0.5181574529386054	0.5181969772478455
9	0.6529700156270437	58.76584011872702	6051307946.069291	0.8262063184763611	0.826513952877981	0.8265757639005556
10	0.5029490729261642	74.62023013903851	59686588155.58537	1.2927790898188045	1.2933439898606698	1.2934367440413959
11	0.3362464261771243	82.23440804587545	510934837395.2431	1.9662825989409511	1.9673019424227387	1.9674331751384353
12	0.18449701884952668	74.36710518711745	3589056319504.3354	2.8745693612442396	2.8764316353335295	2.876603448425465
13	0.078479179676223	52.120163110811454	19538374312257.0	3.992930983528746	3.9966539955834612	3.996858016578822
14	0.024820364979127978	27.136630718042536	79016877669045.9	5.223292949770396	5.2326769282075	5.2328952529307955
15	0.005783334691776276	10.376770598950818	234697007525289.22	6.407023449256441	6.44083118089131	6.441048968376337
16	0.001030318583120779	2.9859693215685614	524584587985951.2	7.322058759230397	7.489646543218503	7.489886233052982
17	0.00015825339194120607	0.6797099342676726	927557202981777.9	7.468014487383811	8.310244889473807	8.310694278936603
18	2.7388286270762676e-05	0.1297504146399783	1375345180631558.5	6.417208862074519	8.90069908137644	8.90242989343245
19	6.5081425446990975e-06	0.021898399279581166	1802971534528857.0	5.118544582612295	9.294721355465636	9.30424310914328
20	2.0593015766610386e-06	0.0034056491460678637	2177601775489952.5	4.142973298517167	9.507134501614408	9.566124381054747
21	8.006233926308529e-07	0.000503392997525137	2495076899332072.0	3.4536710005533835	9.374220179581215	9.73227054437341
22	3.605384023670217e-07	7.453137384022783e-05	2765635943084384.0	2.9537972763436176	8.293195839876258	9.835885040398741
23	1.809518153319063e-07	1.3290854256333916e-05	3003151972314209.0	2.5779738056132695	6.483933304547392	9.899812182292003
24	9.865847543850525e-08	3.289114846940261e-06	3220097884657521.5	2.2861359944088404	5.034898233741392	9.93899249070966
25	5.741288358416045e-08	1.0757917623913082e-06	3426120194466349.0	2.0533284903833477	4.057896191306708	9.962908052314322
26	3.521403195014017e-08	4.2798991798234347e-07	3628179726362697.5	1.8634360494140292	3.3854793215282215	9.977469659553279
27	2.255338852163243e-08	1.959401383582424e-07	3831151991778069.5	1.7056604047838486	2.9006090142057177	9.986322547874826
28	1.4977739447496264e-08	9.958403561923915e-08	4038434413351018.5	1.572521257900568	2.5360633767989444	9.991699740437708
29	1.025761345755846e-08	5.4818661346735985e-08	4252428833532884.0	1.4586825416012157	2.25251970231144	9.994963991131614
30	7.213343786384288e-09	3.213339132342775e-08	4474887286231801.5	1.3602399698454744	2.025872375432382	9.996944905099335
31	5.190612118264949e-09	1.9829754607616997e-08	4707148169612438.0	1.2742730448179236	1.8406383749288033	9.998146764582252
32	3.811174958342801e-09	1.2760162449876829e-08	4950293401456439.0	1.1985544562985253	1.6864530099142598	9.998875874569473
33	2.8486960992429965e-09	8.492155087557408e-09	5205251433097720.0	1.1313565030499368	1.5561317438539801	9.99931815326263
34	2.163358586011271e-09	5.753154940196062e-09	5472864292540118.0	1.0713186985529664	1.4445434372553654	9.99958640481879
35	1.6664479162344817e-09	4.0600833006042105e-09	5753932220857168.0	1.0173551963348553	1.3479188964579643	9.999749137699965
36	1.300243732718912e-09	2.9516741988493294e-09	6049241178651818.0	0.9685890337492601	1.2634425565413652	9.999847842841376
37	1.026368539591313e-09	2.1928210605579818e-09	6359582775353604.0	0.9243041773218751	1.1889612558195288	9.999907711468689
38	8.187925713267304e-10	1.6140483120234736e-09	6685766943581922.0	0.8839102871921362	1.122803090212512	9.9999440217774
39	6.595405844258877e-10	1.2505549792435072e-09	7028630949479806.0	0.8469162707320689	1.0636434588567658	9.999966047539159
40	5.35994459651696e-10	9.672451812449775e-10	7389045922775444.0	0.8129103409491029	1.0104306786595607	9.999979407045581
41	4.3916143316592034e-10	7.551709181134155e-10	7767921881939396.0	0.7815445948663755	0.9623106640161126	9.999987510190463
42	3.6254679320304126e-10	5.970279142478374e-10	8166211821920837.0	0.7525231165153192	0.9185857771159497	9.999992424785601
43	3.0139834526055976e-10	4.770049664539464e-10	8584915250688546.0	0.7255926128368957	0.8786803544272085	9.999995404936774
44	2.5219730835672277e-10	3.847287557510054e-10	9025081429952682.0	0.7005349954543403	0.8421149803946189	9.99999721180565
45	2.12307800546122e-10	3.130079669882814e-10	9487812437580338.0	0.6771614655956902	0.808487154064602	9.999998306866038
46	1.7974061047071976e-10	2.56744471294171e-10	9974266293684466.0	0.655307790330079	0.7774566324744402	9.99999897140432
47	1.529755548505234e-10	2.1216173867923073e-10	1.0485659970647802e+16	0.6348304053180982	0.7487337047007685	9.999999374685741
48	1.308433418079389e-10	1.7653704626314265e-10	1.1023272603253224e+16	0.6156032804025694	0.7220702236624564	9.999999620078885
49	1.1243610747793356e-10	1.478449129183456e-10	1.1588448735237356e+16	0.5975153150262039	0.6972523848008589	9.999999768909124
50	9.704342945103912e-11	1.2455788948271438e-10	1.218260176133035e+16	0.5804681917711769	0.6740949814907073	9.999999859709838
51	8.410555459801265e-11	1.0552824628283783e-10	1.2807217460531638e+16	0.5643745900353975	0.6524367846498615	9.999999914530505
52	7.317829383666422e-11	8.987652107302395e-11	1.3463857772012594e+16	0.5491566902180398	0.6321367822943513	9.999999948254855
53	6.390688812050252e-11	7.692293493892812e-11	1.4154164663403592e+16	0.5347449159468982	0.613071107574153	9.999999968328954
54	5.600629619386244e-11	6.614158810166382e-11	1.487986430399622e+16	0.5210768708803643	0.5951305105836866	9.999999980986614
55	4.924613948641578e-11	5.711975409913573e-11	1.5642771316795228e+16	0.5080964358630573	0.5782182639593264	9.999999988190062
56	4.3439199550906854e-11	4.9531361805294654e-11	1.6444793400735142e+16	0.4957529989917479	0.5622484188734256	9.999999993093164
57	3.8432542428713104e-11	4.3118264919866635e-11	1.7287936007806014e+16	0.48400079627092957	0.5471443445051831	9.999999995511173
