	AMP	Acetic_acid	Amadori	C5	Cn	Formic_acid	Fru	Glu	Melanoidin	Triose	lys_R
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	15.0
1	0.004972129661303608	0.0037008122097555557	0.16290190561738707	0.03014127240035623	1.0633372303576698e-06	0.03014127240035623	0.6363374443071288	159.16095561001296	8.400953300588171e-05	0.001814695853457581	14.832041955188306
2	0.018840897490854016	0.014245252490451134	0.3073846871350437	0.06040390364594363	8.478894335396886e-06	0.06040390364594363	1.2654084768921756	158.329461568529	0.0006460126980627378	0.007226881131275409	14.673128402676042
3	0.040177550543688705	0.03086255398917904	0.4353526989348518	0.09078611873230695	2.8522109571197834e-05	0.09078611873230695	1.8872993217080845	157.50534671512438	0.002094733129198598	0.016189137786214627	14.522375017392264
4	0.06772510789926296	0.05286217529876662	0.5485149889134731	0.12128614909872573	6.738568858707255e-05	0.12128614909872573	2.5020939590586533	156.68845218131474	0.00477182376506761	0.028654614991197248	14.378988079422198
5	0.1003795456234217	0.0796255928483886	0.6484052968748132	0.15190223387289611	0.0001311805595512266	0.15190223387289611	3.1098743181729858	155.87863013401468	0.00895996084037316	0.044577016064446355	14.242255196661395
6	0.13717304178835502	0.11059896081824085	0.7363999377208161	0.18263262096438662	0.00022593682964134682	0.18263262096438662	3.7107204486915966	155.07574265334537	0.014890011883205777	0.06391058640572704	14.111537008607625
7	0.1772588304691767	0.1452864461511443	0.8137340175886004	0.21347556804201834	0.00035760472865912867	0.21347556804201834	4.304710662723859	154.2796607359944	0.0227474902682588	0.0866101022537938	13.986259661673966
8	0.21989769732687756	0.18324426733354082	0.8815159588166259	0.24442934338918731	0.0005320555319712107	0.24442934338918731	4.89192167523891	153.4902633826248	0.0326782729201766	0.11263086023178928	13.865908070936321
9	0.26444594217596223	0.22407535091671593	0.9407404935063078	0.27549222665601925	0.0007550824656392341	0.27549222665601925	5.472428713668462	152.7074368062534	0.04479367418732437	0.14192866773723534	13.750019890130407
10	0.310344621184795	0.2674245355996068	0.9923003315540763	0.30666250951212504	0.0010324015952805391	0.30666250951212504	6.046305620576612	151.9310737155039	0.05917494997723382	0.17445983377855817	13.638180097283897
11	0.3571099403422117	0.31297426789642585	1.0369966280157326	0.33793849621960864	0.0013696526991770312	0.33793849621960864	6.613624942773641	151.16107267624574	0.07587729457279752	0.21018116056683525	13.53001613706926
12	0.40432467510938946	0.36044073674244526	1.0755483800689039	0.36931850412611195	0.0017724001275423093	0.36931850412611195	7.1744580100783155	150.39733754106012	0.09493338515140021	0.24904993545411813	13.42519355967031
13	0.4516305180039129	0.4095704064669899	1.1086008531515734	0.4008008640905164	0.0022461336474442527	0.4008008640905164	7.728875004692868	149.63977693988986	0.11635651884063267	0.2910239233747234	13.323412110003886
14	0.4987212372625089	0.46013689870701	1.1367331569483015	0.4323839208473134	0.002796269275523622	0.4323839208473134	8.276945022676399	148.88830382394167	0.1401433944331677	0.33606135964273726	13.224402211356027
15	0.5453366357475216	0.5119382196186524	1.1604649804151606	0.4640660333110885	0.003428150097078461	0.4640660333110885	8.818736127764984	148.14283506199112	0.16627654463775304	0.3841209431244698	13.127921839199571
16	0.5912570786972388	0.5647942335361029	1.1802627269113692	0.4958455748380306	0.004147047075053436	0.4958455748380306	9.354315399956453	147.40329107375214	0.19472652101146212	0.43516182966939454	13.033753673379936
17	0.6362986794335354	0.6185444221207412	1.196544954758411	0.5277209334378139	0.004958159846655843	0.5277209334378139	9.883748978253013	146.66959550582428	0.22545379317401407	0.4891436258429418	12.941702572634046
