time	E	E_M	E_P2	E_P_1	E_P_2	M	P	P2	T
180.0.	0.00010445226518100001	1.449858644714779e-05	3.319616457402075e-07	2.741820450963716e-05	3.298982215971724e-06	0.19248000275583801	0.331106089783387	0.028809360791338	0.44755899893461604
189.0.	0.00010619749811200001	1.4185779789318682e-05	3.469550041419116e-07	2.6126231896005393e-05	3.143535197763457e-06	0.185231960419375	0.31031873534014603	0.029615524271637002	0.47478997746695306
198.0.	0.00010795171831600001	1.383127883781534e-05	3.6168909874463446e-07	2.4863685237457843e-05	2.991628509673776e-06	0.177667907169305	0.290523258146606	0.030371313419035	0.5013954729833681
207.0.	0.00010970898825700001	1.3440567471233752e-05	3.761303968144169e-07	2.363099942798849e-05	2.843314445943688e-06	0.16988336371985402	0.271696652061653	0.031077870172619003	0.5273018230341301
216.0.	0.00011146332414900001	1.3018948844480621e-05	3.902444629343792e-07	2.2428812763625153e-05	2.6986697791695826e-06	0.16196406230064903	0.253815491008274	0.031736368416872	0.552445541598353
225.0.	0.00011320875444	1.2571538304582011e-05	4.039965832866473e-07	2.1257920498989525e-05	2.5577901724589163e-06	0.153986427345569	0.236855789110121	0.032348020511315	0.576772971787433
234.0.	0.00011493938365800001	1.2103250563982232e-05	4.1735240293467936e-07	2.011922874252326e-05	2.4207846322798037e-06	0.146018040898995	0.22079289678895403	0.032914081958211	0.600239919737495
243.0.	0.00011664945947800001	1.1618782705807361e-05	4.30278560933651e-07	1.901370919199699e-05	2.287770062330675e-06	0.138118102526356	0.205601432377282	0.033435854226223	0.6228112603296161
252.0.	0.00011833344071800001	1.1122594596795431e-05	4.4274330654865356e-07	1.7942355378919772e-05	2.158865998856239e-06	0.130337890973139	0.19125524834225402	0.033914685774713	0.6444605083506101
261.0.	0.00011998606385400001	1.0618888248258121e-05	4.54717079293758e-07	1.690614119715307e-05	2.034189620680362e-06	0.122721232405884	0.17772743065197602	0.034351971355330004	0.665169351650662
270.0.	0.00012160240571500001	1.0111587583195111e-05	4.661730359895649e-07	1.5905982532892873e-05	1.913851132271304e-06	0.115304977823173	0.16499032919279102	0.034749149702161	0.6849271456875881
279.0.	0.00012317794015100002	9.604319934232359e-06	4.77087509564565e-07	1.494270278963842e-05	1.79794961533052e-06	0.10811949018945301	0.153015616516487	0.035107699756243005	0.703730371477966
288.0.	0.000124708586747	9.100400414207346e-06	4.874403867994128e-07	1.4017003016776892e-05	1.686569434178358e-06	0.10118914006827101	0.141774371609411	0.035429135602085	0.7215820613069791
297.0.	0.000126190750052	8.602820076427246e-06	4.972153954572412e-07	1.3129437212387233e-05	1.579777263609686e-06	0.09453280705850901	0.131237184875854	0.035715000320685	0.7384911984950021
306.0.	0.000127621348199	8.114238527007245e-06	5.064002950163186e-07	1.228039319227136e-05	1.4776197864093058e-06	0.088164383201091	0.121374280152319	0.035966858983391005	0.7544720990113961
315.0.	0.000128997830351	7.63698138241998e-06	5.149869692442681e-07	1.1470079213175531e-05	1.3801220831696161e-06	0.082093273741959	0.11215564934320701	0.036186291022611006	0.769543783722573
324.0.	0.000130318182842	7.1730426979562654e-06	5.229714228348418e-07	1.069851632519401e-05	1.287286711429643e-06	0.07632489020938901	0.10355119520535401	0.036374882218143	0.7837293505499531
333.0.	0.000131580924399	6.724092243095026e-06	5.303536879980243e-07	9.965536222499627e-06	1.199093446386148e-06	0.07086113067053801	0.09553087790938501	0.036534216531816	0.7970553558126591
342.0.	0.000132785091258	6.291487281539345e-06	5.371376500249588e-07	9.270784177117636e-06	1.115499633234464e-06	0.06570084223727	0.08806486125872101	0.036665868008856004	0.809551213586409
351.0.	0.00013393021328800001	5.876288337150901e-06	5.433308032769963e-07	8.613726488560057e-06	1.036441082916212e-06	0.060840261345396	0.081123654831129	0.036771392943187	0.8212486210935741
360.0.	0.00013501628255100002	5.479278298385813e-06	5.48943950681634e-07	7.993661770172437e-06	9.618334295744085e-07	0.056273427976101006	0.07467824879446501	0.036852322477216	0.8321810170347671
369.0.	0.00013604371582	5.10098413497957e-06	5.539908606382373e-07	7.40973532427134e-06	8.915738597362585e-07	0.051992570761849	0.06870023870530101	0.03691015577637	0.8423830784722981
378.0.	0.000137013312682	4.7417004695474244e-06	5.584878952895402e-07	6.860955832083311e-06	8.255431201022171e-07	0.047988460760710006	0.063161938192759	0.03694635388655	0.851890260472662
387.0.	0.000137926210808	4.401514258275842e-06	5.624536234985049e-07	6.346213597390377e-06	7.636077123664613e-07	0.044250732537565	0.058036478028262006	0.036962334350493	0.8607383812944861
396.0.	0.00013878383987	4.080329881568307e-06	5.659084307162509e-07	5.864299628560547e-06	7.056221889973075e-07	0.040768172011076007	0.053297890657032006	0.036959466628175	0.868963254543586
405.0.	0.00013958787545700002	3.777894018768777e-06	5.688741363847743e-07	5.413924914783545e-06	6.514314724626556e-07	0.037528971274780006	0.04892117979634401	0.036939068338205004	0.8766003684661261
414.0.	0.000140340194128	3.493819772023407e-06	5.713736277387225e-07	4.993739340811392e-06	6.008731310291515e-07	0.034520951253458006	0.044882375172237005	0.036902402312367	0.883684611456065
423.0.	0.000141042830539	3.227609604593295e-06	5.734305169927905e-07	4.6023497825525775e-06	5.53779556059729e-07	0.031731753596346	0.041158572860090004	0.036850674434688	0.890250041939415
432.0.	0.000141697937387	2.978676761181622e-06	5.750688270442084e-07	4.238337026543575e-06	5.099799978469092e-07	0.029149003631085003	0.037727962010675006	0.036785032219861	0.8963297000757651
441.0.	0.00014230774867100002	2.746364936202466e-06	5.763127090768315e-07	3.900271253904031e-06	4.693024287605735e-07	0.02676044650805	0.034569838982152004	0.036706564073439	0.9019554581850281
450.0.	0.000142874546627	2.529966046019456e-06	5.771861938913142e-07	3.586725919519095e-06	4.3157521333494473e-07	0.024554058861761003	0.031664610064212	0.036616299167765	0.9071579064528871
459.0.	0.00014340063247	2.328736040160777e-06	5.777129774455186e-07	3.29628993693807e-06	3.96628574515588e-07	0.022518138416230002	0.028993784080244	0.036515207862661006	0.9119662702733341
468.0.	0.00014388830100600002	2.141908752831624e-06	5.779162399895295e-07	3.0275781471497686e-06	3.6429585343071804e-07	0.020641373978603002	0.026539956195726	0.036404202598045006	0.9164083555286311
477.0.	0.000144339818982	1.968707849280526e-06	5.778184973204139e-07	2.77924010440368e-06	3.3441456667113494e-07	0.018912898215556	0.024286784255785003	0.036284139186258	0.9205105181613811
486.0.	0.00014475740703	1.808356962155639e-06	5.774414820499529e-07	2.5499672548477188e-06	3.0682727019027875e-07	0.017322325504693002	0.022218958931734003	0.036155818434531	0.924297654536071
495.0.	0.000145143224948	1.660088141947094e-06	5.768060523511996e-07	2.338498614830363e-06	2.813822426763738e-07	0.015859777012751	0.020322168884732	0.036019988032148	0.9277932092953161
504.0.	0.00014549936002900002	1.5231487643484191e-06	5.759321253988113e-07	2.143625076540696e-06	2.579340037555094e-07	0.014515894986334002	0.018583062063048	0.035877344641989	0.931019197668656
513.0.	0.000145827818155	1.396807047473714e-06	5.748386326135053e-07	1.964192480730027e-06	2.363436838377841e-07	0.013281848059940001	0.016989204145001	0.035728536141974	0.9339962394712381
522.0.	0.000146130517307	1.28035633495186e-06	5.735434938327469e-07	1.799103601125834e-06	2.164792630050535e-07	0.012149329199056001	0.015529035028844002	0.035574163967972	0.9367436023214321
531.0.	0.00014640928321300002	1.1731182985343591e-06	5.720636076297078e-07	1.647319184326714e-06	1.9821569624058538e-07	0.011110547710151	0.014191824158556	0.035414785515928006	0.9392792518985761
540.0.	0.00014666584681100002	1.074445207402433e-06	5.7041485516601e-07	1.507858183846779e-06	1.8143494168535488e-07	0.010158216569625001	0.012967625364585001	0.035250916566936005	0.941619907345663
549.0.	0.000146901843256	9.83721402066984e-07	5.686121151690687e-07	1.379797318788368e-06	1.6602590762072447e-07	0.00928553615417	0.011847231793941001	0.035083033704643	0.9437811001905011
558.0.	0.000147118812202	9.003640996488482e-07	5.666692878545764e-07	1.262270077406789e-06	1.518843326484301e-07	0.0084861752978	0.010822131406577002	0.034911576699671	0.9457772354081521
567.0.	0.00014731819914200002	8.238236452410431e-07	5.645993258546146e-07	1.154465274447868e-06	1.3891261216935938e-07	0.007754250457695001	0.009884463425995001	0.034736950840518005	0.9476216534749311
576.0.	0.00014750135757500001	7.535833116404462e-07	5.624142704513879e-07	1.055625259267066e-06	1.270195828342674e-07	0.007084303642358	0.009026976052048	0.034559529194718004	0.949326692468449
585.0.	0.00014766955183500002	6.891587374851803e-07	5.601252916477096e-07	9.65043859897605e-07	1.161202752148509e-07	0.00647127964157	0.008242985673223001	0.034379654787805004	0.9509037494492351
594.0.	0.000147823960406	6.300970820975585e-07	5.577427308227068e-07	8.820641368033174e-07	1.061356435681326e-07	0.005910502997601001	0.007526337754032	0.034197642690960005	0.9523633405178131
603.0.	0.00014796567960100002	5.759759643485676e-07	5.552761449213338e-07	8.060760092923763e-07	9.699228027246916e-08	0.005397655070387	0.006871369520102001	0.034013782011023	0.9537151590780861
612.0.	0.000148095727476	5.264022427736042e-07	5.527343513072338e-07	7.365138076473675e-07	8.862212131977549e-08	0.004928751474893	0.006272874518598001	0.033828337778954005	0.954968131955029
621.0.	0.00014821504789900002	4.81010685053942e-07	5.501254725696807e-07	6.728537950369116e-07	8.096214816677491e-08	0.004500120105449	0.005726069093939	0.033641552734825005	0.956130473113684
630.0.	0.000148324514666	4.3946256685334947e-07	5.474569807169014e-07	6.146116952481483e-07	7.395409028232323e-08	0.004108379908495	0.005226560787766001	0.033453649009075	0.957209734809329
639.0.	0.000148424935639	4.014442328444376e-07	5.447357403108642e-07	5.61340255209386e-07	6.754413187710542e-08	0.003750420520542	0.004770318646936	0.033264829701069004	0.9582128560670911
648.0.	0.000148517056812	3.666656465275698e-07	5.419680502039096e-07	5.126268651195766e-07	6.168262556163655e-08	0.0034233828513180005	0.0043536454032580005	0.033075280357085006	0.9591462084451491
657.0.	0.000148601566297	3.3485895007217406e-07	5.391596836267807e-07	4.6809125370787443e-07	5.632381504151182e-08	0.0031246406619590003	0.003973151473112	0.032885170350628004	0.9600156390805961
666.0.	0.00014867909818200002	3.057770508216648e-07	5.363159264523891e-07	4.273832716420119e-07	5.142556841679604e-08	0.002851783163684	0.0036257307132530003	0.032694654168629	0.9608265110526141
675.0.	0.000148750236243	2.79192247220374e-07	5.334416135215237e-07	3.901807723125168e-07	4.694912319615285e-08	0.0026025986429890004	0.0033085378605470003	0.032503872607485	0.96158374112522
684.0.	0.000148815517493	2.5489490366512386e-07	5.305411629673986e-07	3.561875960632755e-07	4.28588437564619e-08	0.0023750591040650002	0.0030189675774580003	0.032312953883233	0.9622918349527341
693.0.	0.000148875435557	2.32692181079125e-07	5.276186085167907e-07	3.2513166134155496e-07	3.912199166609812e-08	0.002167305907354	0.0027546350214510003	0.032122014660314	0.9629549198464361
702.0.	0.000148930443869	2.1240682778015317e-07	5.246776297780352e-07	2.967631641302768e-07	3.57085090360868e-08	0.001977636374252	0.0025133578546300004	0.031931161003453	0.9635767752115321
711.0.	0.000148980958685	1.9387603340232251e-07	5.21721580551517e-07	2.708528853349667e-07	3.259081485991879e-08	0.0018044913214730002	0.0022931396095490003	0.031740489257237	0.9641608607704251
720.0.	0.000149027361918	1.76950347171367e-07	5.187535152176699e-07	2.471906044663111e-07	2.974361414257109e-08	0.001646443484025	0.0020921543279320003	0.031550086857861	0.9647103426920981
729.0.	0.00014907000378900002	1.6149266067359492e-07	5.15776213271858e-07	2.255836169316307e-07	2.7143719495601642e-08	0.0015021867828410001	0.0019087323907490002	0.031360033081456004	0.9652281177487411
738.0.	0.00014910920530700002	1.473772543512402e-07	5.127922020857269e-07	2.058553514761284e-07	2.4769884782219788e-08	0.001370526391413	0.001741347460479	0.031170399733251003	0.9657168356201611
747.0.	0.00014914526058100002	1.3448890626037778e-07	5.098037779814464e-07	1.878440837545664e-07	2.260265032880898e-08	0.0012503695551390002	0.0015886044593380001	0.030981251781678	0.966178919464424
756.0.	0.000149178438972	1.227220611059265e-07	5.068130257093429e-07	1.714017416289395e-07	2.062419917302352e-08	0.0011407171172600002	0.001449228510501	0.030792647941318002	0.9666165848698901
765.0.	0.000149208987084	1.1198005719061801e-07	5.038218364212913e-07	1.5639279754550973e-07	1.8818223789426152e-08	0.001040655706008	0.0013220547728880002	0.030604641208431003	0.967031857299756
774.0.	0.000149237130621	1.0217440865470031e-07	5.008319242323848e-07	1.426932432178779e-07	1.716980271837564e-08	0.0009493505388070001	0.001206019103749	0.030417279352569004	0.9674265881354931
783.0.	0.00014926307608900002	9.322414021814152e-08	4.978448414621857e-07	1.301896418081957e-07	1.566528651970356e-08	0.000866038800978	0.001100149486995	0.030230605367613003	0.9678024694205021
792.0.	0.00014928701239	8.50551715482754e-08	4.948619926446182e-07	1.1877825283653819e-07	1.4292192477273332e-08	0.0007900235581430001	0.0010035581689560001	0.030044657885331002	0.9681610473999581
801.0.	0.000149309112271	7.75997483473024e-08	4.918846473925649e-07	1.083642251423996e-07	1.303910749181035e-08	0.000720668163557	0.00091543444692	0.029859471554388003	0.968503734947404
810.0.	0.000149329533678	7.079591727262801e-08	4.889139521996829e-07	9.886085335855071e-08	1.1895598615783652e-08	0.000657391123581	0.0008350380593830001	0.029675077387519	0.968831822963193
819.0.	0.00014934842099200002	6.458704185771823e-08	4.859509412580279e-07	9.018889352483731e-08	1.085213070424909e-08	0.00059966138669	0.0007616931303890001	0.029491503079416004	0.9691464908244951
828.0.	0.000149365906172	5.8921356682979424e-08	4.829965463659396e-07	8.227593365865292e-08	9.899990678320454e-09	0.000546994023437	0.0006947826236920001	0.029308773297675002	0.9694488159613661
837.0.	0.000149382109803	5.375155714775801e-08	4.800516059963777e-07	7.505581530229031e-08	9.031217922413182e-09	0.000498946266924	0.0006337432656190001	0.029126909948995004	0.9697397826282631
846.0.	0.00014939714206100001	4.9034422309930616e-08	4.771168735916204e-07	6.84681022791394e-08	8.238540361883407e-09	0.00045511388532900004	0.000578060898522	0.028945932422654003	0.9700202899355531
855.0.	0.00014941110359700002	4.473046838389978e-08	4.741930251459789e-07	6.245759310593993e-08	7.515315793581238e-09	0.00041512786000200006	0.000527266229562	0.028765857813138004	0.970291159200893
864.0.	0.00014942408635100002	4.080363061729468e-08	4.7128066613406277e-07	5.697387372327037e-08	6.8554780677016976e-09	0.00037865134450200004	0.00048093094223100006	0.028586701123644004	0.9705531406759711
873.0.	0.000149436174295	3.722097139825746e-08	4.6838033783809116e-07	5.1970907418221e-08	6.2534877447962256e-09	0.00034537688176	0.00043866414054300005	0.028408475452067	0.970806919699923
882.0.	0.000149447444118	3.395241257652731e-08	4.6549252312391125e-07	4.7406659019570355e-08	5.704286876637728e-09	0.000315023858224	0.00040010909814400003	0.028231192160924002	0.9710531223268251
891.0.	0.000149457965849	3.0970490110791945e-08	4.6261765171171144e-07	4.324275064511817e-08	5.203257583615961e-09	0.000287336175436	0.000364940286813	0.02805486103258	0.9712923204710181
900.0.	0.000149467803435	2.8250129281010744e-08	4.597561049839269e-07	3.944414647253294e-08	4.746184124406238e-09	0.00026208012101900004	0.000332860660852	0.027879490411021002	0.9715250366105411
