time	E	E_M	E_P2	E_P_1	E_P_2	M	P	P2	T
0.0.	0.00015000000000000001	0.0	3.009265538105056e-36	0.0	0.0	0.0	1.0	4.03896783473158e-28	0.0
9.0.	7.991278096196189e-05	2.492653573308412e-06	1.889542713082172e-08	6.031817557355799e-05	7.2574944640372565e-06	0.043275497760433004	0.9520946127553791	0.002148671005951	0.002411131259197
18.0.	8.050587823053904e-05	4.659187213095759e-06	3.729092548672572e-08	5.783851082195591e-05	6.959132808913379e-06	0.080272058452948	0.906229321193545	0.004203764671274	0.009225361560460001
27.0.	8.121280129239681e-05	6.539239167576153e-06	5.521907118146908e-08	5.551337428943316e-05	6.679366179400039e-06	0.11167258463054701	0.8622279183203091	0.006167939406075001	0.019862770444360002
36.0.	8.202390159427324e-05	8.167322707596776e-06	7.27708149625271e-08	5.3320490734569427e-05	6.4155141485825e-06	0.138090634816166	0.8199793611408621	0.008046359347435	0.033815668597129006
45.0.	8.293111633986791e-05	9.571973676793213e-06	9.001968103171711e-08	5.124152054927194e-05	6.165369753015536e-06	0.16006545736490002	0.7793883114312881	0.009843449585416001	0.050635712734733
54.0.	8.392756778985254e-05	1.0777063682043771e-05	1.070250033270133e-07	4.926124226325294e-05	5.92710126149639e-06	0.17807458047201702	0.7403724136247071	0.011563024858246	0.06992390861281701
63.0.	8.500725675311038e-05	1.180278833893095e-05	1.238343118326145e-07	4.736694189652395e-05	5.699178699577174e-06	0.192543721528384	0.7028601222792881	0.013208392410245	0.091322771038833
72.0.	8.616482371626285e-05	1.2666422348584671e-05	1.404851119331971e-07	4.5547950616260333e-05	5.480318206932317e-06	0.20385466673461203	0.66678894297246	0.014782435425152	0.11451011969149001
81.0.	8.739535953300623e-05	1.3382904311754741e-05	1.570062240049712e-07	4.3795290523109174e-05	5.2694394080940525e-06	0.21235159276767201	0.632103987978269	0.016287681679816	0.139194132933773
90.0.	8.869425328062185e-05	1.3965295230897112e-05	1.734188025842349e-07	4.2101400291881404e-05	5.065632393980957e-06	0.21834617726820202	0.5987567743922331	0.017726360822952	0.165109381769891
99.0.	9.005706873850285e-05	1.4425141840662091e-05	1.897371222932656e-07	4.0459920421011645e-05	4.868131877492026e-06	0.22212175697514902	0.566704210998577	0.019100452804687	0.192013636290323
108.0.	9.14794436064619e-05	1.4772767114304831e-05	2.059691957823131e-07	3.88655233360503e-05	4.676296747358225e-06	0.223936729476356	0.535907733627287	0.020411729347384	0.21968528699257603
117.0.	9.295700745446054e-05	1.5017504159578242e-05	2.221172737661476e-07	3.7313777408409254e-05	4.489593703737688e-06	0.224027349023069	0.5063325586331321	0.021661789880726003	0.247921259470524
126.0.	9.448531572807511e-05	1.5167885377819351e-05	2.3817826649226518e-07	3.5801036644306545e-05	4.3075839832556245e-06	0.22261003350556002	0.47794703151551005	0.022852093014157002	0.276535327280498
135.0.	9.60597980821105e-05	1.5231795654229533e-05	2.541441181467099e-07	3.432434973164472e-05	4.129912413815406e-06	0.219883274994598	0.45072205330802506	0.023983984353422003	0.30535674714203503
144.0.	9.767571997863265e-05	1.5216596106883823e-05	2.700021597466548e-07	3.288138354516412e-05	3.956298209520491e-06	0.216029227791409	0.424630571690962	0.025058721262186	0.33422915497541905
153.0.	9.932815692906528e-05	1.512922330056664e-05	2.857354612664277e-07	3.1470357265943e-05	3.786527043105808e-06	0.21121503398921201	0.39964712715473305	0.026077495008781003	0.36300967200420003
162.0.	0.000101011981024	1.4976267661848491e-05	3.013231995959834e-07	3.0089984082677942e-05	3.620444030921911e-06	0.20559393591069702	0.37574744719861103	0.027041450611296	0.39156817826042
171.0.	0.00010272185951600001	1.4764033998470781e-05	3.167410550928953e-07	2.873941808720793e-05	3.4579473431399157e-06	0.199306216559676	0.35290808364414605	0.027951704594165003	0.41978671706152704
