time	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
90.0.	7.824993859871796e-05	1.213586392695919e-05	2.798931336966981e-11	0	1.45607884762516e-07	8.626585387286889e-20	3.836370446747242e-05	4.6132959151562395e-06	0.21506800005645801	3.578429042824746e-07	0.61842035845845	0.016869535199112003	5.975902397670345e-10	0.1495864893453
99.0.	7.854392834596466e-05	1.2441817927538331e-05	3.2082589023676445e-11	0	1.570192007690748e-07	1.121235923592537e-19	3.669354030725554e-05	4.412453998989648e-06	0.219663774879117	4.0861944880430545e-07	0.5892836894925321	0.018123128203787	7.114728984249958e-10	0.17287529323012402
108.0.	7.888398671244062e-05	1.2660466514102021e-05	3.619842982467076e-11	0	1.6807791650530822e-07	1.422456705143323e-19	3.5109244550360314e-05	4.221938512302894e-06	0.22255969175991402	4.5903404966071225e-07	0.561410063717195	0.019315556091686	8.333119854141955e-10	0.19666206880014803
117.0.	7.926560929552051e-05	1.2802429252425971e-05	4.030556167397215e-11	0	1.7881132592214477e-07	1.768391161642539e-19	3.360288262614082e-05	4.040795201090235e-06	0.22397106265841202	5.086379972139106e-07	0.534735962958643	0.020449808361855	9.627193816773745e-10	0.22079203146166101
126.0.	7.968471753858465e-05	1.2876933095151443e-05	4.43765439355868e-11	0	1.892419419228102e-07	2.1609440425472308e-19	3.216760823013749e-05	3.868200695663102e-06	0.22408902691683003	5.570496131424212e-07	0.509203594909741	0.021528607171106003	1.099325529417937e-09	0.24512911082504202
135.0.	8.013758213655209e-05	1.2892046580139591e-05	4.838723890186573e-11	0	1.993882158516663e-07	2.601868155068915e-19	3.079749203854097e-05	3.703441909565038e-06	0.223083693762666	6.039466975984143e-07	0.48476011701704	0.022554443972774	1.2427778151021062e-09	0.269553547640912
144.0.	8.062076199912729e-05	1.285486811652369e-05	5.231638451642148e-11	0	2.092651312967694e-07	3.0927752470749296e-19	2.9487382267078452e-05	3.545899268689042e-06	0.221106772878593	6.490599477391261e-07	0.46135698047203205	0.023529610496012	1.3927391718272812e-09	0.293959888233574
153.0.	8.113105557828009e-05	1.277167835081348e-05	5.614524879455047e-11	0	2.1888470050299542e-07	3.635144598877121e-19	2.8232790134612544e-05	3.395032935870627e-06	0.21829379080053002	6.921671866407844e-07	0.438949372404759	0.024456225094599	1.548886867715528e-09	0.318255299541769
162.0.	8.166546213242523e-05	1.2648064174093099e-05	5.985734924744135e-11	0	2.2825638480920508e-07	4.2303296725800173e-19	2.7029794965935882e-05	3.250371397612951e-06	0.214765969954778	7.330882724883757e-07	0.41749573908159904	0.025336255272813003	1.710911452933079e-09	0.342358144344845
171.0.	8.222115105792757e-05	1.248902015152429e-05	6.343822422055515e-11	0	2.373874554190117e-07	4.879563119002124e-19	2.5874964901869684e-05	3.111501927987052e-06	0.210631831205459	7.716805822376888e-07	0.396957376494015	0.026171537027340003	1.878515842618695e-09	0.36619676877621105
180.0.	8.279543782794994e-05	1.2299031838884572e-05	6.687524575541178e-11	0	2.462833069782813e-07	5.5839604048292675e-19	2.4765290104160452e-05	2.9780625553373738e-06	0.20598856853560402	8.078349832462974e-07	0.37729807748105404	0.026963791514558	2.051414516721462e-09	0.389708463847704
189.0.	8.338576538113429e-05	1.2082144467765322e-05	7.015746562884189e-11	0	2.5494773351349226e-07	6.344522293678935e-19	2.369812603535266e-05	2.849735240740235e-06	0.20092323498533002	8.414722218289107e-07	0.35848382666334505	0.027714639452164003	2.229332820722609e-09	0.412838570173968
198.0.	8.398969002702385e-05	1.184201974032286e-05	7.327548779194226e-11	0	2.633831740371953e-07	7.162136391915606e-19	2.2671144920966493e-05	2.726240040569269e-06	0.195513771535946	8.72539670172565e-07	0.34048253613120305	0.028425613585942002	2.412006353612374e-09	0.43553970093408
207.0.	8.460487110252066e-05	1.158198291159692e-05	7.622136165063434e-11	0	2.715909333783747e-07	8.037577951629918e-19	2.1682293906264892e-05	2.6073300742296836e-06	0.18982990476014702	9.010083831947994e-07	0.32326381613473804	0.029098169491218004	2.599180431438069e-09	0.457771062732284
216.0.	8.522906373920796e-05	1.1305061906192201e-05	7.898849159330148e-11	0	2.795713824243138e-07	8.971510107825986e-19	2.0729758733684422e-05	2.492787155865561e-06	0.18393393438743103	9.268704252314494e-07	0.30679877605203104	0.0297336949304	2.790609616330561e-09	0.47949785771093406
225.0.	8.586011419629667e-05	1.1014019883019891e-05	8.15715589463638e-11	0	2.873241408799334e-07	9.964483713487286e-19	1.981193201197388e-05	2.382417978308728e-06	0.17788142818621303	9.501364332713942e-07	0.29105985172374205	0.030333517949991003	2.9860573022285254e-09	0.500690753241975
234.0.	8.649595728650033e-05	1.0711382402300612e-05	8.396645317516387e-11	0	2.948482447976391e-07	1.10169369239767e-18	1.892738534050494e-05	2.276050760681604e-06	0.171721838534089	9.708333890981546e-07	0.276020655886132	0.030898913870511004	3.1852953496118454e-09	0.521325407939868
243.0.	8.71346154788092e-05	1.0399460145020111e-05	8.617020968173038e-11	0	3.021423004608691e-07	1.2129194670525021e-18	1.8074844704097353e-05	2.1735322893336646e-06	0.16549905258011602	9.890025773723471e-07	0.26165584894494504	0.031431111298998005	3.388103762473593e-09	0.541382044719649
252.0.	8.777419930757486e-05	1.008036797301605e-05	8.818095200900046e-11	0	3.0920462568424167e-07	1.3301468150890651e-18	1.725316867386945e-05	2.074725296244768e-06	0.159251885879571	1.0046977105655699e-06	0.247941027738096	0.031931297275015	3.594270401540431e-09	0.560845063260585
261.0.	8.84129087552021e-05	9.756040987740516e-06	8.999783666183734e-11	0	3.160333791977005e-07	1.453385445329111e-18	1.6461329044732112e-05	1.9795061304675527e-06	0.15301452771228102	1.0179832048695281e-06	0.23485263025729003	0.032400621646247005	3.803590728422918e-09	0.579702685597845
270.0.	8.904903530889298e-05	9.428248139914485e-06	9.16209991117435e-11	0	3.2262667849242233e-07	1.5826336417200512e-18	1.5698393615242272e-05	1.887762687213915e-06	0.146816944910931	1.0289325938605429e-06	0.22236785455520602	0.032840200758027	4.015867575962684e-09	0.5979466297046321
279.0.	8.968096442212904e-05	9.098603855007274e-06	9.305149987311277e-11	0	3.28982706306387e-07	1.7178782821476651e-18	1.4963510874449343e-05	1.79939256627681e-06	0.140685249872139	1.037627068884761e-06	0.210464590269511	0.0332511205318	4.230910940560784e-09	0.615571806885514
288.0.	9.030717814056385e-05	8.768578066470964e-06	9.429126982967355e-11	0	3.350998058050619e-07	1.8590948976530784e-18	1.425589640618096e-05	1.714301436989176e-06	0.134642037458945	1.044154136913283e-06	0.19912136135914701	0.033634439000117006	4.448537792734527e-09	0.632576039609108
297.0.	9.092625768042725e-05	8.439504986680793e-06	9.53430542531444e-11	0	3.409765644551079e-07	2.006247778297276e-18	1.357482085629528e-05	1.632401591141248e-06	0.12870669469610901	1.04860638805743e-06	0.18831727878127302	0.033991188359723	4.668571902569657e-09	0.6489597970885921
306.0.	9.153688577609242e-05	8.112590892217556e-06	9.621035519326377e-11	0	3.466118865860309e-07	2.159290130451785e-18	1.291959933478065e-05	1.553610668447547e-06	0.12289568648366801	1.051080366081836e-06	0.178032001946411	0.034322376599436	4.89084367711903e-09	0.66472594649028
315.0.	9.213784864219222e-05	7.78892115371264e-06	9.689737212916042e-11	0	3.5200505467541247e-07	2.318164288815234e-18	1.228958214383638e-05	1.477850541470685e-06	0.11722281998894601	1.051675536149898e-06	0.16824570788096002	0.034628988755341004	5.1151900071538765e-09	0.6798795181282351
324.0.	9.272803742459977e-05	7.469466699721509e-06	9.740894095590134e-11	0	3.5715577946805907e-07	2.482801984988357e-18	1.1684146736636773e-05	1.405046348541393e-06	0.11169948990627601	1.0504933447202348e-06	0.15893906710514702	0.034911987842257006	5.341454121003725e-09	0.6944274833985461
333.0.	9.330644904330665e-05	7.15509006809884e-06	9.775047153604939e-11	0	3.620642391379289e-07	2.6531246730131353e-18	1.110269082055863e-05	1.3351256643062529e-06	0.106334906383447	1.047636367017919e-06	0.15009322530473002	0.035172315507241	5.569485443529067e-09	0.708378544530185
342.0.	9.387218635844148e-05	6.846551166527278e-06	9.792788417359997e-11	0	3.667311078153105e-07	2.8290439109241433e-18	1.0544626524311182e-05	1.268017798215439e-06	0.101136307092982	1.043207537861285e-06	0.141689789939309	0.035410892447824	5.7991394585585244e-09	0.7217429354886811
351.0.	9.442445761771694e-05	6.544512835773877e-06	9.79475454663218e-11	0	3.7115757392128553e-07	3.010461796099409e-18	1.000937555154493e-05	1.203653211640382e-06	0.09610915466523201	1.037309461861785e-06	0.133710820991323	0.035628618634837	6.030277573390921e-09	0.734532233571747
360.0.	9.496257516905965e-05	6.24954628464911e-06	9.781620406270922e-11	0	3.753453488697504e-07	3.197271451059435e-18	9.496365244941529e-06	1.141963044482779e-06	0.091257320490468	1.030043799156288e-06	0.126138825119279	0.035826373376771005	6.2627669842124355e-09	0.7467591813891761
369.0.	9.548595344551309e-05	5.962136444320718e-06	9.754092689242192e-11	0	3.792966668073729e-07	3.3893575553674762e-18	9.005025485171901e-06	1.08287874218288e-06	0.08658325573134201	1.021510722901209e-06	0.1189567525376	0.036005015259749	6.496480541510173e-09	0.7584375190292231
378.0.	9.599410625026583e-05	5.682687271434777e-06	9.712903645589763e-11	0	3.8301427615838197e-07	3.586596918448486e-18	8.534786349013992e-06	1.026331774023392e-06	0.082088150258688	1.0118084447766419e-06	0.11214799600420101	0.036165381994269004	6.7312966147757e-09	0.769581826286299
387.0.	9.648664338742665e-05	5.411527014272674e-06	9.658804975206228e-11	0	3.865014238196009e-07	3.7888590874787486e-18	8.085076450793575e-06	9.72253433610034e-07	0.077772080126599	1.00103280473424e-06	0.105696391355764	0.036308290196897006	6.9670989559852255e-09	0.7802073748659231
396.0.	9.696326669890207e-05	5.1489134437884984e-06	9.592561939579418e-11	0	3.897618329096165e-07	3.99600698400881e-18	7.655321891514591e-06	9.205747124340146e-07	0.073634144131833	9.892769211907296e-07	0.099586219089541	0.036434535132153	7.203776561516886e-09	0.790329990497967
405.0.	9.742376557903724e-05	4.895039041635132e-06	9.514947743205372e-11	0	3.927996750118392e-07	4.207897562668442e-18	7.244945740797064e-06	8.712262375121198e-07	0.06967258995285401	9.766308978326296e-07	0.093802206548973	0.036544890436772004	7.4412235323199015e-09	0.7999659248834341
414.0.	9.786801204681728e-05	4.650036130019833e-06	9.42673822951718e-11	0	3.956195378651743e-07	4.4243824851580376e-18	6.853367978221722e-06	8.241382642779779e-07	0.06588493033091	9.63181583167812e-07	0.088329530328072	0.036640107845646	7.679338932285295e-09	0.809131737378271
423.0.	9.829595546034505e-05	4.413981923193065e-06	9.32870692931861e-11	0	3.9822638944822645e-07	4.645308802746246e-18	6.480005822944664e-06	7.792407161703023e-07	0.062268049735695004	9.490123789441177e-07	0.08315381856564401	0.036720916935794004	7.918026644883892e-09	0.8178441862843211
432.0.	9.870761696029355e-05	4.186903477325038e-06	9.221620492196426e-11	0	4.006255393753614e-07	4.8705196406539026e-18	6.124274383504661e-06	7.364632627316336e-07	0.058818301947744005	9.342030935604206e-07	0.078261152854582	0.036788024901947006	8.157195228234522e-09	0.8261201295765581
441.0.	9.910308372838698e-05	3.96878251419647e-06	9.106234523555503e-11	0	4.0282259847794523e-07	5.099854877992556e-18	5.785587563546989e-06	6.957354284881096e-07	0.055531598986038	9.188298366252152e-07	0.073638069542848	0.036842116374674	8.396757768845181e-09	0.8339764348506771
450.0.	9.948250314399909e-05	3.7595600942478857e-06	8.983289842076002e-11	0	4.048234373843882e-07	5.333151817322384e-18	5.463359163631688e-06	6.569867254151009e-07	0.052403491809762004	9.029649508740155e-07	0.06927156025101501	0.036883853289465	8.636631734332535e-09	0.8414298982289201
459.0.	9.984607691710375e-05	3.5591411158229223e-06	8.853509164801665e-11	0	4.066341448414648e-07	5.570245838378441e-18	5.157004124261115e-06	6.201468023907198e-07	0.049429243225717005	8.866769777400913e-07	0.06514907147578901	0.036913874812897006	8.87673882547261e-09	0.848497171917156
468.0.	0.00010019405526900001	3.367398619640495e-06	8.717594219949857e-11	0	4.0826098644003225e-07	5.8109710310652936e-18	4.865939860607722e-06	5.851456056820376e-07	0.04660389343599201	8.700306529823847e-07	0.061258503189475004	0.036932797329909006	9.11700482796819e-09	0.8551947000647161
477.0.	0.000100526731228	3.1841778803869723e-06	8.576223281053817e-11	0	4.097103643235953e-07	6.055160803417232e-18	4.589587644999505e-06	5.519135451793593e-07	0.04392231866281	8.530869289079088e-07	0.057588206381652005	0.036941214494336	9.357359464338521e-09	0.8615386625417151
486.0.	0.00010084443508900001	3.0093002706103568e-06	8.430049110336467e-11	0	4.109887783715946e-07	6.302648460845698e-18	4.3273739988879575e-06	5.203816617753933e-07	0.04137928328813	8.359030198807529e-07	0.05412697952124201	0.036939697343215006	9.597736246345381e-09	0.8675449262176451
495.0.	0.000101147529097	2.8425668856168837e-06	8.279697294334837e-11	0	4.1210278926275623e-07	6.5532677536290425e-18	4.078732061639017e-06	4.904817919614139e-07	0.038969485943976	8.185324679826692e-07	0.05086406394468	0.036928794473964	9.838072328368473e-09	0.8732290033005121
504.0.	0.000101436402378	2.683761921651758e-06	8.125764950793827e-11	0	4.130589837402601e-07	6.806853390227016e-18	3.843102908940827e-06	4.6214672636829324e-07	0.036687599985241	8.010252258774912e-07	0.047789138199123005	0.036909032282346	1.0078308362132772e-08	0.8786060162779561
513.0.	0.00010171146616200001	2.5326558031441457e-06	7.968819782715732e-11	0	4.138639423211994e-07	7.063241514609861e-18	3.619936798806739e-06	4.3531035960374325e-07	0.034528308769723	7.834277541295466e-07	0.044892311388727006	0.036880915258164004	1.0318388353174111e-08	0.8836906689906501
522.0.	0.000101973149319	2.389008058102835e-06	7.809399453160019e-11	0	4.1452420961944224e-07	7.322270146368553e-18	3.408694327990274e-06	4.099078293189389e-07	0.032486336160454	7.657831304310635e-07	0.042164115587218005	0.036844926334873004	1.0558259519406401e-08	0.8884972233635451
531.0.	0.00010222189420400001	2.252569943779954e-06	7.648011252882615e-11	0	4.150462673845273e-07	7.58377958291e-18	3.2088474860616252e-06	3.85875642970788e-07	0.030556472653102	7.481311684018131e-07	0.039595497391552006	0.036801527288722005	1.079787215212753e-08	0.893039481321761
540.0.	0.00010245815285700001	2.12308682741911e-06	7.485132032112705e-11	0	4.1543651030028426e-07	7.847612763532281e-18	3.0198805983833678e-06	3.631517912257204e-07	0.028733597516702004	7.305085438326049e-07	0.037177808699811	0.036751159182625004	1.103717947977066e-08	0.8973307714245581
549.0.	0.00010268238351900001	2.0003003292357762e-06	7.321208367603713e-11	0	4.157012245356508e-07	8.113615595616418e-18	2.841291152744415e-06	3.4167584737435976e-07	0.027012697319414	7.129489264498488e-07	0.034902796801853	0.036694242849724	1.127613753467569e-08	0.9013839397621761
558.0.	0.00010289504749200001	1.88395023672958e-06	7.156656936479352e-11	0	4.1584656899687233e-07	8.381637243559825e-18	2.6725905074635096e-06	3.213890524935263e-07	0.025388881192876002	6.954831154787277e-07	0.032762593874119006	0.036631179411489	1.151470502312242e-08	0.905211344675761
567.0.	0.000103096606323	1.773776200998832e-06	6.991865069229449e-11	0	4.158785591944454e-07	8.651530381412109e-18	2.513304481362612e-06	3.0223438640339897e-07	0.023857393169391002	6.781391774754263e-07	0.030749705970616003	0.036562350825176004	1.175284319883338e-08	0.908824854879247
576.0.	0.000103287519299	1.6695192269338199e-06	6.827191455410275e-11	0	4.1580305360960343e-07	8.923151410457058e-18	2.362973828158535e-06	2.841566247260164e-07	0.022413621905877	6.609425850827246e-07	0.028857001600981	0.036488120455592	1.1990515740120631e-08	0.912235850583442
585.0.	0.000103468241251	1.570922970029009e-06	6.662966977084689e-11	0	4.156257424232308e-07	9.196360643216817e-18	2.221154599555094e-06	2.671023825598279e-07	0.021053108087841003	6.439163555366927e-07	0.027077699983785	0.036408833666249	1.222768863081883e-08	0.9154552272457551
594.0.	0.000103639220637	1.477734853106125e-06	6.499495646721421e-11	0	4.153521384541345e-07	9.471022455538801e-18	2.087418402671589e-06	2.5102014544783487e-07	0.019771549785652	6.270811879144001e-07	0.025405359059421	0.036324818425237	1.246433004511527e-08	0.918493401593635
603.0.	0.00010380089789800001	1.38970701651418e-06	6.337055628092763e-11	0	4.149875701430609e-07	9.747005408565507e-18	1.961352558455031e-06	2.3586028843852498e-07	0.018564806014567	6.10455598262775e-07	0.023833863342078	0.036236385921430005	1.270041023635819e-08	0.9213603195951111
612.0.	0.00010395370406100001	1.3065971154053291e-06	6.175900320604817e-11	0	4.145371764129022e-07	1.0024182342486642e-17	1.842560168432045e-06	2.2157508412404507e-07	0.017428898729483	5.940560518868244e-07	0.022357411684879	0.036143831186926004	1.2935901429897221e-08	0.924065466075453
621.0.	0.00010409805957300001	1.2281689775131279e-06	6.016259489413339e-11	0	4.140059032335593e-07	1.0302430444035201e-17	1.730660097601794e-06	2.0811870059364999e-07	0.016360013465470002	5.778970922012399e-07	0.020970505026354003	0.036047433721973006	1.3170777719984051e-08	0.9266178757044901
630.0.	0.00010423437335100001	1.1541931345184619e-06	5.858340425579075e-11	0	4.133985017212902e-07	1.05816312897192e-17	1.625286881492416e-06	1.954471902670785e-07	0.015354498815935001	5.619914656631967e-07	0.019667934180236	0.035947458118968004	1.3405014970738221e-08	0.9290261451040881
639.0.	0.000104363042018	1.0844472396111051e-06	5.702329122364473e-11	0	4.1271952760635625e-07	1.0861670866782401e-17	1.52609056543684e-06	1.835184705765484e-07	0.014408864921989001	5.463502424062171e-07	0.018444767724365003	0.035844154682458	1.3638590721161862e-08	0.931298445849528
648.0.	0.00010448444932000001	1.018716383272934e-06	5.54839145554262e-11	0	4.1197334190892564e-07	1.1142439573865151e-17	1.432736484004125e-06	1.722922974516798e-07	0.013519781129200001	5.309829322858281e-07	0.017296340038199	0.035737760042428006	1.387148409416827e-08	0.933442538161763
657.0.	0.000104598965691	9.567933186498723e-07	5.396674357259906e-11	0	4.111641126709507e-07	1.142383220329349e-17	1.344904988280418e-06	1.617302325325702e-07	0.012684072951654001	5.158975961279664e-07	0.016218239532428	0.035628497758478005	1.4103675709572822e-08	0.935465785109547
666.0.	0.000104706947968	8.984786071682667e-07	5.247306974551507e-11	0	4.102958176006162e-07	1.1705747906865381e-17	1.2622911283574049e-06	1.5179560499581938e-07	0.011898718467994	5.011009520413548e-07	0.015206297108268001	0.035516578912814005	1.433514760097977e-08	0.9373751671611921
675.0.	0.000104808739214	8.435806943089355e-07	5.1004018050459805e-11	0	4.093722474956778e-07	1.1988090146930543e-17	1.184604297980124e-06	1.424534688294987e-07	0.011160844260005002	4.865984767160774e-07	0.014256574878511001	0.035402202690306	1.4565883136486581e-08	0.9391772969451051
684.0.	0.00010490466866600001	7.919159246963885e-07	4.95605580370676e-11	0	4.0839701032212635e-07	1.2270766634476872e-17	1.111567847851513e-06	1.3367055633840082e-07	0.010467720991282	4.723945016830738e-07	0.013365355177143	0.035285556944104006	1.4795866943116329e-08	0.9408784340962021
693.0.	0.000104995051758	7.433085049068267e-07	4.8143514556444644e-11	0	4.073735358349593e-07	1.2553689255846441e-17	1.0429186736060708e-06	1.254152286026055e-07	0.009816758711569	4.5849230455396994e-07	0.012529129879505002	0.035166818745616	1.502508483488032e-08	0.942484500081834
702.0.	0.00010508019024400001	6.975904216582998e-07	4.675357811095491e-11	0	4.0630508063809293e-07	1.2836773989607851e-17	9.784067839645236e-07	1.1765742355220218e-07	0.009205501961459	4.448941952983053e-07	0.011744590050480001	0.035046154917856	1.5253523744365853e-08	0.9440010929160221
711.0.	0.000105160372369	6.546013223296408e-07	4.5391314796052314e-11	0	4.0519473359053984e-07	1.311994081501315e-17	9.177948540779702e-07	1.103686022604881e-07	0.008631624742269	4.316015976465115e-07	0.011008615934127	0.034923722551422	1.548117165773812e-08	0.9454335016845081
720.0.	0.00010523587311800001	6.141883640683895e-07	4.40571758128237e-11	0	4.0404542147564403e-07	1.340311361336701e-17	8.608577685731755e-07	1.035216939982101e-07	0.008092925406929	4.186151257326079e-07	0.010318267294470001	0.034799669502538	1.570801755304172e-08	0.9467867208156131
729.0.	0.000105306954499	5.762060370975223e-07	4.275150653713311e-11	0	4.028599148594573e-07	1.3686220063535842e-17	8.073821583286364e-07	9.709104053346178e-08	0.007587321519722001	4.059346561111581e-07	0.009670774113833	0.03467413487279	1.593405134168334e-08	0.948065464043044
738.0.	0.000105373865868	5.405159672195577e-07	4.147455513747994e-11	0	4.0164083407300746e-07	1.3969191532725742e-17	7.571659345492285e-07	9.105234010630641e-08	0.007112844725494001	3.935593952991689e-07	0.009063527652183	0.034547249470345	1.615926381297599e-08	0.949274178016768
747.0.	0.00010543684429300001	5.069867019470146e-07	4.0226480739008404e-11	0	4.003906552613839e-07	1.4251962963561722e-17	7.100178232702352e-07	8.53825914546466e-08	0.006667635662529	3.81487943005861e-07	0.00849407186833	0.034419136252571	1.638364658162388e-08	0.9504170555269821
756.0.	0.00010549611493200001	4.754934841610001e-07	3.9007361135596175e-11	0	3.991117164500901e-07	1.453447275840733e-17	6.657569030119937e-07	8.006003821861045e-08	0.006249938947631001	3.697183512221137e-07	0.007960095201554001	0.034289910750109	1.660719203802703e-08	0.9514980483140111
765.0.	0.000105551891437	4.459180167149666e-07	3.781720005569548e-11	0	3.978062235860332e-07	1.4816662661774602e-17	6.242121479261337e-07	7.506411400499387e-08	0.005858098256868001	3.582481793473458e-07	0.007459422710295	0.034159681472556006	1.6829893301285323e-08	0.9525208794438881
774.0.	0.00010560437636700001	4.1814822095770275e-07	3.665593399068059e-11	0	3.96476256516837e-07	1.509847764158887e-17	5.852219784242695e-07	7.037538835119541e-08	0.0054905515210470004	3.470745455350584e-07	0.006990008562829	0.034028550295988	1.705174417478314e-08	0.9534890552353451
783.0.	0.000105653761612	3.920779917470598e-07	3.552343859694214e-11	0	3.951237748779001e-07	1.5379865769992514e-17	5.486338209600283e-07	6.597551378960066e-08	0.0051458262511160004	3.3619417443961184e-07	0.0065499288734590004	0.033896612832664	1.727273910423751e-08	0.9544058767292221
792.0.	0.00010570022881600001	3.676069511619917e-07	3.4419534684934225e-11	0	3.937506238617582e-07	1.566077810429571e-17	5.143036783450497e-07	6.184717417846733e-08	0.004822535005277	3.256034415463862e-07	0.006137374876548	0.033763958783284004	1.749287313809479e-08	0.955274450695729
801.0.	0.00010574394980900001	3.4464020279319997e-07	3.334399380989057e-11	0	3.92358539848931e-07	1.594116856861167e-17	4.820957117180439e-07	5.797403443390984e-08	0.004519371006689	3.1529841426555795e-07	0.005750646429775	0.03363067227224	1.771214189016401e-08	0.956097700178907
810.0.	0.000105785087032	3.2308808819974764e-07	3.229654348004169e-11	0	3.909491558835317e-07	1.6220993836647312e-17	4.518818350519593e-07	5.4340691769434433e-08	0.004235103918127	3.052748899666162e-07	0.005388145837191	0.033496832166342	1.7930541504377643e-08	0.9568783745808401
819.0.	0.000105823793952	3.028659468580566e-07	3.127687199893945e-11	0	3.895240069805411e-07	1.6500213216059902e-17	4.2354132287616355e-07	5.0932628524447415e-08	0.003968575777741	2.955284311266268e-07	0.00504837198207	0.033362512377537006	1.8148068621573962e-08	0.957619059290969
828.0.	0.00010586021548400001	2.838938806983578e-07	3.0284632958981655e-11	0	3.8808453525483807e-07	1.6778788534733012e-17	3.969604317067607e-07	4.773616664105323e-08	0.0037186970982730004	2.8605439776038414e-07	0.004729914759089	0.03322778215014	1.8364720348198462e-08	0.9583221848680801
837.0.	0.000105894488388	2.6609652411950303e-07	2.931944940346946e-11	0	3.8663209486486054e-07	1.7056684029273995e-17	3.720320355168873e-07	4.473842382906594e-08	0.0034844431304660002	2.768479772951033e-07	0.004431449795046	0.033092706333160006	1.858049422682555e-08	0.9589900357844571
846.0.	0.00010592674167100001	2.494028201936982e-07	2.838091767456549e-11	0	3.851679567661826e-07	1.7333866235987353e-17	3.4865527543835873e-07	4.192727144226245e-08	0.0032648502901270002	2.679042120463733e-07	0.004151733447144	0.032957345638264	1.8795388208405242e-08	0.9596247587431591
855.0.	0.00010595709696600001	2.337458036159881e-07	2.7468610964386097e-11	0	3.8369331327237447e-07	1.7610303884535854e-17	3.2673522376456387e-07	3.929129407429709e-08	0.0030590127471800004	2.592180244458408e-07	0.003889598067735	0.032821756883958005	1.900940062614316e-08	0.9602283705805981
864.0.	0.000105985668909	2.1906239081697028e-07	2.6582082586188226e-11	0	3.822092824222969e-07	1.788596779446162e-17	3.061825622203353e-07	3.681975087016943e-08	0.00286607917415	2.507842401646342e-07	0.0036439475244400004	0.032685993226571	1.922253017092633e-08	0.9608027657675001
873.0.	0.000106012565493	2.052931775392722e-07	2.572086898222595e-11	0	3.807169121544799e-07	1.816083077470462e-17	2.869132743759641e-07	3.450253853848589e-08	0.0026852496507910003	2.4259760926995747e-07	0.0034137529646050004	0.032550104378591	1.9434775868210352e-08	0.9613497235220041
