time	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
0.0.	0.00015000000000000001	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
9.0.	7.881766245012447e-05	2.442915786232873e-06	4.817127580054689e-13	0	1.850203307244637e-08	1.109554585273485e-22	5.9512401142118135e-05	7.1565444078091255e-06	0.043000844783528	6.1462509036990754e-09	0.9524160224432051	0.002133058035911	6.998506656335135e-12	0.002380938220255
18.0.	7.834558399610296e-05	4.4820308906956085e-06	1.804628035976878e-12	0	3.580278152839635e-08	8.606850024344775e-22	5.636259520421032e-05	6.7777528790989805e-06	0.079348082712709	2.309694862255959e-08	0.907444823356482	0.0041470872840910005	2.749424832529128e-11	0.008992325338713001
27.0.	7.800924698181097e-05	6.183841476356304e-06	3.80419875292187e-12	0	5.202445270575685e-08	2.816294239261809e-21	5.3483895898987554e-05	6.431570730409964e-06	0.10993913928619001	4.885165659975345e-08	0.8648112965643291	0.006049451406492001	6.072661570127143e-11	0.019133912494243
36.0.	7.779009683136978e-05	7.6029314961822955e-06	6.347111887774672e-12	0	6.732744999065399e-08	6.478181729632932e-21	5.083649773566784e-05	6.113204340410097e-06	0.13554335675624302	8.16968921911336e-08	0.8243209796403971	0.007849288557354001	1.0599952144147451e-10	0.032221673275743004
45.0.	7.767308714099242e-05	8.782894654512483e-06	9.323924812783103e-12	0	8.184037105972384e-08	1.2291134719545e-20	4.838836619152454e-05	5.818802688163898e-06	0.156811378809703	1.201593406199582e-07	0.785807148396877	0.00955443258145	1.6267194355428192e-10	0.047763847976726004
54.0.	7.764583850000514e-05	9.759055207062845e-06	1.2643735386368339e-11	0	9.566738566870406e-08	2.065308562086491e-20	4.6113359381823214e-05	5.545221655159764e-06	0.17429816578651	1.629686873679226e-07	0.749125568568181	0.011171660106432	2.301502784589554e-10	0.065342929023764
63.0.	7.76980240451901e-05	1.056035600219704e-05	1.6230254384393428e-11	0	1.088935712468013e-07	3.192210909526004e-20	4.398992845763879e-05	5.289869547066735e-06	0.18848062149980302	2.090276841997361e-07	0.7141504464103341	0.012706881210901001	3.078821078306851e-10	0.08460189247958501
72.0.	7.782091579620784e-05	1.1210760272704551e-05	2.001886204832532e-11	0	1.215888594636233e-07	4.642206692505881e-20	4.200014535349424e-05	5.050590167542807e-06	0.19977128505037903	2.5738775246603885e-07	0.680771258812782	0.014165288713557002	3.9535106490461364e-10	0.10523352653550401
81.0.	7.800704412621444e-05	1.1730298871685641e-05	2.395437242135813e-11	0	1.338110106060613e-07	6.444719563295614e-20	4.012897223744052e-05	4.825574941794389e-06	0.208529102693253	3.0722888189304076e-07	0.648890239006331	0.015551476616045001	4.920725670671797e-10	0.12697205528239902
