time	ASL_b	ASL_c	ASL_m	ASLoOH_b	ASLoOH_c	ASLoOH_m	ASLpOH_b	ASLpOH_c	ASLpOH_m	AS_b	AS_c	AS_m	ASoOH_b	ASoOH_c	ASoOH_m	ASpOH_b	ASpOH_c	ASpOH_m
72.0.	2615.106687806418	737.5971712491979	56.12096497510515	877.2881244507934	247.44192947019698	11.729369333024568	1308.8911286017774	369.17653014490463	6.758941651489228	171620.59863104657	48405.8401695147	6413.005336083734	27705.464367450197	7814.449212293909	256.5339852487298	17308.043142560455	4881.847459860019	67.93001637226403
78.0.	2649.620099569154	747.3311925048433	57.10253569961504	898.5209081485137	253.43061148072593	12.59762029580742	1335.178923422682	376.5909382490527	7.213280259267081	171750.04084732477	48442.31090077529	6339.62642700376	28745.61322903524	8107.812835031959	294.58489031938814	18446.879368003694	5203.052775030625	79.19492976021473
84.0.	2677.9232787921114	755.313695554557	57.91141660027684	919.0774987154432	259.22857031836116	13.433493673569592	1360.2548604411427	383.6635462751793	7.6409872157253425	171446.560530025	48356.68426667014	6270.427345346718	29645.768022747372	8361.692383287738	333.9133626706515	19525.095767842027	5507.160495886339	91.07459178646796
90.0.	2701.0180093702024	761.8272205534676	58.5756071805596	938.9402204221464	264.8308218066675	14.238396185681703	1384.1840026374439	390.4127038469231	8.043919395529265	170810.97665012168	48177.39429755128	6204.483226093134	30423.215964041225	8580.96358468691	374.3401325342444	20546.555509976424	5795.2602277894775	103.52210620089822
96.0.	2719.7395678639	767.1073464381107	59.118473165909165	958.1069283197828	270.23676208043474	15.013588458370052	1407.0207460714785	396.8537530940563	8.423782832348909	169920.70088725977	47926.27345672689	6141.081609851797	31093.337222516224	8769.96429117091	415.7082219340753	21515.011402429966	6068.410444288941	116.49370781980608
102.0.	2734.7845389052613	771.3505358913566	59.55950640167088	976.5881958347321	275.4493742565283	15.760228628375252	1428.8184607645073	403.00174721028435	8.782144699688608	168835.2129763448	47620.09685328328	6079.673331059798	31669.737219534607	8932.531796037625	457.88042540584604	22434.06049638982	6327.62568490953	129.9486328621061
108.0.	2746.7339043057414	774.7206473183144	59.914965288461595	994.4040760656694	280.4743149588166	16.479405325245423	1449.6329732069628	408.87243236562983	9.120449538467943	167600.24464777968	47271.76223982578	6019.834845218845	32164.398442305108	9072.04565415848	500.7369883424977	23307.11961303315	6573.869653745074	143.84896823405623
114.0.	2756.0722192251515	777.3543432310157	60.198410626983026	1011.5811729144494	285.319088263882	17.172161002407282	1469.5230514108152	414.48238436118345	9.440035300976009	166250.98054329303	46891.19276785112	5961.239310397706	32587.837267007668	9191.47191414379	544.1734982764158	24137.413968624278	6808.052011959531	158.159491197241
120.0.	2763.2035533967282	779.365586261306	60.421152460210266	1028.1502412796299	289.9923688758722	17.839507442460423	1488.5495775687702	419.84877521556643	9.742147378805019	164814.50929907654	46486.02826770732	5903.634374793854	32949.25736671078	9293.406386752311	588.0989892678917	24927.97405499355	7031.027498431379	172.84750652622128
126.0.	2768.464757925517	780.8493808880513	60.59262224507012	1044.144324076117	294.503476710379	18.482435304985085	1506.7742805463645	424.98901564913683	10.027950095758682	163311.701807203	46062.15497551031	5846.825105326573	33256.69496462995	9380.115613000327	632.4342509065402	25681.637723837684	7243.5965179532495	187.8826855727254
132.0.	2772.136518993547	781.8848909912866	60.7206828082695	1059.5973580021112	298.86198368259676	19.101919336951553	1524.258456342817	429.9203941970045	10.298535767275274	161758.6513867507	45624.11170531929	5790.660860023551	33517.153459350055	9453.57483448946	677.1103287174849	26401.055520112743	7446.50664572006	203.23690995436405
138.0.	2774.4525775433103	782.5380401450699	60.81188661533488	1074.543161837258	303.0774283821578	19.698920548557783	1541.0618657122802	434.6597662992098	10.554931682436893	160167.77861721898	45175.401445894495	5735.02518748979	33736.726352236954	9515.50266430753	722.0672004830144	27088.697994104517	7640.454689825643	218.8841214969175
144.0.	2775.607426501181	782.8636825206279	60.871691131857204	1089.0147255790514	307.15911559380794	20.27438635807887	1557.2418730026661	439.2233114286104	10.798105432709734	158548.67931191836	44718.73051511433	5679.828051036552	33920.70827414118	9567.392401327821	767.2526122134799	27746.864156563788	7826.089076109389	234.80017935268665
150.0.	2775.7627419890346	782.9074167274632	60.9046385489453	1103.0437306488434	311.1159809866126	20.829249456294875	1572.852827840412	443.62635871247835	11.028968990754663	156908.7756341178	44256.19219465498	5624.999838923655	34073.69443498824	9610.54007920821	812.6210576454192	28377.690522434794	8004.012398981154	250.9627247547165
156.0.	2775.0527600617233	782.707102253722	60.91450588164257	1116.6602444290604	314.9565049695418	21.364425938173113	1587.9456629542872	447.883273513734	11.248381884974192	155253.81627119213	43789.40779442322	5570.486747599213	34199.66912751345	9646.069428155282	858.1328858384169	28983.160373512954	8174.784033971937	267.3510535621691
162.0.	2773.5887738877245	782.2941278388803	60.90443040436821	1129.8925441974404	318.6886630405469	21.88081309163296	1602.567671205577	452.00739455455283	11.45715374772493	153588.26082474022	43319.635062359324	5516.247220892034	34302.08408230041	9674.95397430185	903.7535224453133	29565.11299369926	8338.922742539804	283.9459965517396
168.0.	2771.4628963698583	781.694472673201	60.87701452887569	1142.7670354465263	322.3199027547129	22.379287112856584	1616.7624238905887	456.01101088313584	11.656046450311356	151915.57535164303	42847.851536090304	5462.249201736259	34383.92754530232	9698.036522418353	949.4527913878305	30125.25271393775	8496.909223186442	300.72980727916774
174.0.	2768.751208683808	780.9295944031154	60.834413526036585	1155.3082376252241	325.85713970705035	22.86070092727408	1630.56979571974	459.9053689262235	11.845775981533974	150238.45970017847	42374.818658703894	5408.468009456743	34447.784963981896	9716.046271893263	995.2043248813342	30665.157660992973	8649.188579034788	317.68605725106784
180.0.	2765.5163950533292	780.0171722361727	60.77840891494352	1167.5388167452322	329.30676673218596	23.325882228564733	1644.0260669192353	463.70070129203066	12.027014180347507	148559.0224696069	41901.131122737585	5354.884698941745	34495.89214596494	9729.613809642522	1040.985050954585	31186.288143625716	8796.172683130473	334.79953809556457
186.0.	2761.809947449756	778.9717287485691	60.71046986782402	1179.4796493374527	332.6746719453083	23.775631799444568	1657.164078272949	467.4062705033434	12.200390396818849	146878.91573335478	41427.254866270196	5301.484791253062	34530.18170933448	9739.284210979602	1086.7747487635625	31689.994637106338	8938.242430451532	352.0561703905518
192.0.	2757.6740101382443	777.80515011599	60.631804587774766	1191.1499061811314	335.9662623592599	24.21072214338142	1670.0134199511422	471.03042225891744	12.366493127930099	145199.43883998998	40953.556348001744	5248.2572907260455	34552.32358627093	9745.528463281442	1132.5556630797453	32177.525346098584	9075.749870996066	369.4429187939695
198.0.	2753.1429225653933	776.5271212654399	60.5434032927586	1202.567147282957	339.18649067412537	24.63189643231849	1682.6006393723912	474.5806440622156	12.525871654428617	143521.61844023783	40480.32511734733	5195.193923194451	34563.76027827924	9748.75340938488	1178.312170330535	32650.033339261117	9209.020222072191	386.9477131166036
204.0.	2748.2445095710154	775.1454897630325	60.446074171115164	1213.747421936491	342.3398834993305	25.03986775935688	1694.9494570337363	478.0636260968514	12.679037690466098	141846.27022772038	40007.79122723856	5142.28854501737	34565.73749612241	9749.310389280776	1224.030489478048	33108.58325815634	9338.353760521324	404.55937498127565
210.0.	2743.001159971293	773.6665700145985	60.34047345095316	1224.7053694915323	345.4305697756913	25.435318675095484	1707.0809822449446	481.4853220744574	12.82646704790884	140174.04660763964	39536.1386781723	5089.536684144693	34559.330753644375	9747.502740639427	1269.6984318423295	33554.15760940487	9464.027597396198	422.2675497205901
216.0.	2737.4307279280683	772.0953974853629	60.227130540125245	1235.4543178266174	348.4623085494411	25.818900980369655	1719.0139230868344	484.8510084530755	12.968601310845624	138505.47353079243	39065.51580654884	5036.935183343607	34545.46842369067	9743.592301503862	1315.3051847092154	33987.6626533033	9586.29733882208	440.06264317700317
222.0.	2731.54728596696	770.4359410790508	60.10646903850617	1246.0063775407582	351.43851553873793	26.191235745254264	1730.7647867695655	488.16534094760783	13.105849512066605	136840.97898080305	38596.043318959964	4984.4819225428255	34524.95170736669	9737.805042419097	1360.8411242165346	34409.93390491248	9705.398637556053	457.9357630827003
228.0.	2725.3617538541794	768.6912805045155	59.97882429471061	1256.3725306383747	354.3622881469009	26.55291352347947	1742.3480679841605	491.4324076535997	13.238589801414484	135180.91502724562	38127.820511858816	4932.175602509765	34498.47191544392	9730.335940478713	1406.297653591056	34821.74126534042	9821.548640243705	475.87866471177335
234.0.	2718.8824236391542	766.8637543572551	59.844458070890035	1266.562713034464	357.236428732599	26.904494732152926	1753.776423902074	494.6557784050145	13.367171095354175	133525.57491574134	37660.93009150329	4880.015576123967	34466.625413029215	9721.353194317524	1451.66706331895	35223.793801883156	9934.947335637222	493.8837005128737
240.0.	2712.1153978945945	764.9550837193752	59.70357078831182	1276.5858906032165	360.0634660589514	27.246510168374314	1765.060835255762	497.8385502061197	13.491914697437199	131875.20632702182	37195.44191342862	4828.001716628251	34429.926535615305	9711.001866952236	1496.9424102810565	35616.74419606884	10045.778809146655	511.94377344644874
246.0.	2705.0649554355414	762.9664753059326	59.5563117501476	1286.4501287701114	362.8456749215674	27.5794616365858	1776.2107534892775	500.9833887344179	13.61311588022775	130230.02167646553	36731.41588724171	4776.1343146422105	34388.818746151104	9699.40703251931	1542.1174132772298	36001.192878628375	10154.212409089883	530.0522937665257
252.0.	2697.7338564896622	760.8987075342786	59.40278767388574	1296.1626558346738	365.585094008331	27.90382266305235	1787.2342343525488	504.0925660200462	13.731045420470842	128590.20612545616	36268.90423607759	4724.413997576061	34343.68426853878	9686.676493304172	1587.1863627075102	36377.69187011021	10260.40382992062	548.2031390025925
258.0.	2690.123597351771	758.7522023460843	59.24306981204528	1305.7299203315051	368.2835420776999	28.220039276515834	1798.1380585672484	507.16799447875434	13.845951080648078	126955.9238220367	35807.95325666237	4672.841666513181	34294.852402660435	9672.903124909157	1632.1440424773903	36746.74834534987	10364.496117570667	566.3906169122515
264.0.	2682.23462292737	756.5270851525124	59.077199894752326	1315.15764280875	370.9426325624669	28.528530836683043	1808.9278403487842	510.21125751975416	13.958059031464803	125327.32276999991	35348.60469255189	4621.418446734412	34242.60669932161	9658.166899872585	1676.9856624551753	37108.827939362054	10466.620601861427	584.6094311899172
270.0.	2674.066504203207	754.2232348875116	58.90519508986272	1324.450862439492	373.56378671617585	28.829690894704996	1819.6081246537917	513.22363697365	14.067575211163959	123704.5386344999	34890.89680743634	4570.145648911099	34187.191150027815	9642.536633431484	1721.7068000360223	37464.3578114901	10566.897760732885	602.8546497308032
276.0.	2665.6180865359393	751.8403258307413	58.72705214451918	1333.6139788931046	376.1482454226356	29.123888072128732	1830.18247405559	516.2061375949967	14.174686618816779	122087.697722176	34434.86522563099	4519.024738654498	34128.81552595117	9626.071489322057	1766.3033495638786	37813.72948386086	10665.43802081639	621.121675262763
282.0.	2656.887613687951	749.3778625903072	58.542750845349396	1342.650789888109	378.69707978742855	29.411466946924268	1840.653546146835	519.1595088931093	14.279562539869984	120476.91931978671	33980.5435916468	4468.057312620737	34067.65998248115	9608.822278445796	1810.7714785329824	38157.30146937715	10762.342498647353	639.4062181711896
288.0.	2647.872831732866	746.8352094080062	58.35225691212827	1351.5645248314631	381.2112006256251	29.692748937097384	1851.023162340781	522.0842645369054	14.38235570321937	118872.31753373436	33527.96408899628	4417.245079767094	34003.879030092845	9590.832578811818	1855.107589638182	38495.40170365533	10857.703686581563	657.7042713541455
294.0.	2638.571076277373	744.2116147591694	58.155524420958336	1360.357874925736	383.69136695328706	29.968033174092554	1861.2923688988803	524.9806995672411	14.48320336992879	117274.00274076342	33077.15784933792	4366.589846663047	33937.60495863901	9572.139701323162	1899.3082878710009	38828.329794495665	10951.606087247388	676.0120869561679
300.0.	2628.9793458800336	741.506232059549	57.952497837291425	1369.0330200983622	386.13819358266346	30.237597359677476	1871.4614909594106	527.8489056352338	14.582228354424679	115682.0827353383	32628.15527607471	4316.093505998606	33868.95079033231	9552.775522634904	1943.3703519687456	39156.3591016688	11044.126800139411	694.3261548398164
306.0.	2619.094364073936	738.7181371580768	57.7431137259373	1377.59165307837	388.5521579128508	30.501698601295384	1881.530180284082	530.6887844687898	14.679539979579536	114096.66364006638	32180.986301123627	4265.758027618358	33798.012826414066	9532.767203415862	1987.2907096193019	39479.73865901997	11135.33606373848	712.6431826639952
312.0.	2608.912632003804	735.846343182564	57.52730219417261	1386.0350009171536	390.93360599956475	30.760574221987312	1891.4974573805362	533.5000597528912	14.77523496756357	112517.85063073163	31735.680589399588	4215.585451554413	33724.87284360587	9512.137807835114	2031.0664159065727	39798.69495013866	11225.297756330556	730.9600774474325
318.0.	2598.4304733568765	732.8898132119668	57.304988114832724	1394.3638442220083	393.28275797981433	31.01444254194261	1901.3617486005278	536.2822875928156	14.869398268705707	110945.74851605069	31292.26770232632	4165.5778826443675	33649.59998873804	9490.906837922463	2074.6946345525575	40113.43354811963	11314.06985849317	749.2739285044388
324.0.	2587.6440729901065	729.8474711707931	57.07609216854946	1402.57853434496	395.59971291988256	31.263503629547884	1911.1209187579866	539.0348657137695	14.962103830875735	109380.4622033876	30850.77722918381	4115.737486408428	33572.252413287904	9469.090694573144	2118.1726215733415	40424.14062925197	11401.704880023835	767.5819916482593
330.0.	2576.5495104251263	726.7182112760383	56.84053173784757	1410.6790087452468	397.8844531481976	31.507940020490643	1920.7722997589817	541.7570415357136	15.05341531209153	107822.09707477874	30411.2388931605	4066.0664859288718	33492.878683805924	9446.703075344041	2161.497711019088	40730.98436981943	11488.250253900576	785.8816745649472
336.0.	2565.142789189615	723.5009063126639	56.598221680424274	1418.6648047218498	400.1368481284912	31.747917404048355	1930.3127156874832	544.4479192485715	15.143386739181166	106270.75929227436	29973.682637470312	4016.567159528854	33411.51899923886	9423.755317787232	2204.6673025137356	41034.116234576904	11573.748699690193	804.1705232678285
342.0.	2553.4198628228355	720.1944149682602	56.349075004438824	1426.5350716927755	402.3566579230781	31.983585276172416	1939.7385047468913	547.1064660006347	15.232063115400011	104726.5560474433	29538.138695721867	3967.2418390898742	33328.20624187189	9400.256695857453	2247.678850349266	41333.67216488442	11658.23855865542	822.4462095492518
348.0.	2541.3766582290614	716.7975884197261	56.09300346488742	1434.2885821803445	404.5435362911763	32.21507755937275	1949.0455384176873	549.7315173017971	15.319480979928047	103189.59576664882	29104.637649813758	3918.0929088803987	33242.96688491403	9376.214675887324	2290.5298539233704	41629.77367393152	11741.754102657349	840.7065193525048
354.0.	2529.009096950857	713.3092763332818	55.82991809700904	1441.9237416464096	406.6970334628561	32.442513189734186	1958.229238156147	552.3217817332695	15.40566892216069	101659.98828117746	28673.210477917095	3869.122804794216	33155.82177656494	9351.635137725407	2333.2178493383904	41922.52885597043	11824.325818804482	858.9493419925233
360.0.	2516.313114841083	709.7283324128745	55.55972970006017	1449.4385973081276	408.8165986254668	32.66599667166116	1967.2845899276303	554.8758450465516	15.490648053666169	100137.84496932602	28243.88859454948	3820.3340139176184	33066.78681765475	9326.522565857684	2375.740402004606	42212.03331599427	11905.980671663654	877.1726601593843
366.0.	2503.284680534921	706.0536196101559	55.282349282622135	1456.8308460534454	410.9015821561423	32.885618601163564	1976.2061568402876	557.3921737266473	15.57443244061951	98623.27887600672	27816.703884308055	3771.7290743606495	32975.87354758504	9300.880214666264	2418.0951001125845	42498.371025846536	11986.74234472128	895.3745406435262
372.0.	2489.919813058543	702.284015090975	54.99768847879354	1464.0978415657576	412.9512376312625	33.10145615866893	1984.9880901208764	559.8691180876857	15.657029499444038	97116.40481421346	27391.68873048707	3723.310575300371	32883.089651262664	9274.71025140501	2460.2795488579736	42781.61511232828	12066.63146266487	913.5531257262949
378.0.	2476.214598857103	698.4184150381093	54.705659943109694	1471.2366007589665	414.96472364142	33.313573572485645	1993.6241386533875	562.3049149632003	15.73844035830035	95617.3394517388	26968.87603953536	3675.081157194177	32788.43939796698	9248.01387997763	2502.291365318168	43061.82858247787	12145.665795944371	931.7066251836771
384.0.	2462.1652084796865	694.4557393572567	54.40617773077114	1478.243809617446	416.9411054385464	33.52202255415183	2002.1076572831716	564.6976900482279	15.818660186964184	94126.20138577401	26548.299262096603	3627.0435121290775	32691.924021583953	9220.791448178963	2544.128173894254	43339.06499083565	12223.860448970683	949.8333088551055
390.0.	2447.7679131210816	690.3949363426594	54.099157668711364	1485.1158285298748	418.87935644028977	33.72684270699196	2010.431614073866	567.0454599460583	15.897678497531802	92643.11120742824	26129.99241120623	3579.200384279074	32593.54205034492	9193.042540694516	2585.7876022435003	43613.369053168004	12301.228033213281	967.9314997329118
396.0.	2433.0191011885545	686.2349873497926	53.78451772215244	1491.8486972015653	420.7783596155146	33.9280619092721	2018.5885966914682	569.3461339688107	15.97547941828727	91168.1915577247	25713.99007808468	3531.5545704476935	32493.28959309363	9164.766059839343	2627.2672776380805	43884.77721081312	12377.778826370926	985.9995675314558
402.0.	2417.915295035068	681.9749115150076	53.46217836055844	1498.4381392265745	422.6369087738474	34.12569667339952	2026.5708180791137	571.5975157379615	16.052041942962443	89701.56717625297	25300.327445859264	3484.108920676546	32391.16058814855	9135.960295747209	2668.5648236945926	44153.31814952185	12453.520918708004	1004.0359226981691
408.0.	2402.4531679776164	677.6137705556011	53.132062926272475	1504.8795663984674	424.45370978151533	34.31975248265527	2034.3701215772885	573.7973046284689	16.12734015751945	88243.36494334877	24889.04030146056	3436.866338903787	32287.147020005243	9106.622987489474	2709.6778574266677	44419.013276400416	12528.460347573657	1022.039010831722
414.0.	2386.6295616998846	673.1506736782926	52.79409800859538	1511.1680828370231	426.2273817252784	34.51022410698441	2041.9779856371465	575.9430970981442	16.20134344648832	86793.71391642465	24480.16504586908	3389.8297836586735	32181.239108418467	9076.751376403934	2750.603986579652	44681.8771583153	12602.601221051566	1040.0073074752931
420.0.	2370.441504121541	668.5847826193183	52.4482138256102	1517.2984890073228	427.9564580460123	34.697095899397574	2049.3855282691106	578.0323879423707	16.274016680800525	85352.74536087144	24073.738702830677	3343.0022687801898	32073.425473798387	9046.34225274331	2791.3408072121238	44941.91792489553	12675.945831624595	1057.93931325552
426.0.	2353.886227801601	663.9153168351696	52.09434461566716	1523.2652857074813	429.6393876634536	34.88034207456403	2056.5835113648973	580.0625715131315	16.345320388972517	83920.59277578375	23669.798926111995	3296.3868641490226	31963.69328233728	9015.391996606966	2831.885901494007	45199.13763905876	12748.494760679736	1075.8335493400702
432.0.	2336.9611889300418	659.1415588592497	51.73242904010056	1529.0626781016897	431.2745361137315	35.059926971199786	2063.5623450283024	582.030942940517	16.415210913414093	82497.39191462108	23268.384005327647	3249.986696423183	31852.028373838846	8983.896613994064	2872.23683569546	45453.532637798526	12820.246974625321	1093.6885531890648
438.0.	2319.664086949696	654.2628598363038	51.362410598444214	1534.6845798761685	432.8601867215729	35.235805299877605	2070.312092048433	583.9346993944257	16.48364055356243	81083.28080079932	22869.532870337353	3203.8049497682337	31738.415374843353	8951.851768709614	2912.3911583444883	45705.09384579576	12891.199913343551	1111.5028745776262
444.0.	2301.992884839172	649.278645243296	50.984238057135606	1540.1246175970437	434.3945418294644	35.40792237790951	2076.822472648432	585.7709414239727	16.550557697477693	79678.39973810373	22473.285094182556	3157.8448665735277	31622.83779931773	8919.252810763346	2952.3463985345747	45953.807064259454	12961.349571656527	1129.2750718688162
450.0.	2283.9458300767783	644.1884208023665	50.59786589244258	1545.3761353509447	435.8757241065663	35.576214352977175	2083.0828696429708	587.5366744122042	16.615906943475654	78282.89131572675	22079.68089450689	3112.1097481461215	31505.27813890391	8886.094801823625	2992.1000643665384	46199.653237257975	13030.690574443644	1147.0037085180313
456.0.	2265.521476294941	638.991778588539	50.20325474810348	1550.432199751311	437.3017779607779	35.74060841721358	2089.082334138791	589.2288101839918	16.679629213322357	76896.90040765489	21688.761133382828	3066.602955374105	31385.717944484466	8852.372538222517	3031.6496415114107	46442.60869767215	13099.21624601146	1164.687349791653
462.0.	2246.7187056241587	633.6884033319185	49.80037190793709	1555.2856053957937	438.6706710780448	35.90102301346714	2094.809591914241	590.8441688054452	16.74166185846935	75520.57416605759	21300.567315446475	3021.327909351013	31264.137900625734	8818.080571952078	3070.9925918833947	46682.645394784005	13166.918674284037	1182.3245596843572
468.0.	2227.536751715001	628.2780789111241	49.389191783445575	1559.9288808628592	439.9802961137532	36.05736803551398	2100.2530506159355	592.3794806138121	16.801938760770707	74154.06200826586	20915.141584224395	2976.28809195283	31140.51789429113	8783.213230044634	3110.1263524140186	46919.731105409686	13233.788770352034	1199.9138980209982
474.0.	2207.975223415774	622.7606950316597	48.96969641620082	1564.3542953384976	441.2284725618554	36.20954502401831	2105.4008079133127	593.8313885175595	16.86039042909064	72797.51559686918	20532.526716519318	2931.487046358785	31014.837079076267	8747.764632690067	3149.048333920391	47153.82963039117	13299.816323892366	1217.45391773043
480.0.	2188.034129072232	617.1362540797229	48.541875994563966	1568.553865966902	442.412948828199	36.357447360080265	2110.2406607547464	595.1964506071638	16.91694409318439	71451.08881240108	20152.76611470552	2886.928377506779	30887.073936099685	8711.728710409898	3187.7559200621326	47384.90097817711	13364.990054946453	1234.943162279966
486.0.	2167.7139014038485	611.4048781386332	48.10572938404134	1572.5193660219147	443.5314045353604	36.500960458251456	2114.760115872005	596.4711431180133	16.97152379621542	70114.93771803222	19775.903796769748	2842.615752473825	30757.20633258517	8675.09922058038	3226.2464663830465	47612.901537149744	13429.297662524474	1252.380163260474
492.0.	2147.015422898717	605.5668161515343	47.66126467031988	1576.2423339989482	444.5814530871108	36.639961960943104	2118.9464016829284	597.6518637876866	17.024050487255717	68789.22051563725	19401.984383919196	2798.5529007713562	30625.211579090814	8637.869763573948	3264.5172994349678	47837.78423828946	13492.725870484368	1269.7634381133273
498.0.	2125.9400516559713	599.6224512103125	47.208499713753895	1579.7140837298002	445.5606445213957	36.774321936197765	2122.7864817452455	598.7349356507464	17.074442115105885	67474.09749255498	19031.053085564312	2754.74361454467	30491.0664862741	8600.033798769873	3302.565715982517	48059.498709711654	13555.2604711186	1287.091487991596
504.0.	2104.489647590629	593.5723079467342	46.74746271378633	1582.9257156252827	446.46646868142574	36.90390308084371	2126.267069917133	599.7166113149369	17.122613724764363	66169.7309583146	18663.15568147156	2711.1917486651573	30354.747422029035	8561.584660669936	3340.3889822886613	48277.991424561515	13616.886366867606	1304.362795748992
510.0.	2082.666598901054	587.4170599976405	46.278192781484975	1585.8681291526843	447.29635873506214	37.028560931098816	2129.3746473824367	600.5930777633191	17.16847755787099	64876.28517055732	18298.338500868667	2667.9012207032497	30216.23036978879	8522.515575342884	3377.9843334821417	48493.205843709686	13677.587610566954	1321.575824051143
516.0.	2060.4738486836454	581.1575375116631	45.80074051805244	1588.5320366566955	448.04769507313586	37.14814408273968	2132.0954817000247	601.3604617273311	17.21194315844862	63593.92624934311	17936.648398273763	2624.8760107693265	30075.49098875375	8482.819677411997	3415.348973008885	48705.082554655295	13737.347444624844	1338.7290136048246
522.0.	2037.914921563001	574.79473466029	45.31516859683043	1590.9079786334194	448.71780961761925	37.26249442299864	2134.415648037554	602.0148356759767	17.252917485265733	62322.82207899393	17578.132725809137	2582.120161209053	29932.504676778783	8442.490027792774	3452.4800721705546	48913.5594080115	13796.148339517917	1355.8207815017638
528.0.	2014.9939501887307	568.3298171113114	44.8215523459636	1592.9863405672731	449.30399057062425	37.37144737639415	2136.321052749498	602.5522244662284	17.291305032142567	61063.14219659253	17222.839301751083	2539.637776138843	29787.246636633416	8401.519632381982	3489.374769754433	49118.571652921586	13853.972031985517	1372.8495196746067
534.0.	1991.7157014323118	561.7641294176427	44.31998032851658	1594.7573714398288	449.8034876349773	37.474832166739944	2137.797459457627	602.9686126992623	17.32700795752264	59815.05766622702	16870.816375059276	2497.4330208063634	29639.69194633299	8359.90146189499	3526.03017175976	49320.05207273056	13910.799563296072	1389.8135934635852
540.0.	1968.0856020990589	555.0992022693757	43.81055491645178	1596.2112040177517	450.21351773660484	37.57247209761209	2138.8305177887487	603.259952826188	17.35992622462743	58578.740938048286	16522.11258562253	2455.510120760186	29489.815634226412	8317.628473044788	3562.4433512266637	49517.93112221556	13966.611317953335	1406.7113402933348
