time	ASL_b	ASL_c	ASL_m	ASLoOH_b	ASLoOH_c	ASLoOH_m	ASLpOH_b	ASLpOH_c	ASLpOH_m	AS_b	AS_c	AS_m	ASoOH_b	ASoOH_c	ASoOH_m	ASpOH_b	ASpOH_c	ASpOH_m
0.0.	0.0	0.0	30.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8797.15	0.0	0.0	0.0	0.0	0.0	0.0
6.0.	1127.7544915344859	318.1228906495119	23.10185236562377	288.91508717071923	81.5108839044886	0.29168908658423703	378.86494540190813	106.88983139052144	0.15857939148757402	48151.1852452669	13584.242197648367	8322.842922024625	1968.2896076056138	555.3883888163907	1.036986334267965	821.9560403665945	231.93396218553093	0.211090436857117
12.0.	1479.9051433233278	417.4305029876008	26.750951557647774	496.8700318985287	140.15431690134943	1.140176995319735	684.940333859814	193.2065151003535	0.636798180061088	82503.12285459453	23272.40966271448	7948.703729017279	5191.916417374862	1464.6510671933315	5.838824476418321	2296.226470755575	647.7797117819817	1.2403672714183571
18.0.	1716.8284245630543	484.2500302520642	31.760703632692984	604.9284954199359	170.6269846380141	2.239697273800694	866.2367927116903	244.33412707582025	1.2768386981838131	107840.45648283474	30418.242298668905	7649.291107303344	8556.898985552507	2413.7436868315963	15.15822503879418	3966.4058229639613	1118.8636542245074	3.330535974981058
24.0.	1905.6681173474872	537.5095174449029	36.51240554137639	665.5738673281649	187.72966318028054	3.415482852292988	978.1320982969329	275.8904218359238	1.975381403266967	126636.81040114416	35719.33799361608	7406.550724873981	11757.59787947126	3316.4865022322087	28.939934307643618	5680.65260057419	1602.3693371397849	6.543386384824963
30.0.	2061.295587738452	581.4021507848943	40.674002529895525	705.0682372429643	198.86803472620434	4.590903225014927	1052.7812154562941	296.9431939534505	2.679573583867092	140549.54241463388	39643.110820673035	7207.067123203516	14689.729058131466	4143.475093063693	46.873902529437025	7372.153807665735	2079.456104898242	10.870332324301827
36.0.	2190.470015057879	617.8340888491186	44.217990102193376	735.3503180331285	207.40867466417666	5.7351933090576015	1107.3053452891531	312.32064711086196	3.363825754183947	150772.1263785451	42526.152624742484	7040.715268733983	17324.623079178546	4886.626912938438	68.56736405134622	9009.42896467439	2541.246690538067	16.271012498693697
42.0.	2297.8221080572102	648.1113276625713	47.19961263738961	761.6678892479823	214.83138060492675	6.837804539240048	1150.7614140951932	324.57684663015004	4.016735585182848	158189.43404337767	44618.02246675124	6899.797796163856	19665.742285034787	5546.920142271264	93.6136582445503	10577.897594439748	2983.629577133316	22.69053159592491
48.0.	2387.009145349351	673.265347783179	49.693063321677215	786.2296249357921	221.7589567400764	7.896678642536633	1187.9289860051288	335.0596344249415	4.634166290256291	163466.7842656132	46106.35975161589	6778.43949056348	21730.596099837938	6129.294032256697	121.62201135491789	12071.691153430318	3404.9500244485066	30.068007968655117
54.0.	2461.0369502218987	694.1439011639133	51.771171757747524	809.8933459525919	228.43328473409244	8.913023335881471	1221.3135991398547	344.4755729526525	5.215600688662383	167108.22066809438	47133.31976994987	6672.144831326835	23542.409830400906	6640.299562463885	152.2302666023343	13489.617749869996	3804.872124121433	38.34104814005819
60.0.	2522.401644267726	711.4509860397426	53.49913667422304	832.938196107177	234.933069366753	9.889063702692608	1252.2139281458517	353.190887528992	5.762229929673497	169497.32220300037	47807.08329746051	6577.46820307311	25126.05915149791	7086.952980596604	185.10953920621523	14833.037525805727	4183.7796514746315	47.44814641381694
66.0.	2573.181246776506	725.7726806329449	54.933182689639985	855.4128164456248	241.27201948459026	10.827135618298499	1281.2941145324594	361.39286491473536	6.27596532558836	170926.83080222903	48210.21239786198	6491.765420834295	26506.0391668596	7476.163083644079	219.96488463920713	16104.69277690515	4542.446152025079	57.32996902548034
