time	P	Q	R
0.0.	0.43	0.8	0.55
0.0.4.0	0.435592480338846	0.8433039929348991	0.582408022212218
0.0.8.0	0.442273279836976	0.8598579818660531	0.626125362166935
1.0.2000000000000002.0	0.44889862996696606	0.8468285507454141	0.680767380494398
1.0.6.0	0.45427649999510705	0.8031366602232041	0.742390295271236
2.0.	0.45720508979720903	0.728475479363173	0.8030636140899151
2.0.4000000000000004.0	0.45655159093114006	0.626251616640061	0.8514047836156591
2.0.8000000000000003.0	0.45146491839059105	0.506352995004924	0.87722858285198
3.0.2.0	0.44160584406531106	0.38303342293698905	0.8786829564990191
3.0.6.0	0.427223351500625	0.270652248601153	0.8585799253839471
4.0.	0.409137182222821	0.183756724683688	0.8154688849933661
4.0.4.0	0.38876662639261705	0.138029322103045	0.743422810742252
4.0.800000000000001.0	0.36808453484007503	0.145881681243289	0.63676114091811
5.0.2.0	0.34945718991234503	0.21865175253564	0.494821465521575
5.0.6000000000000005.0	0.33577167527918805	0.37451869634091706	0.32596966380103704
6.0.	0.33049936659407503	0.6263249598496351	0.154958427195553
6.0.4.0	0.33694612853377404	0.948767352095472	0.05112515465215801
6.0.800000000000001.0	0.35142403751943	0.9992470751808151	0.047397409078137005
7.0.2.0	0.36571257291400605	0.9990492835415781	0.058863911592495
7.0.6000000000000005.0	0.37963854973612104	0.9987567558241701	0.07504822750795001
8.0.	0.393222571373795	0.9983243690460151	0.09752210537754501
8.0.4.0	0.40647992770519203	0.99766676110199	0.128752887816894
8.0.8.0	0.41941916090332304	0.9966373756557421	0.17161621176267902
9.0.200000000000001.0	0.43203904042274804	0.994968789634281	0.22897753705761803
9.0.600000000000001.0	0.444321576751024	0.9921161019055521	0.30319544269619403
10.0.	0.45621398522036005	0.98679471718259	0.39566929885254004
10.0.4.0	0.46757626827740906	0.9755052320288831	0.506359548066679
10.0.8.0	0.478025226063554	0.9485121573097891	0.632789839377908
11.0.200000000000001.0	0.486596120237318	0.8861591554723711	0.767023218807912
11.0.600000000000001.0	0.491524154942016	0.770921918656146	0.8859977044617331
12.0.	0.49086098153740904	0.613637392692562	0.9410962684747861
12.0.4.0	0.48373190774012403	0.449167137300767	0.9440898180412671
12.0.8.0	0.470353536366702	0.293641060626818	0.9356150863622781
13.0.200000000000001.0	0.45136860970999204	0.15646703848898702	0.9180886433740981
13.0.600000000000001.0	0.42800902760316906	0.060787762079287	0.885120735049268
14.0.	0.40277117251655803	0.038011866696879004	0.8268773736883631
14.0.4.0	0.37806181196242206	0.052450261521082	0.7341915682823851
14.0.8.0	0.35503175639410905	0.09671306400938601	0.601808125738935
15.0.200000000000001.0	0.33542463710785203	0.202061587350468	0.43139618642999306
15.0.600000000000001.0	0.32230719219367004	0.40248790001601303	0.237025212117547
16.0.	0.319583933176715	0.707718771643262	0.067692642877658
16.0.400000000000002.0	0.329922262091677	0.9993430116524911	0.035250707114103004
16.0.8.0	0.344785676132056	0.9993282036952471	0.042638356324812006
17.0.2.0	0.359247769206461	0.9991520179896821	0.052982939045957
17.0.6.0	0.37333615038176404	0.9989039888366861	0.06700730285435401
18.0.	0.38707376277668604	0.9985432193349961	0.08635378443540301
18.0.400000000000002.0	0.400478467824089	0.9980018616086611	0.113255792167242
18.0.8.0	0.413562132151356	0.997165723983584	0.15045140491452602
19.0.200000000000003.0	0.42632852258305204	0.995833681593081	0.20087195842580502
19.0.6.0	0.438768592668876	0.993618179967879	0.26716758284472003
20.0.	0.45084895500541305	0.9896668606983041	0.351227293063113
20.0.400000000000002.0	0.46248004754043	0.9817953241593321	0.45374128012944404
20.0.8.0	0.473420133076542	0.963807656863197	0.573541179611432
21.0.200000000000003.0	0.48301932808708203	0.9204308525281071	0.7058061417842151
21.0.6.0	0.48986541729478006	0.8302462898823281	0.836347112051233
22.0.	0.49194832905624103	0.6882086144085361	0.9262386565249151
22.0.400000000000002.0	0.487782119548308	0.5234903650467471	0.9451720823038811
22.0.8.0	0.477192221449633	0.36292731454773003	0.9403990086954741
23.0.200000000000003.0	0.46065726306597	0.21576956005607903	0.9274977455993001
23.0.6.0	0.439072497629004	0.096610561188102	0.9026454485649881
24.0.	0.41430590066410106	0.04050442135031	0.857204355315431
24.0.400000000000002.0	0.38917818809925103	0.043198083499046004	0.7811543607806001
24.0.8.0	0.365235923445828	0.07125279215765301	0.667157358464686
25.0.200000000000003.0	0.34376914765187	0.144026473023904	0.5132580096524161
25.0.6.0	0.32723746019571204	0.297870720916867	0.326854287902667
26.0.	0.31928873919316303	0.556955065168231	0.134917142165207
26.0.400000000000002.0	0.32365624830448303	0.8987935952535011	0.036107337087444
26.0.8.0	0.33806410067352105	0.999391365331138	0.038845429282516004
