time	Ar	ArH	H2O2	NADH	NADrad	O2	coI	coII	coIII	per2	per3	super
0.0.	0.0	500.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1.4	0.0
100.0.	0.00010326264947400001	499.9998967373508	1.1564921708314532e-05	7.957129235178654	2.367878308830532e-06	11.964587534158596	3.842039673692387e-06	0.00011039819060600001	0.028377895607266	4.846078619126522e-06	1.371503018083836	2.4290083470970746e-05
200.0.	0.000105618631044	499.9998943813689	2.4358257597193623e-05	15.827576601743852	4.786642656202059e-06	11.880721237567224	7.809288946744789e-06	0.00022481395494400002	0.113305598786458	9.295123936696716e-06	1.2864524828457151	5.1987845906085794e-05
300.0.	0.00010977102182200001	499.9998902289783	4.0391081995382794e-05	23.60894485051809	7.326907276017748e-06	11.770263675509767	1.2103097284065031e-05	0.0003486248466	0.253031239621823	1.28229325608116e-05	1.146595209501733	8.844819863372482e-05
400.0.	0.00011614288309500001	499.9998838571169	6.367998605992598e-05	31.2954920146918	1.00794337912245e-05	11.644069640570835	1.697278528847423e-05	0.000489016785046	0.44562554577058905	1.485325216090252e-05	0.953853611406917	0.000144660581415
500.0.	0.00012526022181500002	499.99987473977814	0.000105011594728	38.87733761420009	1.316292770887694e-05	11.506619323193426	2.2738579342407182e-05	0.0006552167324750001	0.688958643002617	1.4641068757675591e-05	0.7103487606168081	0.000250511950573
600.0.	0.00013804349145400002	499.99986195650865	0.00021008656336800002	46.33896721389841	1.6761416766552073e-05	11.358349412948353	2.9868216000039143e-05	0.0008606893881610001	0.9805451496387281	1.1166578782316451e-05	0.418553126178329	0.000532805512837
700.0.	0.00016623084629900002	499.9998337691536	0.00126892460445	53.650588750819	2.2569514617835982e-05	11.19458540162169	4.168609281813289e-05	0.0011990195968050001	1.313788583131729	3.1722315732815037e-06	0.08496753894707401	0.003140581062466
800.0.	0.08409190920366001	499.9159080907965	0.020834150985722003	37.32548086431729	0.051666416552145	0.911023420147221	0.014146127413337001	0.43236868994835004	0.42449460956886303	0.051010182943026006	0.477980390126423	0.08590047226742101
900.0.	6.119468059699999e-05	499.99993880532	3.663675034612357e-05	41.616882190494444	1.4800091026175311e-05	5.048020433941788	1.190554106638782e-05	0.00034237404677400004	0.44424883411569505	5.1283923894157566e-05	0.955345602372572	9.192536782706821e-05
1000.0.	9.324090831929236e-05	499.9999067590922	8.445676432095487e-05	49.27573697441365	1.734836002646935e-05	7.946793940961207	2.1461478615116273e-05	0.0006180102186990001	0.626398067965924	3.0518192353291384e-05	0.7729319421444101	0.00020958896979300003
1100.0.	0.00011893328939600001	499.99988106671105	0.000180454531743	56.740288089297415	2.0965738792992813e-05	9.410860992130132	3.1514281171698856e-05	0.0009078826364220001	0.905006782492156	1.9928171202487425e-05	0.49403389241904905	0.00046828418010800004
1200.0.	0.000148439999252	499.99985156000133	0.000786379722461	64.0025706743491	2.6341910184923132e-05	10.095927192314202	4.437891287817018e-05	0.001277878926459	1.257089532056505	6.802524583994199e-06	0.14158140757957602	0.0021109172425480003
1300.0.	0.056014727170232	499.94398527283016	0.074230785308366	53.21253688214082	0.025469121401299002	2.468418128820181	0.014417096967177	0.39096483094794005	0.71493454781382	0.013981392355836002	0.265702131915229	0.129780850256545
1400.0.	6.114367028497572e-05	499.9999388563299	4.6835192591527756e-05	53.43495347035705	1.9205517887042014e-05	4.953594314356248	1.527249529925836e-05	0.000439230566603	0.45782352411616706	6.699434053333173e-05	0.9416549784814031	0.000118748111561
