	e	ez	w	z
0	0.0	0.0	0.0	2.4e-05
1	1.1328873631527698e-07	1.632750291801743e-09	1.1492148660707875e-07	2.3883445763101122e-05
2	2.228384968719052e-07	6.440949401964587e-09	2.2927944627386984e-07	2.3764279604324165e-05
3	3.287790888918498e-07	1.4284532682847095e-08	3.4306362157469693e-07	2.3642651845742458e-05
4	4.3123768671224106e-07	2.5026656459129665e-08	4.5626434317137077e-07	2.3518709000369503e-05
5	5.303349042190368e-07	3.853788542693287e-08	5.688727896459698e-07	2.33925893249271e-05
6	6.261894768385062e-07	5.469106566533116e-08	6.808805425038374e-07	2.326442839183083e-05
7	7.189168682715323e-07	7.336283647354626e-08	7.922797047450786e-07	2.3134357458781375e-05
8	8.086267520844095e-07	9.443636626267229e-08	9.030631183471015e-07	2.300250051539022e-05
9	8.954281256617789e-07	1.1779572727316684e-07	1.0132238529348919e-06	2.2868980419791974e-05
10	9.79422518629564e-07	1.433333729544741e-07	1.1227558915839922e-06	2.2733910735461564e-05
11	1.060711356389499e-06	1.709419858611982e-07	1.2316533422506647e-06	2.259740467188816e-05
12	1.1393918617381643e-06	2.0051900382660268e-07	1.3399108655647376e-06	2.245957013060868e-05
13	1.215557854723172e-06	2.3196571746797142e-07	1.4475235721911138e-06	2.2320510710340937e-05
14	1.2892999027996914e-06	2.6518710367012835e-07	1.5544870064697903e-06	2.2180325889860102e-05
15	1.360705424035089e-06	3.000917018835336e-07	1.6607971259185934e-06	2.2039111172197892e-05
16	1.4298589287382743e-06	3.3659133379134407e-07	1.7664502625295893e-06	2.1896958403679086e-05
17	1.4968418349361562e-06	3.7460130660035504e-07	1.871443141536482e-06	2.1753955551863187e-05
18	1.5617328508911904e-06	4.140399769802458e-07	1.9757728278714067e-06	2.161018719514837e-05
19	1.6246077007282858e-06	4.548290552891096e-07	2.0794367560173657e-06	2.1465734188693546e-05
20	1.6855396344713408e-06	4.968930281771361e-07	2.182432662648447e-06	2.132067430917444e-05
21	1.744598994440656e-06	5.401596412035463e-07	2.2847586356441725e-06	2.1175081723152303e-05
22	1.801853918919973e-06	5.84559106557494e-07	2.3864130254774376e-06	2.102902786796509e-05
23	1.8573696712460933e-06	6.300248504854236e-07	2.4873945217314875e-06	2.0882580627783108e-05
24	1.911209661331684e-06	6.764923682790259e-07	2.5877020296106805e-06	2.0735805602110314e-05
25	1.963434259395723e-06	7.239005451023575e-07	2.6873348044980517e-06	2.058876465039961e-05
26	2.0141019944147655e-06	7.721903156176079e-07	2.786292310032344e-06	2.0441517374350067e-05
27	2.0632697064540052e-06	8.213044937858656e-07	2.8845742002398415e-06	2.029412130597431e-05
28	2.110991929099336e-06	8.711884581221203e-07	2.982180387221427e-06	2.0146631154656472e-05
29	2.157320927487134e-06	9.217901064555137e-07	3.0791110339426185e-06	1.9999098859601887e-05
30	2.202306945363985e-06	9.730595780642309e-07	3.175366523428186e-06	1.98515738985076e-05
31	2.2459984122550763e-06	1.0249490208525474e-06	3.270947433107594e-06	1.9704103546039876e-05
32	2.288442027577719e-06	1.077412496020263e-06	3.365854523597952e-06	1.95567329803818e-05
33	2.3296827892779755e-06	1.1304059447245496e-06	3.460088734002495e-06	1.9409505321272975e-05
34	2.3697640214604623e-06	1.1838871558936504e-06	3.553651177354083e-06	1.926246166675229e-05
35	2.408727420525289e-06	1.2378157135113563e-06	3.6465431340366157e-06	1.9115641152452052e-05
36	2.4466131166391627e-06	1.292152926805108e-06	3.738766043444241e-06	1.8969081029750673e-05
37	2.483459745927681e-06	1.346861748373946e-06	3.830321494301597e-06	1.8822816757324476e-05
38	2.5193045069265132e-06	1.4019067103837051e-06	3.921211217310188e-06	1.8676882072306125e-05
39	2.5541832133697227e-06	1.457253864810422e-06	4.011437078180114e-06	1.8531309057009483e-05
40	2.588130339770163e-06	1.5128707319045467e-06	4.101001071674679e-06	1.838612819642079e-05
41	2.62117907245048e-06	1.5687262424143529e-06	4.189905314864802e-06	1.8241368442720862e-05
42	2.6533613583685564e-06	1.6247906824297491e-06	4.278152040798274e-06	1.8097057276771992e-05
43	2.684707955223631e-06	1.6810356367814779e-06	4.365743592005077e-06	1.795322077121346e-05
44	2.715248476117573e-06	1.7374339387005017e-06	4.452682414818043e-06	1.7809883646481472e-05
45	2.7450114335438543e-06	1.793959620213193e-06	4.538971053757015e-06	1.766706932602981e-05
46	2.7740242801038535e-06	1.8505878662743607e-06	4.624612146378182e-06	1.7524799987347474e-05
47	2.802313448768454e-06	1.9072949694208962e-06	4.709608418189317e-06	1.7383096612389803e-05
48	2.829904392691889e-06	1.9640582849457058e-06	4.793962677637562e-06	1.7241979037416746e-05
49	2.856821623362481e-06	2.020856187972865e-06	4.877677811335312e-06	1.7101466000691835e-05
50	2.88308874671091e-06	2.0776680328588123e-06	4.960756779569688e-06	1.696157518757151e-05
51	2.9087284977076945e-06	2.1344741143109233e-06	5.043202612018583e-06	1.6822323273670504e-05
52	2.93376277391298e-06	2.191255629696371e-06	5.1250184036093165e-06	1.668372596669432e-05
53	2.95821266794485e-06	2.2479946425797777e-06	5.206207310524593e-06	1.6545798046895638e-05
54	2.9820984986611233e-06	2.3046740477219043e-06	5.286772546382993e-06	1.6408553405895114e-05
55	3.005439841031374e-06	2.361277537564515e-06	5.366717378595855e-06	1.627200508383964e-05
56	3.0282555548376074e-06	2.41778957004306e-06	5.446045124880633e-06	1.6136165305076318e-05
57	3.050563812315799e-06	2.4741953375989877e-06	5.524759149914752e-06	1.600104551248627e-05
58	3.0723821247568595e-06	2.5304807373701196e-06	5.602862862126945e-06	1.5866656400502946e-05
59	3.0937273680596293e-06	2.5866323425670485e-06	5.680359710626644e-06	1.5733007946806316e-05
60	3.114615807264566e-06	2.64263737500269e-06	5.757253182267222e-06	1.56001094427301e-05
61	3.1350631201238404e-06	2.698483678711365e-06	5.833546798835171e-06	1.5467969522453476e-05
62	3.1550844197553387e-06	2.754159694603198e-06	5.9092441143585014e-06	1.5336596191038314e-05
63	3.174694276409931e-06	2.809654436120278e-06	5.984348712530174e-06	1.5205996851349561e-05
64	3.1939067383770467e-06	2.8649574658660203e-06	6.058864204243032e-06	1.5076178329890962e-05
65	3.212735352057967e-06	2.9200588731739996e-06	6.1327942252319325e-06	1.4947146901594082e-05
66	3.231193181250029e-06	2.974949252568252e-06	6.206142433818247e-06	1.4818908313613515e-05
67	3.2492928256646084e-06	3.029619683087749e-06	6.278912508752323e-06	1.4691467808159944e-05
68	3.2670464387082427e-06	3.0840617084418486e-06	6.351108147150056e-06	1.456483014440811e-05
69	3.284465744557786e-06	3.138267317962208e-06	6.422733062519959e-06	1.4438999619517847e-05
70	3.3015620545577175e-06	3.192228928319387e-06	6.49379098287707e-06	1.4313980088803557e-05
71	3.3183462829651225e-06	3.2459393659750053e-06	6.5642856489400935e-06	1.4189774985084914e-05
72	3.334828962067258e-06	3.2993918503411116e-06	6.634220812408335e-06	1.4066387337250567e-05
73	3.3510202566967197e-06	3.352579977618521e-06	6.703600234315205e-06	1.3943819788066287e-05
74	3.3669299781686028e-06	3.4054977052866367e-06	6.7724276834552034e-06	1.3822074611258174e-05
75	3.3825675976627716e-06	3.4581393372186555e-06	6.840706934881391e-06	1.3701153727899967e-05
76	3.397942259073213e-06	3.5104995093972812e-06	6.908441768470458e-06	1.3581058722132274e-05
77	3.413062791345697e-06	3.5625731762069565e-06	6.9756359675526165e-06	1.346179085624044e-05
78	3.4279377203243533e-06	3.6143555972793627e-06	7.042293317603679e-06	1.3343351085116971e-05
79	3.442575280127039e-06	3.6658423248697693e-06	7.108417604996772e-06	1.3225740070133473e-05
80	3.4569834240685255e-06	3.717029191742773e-06	7.174012615811262e-06	1.310895819244598e-05
81	3.4711698351497667e-06	3.7679122995468138e-06	7.239082134696544e-06	1.2993005565756658e-05
82	3.485141936130798e-06	3.818488007657673e-06	7.303629943788434e-06	1.2877882048553909e-05
83	3.498906899204183e-06	3.868752922471891e-06	7.367659821676037e-06	1.2763587255852087e-05
84	3.512471655285247e-06	3.91870388713178e-06	7.431175542416991e-06	1.2650120570451244e-05
85	3.52584290293469e-06	3.968337971664484e-06	7.494180874599137e-06	1.2537481153736395e-05
86	3.5390271169285434e-06	4.0176524635181865e-06	7.556679580446693e-06	1.2425667956035137e-05
87	3.5520305564898276e-06	4.0666448584793165e-06	7.6186754149691086e-06	1.231467972655159e-05
88	3.5648592731957154e-06	4.11531285195518e-06	7.68017212515086e-06	1.2204515022893977e-05
89	3.57751911857343e-06	4.1636543306071e-06	7.741173449180494e-06	1.2095172220212423e-05
90	3.5900157513975884e-06	4.211667364319775e-06	7.801683115717327e-06	1.1986649519962915e-05
91	3.60235464470116e-06	4.259350198493113e-06	7.861704843194237e-06	1.1878944958312668e-05
92	3.6145410925117378e-06	4.306701246643379e-06	7.92124233915508e-06	1.1772056414201557e-05
93	3.626580216324323e-06	4.353719083301026e-06	7.980299299625313e-06	1.1665981617073678e-05
94	3.6384769713213753e-06	4.400402437193097e-06	8.038879408514435e-06	1.1560718154292484e-05
95	3.6502361523504388e-06	4.446750184698583e-06	8.096986337048984e-06	1.1456263478252449e-05
96	3.661862399669217e-06	4.49276134356561e-06	8.15462374323479e-06	1.1352614913199614e-05
97	3.6733602044675837e-06	4.53843506687977e-06	8.211795271347316e-06	1.1249769661772927e-05
98	3.684733914175598e-06	4.583770637273351e-06	8.268504551448911e-06	1.1147724811277751e-05
99	3.695987737566243e-06	4.62876746136568e-06	8.324755198931883e-06	1.1046477339702449e-05
100	3.707125749661222e-06	4.673425064425147e-06	8.380550814086329e-06	1.0946024121488535e-05
