	Cvar	Mvar	X
4	0.10760740921532935	0.002715124595834679	2.7101825864587848e-05
5	0.1314054903444212	0.0035263568896319515	3.521077229534746e-05
6	0.15496469836534846	0.004437348916371628	4.421727073793908e-05
7	0.1782871578255373	0.005467306202261563	5.4769230739431505e-05
8	0.2013749219675619	0.006640478119121839	6.6852515080601e-05
9	0.22422989954225894	0.007991637259649818	8.079770118722565e-05
10	0.24685389029417623	0.009561421961603566	9.680012925086828e-05
11	0.26924858388630984	0.011402695759138517	0.0001158761633754504
12	0.29141545524313	0.013595847581862842	0.000138777742257099
13	0.3133557069545352	0.016246865558480497	0.00016673004289000743
14	0.335070187944744	0.019507917025512543	0.0002015248118771343
15	0.3565591988056483	0.023604907320626138	0.00024589513298149565
16	0.37782222492048784	0.028872158246306383	0.0003040414738786651
17	0.39885747118831993	0.03582495630227417	0.0003827592397967451
18	0.4196610357469282	0.045266124322367776	0.0004934063183176736
19	0.4402254899383285	0.05839784034208103	0.0006549635404849444
20	0.46053740624778505	0.07700060366284886	0.0009006318079451181
21	0.480572778425236	0.10345442491934743	0.0012885097152218023
22	0.5002887329199635	0.1405191620164143	0.0019245064542013797
23	0.5196062790456808	0.1908669992980476	0.003025848136454755
24	0.5383663772398147	0.25651946657496527	0.005092665548087624
25	0.5561925273588696	0.3383380601057349	0.009667811191475632
26	0.5719313010667564	0.4354032487257847	0.02285151728787564
27	0.581249148200496	0.5428873821178379	0.06772579008074799
28	0.5719330519070559	0.6453023465350762	0.1819471226439991
29	0.5261329787708773	0.7067514931333656	0.36828807538645986
30	0.4333945244574275	0.6671589892749898	0.5655735754022082
31	0.30783436719351687	0.441342029729221	0.6359694002196093
32	0.20573749115036893	0.008481262046813178	0.3645307672235677
33	0.1974115628795983	0.006427894725182929	6.341948822730602e-05
34	0.22030654191868465	0.0077450493371380566	7.81209357989728e-05
35	0.2429702718921294	0.009271617625416185	9.381232501062414e-05
36	0.265404393357052	0.011062042305215744	0.00011234196491043848
37	0.2876104580389224	0.013187419107702601	0.00013449685204280256
38	0.3095896989451994	0.015751818722073575	0.00016148823791931435
39	0.3313430555974957	0.018895235534268435	0.00019495352705510829
40	0.35287093797328994	0.022828338070181947	0.00023742971662947857
41	0.37417300797167413	0.027865652993786596	0.00029276665116367124
42	0.39524772316472867	0.034478848428855735	0.00036714307869173656
43	0.41609165540322024	0.043413519412293176	0.00047120476854582645
44	0.4366980936729669	0.055793433318598616	0.0006221789815022732
45	0.45705488940517497	0.07331003728626637	0.0008501877126197035
46	0.4771403123006688	0.09821928098465224	0.001207799418420793
47	0.4969155806490489	0.13324841790168412	0.0017904714228531079
48	0.5163097982199377	0.18113695353218676	0.002786105812779109
49	0.5351836541308441	0.24405225325967883	0.004625230527943584
50	0.553217756400846	0.3230884848774346	0.008553380830030688
51	0.5694805524281404	0.4177104148600365	0.019316941293056836
52	0.5805085282335679	0.5240754800295118	0.05595946160105371
53	0.5756493382913906	0.6292573783596707	0.15640643305799085
54	0.5373033243250964	0.7013876406999046	0.3327495006186625
55	0.4525783165292236	0.6845924333649316	0.5356488833239447
56	0.3300276844371227	0.49775903077613237	0.6415441525332002
57	0.21775779338076146	0.06898405145616153	0.44416956616630543
58	0.19343773060652084	0.006218920350004463	0.00012227965010139905
59	0.21637263222726458	0.007503987135661947	7.565455353562132e-05
60	0.23907610759460243	0.008991589014749203	9.09264441643742e-05
61	0.2615497297788987	0.010731956901979057	0.00010891185309381101
62	0.2837950231989005	0.01279401586811714	0.00013037972119322154
63	0.30581331817078267	0.015272762737959971	0.00015613982285685507
64	0.3276056044306401	0.01830350318891338	0.00018842152816752564
65	0.34917240650558967	0.022082478783819425	0.00022929193011280376
66	0.3705135084816089	0.026897413946676354	0.0002821036913920397
67	0.3916276391754525	0.03320115490567356	0.00035281962568562656
68	0.41251172804182945	0.041656949625225335	0.0004506215588455231
