	ACA	ACA0	ADP	AMP	ATP	DHAP	DHAPCN	DPG	EtOH	EtOH0	F6P	FBP	G6P	GAP	Glc	Glc0	Glyc	Glyc0	HCN	HCN0	NAD	NADH	OAc	OAc0	PEP	Pyr	PyrCN	glycogen	lacto
27	0.04197484815656188	0.0357399187967096	1.7586573359685351	0.610979348884859	1.5603633151465965	2.0197674177309555	2.5390211744208835	9.04582239060558e-05	10.578661116874926	8.391543385260945	0.2563504805184976	2.286286275212802	2.1767626761856875	0.08153705643320006	0.10928326792929925	16.43584108585546	2.4690178259455897	0.8801676051537222	4.555486209178843	4.580669778097558	0.645184084635786	0.33481591536421085	0.003990108957510895	0.003188265446322989	0.03011203784128	9.690641038625731	9.696902877659355	131.94140438420146	0.03510854471774591
28	0.043593717228379215	0.035705971199417395	1.667833307414974	0.48152530518737613	1.7806413873976412	1.9792108912911157	2.6234817194587605	0.0001683482879145939	10.97056034437963	8.72985537554701	0.27527450652926627	2.157989291329742	2.308642650705504	0.0789924076393669	0.08342949382567384	16.142642538400096	2.6401925333829985	0.9094481773870153	4.542030961397074	4.56755288194464	0.6737625505232285	0.3062374494767684	0.004160932636349415	0.0033121968046100434	0.030602509058548194	9.893050584099857	10.096889553607733	137.16593458008154	0.03669537782232341
29	0.04443588390985003	0.03603861173647774	1.6968048373625844	0.5142790921157745	1.7189160705216329	1.6884408790701255	2.6967317261242343	0.00015786768915227088	11.315612601973143	9.074659812651284	0.2730701179003182	1.5726595065928528	2.3005414994123634	0.06621061775699844	0.08505498231391811	15.85441717449062	2.4582420919760195	0.9380117265387368	4.5304466954449145	4.554639709716375	0.7297729903335877	0.2502270096664094	0.004412188619496572	0.003452629864941116	0.029872264034156493	9.653134021600767	10.49461380041351	143.06510942588943	0.038285215296208534
30	0.0422106944308496	0.03600715027694038	1.7606720321290041	0.6139032015449635	1.555424766326024	1.9424158153213675	2.769046707950743	0.0001424744066852981	11.596507276517112	9.412178178144702	0.2556741017459193	2.1135737204869467	2.1712864189775387	0.07873042949582881	0.10694767990314563	15.561543686428193	2.4929120869754606	0.9638965371709106	4.517370451769113	4.541932887836183	0.6563784867186612	0.32362151328133565	0.004413788505856068	0.003588975918637273	0.029778111063507064	9.636370654878618	10.882913845544126	148.06729735686451	0.03987947134187226
31	0.04328199555732784	0.03590270301393585	1.6907149988142358	0.5089153994845078	1.7303696017012478	2.006208605181786	2.8506409588765376	0.0001621189627946232	11.97106102088896	9.748583217145157	0.26904605023965705	2.2285449227846277	2.2631139712356476	0.08066365245459403	0.08742301865028815	15.26846833676837	2.6950495671447317	0.992219541314935	4.50388538224932	4.529021697487505	0.6623373702486908	0.31766262975130605	0.004545384230387576	0.0037134008080733256	0.03043425327783182	9.848332223794767	11.275589023854526	153.10673233962456	0.04146352335665995
32	0.0447840298979472	0.03617005615686636	1.6731149355599866	0.4866213875100447	1.77026367692996	1.7106910930523076	2.9247599683014966	0.00016415360985923925	12.337902573411093	10.091801939881822	0.27663765466881424	1.603649955498333	2.3221517494461517	0.06696296720634182	0.07946690309663988	14.98056952586467	2.5819718161166563	1.021042360487018	4.492170350263128	4.5162062223424835	0.7276693600928267	0.2523306399071702	0.00480524835858825	0.0038504949160240165	0.030030094329717934	9.691191992505534	11.668971781070288	158.9175320031726	0.0430465735935515
33	0.042569675765281915	0.036236797156398985	1.7572524949267192	0.6076795769329649	1.565067928140307	1.8729674186326435	2.99372217893158	0.00014269098722594558	12.614525583142074	10.430413450690853	0.2559393771105379	1.9606173007341927	2.1721932524215917	0.07552105994445893	0.10296621318325215	14.689914651762912	2.5382618859843773	1.0469686047889222	4.479693064439781	4.503663536845232	0.6698660766568716	0.31013392334312556	0.004841828602586931	0.003990681563804705	0.02963003942631354	9.582108135265155	12.0524053689183	164.09842397706385	0.04463559922752771
34	0.043034974717962776	0.03609180454375441	1.7092132549332872	0.5337549611022367	1.687031783964468	2.0092717934990474	3.072049934735043	0.0001567140800716203	12.971320960520424	10.765339738242375	0.26401344639901714	2.2443989840484235	2.225743865821611	0.08107779614203862	0.0901280263677086	14.397473975089607	2.742637593141659	1.0744869556721477	4.466311204742143	4.490966809930716	0.656065906711262	0.323934093288735	0.004939704967136362	0.0041165065805305765	0.03021767398801654	9.779731011981374	12.437558285346617	169.01994039864417	0.04621589091201142
35	0.044819852052721834	0.03628393182712359	1.6629125421503597	0.4743652394281601	1.792722218421472	1.7491173642817803	3.1464753040687046	0.00016565901205834322	13.348961187145475	11.106611977066057	0.2765156454017283	1.6674332508998713	2.31687738808274	0.06839613726240656	0.07668781191480972	14.109807631289804	2.69664867568869	1.103375711263403	4.454419408586854	4.478277751354525	0.7172866934209768	0.26271330657902	0.005187039874263627	0.0042506277114250845	0.02991423526743938	9.708073962493415	12.825509569131773	174.69812208167946	0.04779184471543478
36	0.04294899952115729	0.036417204192048976	1.7428109208680909	0.5877421865082294	1.599446892623668	1.8053108107951583	3.2130656662930925	0.00020728778866347525	13.63451913841375	11.445800277265443	0.25780323624652024	1.8107534097886167	2.1836347377292102	0.07114778328400265	0.09662105430091204	13.821206032614022	2.6072173711449618	1.1295613622685707	4.442442820047526	4.465880643895235	0.6775125912106824	0.3024874087893145	0.005263134891716842	0.004392216654268314	0.031088960300446812	9.549392118450116	13.20437233684129	180.03152226834447	0.04937384205195605
37	0.04283744412545929	0.036285412173200214	1.7336514313431133	0.5690194125072697	1.627329156149613	1.9534355328850737	3.285639997033532	0.00014879812773764333	13.96821943975449	11.780575416366114	0.25825386924947386	2.130465055490108	2.1839270958767196	0.07898298142927379	0.09415299738290882	13.530366219322296	2.7564198761168672	1.1563565775828497	4.4294881421638275	4.45343104768165	0.6587700509059572	0.3212299490940394	0.005350132610655864	0.004519895600292808	0.029836545261180975	9.663567544464913	13.582275608163693	184.98041934209553	0.050949363490682666
38	0.04418955322689475	0.03631862639168093	1.6755880468812128	0.4901868468324684	1.7642251062863157	1.8604827282925072	3.360425731907772	0.00016381265691726383	14.341039454830108	12.11797087650827	0.2709974573975412	1.9067290607512677	2.2735930238935667	0.07389603740717993	0.07877528682394155	13.241751879453284	2.8226059573842472	1.1848512412359853	4.417074028925762	4.4409016751577655	0.6911306057972826	0.2888693942027137	0.005536629693243057	0.004649778754993497	0.03008501747373064	9.727482851165943	13.963146836098568	190.29015435088752	0.052517409440320025
