time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
10.0.08.0	7.890529990383741	1.735203565885028	5.4317678598883035	0.24989211722477303	3.321881728139105	0.25056784604092003	0.23841101463312703	0.62284208221637	0.77222304645895	0.33166066767330604	8.258187073432678	1.7952607861778511	0.6872940969702871	2.996223683046922	0.855349703750618	0.117945104261957
10.0.799999999999999.0	7.991860802085432	1.6838362179255602	5.234106527236013	0.250232329402098	3.758039985330389	0.225961112210866	0.241833115538184	0.573073801297165	0.783117653898703	0.271800335657356	7.854568188336265	1.261526968519129	0.6946917913663501	2.303980033759845	0.7533713615303651	0.115593889331094
11.0.52.0	8.095865821554343	1.648033163707436	4.875898652437434	0.25019753079392604	4.076083060024133	0.20385640089353801	0.244295975207475	0.5152625766994631	0.7924284018679281	0.236145590777728	7.197828334460795	0.7652172375763391	0.7005787586904421	1.6248416766906661	0.6561533215604081	0.11277727760467701
12.0.24.0	8.200690130649322	1.626198917972166	4.397266572966944	0.249788960000996	4.249238013928659	0.18652170644745902	0.24598215657457903	0.458680235043855	0.800478491778555	0.216061286598971	6.364315444889503	0.363242027929203	0.7049719337572771	0.9892657334485361	0.558841590303483	0.10931789818029101
12.0.959999999999999.0	8.305355354778344	1.616236208261272	3.840277621198649	0.24897086202343702	4.268046912733144	0.17466082217540402	0.24703565779813302	0.40815397477062104	0.8075455620972941	0.20667832602324201	5.476907587344812	0.119190152116699	0.707839957772032	0.448181374298436	0.45704704814210306	0.10473580267958701
13.0.68.0	8.409264753585544	1.616109727641061	3.255174502557421	0.24766770901766003	4.138409892964475	0.167959554711301	0.2475555726328	0.36532093229731105	0.813858952311426	0.205539579582104	4.670094416028161	0.030370674465542	0.70916394821904	0.10917639268864401	0.358812284863512	0.09843072301699601
14.0.399999999999999.0	8.51197335429959	1.624075017507407	2.701485890008176	0.245786297585446	3.88144834085139	0.16570920334226702	0.24759778634812302	0.329832663969827	0.819602816004904	0.21150604932691403	3.985802315641855	0.010796489297285002	0.708981973481696	0.014988679371808	0.29011594786069	0.09116150444569501
15.0.12.0	8.613072098867702	1.638729806001861	2.218359506914754	0.24325564767332403	3.530075886589559	0.16715611972684802	0.247180743798176	0.300329692730035	0.824922103434498	0.22415381607664703	3.388402447782183	0.008336447837975	0.707302059786939	0.00503449037292	0.250654362021418	0.08503232485270501
15.0.84.0	8.712112082553201	1.658998347140881	1.805308396148631	0.239997903533422	3.117897555897191	0.171631778024592	0.24628536483117403	0.27503400963824703	0.829929374446113	0.24361545893668202	2.850734703333999	0.010146346773749001	0.704015989647507	0.0055340788319360006	0.223053644269874	0.080290017554535
16.0.56.0	8.808526027506247	1.6841137786618532	1.447711249382325	0.235844409435075	2.671858624283102	0.178600446491601	0.24484064941227002	0.252002076486033	0.834711470656542	0.27067889180702004	2.3621378750577993	0.014593430282980002	0.698874459896149	0.008065183380805	0.19910047011942703	0.07610023579411
17.0.28.0	8.901520367364324	1.7136134137668502	1.1329897182935	0.23045285170259402	2.212315656647162	0.18766005766597602	0.24269284576972103	0.22926823814423203	0.8393357002092771	0.306921729199076	1.918726188033446	0.023026956554532	0.691445875211328	0.012946939359163	0.17595562473662202	0.07180547473222
18.0.	8.989911181723919	1.747344105604825	0.8535192576321221	0.22318557349442703	1.755396182047582	0.198504655247347	0.239544578509847	0.20493289167903903	0.843855362464427	0.35488731896146103	1.52114358031939	0.039100187237137006	0.6810385882472271	0.022474401414756002	0.152880605219707	0.067025139990252
18.0.72.0	9.071863711817267	1.7854768921539241	0.6063869463778281	0.212861412234492	1.315415625741501	0.21086897425367102	0.23482174487439403	0.177248475471479	0.848314528391623	0.41832206399312205	1.176587233950962	0.070437964340615	0.6666264474664461	0.041921451765409005	0.13081741738268401	0.06166808081132401
19.0.439999999999998.0	9.14448505202668	1.8285222439812991	0.39321235618847705	0.19722397807778702	0.9071310215199551	0.22446913423929601	0.227351244276624	0.144861143674513	0.8527520260592281	0.502372210886451	0.9038637326063801	0.131263022428521	0.647038235431674	0.083017782840478	0.11331779533463202	0.05629945196342501
20.0.16.0	9.203252108892196	1.877308188604813	0.22096495322306503	0.17197827888713402	0.548193565039513	0.23894640654114702	0.21449170515599103	0.10749432787397001	0.8572044286927031	0.6133565622821161	0.7387914407729711	0.24147106801287802	0.62239482123956	0.16916022166997202	0.10853337579498401	0.053010689738397
20.0.88.0	9.241458755522793	1.932809800200665	0.10320286449990401	0.131239999707975	0.262676727031513	0.25382041999556004	0.18962761410210402	0.06745472256743701	0.8617073384335111	0.756998827518464	0.7288030593804561	0.412742914894384	0.5976306650998531	0.333093075504172	0.131600544871602	0.055740645862672
21.0.599999999999998.0	9.250514781286153	1.995553005429137	0.050889150097727	0.081537450126918	0.08438212321766801	0.26845799962808503	0.137971268589519	0.031895114306012	0.8662931292144671	0.9325441857851101	0.907555764964536	0.630679503255133	0.5819332816560431	0.589521227240663	0.20297351919346301	0.06674690508675
22.0.32.0	9.222783142534865	2.06425647963058	0.053592295319990005	0.056128910594912006	0.023360804885060003	0.282093598269962	0.064377955839319	0.011174787864594	0.870981789672835	1.12394418477862	1.26692813515316	0.864961996221511	0.5791695286616291	0.911827984848339	0.332347985769596	0.082044365750209
23.0.04.0	9.155564521275242	2.135098684203324	0.10783309632709301	0.068271623519726	0.014460849061183001	0.29408767967192	0.025286136715516	0.004684833822109	0.8757661504219061	1.311748442592028	1.7530975471030632	1.094282064947842	0.5858134778381471	1.261221406409795	0.49841814491518205	0.09567780865926301
23.0.759999999999998.0	9.050481644611981	2.203634687090985	0.23500794939899802	0.10171376405853301	0.021759105332065	0.304239808111116	0.02099047330766	0.004749951592113001	0.880608245333471	1.488413970963449	2.29793636582776	1.311372047987305	0.5971631119062081	1.6157196930515791	0.661221802153912	0.10530461214423001
24.0.48.0	8.911468732569778	2.266056173130138	0.45407906807334003	0.13825817505620402	0.043463578802576	0.31264632979516305	0.033546299120306	0.009466452196633	0.8854505033104181	1.647887100335232	2.8553503540195413	1.515401382018509	0.6101826721092121	1.966529879822326	0.7937671058865661	0.111385600557414
