time	A	E	G	R
0.0.	1.0	0.0	100000000.0	0.0
1.0.6.0	2.020245132790962	3161.001573673213	1180503.5879613678	723.136256377291
3.0.2.0	1.302302629396931	4197.3522150380795	1651939.8309721816	1026.8927967486973
4.0.800000000000001.0	1.037117029096876	4318.738788549854	1728289.5546574094	1092.8897228721396
6.0.4.0	0.916269839763146	4169.310899446146	1676523.483759886	1074.1451573728632
8.0.	0.8429984585014091	3948.688963793419	1590163.5423738111	1025.6791671730343
9.0.600000000000001.0	0.7869308889170611	3717.9957469566125	1497919.5341974527	967.3370722885202
11.0.200000000000001.0	0.7384139051416501	3495.2851852638214	1408336.1898449333	906.7991397599461
12.0.8.0	0.694271695903645	3285.28445562682	1323712.2367470635	847.3206500077509
14.0.4.0	0.653362395508234	3088.654232216632	1244435.046514511	790.3762294520133
16.0.	0.615191443099092	2904.8647217160556	1170327.5217702626	736.6291093103113
17.0.6.0	0.579478210236639	2733.0834681862193	1101064.375510795	686.3295821550878
19.0.200000000000003.0	0.546019770756698	2572.4447680116114	1036298.9033357642	639.5027263961526
20.0.8.0	0.5146473308985401	2422.1272508664133	975699.9001738215	596.0482374534637
22.0.400000000000002.0	0.485211633298805	2281.3723756732143	918960.8605045469	555.7980273005734
24.0.	0.45757750135767106	2149.485121879741	865800.7878964997	518.5508517988931
25.0.6.0	0.43162133849496803	2025.829684358288	815962.6130975954	484.09334879233194
27.0.200000000000003.0	0.40722964348413204	1909.8241141676624	769211.0704048577	452.2126633305173
28.0.8.0	0.384297925421661	1800.9350848450613	725330.589210414	422.70376464843037
30.0.400000000000002.0	0.36272981500580503	1698.6731035606908	684123.354902163	395.3734049279333
32.0.	0.34243629905072803	1602.5882205317102	645407.5685872276	370.04197119519466
33.0.6.0	0.32333504721363104	1512.2662106611592	609015.8975679958	346.544039189334
35.0.2.0	0.305349814279526	1427.3251807148208	574794.0984201633	324.7281515197568
36.0.800000000000004.0	0.288409906880067	1347.412553178173	542599.7930854165	304.4561552572522
38.0.400000000000006.0	0.272449706119967	1272.2023813777882	512301.37960207596	285.602311597902
40.0.	0.25740823911882704	1201.3929553288622	483777.0610133069	268.0523102283099
41.0.6.0	0.24322879355910101	1134.7046627095597	456913.9779767642	251.70226902374853
43.0.2.0	0.22985857017618602	1071.8780739209458	431607.43244490755	236.45776617619387
44.0.800000000000004.0	0.217248368818784	1012.6722242476958	407760.1914329585	222.23293045413254
46.0.400000000000006.0	0.20535230428723303	956.8630696842255	385281.861335597	208.9496018521555
48.0.	0.194127548648437	904.2420960700086	364088.3245073379	196.536566624065
49.0.6.0	0.183534097144594	854.6150638367989	344101.2309047447	184.92886577820948
51.0.2.0	0.173534555171573	807.8008729615175	325247.5385221605	174.06717334303875
52.0.800000000000004.0	0.164093944111317	763.6305346910251	307459.09715637966	163.89723929432762
54.0.400000000000006.0	0.155179524068768	721.9462383034383	290672.27072773664	154.36939145783535
56.0.	0.146760631794244	682.6005026343796	274827.59398141236	145.4380906285486
57.0.6.0	0.138808532272047	645.4554033595002	259869.45990720857	137.06153336590668
59.0.2.0	0.13129628262999002	610.3818681161188	245745.83466054685	129.20129729775775
60.0.800000000000004.0	0.124198607176176	577.2590324917252	232407.99715217328	121.82202420967944
62.0.400000000000006.0	0.117491782501839	545.9736507267032	219810.3008076677	114.89113665937609
64.0.	0.11115353170511601	516.4195556909034	207909.95528771938	108.37858430810464
65.0.60000000000001.0	0.105162926892451	488.49716331396877	196666.82621248203	102.2566165860476
67.0.2.0	0.09950029920386101	462.1130171905349	186043.25115345462	96.49957869826555
68.0.8.0	0.09414715568717001	437.17936955462744	176003.87034875638	91.08372832953383
70.0.4.0	0.08908610241593401	413.61379523214663	166515.47076619542	85.98707072027833
72.0.	0.084300773307316	391.3388355442053	157546.8422864223	81.18921006394453
73.0.60000000000001.0	0.07977576415067801	370.28166945411556	149068.64490849618	76.67121542131261
75.0.2.0	0.075496571406023	350.37380953281786	141053.28599474818	72.41549956269408
76.0.80000000000001.0	0.07144953537437801	331.5508205664489	133474.80667291503	68.40570933782338
78.0.4.0	0.06762178738046	313.7520588499032	126308.77660291012	64.62662633867963
80.0.	0.064001200642069	296.9204304052439	119532.19639476047	61.06407676526722
