	Amadori	CML	Glucose	Glyoxal	Lysine	Schiff
0	0.0	0.0	0.25	0.0	0.0034	0.0
1	2.187999217255887e-06	4.1593603890760843e-07	0.24996511268078347	5.555504498263873e-06	0.0033711154432595597	1.7537256188270893e-05
2	5.3056653375571594e-06	9.061482702758944e-07	0.2499443798071086	1.1050359320015142e-05	0.003356460541720295	1.8361313433550706e-05
3	8.438289802178966e-06	1.4026966869175825e-06	0.24992443971540831	1.6477873301948763e-05	0.0033425981002972627	1.8328740711762377e-05
4	1.1538120963705658e-05	1.9028674103403137e-06	0.24990459056592582	2.1838602366567186e-05	0.0033288233836362884	1.825074088009484e-05
5	1.4602884816104816e-05	2.4064504268829994e-06	0.24988479466511898	2.713337024035781e-05	0.003315098591742226	1.8170560076113607e-05
6	1.7632731020606e-05	2.9133692809994174e-06	0.2498650497458247	3.2363004662192414e-05	0.0033014214979474148	1.809050457849568e-05
7	2.0627936504212657e-05	3.4235555897855242e-06	0.24984535543254474	3.752832354371618e-05	0.0032877917743262654	1.8010696466486302e-05
8	2.3588782974885904e-05	3.936942320090301e-06	0.24982571145255575	4.2630134360604216e-05	0.003274209195339587	1.793114135802419e-05
9	2.651555040626271e-05	4.453463415227653e-06	0.24980611754052817	4.766923424983533e-05	0.0032606735420667417	1.785183866698536e-05
10	2.940851670473515e-05	4.9730537613296595e-06	0.24978657343342708	5.2646410143095976e-05	0.0032471845970985496	1.7772787483368758e-05
11	3.22679577062575e-05	5.495649172105719e-06	0.2497670788702303	5.756243890024538e-05	0.0032337421442670666	1.76939868835627e-05
12	3.509414719036461e-05	6.021186374783431e-06	0.24974763359189905	6.241808744110638e-05	0.003220345968629094	1.761543594821176e-05
13	3.788735689514049e-05	6.549602996323409e-06	0.24972823734136418	6.721411287556589e-05	0.0032069958564648563	1.7537133762466735e-05
14	4.0647856532063645e-05	7.080837549860316e-06	0.249708889863512	7.195126263186363e-05	0.003193691595276343	1.7459079416483033e-05
15	4.337591380081423e-05	7.614829421342224e-06	0.2496895909051712	7.663027458334955e-05	0.003180432973786112	1.7381272005241053e-05
16	4.6071794403980253e-05	8.15151885637312e-06	0.24967034021509923	8.125187717363184e-05	0.00316721978193578	1.7303710628583742e-05
17	4.873576206142307e-05	8.690846947481206e-06	0.24965113754396898	8.581678953799495e-05	0.0031540518108844587	1.7226394391230283e-05
18	5.136807852508812e-05	9.232755621106739e-06	0.24963198264435568	9.032572162779224e-05	0.003140928853007012	1.7149322402784423e-05
