time	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	alpha2M_IIa_l	alpha2M_Xa_l	alpha2M_l	mIIa_AT_l	mIIa_f	mIIa_l
0.0.	0.0	0.0	0.0	0.0	4721.0	1174.5	0.0	0.0	0.0	0.0	0.0	170000.0	66.0	0.0	116.0	0.0	0.0	0.0	12.3	0.0	-1.925929944387236e-34	0.0	0.0	0.0	0.0182	1.0	0.0	7.6	0.0	0.1	0.0	0.0	0.0	1.75	1.0587911840678751e-22	0.0	0.0	0.0	0.0	0.0	142.85	1.6940658945086e-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0
5.0.	1.077723308611015e-16	5.694391314188617e-10	1.3971113397927599e-11	1.233274191426305e-10	4720.999995539339	335.50475024581493	838.9952497283654	5.111892668324651e-11	3.844253682347087e-10	9.527471677155336e-10	2.7442882734358843e-09	58155.70922896107	18.70478381495086	47.295216183957855	0.7924077840594991	115.20759221537102	1.6604173282183171e-09	8.081311522659302e-05	12.299919185224388	3.1465475187399295e-09	0.002710034102026	0.0006579828461340001	0.000827401829502	0.0020867642865170003	0.011917812128852	0.9999999986628281	8.64769848118096e-06	0.16860942456264302	7.428466434985744	0.0007486512124860001	0.09588465366950101	5.48654208374821e-11	0.00015908128217	0.008682451194197001	1.741149189690038	3.2408476626986634e-10	4.6269477202093676e-08	9.22421811585166e-06	6.462667374166333e-20	1.3792200642447401e-17	35.17675899992627	107.66983043502539	4.460608630537654e-06	2.764125262859806e-09	3.7664448314893365e-09	4.364750546905766e-10	0.00026538240602300004	0.0014065741439	1.442674697437343e-12	2.0934457129957788e-07	363.9999997906546	4.926987990099718e-12	2.7595274267150425e-10	1.7826141959972183e-08
10.0.	1.09543665668081e-12	3.561385752431407e-07	4.928743196369828e-09	4.205473071630246e-08	4720.999962418059	335.5048600820466	838.995136093696	1.419091960535676e-08	9.534207680589173e-08	2.163002645705136e-07	3.33719741246834e-07	58155.683925917765	18.704789541714938	47.29520995981972	0.792408126800291	115.20759151706001	4.839395521235758e-08	0.0006802348431760001	12.299319716762898	1.9441213880470172e-08	0.004433709483315	0.001048097189506	0.001469879841249	0.003315633802386	0.007932611848371001	0.9999996883576591	3.259225654348882e-05	0.16853757857421903	7.425290847913984	0.0007426021811400001	0.09512899092248901	7.4287744420593225e-09	0.000741415457702	0.008679129912355001	1.740479220740788	5.689414351936125e-08	5.038292655965798e-07	9.918804712343807e-05	1.5966690128272301e-15	3.240216773016008e-13	35.175090772057096	107.66460385894769	3.756593512262146e-05	1.900945082015574e-07	2.572941826747694e-07	3.029972885459875e-08	0.0010105905618380002	0.005282684348321001	4.0049512024125874e-10	1.763038465349407e-06	363.9999982365616	1.8161295316547973e-09	4.5160395054100245e-08	2.832611274117026e-06
15.0.	1.238926837338832e-10	9.959558465999478e-06	1.0462948624072681e-07	8.836471002290659e-07	4720.999881289774	335.5048024162373	838.9951451740467	2.7203594753164834e-07	1.576406580128846e-06	3.478576854465153e-06	3.932898432784155e-06	58155.69749790455	18.70478309892671	47.29520437670765	0.792407882918104	115.2075821573995	3.017322003002134e-07	0.002142623558637	12.297857074709196	4.760259558507535e-08	0.005522387365026	0.001303918465005	0.001888035876111	0.0041218509683340005	0.005363457990726001	0.999994945016565	6.399855082415348e-05	0.168432096175844	7.420632603035511	0.0007592002402250001	0.097275559988325	9.04844831159519e-08	0.0015596587080150002	0.008673852773476001	1.739419067320695	8.221965052600614e-07	1.737083347599869e-06	0.000340710156902	3.008015627224626e-13	6.010909955012117e-11	35.17284602574191	107.65770845616204	0.00011839662041700001	1.617550719015495e-06	2.1849949209556078e-06	2.585466258974847e-07	0.0019916479244080003	0.010367271394563001	7.677379132047902e-09	5.55657129214908e-06	363.9999944357519	4.1571694238170595e-08	6.382591803661929e-07	3.9673512726602384e-05
20.0.	2.6950503730238273e-09	8.792664760936465e-05	7.861111680983131e-07	6.6074153890814645e-06	4720.999742342977	335.5044920375468	838.9952157460838	1.922437960175798e-06	9.630675002663972e-06	2.0978118246278262e-05	1.9697784369575043e-05	58155.76024607935	18.704742715528965	47.29515233092671	0.7924065120416931	115.20750555861558	1.0306022562473468e-06	0.004618931048519	12.295380038349252	8.204367770446638e-08	0.006198217362255	0.001477695254585	0.002169974500867	0.004669817377579001	0.0036831828587780002	0.9999693912067511	9.816096190746536e-05	0.16827979087219203	7.413915146974668	0.0007989762206230001	0.10239110782939001	4.599841966447696e-07	0.0024724421622100002	0.008667094546782	1.738063815116599	4.697240947230474e-06	3.94018739582202e-06	0.000771530391067	9.358050665758921e-12	1.8566122455469542e-09	35.170204644963306	107.64970495909859	0.00025540282087200004	6.381773280824141e-06	8.612683167327206e-06	1.021353326079363e-06	0.003061927018566	0.015906747190666003	5.4254907611155175e-08	1.1986524493348201e-05	363.99998795922124	3.31766933127174e-07	3.60972752021817e-06	0.000223431253663
25.0.	2.564178019781461e-08	0.00043121871883600003	3.472856018495681e-06	2.9111022848521702e-05	4720.99953935795	335.50384757067206	838.9951246955985	8.146751550195298e-06	3.5625068592205705e-05	7.703981862777175e-05	6.408386334787975e-05	58155.87087480201	18.704606150820666	47.29489439587116	0.7924026940920731	115.20716606154723	2.560938738769405e-06	0.008149526807065	12.291847912254225	1.180374860369265e-07	0.006602666978189	0.001599540104125	0.002366355062499	0.005054292220512	0.002574466658448	0.99988733511278	0.000132400164339	0.16807536352302302	7.404906619745528	0.0008613356124370001	0.110398747613122	1.5082810376377239e-06	0.003399357658895	0.008659034301132	1.736448934922472	1.673784682619147e-05	7.278935530513965e-06	0.0014240272311630002	1.168282677373947e-10	2.3084944468742302e-08	35.167282298097966	107.64093999635621	0.000450960113618	1.7166592822774853e-05	2.315608675498755e-05	2.749299804358297e-06	0.0041383725230890005	0.021474277768480002	2.299170465956128e-07	2.1164388374459284e-05	363.9999786056953	1.5351845157289792e-06	1.2795335457569761e-05	0.0007901157710290001
30.0.	1.5107340206611298e-07	0.0014912564394740002	1.117620523579723e-05	9.352386113209093e-05	4720.999265414683	335.5027784771735	838.9944682262503	2.5444928976347415e-05	9.828589050572035e-05	0.00021159573572300002	0.000162018473698	58156.01727074068	18.704235425169	47.29407018136114	0.7923935225843801	115.20611506990267	5.2357144030645985e-06	0.012712416180035001	12.287282348105593	1.5255628064524258e-07	0.006827849473848	0.001687448103293	0.002507189510766	0.0053319131978180005	0.0018402114435880001	0.9996901183737711	0.00016521008297500003	0.167818080223181	7.393574150928114	0.0009450268893230001	0.12113774331999701	3.8298248848871605e-06	0.004295174791812	0.008649554551161	1.734550066828998	4.5176470257107806e-05	1.2021335854787341e-05	0.0023506520085790003	8.522150130666962e-10	1.679729345322084e-07	35.16415870430347	107.63163235007949	0.0007040184892680001	3.7151962325229564e-05	5.0099769417044294e-05	5.952558151225436e-06	0.005174551893708	0.026831303120663	7.181049995762982e-07	3.3040884212879566e-05	363.9999662410114	5.121899784451328e-06	3.4440097948773735e-05	0.002123560629934
35.0.	6.595356009850775e-07	0.004110503225684001	2.9259419657801343e-05	0.000244564551119	4720.9989094030025	335.5011764066006	838.9926238949691	6.515882511064383e-05	0.000225148762893	0.000483309874936	0.000349235017078	58156.17539879203	18.703375935530936	47.292013928974	0.7923735866409091	115.20351525059773	9.39061945066558e-06	0.018251266301773	12.281739343078806	1.839547333359764e-07	0.006934647950493001	0.001752683073561	0.0026110630620420003	0.005538141670078001	0.0013538896696400002	0.9992915413621711	0.000195775703111	0.16750983903017402	7.379998870915469	0.001048434986788	0.134400969034101	8.273704543424637e-06	0.005135012152573001	0.008638191490631001	1.732272944462114	0.00010215094973200001	1.8652398133116675e-05	0.0036463039065560005	4.4095024271214876e-09	8.676810756227906e-07	35.160893920370484	107.62191988308341	0.00101163947566	7.053486872750364e-05	9.51000644697534e-05	1.1304376332600701e-05	0.0061454402231380005	0.031849324566481	1.838907829363761e-06	4.7478104313949854e-05	363.9999506829884	1.3798696818336021e-05	7.777852748558052e-05	0.004791165919568001
40.0.	2.367927008563393e-06	0.009696945306789	6.646442185528873e-05	0.000555092722858	4720.99845243252	335.49890012494825	838.9886676410495	0.000145592014876	0.000455843924413	0.000976669177692	0.000677552879549	58156.306301293225	18.701604040641445	47.28761924505552	0.7923338197907651	115.19796686697536	1.534157539296087e-05	0.024691861430475002	12.275292796994163	2.115155208572862e-07	0.006963549919945001	0.0018026474193770002	0.0026900637320880004	0.005696289439102001	0.0010318963985730002	0.9985674868978941	0.000223690628838	0.167154030502794	7.3643255334338225	0.001169769191881	0.14995887264124	1.6063799923319043e-05	0.005905637029318	0.008624034511622001	1.7294330774452291	0.00020524662986100002	2.799574108872796e-05	0.00547206541807	1.811849028241678e-08	3.561232172590942e-06	35.15753860302911	107.61188499301086	0.001369896931332	0.000123556387342	0.00016656976237600001	1.9805997489949954e-05	0.0070385493909880005	0.036464280371821006	4.108887835087936e-06	6.429178792753814e-05	363.99993159932455	3.207853458347009e-05	0.000156261698517	0.009619454071304
45.0.	7.460375972132314e-06	0.020478068096199002	0.000136463848454	0.0011390418846510002	4720.997863171939	335.4957480494655	838.9812212020055	0.00029530299454300004	0.000848425215789	0.0018156281949050002	0.001224378827075	58156.350482178634	18.698250399307902	47.279140141270915	0.792259839949613	115.18725463157811	2.3379971933638702e-05	0.031951652981362	12.268024967046735	2.350594611176099e-07	0.006941405480717	0.001842390124171	0.002752379966637	0.005822261262673	0.000817948134405	0.9973359465893061	0.00024878238788600003	0.16675487185124502	7.346732614694438	0.001307181200396	0.16757449800044402	2.9013240639624243e-05	0.0066000435901200005	0.008605554496619	1.725721036696457	0.00038031713612200004	4.1371127446573254e-05	0.008085975855445	6.3482832742735e-08	1.2467799903286042e-05	35.15414181268743	107.601567999866	0.0017743986397770002	0.000205988320304	0.000277682170717	3.3025707411893085e-05	0.00784847574241	0.040648476983952006	8.334021133904385e-06	8.327580066648376e-05	363.9999083901785	6.712642769002282e-05	0.000289822309596	0.017833386134946002
