time	APC_PS_VIIIa_l	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	IX_f	IX_l	IXa_AT_f	IXa_VIIIa_X_l	IXa_VIIIa_l	IXa_f	IXa_l	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VIII_IIa_l	VIII_Xa_l	VIII_f	VIII_l	VIII_mIIa_l	VIIIa_f	VIIIa_l	VIIIai_f	VIIIai_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	XI_IIa_l	XI_f	XIa_IX_l	XIa_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	mIIa_AT_l	mIIa_f	mIIa_l
0.0.	0.0	0.0	0.0	0.0	0.0	3400.0	1400.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	-1.159126922089819e-69	0.0	254723.7	60.0	0.0	300.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.005	1.0	0.0	0.0	0.7000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	-4.235164736271502e-22	0.1	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0.	8.101160672673385e-19	6.888785387008229e-17	1.88701686371847e-10	1.1930304264041571e-12	1.497275935438005e-11	3399.999999642022	302.25086765588236	1097.7491323348318	1.0152833218139841e-10	1.0554635896115549e-10	2.601338171463945e-10	7.149028794273097e-10	0.24441108385489502	89.75530768476266	9.911656141170085e-10	7.912389831883541e-13	1.154446806475927e-12	3.571337716984547e-07	0.00013234380582400002	84463.11362996402	12.841615625898925	47.15838437379057	1.41404191710886	298.5859580827017	8.122408004593136e-12	1.8247592473417091e-06	2.499998175232629	1.6443408899383112e-10	0.0009585606231280001	0.000148529419758	0	0.000173976727253	0.000219922191386	0.000428005028453	0.0030710058374630003	0.9999999996343201	3.095757056951702e-12	5.702336753949099e-06	0.0016535988935520002	0.6983404974034161	2.3497586812843536e-11	1.560519641303888e-09	1.997772187471921e-07	8.275621682017091e-22	1.114899553316756e-19	1.693150977072566e-06	0.153861063448916	9.845135739808594	0.0005296958818450001	0.09854281354715201	1.653793424320173e-10	0.00027606879963000005	0.068433071515443	19.93127366320505	1.145248289884345e-09	5.96401721168109e-08	1.713345338948253e-05	3.124417576343504e-20	9.388438870149066e-18	1.66744208337317e-10	29.999999999690033	3.01722850355082e-11	1.130627174030109e-10	31.218692489965196	138.7803927795016	3.56886115954895e-07	9.440164385451774e-10	9.824313088618195e-10	1.492143206353167e-10	2.74961524179164e-05	0.000207687280535	8.071790564631808e-13	5.917016271183934e-11	5.4475318417392134e-09
10.0.	4.6143573685844924e-15	4.401781033674543e-13	8.504338463590343e-08	3.079764695335888e-10	3.782686396412675e-09	3399.9999972675823	302.2509221497425	1097.7490767367938	2.2107629576745342e-08	2.0420044382662e-08	4.636461631646375e-08	7.006340548483336e-08	0.244409980326134	89.75488094910472	7.472043610744972e-09	4.889029596543572e-11	6.893168990353166e-11	1.268997076080587e-06	0.00046795606420600006	84463.09387247608	12.841617961313931	47.15838192913143	1.414042245481979	298.5859576694734	2.040562852182684e-10	1.3812168797115541e-05	2.499986187627144	9.298810454801931e-10	0.0015282413683610002	0.00023982870527000002	0	0.000271003018946	0.00038154399357900003	0.0006650221138560001	0.0019143596660470001	0.9999999332153391	3.192490839621777e-10	2.2198487021735193e-05	0.0016535568038800001	0.6983225107895851	3.121881559216953e-09	1.3523445249653402e-08	1.7168371079818931e-06	1.105769473502515e-17	1.4361853733440021e-15	5.995563027592672e-06	0.15384796332726802	9.844295066676986	0.000528038127986	0.09823729597079701	1.790134410673882e-08	0.0011822561000110002	0.068429491426946	19.930222969536693	1.583644515596974e-07	5.768411599830463e-07	0.000164411428968	4.684442942266015e-16	1.362208518213973e-13	1.743311248840503e-08	29.999999949016246	9.212916928240756e-09	2.433773265397334e-08	31.218371086100877	138.77891845923594	2.702613087443706e-06	5.397083377474955e-08	5.5825144144654895e-08	8.60384942398145e-09	9.786215371830766e-05	0.000732960982435	2.2741591552430572e-10	7.603063504680433e-09	6.869645508722143e-07
15.0.	4.4434814186499115e-13	4.40698201644191e-11	2.1648962625072647e-06	6.01611906272252e-09	7.340468438869564e-08	3399.9999912373924	302.2509865887704	1097.748998695619	3.989616198071802e-07	3.1856301619983026e-07	7.046931977295074e-07	7.919179940297158e-07	0.24440865164114803	89.75436712529836	2.305083843104259e-08	4.5691008748014746e-10	6.373261163067385e-10	2.514398211415543e-06	0.0009257740419830001	84463.06979930498	12.84162031619454	47.15837712088074	1.414042636657769	298.5859551984006	1.206961585509746e-09	4.258084280930077e-05	2.499957417950226	2.2394466799679602e-09	0.0018637436983080001	0.00029572346865200003	0	0.00033048529494800004	0.00048034317470600004	0.0008103491079610001	0.001219351809013	0.9999989767437861	3.6655829109616004e-09	4.515873220319112e-05	0.001653493791056	0.6982956635192801	4.260225023038604e-08	4.416109832696246e-08	5.592433626125668e-06	1.7130411674270603e-15	2.200588611853127e-13	1.18329245678197e-05	0.15383245975373802	9.843298999468187	0.000529683999274	0.098546375663265	2.0880520684491407e-07	0.002484972169653	0.068423709559517	19.92853049204131	2.189865147215379e-06	1.9535059311410022e-06	0.0005554792668880001	7.564757634049436e-14	2.1782803938704276e-11	2.010512375475991e-07	29.999999179276138	1.8700677040422362e-07	4.3266585839999334e-07	31.21795141818106	138.77700526132128	8.335730368631269e-06	4.537396446389923e-07	4.684595872918402e-07	7.252115951937858e-08	0.00019346806588800002	0.001445144938869	4.8669327752131036e-09	1.0265853161769708e-07	9.221701177579932e-06
20.0.	9.47279000064265e-12	9.453459460856564e-10	1.8624402797936742e-05	4.4311543488464105e-08	5.389686749354922e-07	3399.999979091022	302.2510480105822	1097.7488684728905	2.7951977879068107e-06	1.938460639211242e-06	4.23557706658159e-06	3.988404413462928e-06	0.24440717883303803	89.75379735381912	4.993206331202995e-08	2.0841480605639702e-09	2.8925530363192194e-09	3.966911689444229e-06	0.001459487669955	84463.04278381816	12.841619590549213	47.158359262352185	1.414043009612733	298.58593836502877	4.024727762206893e-09	9.203104749825912e-05	2.4999079649277722	3.8849024965900704e-09	0.002058446452248	0.000330569265737	0	0.00036762531238200005	0.000541766845154	0.000901109057001	0.000800475157845	0.999993825962294	1.859669592404833e-08	7.195152992615408e-05	0.001653413359457	0.6982614384754451	2.454505426433863e-07	1.0139182214399188e-07	1.2826203375478102e-05	5.094676344292135e-14	6.510502270401255e-12	1.8579107902869812e-05	0.15381171780507602	9.841966746307587	0.0005346267438210001	0.099468805193477	1.067255075694464e-06	0.004022781178383001	0.068415944022441	19.9262596576385	1.2697034858776451e-05	4.503655269481422e-06	0.00127926297361	2.2764158645294833e-12	6.524233049268264e-10	1.022159669107571e-06	29.999994587953854	1.388591885516494e-06	3.0012946015613806e-06	31.21747095173846	138.77481999068578	1.80251756067673e-05	1.863786020440697e-06	1.922612731797326e-06	2.98243026449582e-07	0.000304041311011	0.002268161432384	3.8674760380914995e-08	5.884992374545037e-07	5.271918944035398e-05
25.0.	9.548592312374447e-11	9.336390190949668e-09	9.159216290559693e-05	1.9712148026109378e-07	2.393355626712769e-06	3399.9999554916926	302.25108795679904	1097.74860528266	1.2010348988989922e-05	7.31914866631762e-06	1.588282285162189e-05	1.3343245128781201e-05	0.24440560563024302	89.75318664232981	8.951398869378776e-08	6.643780332348798e-09	9.196168253043712e-09	5.555558720567973e-06	0.0020431091548470002	84463.01189012056	12.841606161161076	47.15829232761824	1.414043182088569	298.5858652163159	9.890681516441459e-09	0.00016444739159300002	2.499835542717724	5.6968309604425575e-09	0.0021683279572920003	0.000352810982306	0	0.00039138114375900004	0.0005808286302460001	0.000959179516254	0.0005474561826280001	0.999976798028482	6.24655420045163e-08	0.000100993301851	0.0016533144054760001	0.6982193513502081	9.091203513983332e-07	1.989426662107e-07	2.5154394347836412e-05	6.550421952195836e-13	8.346602817856055e-11	2.5856258368145994e-05	0.15378405548827	9.840190840858458	0.0005428623831820001	0.101003841194367	3.5996346118609786e-06	0.005698573285628001	0.06840606353308501	19.92337144299405	4.719549200543554e-05	8.639393311291815e-06	0.0024527149020660004	2.8951126206632526e-11	8.275597543228323e-09	3.437551684149731e-06	29.99997758066908	6.17099033844452e-06	1.281078890738655e-05	31.216952586528894	138.77246176756034	3.222517416966873e-05	5.363747003283458e-06	5.530523274765901e-06	8.588539866275743e-07	0.00042339325133900006	0.003156172118283	1.832727315628615e-07	2.173650033824994e-06	0.00019442118925400002
30.0.	6.345715544152335e-10	5.9271077818601045e-08	0.000323121516399	6.495639878967536e-07	7.877930562161046e-06	3399.9999094206623	302.2510771725185	1097.7480491686265	3.8600786443251785e-05	2.09746382226792e-05	4.532694725612996e-05	3.5302244095267235e-05	0.24440394470415203	89.75253543167308	1.427771754474846e-07	1.743629020859708e-08	2.409979130139588e-08	7.249706783450241e-06	0.0026654537005510004	84462.97320520357	12.841557225645184	47.15809009079987	1.4140427395801851	298.5856340789969	2.014784647913413e-08	0.000261132726262	2.49973884712589	7.567542087609612e-09	0.0022270587540870004	0.000367476116579	0	0.00040709002304700005	0.0006064540533010001	0.0009975958966980001	0.00039429744089700006	0.9999336984145211	1.6565414135604542e-07	0.00013131128816800002	0.0016531893838410002	0.698166167441838	2.6021835433272118e-06	3.651090201618252e-07	4.6156101457353915e-05	5.205414771844488e-12	6.621305466908927e-10	3.343126574812351e-05	0.15374848850817602	9.837908009960266	0.000554382919193	0.10314998478753101	9.56896658335643e-06	0.007452789921739001	0.06839342140979901	19.919675689136337	0.000135374288614	1.511529796143678e-05	0.004290111239314	2.226811397264124e-10	6.355045841806439e-08	9.123096370892397e-06	29.99992962942313	2.02597857774916e-05	4.0987694731347435e-05	31.216411048262877	138.76998900669255	5.119875384989734e-05	1.2691270169982031e-05	1.3082541517400743e-05	2.03288370971515e-06	0.0005477164645210001	0.004080968700833	6.370227759822151e-07	6.211308414575829e-06	0.000555047566899
35.0.	3.305146691897731e-09	2.888716642195365e-07	0.0009215590525960001	1.766696550822301e-06	2.1410940036509412e-05	3399.9998197826176	302.2509667293402	1097.7469074795824	0.00010310512660300001	5.078366918905004e-05	0.00010946372307400001	8.110549628289805e-05	0.244402173734057	89.75182649151397	2.1060464691710357e-07	4.1212003805679015e-08	5.691890992637848e-08	9.057284791981183e-06	0.0033295052091370002	84462.91829392897	12.841426573821044	47.15757761364364	1.41404084256378	298.5850373062059	3.618844407335808e-08	0.000382773768473	2.4996171900430832	9.434922054385183e-09	0.002254922252596	0.00037758540760100004	0	0.00041796108579700004	0.000623999229357	0.0010241965053980001	0.00030128989588300005	0.999839752607736	3.811044351912051e-07	0.00016227734302600003	0.0016530204482540002	0.6980942538326591	6.351060738333456e-06	6.562191443919131e-07	8.295460414574358e-05	3.085612132448452e-11	3.920679753001845e-09	4.1152491306074805e-05	0.153704466492983	9.835082160788374	0.0005691728785360001	0.10590433724470201	2.2044921873321835e-05	0.009247122037331001	0.068376526407768	19.91473457677915	0.000330819659176	2.5383868032421723e-05	0.007203903023208001	1.252643098052118e-09	3.571244690117416e-07	2.099947337780593e-05	29.999814983495305	5.48781150538703e-05	0.000109138916276	31.215856957493557	138.7674348007921	7.508896744189002e-05	2.6918661611289404e-05	2.7744697855585822e-05	4.312695181858778e-06	0.0006745438360740001	0.0050242600654640006	1.8126857312063671e-06	1.5144709658761732e-05	0.001352548092775
40.0.	1.4865534129475942e-08	1.201787460517072e-06	0.0022823407306990003	4.2329984998207086e-06	5.127565102893344e-05	3399.9996473566675	302.2506698439232	1097.7446436350579	0.00024388122441100003	0.00011083402482900001	0.00023853188670000002	0.000171252065082	0.244400219912793	89.75101572698175	2.941394042968336e-07	9.248558133169528e-08	1.276922031387865e-07	1.1035871181680462e-05	0.004056512850664	84462.83092449559	12.841126670901408	47.15642342904042	1.414035899892928	298.58368054272233	5.942740910309217e-08	0.0005296359801510001	2.499470304592439	1.1262671436271502e-08	0.0022641322509320003	0.00038496840543200006	0	0.000425939253151	0.0006367048413390001	0.001043732099804	0.000244452459258	0.9996506340884711	8.052644751553989e-07	0.00019342876328600002	0.0016527719170960002	0.69798836042305	1.4027039804691611e-05	1.180006063497548e-06	0.00014917207511800002	1.521205838495873e-10	1.9315664447047722e-08	4.8906912999928226e-05	0.153651728235727	9.831694767356973	0.000587205292173	0.10926184466140201	4.661305300396637e-05	0.011053624669119001	0.068352412953149	19.907677865073193	0.00073114787712	4.2196160457949506e-05	0.011975226334878	5.7758231247344496e-09	1.645600457459241e-06	4.438862476337425e-05	29.99956699198345	0.000131021661158	0.000257597730647	31.215299908631064	138.7648151832286	0.000103956821116	5.3888176023989394e-05	5.553804858545507e-05	8.634490687805664e-06	0.0008020437626220001	0.005972443245586	4.51114940231545e-06	3.343105488642823e-05	0.0029845750901740004
45.0.	6.111140538826058e-08	4.5652747083359005e-06	0.005142758239772001	9.324836685476333e-06	0.00011291851462200001	3399.999318971522	302.25002462369326	1097.7402490655325	0.000532586234673	0.000227413363157	0.0004890117927160001	0.000344728549044	0.24439792609239203	89.75001255147212	3.953032441950868e-07	2.035370533925579e-07	2.81001333290164e-07	1.332176415075487e-05	0.0048967059709250004	84462.68033670812	12.84049418232145	47.15400877633807	1.4140249491221	298.58082766625097	9.129115223628887e-08	0.0007016318921130001	2.499298276816734	1.302390574322909e-08	0.002262025394217	0.000390740142292	0	0.00043221063535600005	0.000646544739952	0.001059100126908	0.000209274646213	0.9992835748441271	1.6213494632232658e-06	0.00022431920385700002	0.001652375433696	0.697819277189464	2.9139534264212464e-05	2.139633586054296e-06	0.000270496746555	6.665062707642022e-10	8.459281390752206e-08	5.6584066609730744e-05	0.153590240760199	9.827740213516606	0.0006084337466180001	0.11321380255619701	9.387021733159235e-05	0.012845790976892	0.06831541090453201	19.896841858573694	0.0015192201147780002	7.072081575294127e-05	0.020071653299819	2.350630590698025e-08	6.694542008437139e-06	8.940557278491699e-05	29.999060995086438	0.00028787471665	0.000561724624141	31.21475166330501	138.7621323385034	0.00013779449689800002	0.00010507045387100001	0.000108284834231	1.683648604425009e-05	0.0009284274361290001	0.006912195117479001	1.025244491734273e-05	6.943761759925058e-05	0.006197717046361
