[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[VIII_f]	[VIII_l]	[VIIIa_f]	[VIIIa_l]	[IX_f]	[IX_l]	[IXa_f]	[IXa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[VIIIai_f]	[VIIIai_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_IX_l]	[TF_VIIa_IXa_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[IXa_VIIIa_l]	[Xa_Va_l]	[IXa_VIIIa_X_l]	[V_Xa_l]	[VIII_Xa_l]	[IIa_f]	[V_IIa_l]	[VIII_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[XI_f]	[XI_IIa_l]	[XIa_l]	[APC_PS_l]	[APC_PS_VIIIa_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[IXa_AT_f]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[VIII_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[XIa_IX_l]	[LIPID]	[alpha2M_l]	[alpha2M_IIa_l]	[alpha2M_Xa_l]	[AT_XIa_l]
1400.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	10.0	0.0	0.1	0.0	0.7	0.0	0.0	0.0	90.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	300.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	2.5	3400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	170000.0	2600.0	0.0	0.0	0.0
583.6705270726061	816.3294723866487	9.230701911676105e-09	3.293867247232758e-07	0.17673449408829717	19.822219096603757	1.1420237507184453e-06	0.00012663762172598835	0.38993501853091794	9.608312685698925	0.0013586320231134955	0.09733500587421991	0.004277845572116724	0.695703532877783	2.6606918040821358e-08	1.315425009061303e-06	0.6319419486354112	89.3672830812045	3.5554339656537783e-06	0.0005082910303926577	62.686105078306	107.31159512925558	0.0001956528485832496	0.0005726948295703502	3.319867022857666e-10	1.6152284896780217e-09	3.644548009980319	296.3554519541438	8.609459420410317e-18	4.513878924622465e-16	3.7056803235978316e-16	4.327670552604366e-14	24.853269568257897	35.1467303851937	0.0019459144181559265	0.000732929250896334	0.0015022075883637225	0.0002630979143337161	0.0	0.0002309480134244727	0.00032490165935793115	7.141717296172233e-10	6.218917258330623e-11	3.633791762383511e-08	3.410593400410989e-11	0.0009184777764871662	1.7277756739912975e-05	3.8268821242306946e-08	9.715821097686862e-09	1.73639628687035e-10	2.6125445124741656e-08	4.1649909053110546e-09	29.99999997234092	9.516357144676816e-09	1.3099102745717947e-08	3.587520822304323e-08	1.4861630212659562e-15	2.499972644175791	3399.9999946250723	1.1961803649062297e-09	2.73553829212687e-05	4.4129615800555796e-10	1.4249722573204892e-13	2.07620546196702e-08	5.352580349907591e-06	4.5722909803006375e-06	7.554161467410809e-08	1.4914976262127003e-09	0.9999999646769976	2.6597116296895994e-08	8.725888533264417e-09	2.7549176689699605e-10	4.923524790783418e-09	32525.893336993115	2599.9999975081837	3.3481923931571025e-10	2.4914824142872303e-06	1.201814994006442e-10
583.6710025779416	816.3289580880061	7.01831601657947e-07	2.449749316391219e-05	0.1767078003703947	19.819185926180545	8.882615687458646e-06	0.0009761363754840762	0.38986061449454157	9.606460197816903	0.0013694635539410512	0.0981230134643105	0.004277564766394977	0.695656725212179	1.9687664811126073e-07	9.641030402573648e-06	0.631934476185938	89.3660954341305	1.1215508734819621e-05	0.0015937817698825792	62.68459570090413	107.30883297942047	0.0006086475259455208	0.0017631257191871269	5.042044989706577e-08	2.392230539898792e-07	3.6445531250491507	296.35543869701286	4.2279208426015485e-14	2.1255789399890165e-12	1.929099792673966e-12	2.1696890378165675e-10	24.85328685549489	35.14670381587457	0.0008273861779893234	0.0009970988506477377	0.0020333386710184947	0.0003641713326751854	0.0	0.00031454913732834007	0.0004634439711285124	2.9830668720029567e-09	2.566743182415896e-09	1.20273265899471e-06	1.4303465597705983e-09	0.0031125631910885877	5.5743783396795254e-05	2.297497677755826e-06	6.111700443294244e-07	1.0669864104345296e-08	8.670708989985232e-07	1.3875714242377647e-07	29.999996912240043	5.886188620819549e-07	1.6886018688632314e-06	8.177618847689108e-06	3.1282736084279474e-12	2.4998159027657407	3399.999963563863	1.591811819813405e-07	0.0001840883581287603	8.876145527532835e-09	3.1668266651593226e-10	1.4047726799828774e-07	3.6056130478312455e-05	1.409684829000768e-05	5.871000443068388e-06	1.1365872940248267e-07	0.9999966138733598	2.5250781772359403e-06	8.610484651054987e-07	4.6419899296165665e-08	7.76598484239528e-07	32525.846209478845	2599.999983172284	4.4555924813475706e-08	1.678316051380979e-05	3.394085465979958e-08
583.6714180042463	816.3281900333398	7.081742500094999e-06	0.00024557484303986104	0.17666567436311684	19.81441683867297	2.8282377407796822e-05	0.0031007034177283686	0.3897384142677135	9.603424754143877	0.0014069362443591112	0.10081888049294746	0.004277152477101633	0.6955883856830529	6.514757567741737e-07	3.18320762639505e-05	0.6319258343610485	89.36472657852121	2.0514136282313156e-05	0.0029098674600134787	62.68280380877462	107.30558115906982	0.001087334382924573	0.003139679761513704	7.549399273620662e-07	3.554709223394938e-06	3.6445573660637884	296.3552980353369	4.176959583224235e-12	2.074218854231327e-10	1.868410388007017e-10	2.0780270724241143e-08	24.8532493804114	35.14659226954646	0.00041409281338293795	0.0011048599828313009	0.00220777389925927	0.00040522811365112084	0.0	0.0003486340150176204	0.0005193608496762884	5.7717263905046556e-09	1.994023496263942e-08	7.635353987458279e-06	1.1161847490020268e-08	0.005709232855112752	0.00010070253192351333	2.068240839830674e-05	5.577066085220762e-06	9.669793807586588e-08	5.508589876733721e-06	8.824651482420306e-07	29.99995891418206	5.345277146359094e-06	2.3457784225217794e-05	0.00014457917515721549	1.967843012118885e-10	2.499478811282914	3399.9998936798847	2.2526877691055416e-06	0.0005211441626464253	4.4554455069226526e-08	1.9228946615089716e-08	4.032592383506766e-07	0.00010218408709102784	2.5107664467782776e-05	5.962464250781583e-05	1.1475474974842937e-06	0.9999631824834051	2.7375724452237957e-05	9.441792143775022e-06	7.403849273698709e-07	1.154304732509204e-05	32525.793067305403	2599.9999518055065	6.305430466899046e-07	4.7563948760473395e-05	7.397093146835127e-07
583.6715714137821	816.3264980212543	3.504924074755105e-05	0.001212070210334176	0.1765994319424619	19.80691809120613	6.992726699053192e-05	0.007661479316558898	0.38955531987410474	9.598881652671414	0.0014695743461897817	0.10531700517785186	0.0042765048656674635	0.6954811118732308	1.7933090147528718e-06	8.758896321261312e-05	0.6319163338661391	89.36317772437015	3.087669030819296e-05	0.004376522648735358	62.68091113408154	107.30209360044475	0.0015761597607240848	0.004544335399453666	4.847675755885971e-06	2.2748370418570877e-05	3.644555158334306	296.3544345572402	1.0750682283711393e-10	5.311481710805981e-09	4.433147249041488e-09	4.906997276870824e-07	24.8529004696512	35.146013417403296	0.00025988397064110604	0.0011553142494550542	0.0022507546312188643	0.0004243004525321663	0.0	0.0003645767080161459	0.0005450303739327885	8.519060675851133e-09	9.141662223872635e-08	2.8555331311463704e-05	5.1248136905621025e-08	0.008375861747764645	0.00014671770355344848	9.621260167852457e-05	2.6083188374480505e-05	4.5102535234434537e-07	2.0606974911820793e-05	3.302468107387069e-06	29.99975128864691	2.4955391958630165e-05	0.00014432499856417553	0.0010099375000842137	3.899241789705739e-09	2.498948679488361	3399.999767670601	1.4037279765026995e-05	0.0010511894165129857	1.3109514319731668e-07	3.4302921616520894e-07	8.296622948777637e-07	0.00020635439551794382	3.6331901125947904e-05	0.00029582239531372083	5.680276979083469e-06	0.9998125819779006	0.00013918555131035132	4.823247078955104e-05	4.94675717969553e-06	7.326964653411977e-05	32525.71865896303	2599.9999000184343	3.9291327326631564e-06	9.605243092973373e-05	6.161316116236568e-06
583.6711173241459	816.3218864336541	0.00012726050540752814	0.004395542485304161	0.1764763837136761	19.79296199755309	0.00016503003903475005	0.018081874928877494	0.3893092543537076	9.592763374768401	0.0015560861373743692	0.11152461962491832	0.004275223367343279	0.6952683728848555	4.854703941009139e-06	0.00023712887661553344	0.631905149776766	89.36116838513261	4.328254548203429e-05	0.006133933875218375	62.67904635675287	107.29839626787295	0.002052055305002879	0.005911271004953551	2.08333105813892e-05	9.759603688112533e-05	3.6445295878786315	296.35092490888053	1.5392412084123537e-09	7.586680421933766e-08	5.620430489173864e-08	6.2074321000311454e-06	24.851421321173984	35.143737754771365	0.00020057170459797656	0.0011850106383318841	0.0022450606339013365	0.0004353973446668623	0.0	0.0003739467579020942	0.000559709339452568	1.1055291143802624e-08	3.559100611557651e-07	8.891660358023908e-05	1.9958803631813136e-07	0.010974890060198611	0.00019153237540407822	0.00033799662483325986	9.179219840169556e-05	1.5858841201586435e-06	6.417167114527224e-05	1.0285669979283473e-05	29.99896389071316	8.780205479158241e-05	0.0006046322728861947	0.004541763073034607	4.812457048512127e-08	2.49822735473949	3399.9995372101594	5.935357994119999e-05	0.0017723527346668294	2.925258561306631e-07	3.6920467102323367e-06	1.4429199157051256e-06	0.0003483542908229292	4.72368202379482e-05	0.00107470187895395	2.062087900744643e-05	0.9993133017326304	0.000509706804588949	0.00017699146278173555	2.181701933167064e-05	0.0003118529086719316	32525.563831261068	2599.9998212369433	1.6613482307273338e-05	0.00016214957199314528	3.182205060210579e-05
583.6691396310536	816.3086089923947	0.00040507206698504265	0.013984266215526934	0.1761999258050026	19.761537116765172	0.0004030722191454515	0.04417533989065271	0.3890040898114835	9.585115018048041	0.001664978769047926	0.11933386873458686	0.004272129566320736	0.6947535537518947	1.3377895942156229e-05	0.000653518172527771	0.6318890206851994	89.35775621829151	6.176723522865934e-05	0.008756883668584415	62.677431050079505	107.29430468117177	0.002497141720006824	0.007188902165028441	7.310261019865008e-05	0.00034216091738026576	3.6444321819174266	296.33921749145475	1.6641409091279858e-08	8.192603159806079e-07	5.366054272289294e-07	5.9207906874389254e-05	24.846451966266116	35.13621842129121	0.00017536141416569324	0.0012076962784965325	0.002220872921282445	0.0004437808504833393	0.0	0.0003810947977649463	0.0005706279183846944	1.3301262788984094e-08	1.3758194505280546e-06	0.0002646467623985223	7.713186005352202e-07	0.01340126857259406	0.00023339581919875582	0.0010598685838622928	0.0002876400162162793	4.97140892519182e-06	0.00019099606235677537	3.0617112087842265e-05	29.996417329654296	0.00027545436630543955	0.0020928195187280628	0.016317279592304317	4.795316927514046e-07	2.497324193417531	3399.999060025897	0.00020676597560767305	0.0026752540643239196	5.525181595599935e-07	3.256750652453783e-05	2.304256637435329e-06	0.00052650610124775	5.7406051036724e-05	0.0034170647755412914	6.559081372265015e-05	0.9978126852992123	0.0016232924162894139	0.0005640222844985222	7.787920736568722e-05	0.001087877875587566	32525.154652186207	2599.99969705029	5.787524623979635e-05	0.00024507446456485134	0.00012651858520892532
583.6628297191953	816.2695671741154	0.0012316694291463872	0.042513430248660306	0.1754869593508994	19.68037318029858	0.001041744512104101	0.11420146065896195	0.3886516421580796	9.576078899730371	0.0017938743907741524	0.12857148836191518	0.004263761708484179	0.6933590398539582	3.756739506526035e-05	0.0018353053684367394	0.6318580015841547	89.35011843495995	9.867056211029307e-05	0.014001956145659458	62.67665226227908	107.28916632800234	0.0028769617199029193	0.00827716571889987	0.00023242211422805088	0.0010873891611267261	3.6441227380137096	296.30317122348214	1.5691210061838145e-07	7.720251851336243e-06	4.5852982123739005e-06	0.0005057567897022188	24.831130293707275	35.11313467022117	0.00016194465942908013	0.0012285458072462216	0.0021889756818308467	0.000451420524362719	0.0	0.0003876563122235042	0.000580507976788791	1.5096316194026628e-08	5.859320641510974e-06	0.0007874941867851036	3.2822349529589923e-06	0.015451716699323445	0.00026890296959468206	0.0032103324788430674	0.0008679023240893281	1.5029794405328938e-05	0.0005683078843138906	9.112851773205654e-05	29.988639480822282	0.0008342386855840929	0.006631891432580528	0.05243089460361652	4.339243077549027e-06	2.496258180574227	3399.997914898559	0.0006578556950361551	0.003740885483975272	9.339418026385089e-07	0.00027080466032794296	3.5993632429313763e-06	0.0007372437506210213	6.604001830783856e-05	0.010348958818930018	0.00019903494743259563	0.9933697094892079	0.0049211042216005104	0.001709186289191804	0.0002507889090340692	0.0034587753064940657	32523.97894369252	2599.9994726943473	0.0001841384456732391	0.00034316720734715964	0.0004356137531964919
583.6438209741202	816.1541963771518	0.0036882479501009497	0.12728178735371598	0.17350551211189597	19.454663171900346	0.0028133272291040717	0.3084235278615878	0.38828257985481757	9.565970294477964	0.0019380437959965417	0.13889000623082134	0.0042398702194032	0.6893752076803192	0.00010638772582781828	0.00519676458736887	0.6317820796456568	89.32982370516235	0.0001907609499514805	0.02710172601421352	62.678360757041936	107.28089931578296	0.0031203999248806407	0.008970329003717326	0.0007039277665355924	0.0032921983420156147	3.643188438622838	296.19521364645266	1.3852412757300736e-06	6.812751586030772e-05	3.797113962738373e-05	0.004187386076851427	24.7852418752949	35.044086266647035	0.00015242708374650326	0.0012494126740516536	0.002153164579218569	0.00045898722706127555	0.0	0.0003942102828090633	0.0005903247823335915	1.60946855844853e-08	2.9938724798829028e-05	0.002316044640908812	1.6751669639227735e-05	0.016673533533540293	0.00029071507673935785	0.009640050463260786	0.0025770173076691168	4.4877144124050175e-05	0.0016712214513231543	0.0002682335582745311	29.96523181291867	0.0025033346347299373	0.020282478719674913	0.15933632399988246	3.741831725026359e-05	2.4950691219663583	3399.9948406424555	0.0020168106503441357	0.0049294207575472215	1.4572760937485436e-06	0.0022241726104345627	5.886726033411749e-06	0.0009729050891354	7.150272415444251e-05	0.030638880578417373	0.0005925560973934356	0.9802764334584825	0.014645749519607107	0.00507781702190991	0.0007715452753308348	0.010590163881726124	32520.52267915374	2599.998982618973	0.0005645197226172581	0.00045286130987643244	0.0013922098453249938
583.5901670162759	815.8231730239331	0.010781882026087083	0.37189951001412747	0.16793861095245008	18.820707261677022	0.007571620658012943	0.8296366974008973	0.3879665737186566	9.555265413741617	0.002090231912407446	0.14974806272158736	0.004171283274472621	0.6779430751360543	0.0002928834812124375	0.014297005140936061	0.6315679079496559	89.27191748605095	0.00044679013032970365	0.06351981519314132	62.68665142074995	107.26265483190798	0.0032347259394193886	0.009297107998996338	0.0020384894519461707	0.009527606947609494	3.640450685030293	295.88030197027325	1.1536045799900418e-05	0.0005669076054922288	0.00030543980129774047	0.03366317916359672	24.651536360082243	34.843115445693975	0.00014430508609819512	0.001270848855310021	0.0021148748101814485	0.00046656728244719615	0.0	0.00040090544444111386	0.000600344825621191	1.638404599357159e-08	0.00018427578807782044	0.006498714050134568	0.00010301300736722846	0.016776367140101063	0.00029649670838156563	0.028512203219084598	0.007378624434176362	0.00013055970425207615	0.0046876430689687205	0.000754371026390768	29.89570229692731	0.007387996578245296	0.06084238301749152	0.4615421625634724	0.0002997449523789356	2.4938197491416343	3399.9861089287333	0.006063646944704904	0.006178113546509309	2.13731185483284e-06	0.017405437183092065	1.0832430363003122e-05	0.0012212898992315963	7.402299183757499e-05	0.08667603344386214	0.001703219155574448	0.943324280483013	0.042140966391551314	0.014534753125434523	0.0023112907324662328	0.03178331216903559	32510.5361609729	2599.9977342620878	0.00169725992800387	0.0005684779991895516	0.004284011308086565
