	T	Tm	Tmw	Tw
0	32554830.0	134173.0	9818.0	26180.0
1	33038926.611429665	137812.91848850003	9912.27760148854	27376.343689974965
2	33529985.292696398	141655.01455715534	10009.758374487159	28641.98066741976
3	34028089.07371095	145712.09695602077	10110.637789414071	29981.66895971401
4	34533320.582196675	149997.95911279542	10215.129332967352	31400.539597793766
5	35045761.89589162	154527.46442391718	10323.46660312861	32904.12919008002
6	35565494.37900649	159316.63975014648	10435.90568414794	34498.41560958691
7	36092598.501326084	164382.77796444803	10552.727842432088	36189.857111360696
8	36627153.63811872	169744.55051022532	10674.242591473723	37985.435238085374
9	37169237.84883831	175422.1310227597	10800.791181268865	39892.70190625198
10	37718927.632378876	181437.33118896573	10932.750576510325	41919.831110153355
11	38276297.65636302	187813.75016101252	11070.53799920213	44075.675732177064
12	38841420.45770741	194576.93896829913	11214.616122731944	46369.829994598884
13	39414366.11134069	201754.58156422633	11365.499020294987	48812.698158272935
14	39995201.863648064	209376.69430172144	11523.758986619256	51415.57013030732
15	40583991.726778395	217475.84586105842	11690.034373431341	54190.70472626049
16	41180796.02953915	226087.3998672302	11865.038602341065	57151.421409446804
17	41785670.92010288	235249.78269551691	12049.570547478039	60312.20142429656
18	42398667.81516669	245004.77926562278	12244.526514774412	63688.799349636625
19	43019832.7896473	255397.8599133942	12450.914083160547	67298.3662011953
20	43649205.90022421	266478.54182587424	12669.868122373317	71159.58535590881
21	44286820.43533961	278300.7888848781	12902.669356855935	75292.82269905592
22	44932702.08335736	290923.4542263847	13150.765913354055	79720.29256154539
23	45586868.00959791	304410.7703211577	13415.798370537104	84466.241193629
24	46249325.83194015	318832.8918957936	13699.62892262705	89557.14970545033
25	46920072.48339546	334266.4976542765	14004.375386045773	95021.95863566913
26	47599092.94877193	350795.45739193866	14332.450912348222	100892.31653660619
27	48286358.86098186	368511.5718564389	14686.610436931784	107202.85523991424
28	48981826.94096203	387515.3934666569	15070.005084981289	113991.49474029921
29	49685437.26315952	407917.1369583367	15486.245999037195	121299.78098384711
30	50397111.32663995	429837.6898943199	15939.479327592646	129173.26016528881
31	51116749.909472115	453409.7340719989	16434.47445985158	137661.89354257364
32	51844230.68156658	478778.9899484685	16976.727999445495	146820.5171828228
33	52579405.54836265	506105.59739183786	17572.586463872518	156709.3515027394
34	53322097.69473001	535565.6473080355	18229.39129052409	167394.56594419235
35	54072098.29513975	567352.8799858199	18955.650447964523	178948.90463533372
36	54829162.85257965	601680.5673152264	19761.24181645639	191452.37942179182
37	55593007.12484655	638783.5973320329	20657.654546569884	204993.0372055647
38	56363302.59273981	678920.7807857455	21658.275867077427	219667.80909352316
39	57139671.42042098	722377.4005121447	22778.732332524	235583.4494082548
40	57921680.85366024	769468.0253194829	24037.296347841588	252857.5731605328
41	58708836.99725958	820539.6105934669	25455.37101721009	271619.8010486478
42	59500577.90841803	875974.9078975638	27058.06904755379	292013.0214547487
43	60296265.93860391	936196.2051644778	28874.90466027345	314194.7791644896
44	61095179.25276197	1001669.4174283966	30940.621347098422	338338.8006005567
45	61896502.451755606	1072908.545085066	33296.18297121101	364636.66515091376
46	62699316.22229455	1150480.5119429512	35989.96130299237	393299.63158260455
47	63502585.938704826	1235010.3883413747	39079.15977239774	424560.6274496896
48	64305149.14359541	1327186.9946448966	42631.521187869635	458676.4076534741
49	65105701.84062971	1427768.866687341	46727.37662687228	495929.88571075967
50	65902783.54335368	1537590.5462436352	51462.10388086548	536632.6375980005
51	66694761.04090295	1657569.1351321063	56949.07693858899	581127.5729660044
52	67479810.86602646	1788711.0197526983	63323.203263656425	629791.7617473409
53	68255900.48556893	1932118.6320413002	70745.16321847549	683039.3952772113
54	69020768.2805962	2088997.0612779218	79406.4860543801	741324.8496181533
55	69771902.44595033	2260660.266831137	89535.61937783398	805145.8042753268
56	70506519.02029507	2448536.5627812515	101405.17375922213	875046.3514182065
57	71221539.3614552	2654172.9494562903	115340.55059757817	951620.0085354105
58	71913567.51181552	2879237.7525656344	131730.18860745858	1035512.5206577756
59	72578868.05852808	3125520.8968711705	151037.6907268343	1127424.3065110722
60	73213345.28652778	3394930.988382314	173816.1164590463	1228112.3660413346
61	73812524.6510678	3689488.20896443	200724.74111375425	1338391.42488441
62	74371537.86083002	4011311.8449475532	232548.58807583124	1459134.045276961
63	74885113.1598436	4362601.085467467	270221.0264375008	1591269.3841222494
64	75347572.71887708	4745607.551102719	314849.6851534593	1735780.2300426718
65	75752839.38082218	5162597.869618529	367745.8552842965	1893697.9062199357
66	76094455.32772641	5615804.532157254	430457.42053505837	2066094.59027255
67	76365615.51666437	6107363.2784284325	504805.1578611096	2254072.5840019803
68	76559218.92291436	6639235.420780742	592921.9683732967	2458750.074183066
69	76667940.67311133	7213113.881072025	697294.2189212111	2681242.9724401264
70	76684327.98066422	7830312.339693955	820803.8855540329	2922642.5201016394
71	76600922.32644445	8491637.84549713	966769.5883333884	3183988.506807162
72	76410409.48518904	9197248.550113082	1138983.903919992	3466238.1897081626
73	76105797.70549169	9946499.932685561	1341743.5693757664	3770231.32107184
74	75680622.56768847	10737784.941049065	1579868.4063376642	4096652.093934427
75	75129174.77099968	11568375.799112353	1858704.0904383818	4445989.284735879
76	74446744.4130757	12434277.636112861	2184103.393053624	4818496.378776904
77	73629872.38791677	13330106.307274735	2562380.3838589806	5214153.960855708
78	72676596.60982783	14249004.429578198	3000232.475311083	5632637.073135011
79	71586678.24040747	15182610.328147983	3504626.268394306	6073290.505530774
80	70361791.3906873	16121093.846869504	4082645.0351420715	6535115.0064633135
81	69005659.34267814	17053270.477822006	4741298.363500317	7016767.111017432
82	67524121.56756714	17966800.846843377	5487297.878355399	7516574.635607504
83	65925118.927235655	18848476.3710998	6326806.77226807	8032568.886506889
84	64218589.400678106	19684584.343369924	7265174.6981323995	8562533.337909041
85	62416273.1313367	20461337.5922271	8306672.862465154	9104067.07955602
86	60531432.89556488	21165346.276784126	9454246.343541233	9654659.891671384
87	58578503.37300559	21784103.4368745	10709301.260889329	10211774.57559044
88	56572688.88972298	22306452.649931382	12071543.149379449	10772931.33997954
