	Pfr	Pi	Pr	S	V	Xa	Xi	Ya	Yi	preS	prepreS
0	10.0	0.0	0.0	0.0	30.0	0.0	6.0	0.9	0.0	0.0	200.0
1	9.753099166515193	0.003073447109031571	0.24382738637577533	0.0032408885085453798	34.4239733172195	0.017239881077143686	5.982760118922858	0.9	0.0	0.05548603974509925	199.9413132371131
2	9.512294290059039	0.012091084772475263	0.4756146251684899	0.04235015859561928	37.869227934684375	0.06333574830452675	5.936664251695476	0.9	0.0	0.3938883365645207	199.55962635194294
3	9.277434907178177	0.02675756170290713	0.69580753111892	0.18461133106443042	40.53310760218928	0.13078943839345047	5.869210561606551	0.9	0.0	1.177571637132598	198.60837470720347
4	9.048374224734129	0.046788457692730344	0.9048373175731463	0.5035635858583375	42.17985599848986	0.21331086033483335	5.786689139665169	0.9	0.0	2.467731722334974	196.91751030159992
5	8.824969065696829	0.07190986177018181	1.1031210725329927	1.0609369185126536	40.40926419373061	0.3057156793595678	5.694284320640435	0.9	0.0	4.253841036818604	194.3845163295004
6	8.607079808169358	0.101858347953375	1.2910618438772787	1.896514877124001	34.19479077474717	0.4038699408176981	5.596130059182305	0.9	0.0	6.467936535999124	190.97060664104825
7	8.394570271939354	0.1363801211230741	1.4690496069375791	3.0244845173715333	27.428188854343365	0.5044721653896856	5.495527834610318	0.9	0.0	9.018539113776152	186.68356397147014
8	8.187307692675514	0.17523134775452812	1.6374609595699638	4.435321418231373	21.563297357837943	0.60503600837685	5.394963991623153	0.9	0.0	11.788664636258542	181.57655483044672
9	7.9851624953279945	0.21817711003256338	1.7966603946394473	6.098435265903285	16.848807660009392	0.7036760842256471	5.296323915774356	0.9	0.0	14.660675395145955	175.73105797907272
10	7.788008210490457	0.2649911938584377	1.9470005956511112	7.9676786565436055	13.156919635202012	0.7990191710453265	5.200980828954677	0.9	0.0	17.52135333261512	169.2493097126257
11	7.595722059571493	0.31545762951807693	2.0888203109104357	9.984779440990689	10.272266397151018	0.890195030340528	5.109804969659475	0.9	0.0	20.270989287989895	162.2483568021552
12	7.408183724603643	0.36936719650377	2.2224490788925917	12.089166020577661	8.01911218961563	0.9765953113575042	5.023404688642499	0.9	0.0	22.824210034050974	154.84721101239217
13	7.225275778269332	0.426518555370551	2.3482056663601214	14.221330288682443	6.258682567938396	1.0578578251556217	4.942142174844382	0.9	0.0	25.113161963608338	147.16411271496264
14	7.04688382121598	0.48671855730849733	2.466397621475527	16.328974012812537	4.883684335011159	1.1338389566049594	4.866161043395045	0.9	0.0	27.089392559172158	139.31207717007305
15	6.872896343199186	0.5497817914570094	2.5773218653438077	18.375794736506595	3.8102812864791114	1.2045526314687414	4.7954473685312635	0.9	0.0	28.72285213654362	131.39514556598616
16	6.703204604769525	0.6155301928677459	2.6812652023627326	20.354057292402654	2.9726559997918747	1.2701199182744667	4.729880081725538	0.9	0.0	30.000011751510158	123.5059213916655
17	6.537702550626971	0.6837927426483669	2.778504706724665	22.303191935668778	2.319155820106337	1.3307317627895872	4.669268237210418	0.9	0.0	30.921422485287327	115.72438081996235
18	6.3762867403370524	0.7544052200649642	2.8693080395979864	24.33203712267876	1.8093371230208712	1.386622509673527	4.613377490326479	0.9	0.0	31.499048983770503	108.11761833285519
19	6.218856285198498	0.8272099749138809	2.9539337398876246	26.62326033084813	1.4115988257966305	1.4380510075891246	4.561948992410881	0.9	0.0	31.753611434263654	100.74023154774642
20	6.065312786707931	0.902055707188854	3.0326315061032183	29.369910330076713	1.1012815873768567	1.4852869831366369	4.514713016863368	0.9	0.0	31.712103398962586	93.6351179508965
21	5.915560275751604	0.9787972514745858	3.1056424727738134	32.62801084653782	0.8591588426253369	1.528601235318789	4.471398764681216	0.9	0.0	31.405585845651128	86.83452244534844
22	5.769505152785156	1.0572953667042913	3.1731994805105557	36.198256452886625	0.6702481717863433	1.5682591201423566	4.431740879857648	0.9	0.0	30.866964823175536	80.36160249882388
23	5.627056129308003	1.1374165320526886	3.235527338639311	39.74380726004214	0.5228626424617495	1.6045144692702213	4.395485530729783	0.9	0.0	30.130718971138467	74.23030005301379
24	5.4881241707606145	1.2190327492327222	3.2928430800066653	42.92092502564559	0.40788478166290243	1.637608466792688	4.362391533207316	0.9	0.0	29.23007767680556	68.44818125547239
25	5.3526224408510625	1.3020213511206928	3.3453562080282464	45.51724472694892	0.31819686826977034	1.6677672330895765	4.332232766910428	0.9	0.0	28.19679776820934	63.01692470638603
26	5.22046624727261	1.3862648165105342	3.3932689362168573	47.47007218583145	0.2482410944808588	1.6952011557961926	4.304798844203812	0.9	0.0	27.06052662621262	57.93338257879943
27	5.091572988768489	1.4716505907850719	3.4367764204464413	48.81798081424129	0.1936788895348957	1.7201048441089777	4.279895155891026	0.9	0.0	25.84840056472112	53.19051220991898
28	4.965862103505061	1.5580709123096064	3.4760669841853344	49.64520563531524	0.1511246834610713	1.7426575896876288	4.257342410312375	0.9	0.0	24.584784355127084	48.778236841980416
29	4.843255018719276	1.6454226443695465	3.5113223369111797	50.04502224349161	0.11793721497516473	1.7630241078856201	4.236975892114384	0.9	0.0	23.29116515825044	44.68419048016412
30	4.7236751016088245	1.7336071124837849	3.542717785907393	50.10291343640127	0.09205612199164596	1.7813554436919175	4.218644556308087	0.9	0.0	21.986166781913614	40.89435241001288
31	4.607047611434572	1.8225299469315008	3.570422441633929	49.89172673575566	0.0718742830329905	1.7977906225188272	4.202209377481177	0.9	0.0	20.685654365073148	37.39357779040977
32	4.49329965280551	1.9121009303346383	3.5945994168598543	49.472062232215855	0.05613806562304776	1.8124558941408522	4.1875441058591525	0.9	0.0	19.40290878412075	34.16602671493563
33	4.3823601301171005	2.0022338501426	3.615406019740302	48.89394985138324	0.043869638919725	1.825466893599417	4.174533106400588	0.9	0.0	18.14880317913544	31.19555170047263
34	4.274159703114562	2.092846355870033	3.6329939410154073	48.19858399982683	0.034306339424951114	1.836929793933033	4.163070206066973	0.9	0.0	16.932029800062736	28.465987692875355
35	4.168630743553295	2.183859820942913	3.647509435503795	47.419778022279495	0.026853343329190493	1.8469420966904289	4.153057903309577	0.9	0.0	15.7593393345684	25.96137737932782
36	4.065707292929367	2.2751992090123707	3.6590934980582652	46.58515548377433	0.021046734304984317	1.8555933558730606	4.144406644126945	0.9	0.0	14.63577575783532	23.666147505785375
37	3.9653250212536393	2.366792944599863	3.6678820341465004	45.71714483007731	0.01652469092138695	1.8629658957206212	4.137034104279384	0.9	0.0	13.564900323342851	21.565244028427138
38	3.8674211868437482	2.458572787941297	3.674006025214957	44.833821142267446	0.01300501216166974	1.8691355014556255	4.130864498544379	0.9	0.0	12.54900193171649	19.644231684578852
39	3.77193459710883	2.550473713901614	3.677591688989559	43.949619338741975	0.010267587978843438	1.8741720581490373	4.125827941850967	0.9	0.0	11.58929202574271	17.8893632669732
40	3.6788055703024645	2.6424337948351333	3.678760634862405	43.07593614733301	0.008140727134784588	1.878140127789613	4.121859872210392	0.9	0.0	10.686082614597783	16.287623739589606
41	3.5879758982199457	2.7343940872706254	3.6776300145094316	42.22163670174849	0.006490493728357663	1.8810994657006759	4.118900534299328	0.9	0.0	9.83894663336987	14.826753913763872
42	3.499388809816547	2.8262985223036594	3.6743126678797964	41.39348073291395	0.005212390605704214	1.8831054818031308	4.116894518196873	0.9	0.0	9.046860519589574	13.495257802656496
43	3.4129889357240595	2.918093799582233	3.66891726469371	40.59648166609164	0.004224873515714914	1.8842096527854872	4.115790347214516	0.9	0.0	8.308329472484843	12.282397145401141
44	3.328722273643412	3.009729284775067	3.6615484415815236	39.83420980957995	0.003464293436141482	1.8844598905936072	4.115540109406396	0.9	0.0	7.62149628083919	11.178176022512417
