	EpoR	SAv	SAv_EpoR	SAv_EpoRi	dSAve	dSAvi
0	76.0	999.293	0.0	0.0	0.0	0.0
1	75.89677904482477	999.188757076043	0.10322095517522938	0.0010179644125588136	3.3543774931569014e-06	6.499916656266548e-07
2	75.7961392313682	999.0850943091059	0.20386076863178923	0.004013276333520881	2.6509142055436326e-05	5.136786612150302e-06
3	75.69801618017422	998.9820104836894	0.3019838198257716	0.008900038946033926	8.85071420218957e-05	1.7150396692092275e-05
4	75.60234703650093	998.8795041867885	0.3976529634990648	0.015595017511289784	0.00020760392564389402	4.022827534920949e-05
5	75.50907067449103	998.7775737836268	0.49092932550896057	0.024017989785407874	0.00040116556085674406	7.773551773027278e-05
6	75.41812742741074	998.6762174570471	0.5818725725892442	0.03409126268242775	0.0006858145465651273	0.00013289313452116138
7	75.32945911426401	998.5754332082831	0.6705408857359585	0.045739707033003826	0.0010774223432115741	0.00020877660456407885
8	75.24300900442068	998.4752188652184	0.7569909955792853	0.058890685621959205	0.0015911331063964559	0.0003083204738197217
9	75.15872178120559	998.375572090833	0.8412782187943831	0.07347397926172562	0.0022413880370120505	0.00043432307379394147
10	75.07654350668942	998.2764903912935	0.9234564933105588	0.08942171552322946	0.0030419488110025963	0.0005894510616197109
11	74.99642158823077	998.177971123572	1.0035784117691975	0.10666830120329052	0.004005919741043113	0.0007762437144177195
12	74.91830474225324	998.0800115036219	1.0816952577467251	0.1251503494112233	0.005145771662365607	0.000997117557752172
13	74.84214296430993	997.9826086130535	1.1578570356900428	0.14480661953816107	0.0064733615511040924	0.0012543701671590256
14	74.76788749639574	997.8857594063655	1.2321125036042277	0.16557795186640695	0.007999953861029243	0.0015501843026537268
15	74.69549079577322	997.7894607177864	1.3045092042267459	0.18740720536251593	0.00973624078862631	0.0018866318355795675
16	74.62490650475621	997.6937092678206	1.3750934952437655	0.21023919761280754	0.011692361791748682	0.0022656775308182936
17	74.55608942115734	997.598501669597	1.4439105788426323	0.23402064623503868	0.013877922595490194	0.002689182729636961
18	74.48899546949862	997.5038344349846	1.5110045305013518	0.2587001119869247	0.01630201360863303	0.003158908918319571
19	74.42358167292193	997.4097039805002	1.576418327078049	0.28422794342787666	0.018973227801226063	0.003676521192379714
20	74.3598061258522	997.3161066329913	1.640193874147771	0.3105562232471514	0.021899678004704385	0.004243591608876622
21	74.29762796726253	997.2230386351396	1.702372032737447	0.33763871592111877	0.025089013752072883	0.004861602449607516
22	74.23700735465536	997.1304961507548	1.7629926453446128	0.3654308169499517	0.028548437571975435	0.005531949378477101
23	74.17790543868598	997.0384752698791	1.822094561313998	0.3938895035083484	0.032284720794221705	0.006255944504200174
24	74.1202843384105	996.9469720137097	1.8797156615894897	0.42297328646609444	0.03630421888310306	0.007034819351501967
