observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
mM_BPG		condition1	1.49199	0.0		sigma_mM_BPG	log10	normal
mM_BPG		condition1	0.09778232538318328	0.5		sigma_mM_BPG	log10	normal
mM_BPG		condition1	0.006408478780352998	1.0		sigma_mM_BPG	log10	normal
mM_BPG		condition1	0.00042000014303408806	1.5		sigma_mM_BPG	log10	normal
mM_BPG		condition1	2.752605595651687e-05	2.0		sigma_mM_BPG	log10	normal
mM_BPG		condition1	1.8040083120397543e-06	2.5		sigma_mM_BPG	log10	normal
mM_BPG		condition1	2.1814236589241506e-12	5.0		sigma_mM_BPG	log10	normal
stdev		condition1	1.49199	0.0		sigma_stdev	log10	normal
stdev		condition1	0.09778232538318328	0.5		sigma_stdev	log10	normal
stdev		condition1	0.006408478780352998	1.0		sigma_stdev	log10	normal
stdev		condition1	0.00042000014303408806	1.5		sigma_stdev	log10	normal
stdev		condition1	2.752605595651687e-05	2.0		sigma_stdev	log10	normal
stdev		condition1	1.8040083120397543e-06	2.5		sigma_stdev	log10	normal
stdev		condition1	2.1814236589241506e-12	5.0		sigma_stdev	log10	normal
mM_3PG		condition1	1.89227	0.0		sigma_mM_3PG	log10	normal
mM_3PG		condition1	3.2864776746168194	0.5		sigma_mM_3PG	log10	normal
mM_3PG		condition1	3.377851521219648	1.0		sigma_mM_3PG	log10	normal
mM_3PG		condition1	3.383839999856967	1.5		sigma_mM_3PG	log10	normal
mM_3PG		condition1	3.384232473944044	2.0		sigma_mM_3PG	log10	normal
mM_3PG		condition1	3.384258195991688	2.5		sigma_mM_3PG	log10	normal
mM_3PG		condition1	3.3842599999978247	5.0		sigma_mM_3PG	log10	normal
stdev_1		condition1	1.89227	0.0		sigma_stdev_1	log10	normal
stdev_1		condition1	3.2864776746168194	0.5		sigma_stdev_1	log10	normal
stdev_1		condition1	3.377851521219648	1.0		sigma_stdev_1	log10	normal
stdev_1		condition1	3.383839999856967	1.5		sigma_stdev_1	log10	normal
stdev_1		condition1	3.384232473944044	2.0		sigma_stdev_1	log10	normal
stdev_1		condition1	3.384258195991688	2.5		sigma_stdev_1	log10	normal
stdev_1		condition1	3.3842599999978247	5.0		sigma_stdev_1	log10	normal
