	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
0	3.4e-06	1.4e-06	1e-09	0.0	9e-08	2.1e-10	0.0	0.0	0.0	0.0	2.5e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-08	1e-08	7e-10	0.0	0.0	0.0	1e-10	0.0	1.6e-07	9.4e-11	0.0	0.0	0.0	0.0	0.0	0.0
1	3.397377862978122e-06	1.3751752088425787e-06	8.274660623902958e-10	2.571783592967456e-10	9e-08	2.041533856708317e-10	4.143837796246564e-12	5.841407210446618e-13	1.118635811877088e-12	0.0	2.4991531557302405e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2053386349173341e-08	9.948588159674923e-09	5.656433350526362e-10	1.276406794765109e-10	5.0132089379319615e-12	5.0132089379319615e-12	1.5141184032508102e-10	7.821983902019557e-09	1.5995807772113425e-07	7.40121545166186e-12	1.9258345253626697e-12	8.468442697612034e-13	6.826931997769581e-11	5.636042882939928e-11	2.2324897316644815e-08	2.3588889902597303e-09
2	3.3833863880817834e-06	1.3007747197261565e-06	1.6733529708580043e-09	5.638431395182279e-10	9e-08	1.9599334552354647e-10	8.137568417598171e-12	2.0035896604214306e-12	3.865496398433965e-12	0.0	2.4989430389651523e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6983173346446002e-09	9.933367907757838e-09	4.384352984698002e-10	2.377791602438506e-10	1.791645522749463e-11	1.791645522749463e-11	1.6663209224216583e-10	1.7945038175304e-08	1.597200945045025e-07	9.928225093156145e-12	2.4103229196446613e-12	1.0569610348494538e-12	2.0026578918682664e-10	1.563787008645791e-10	8.179248457524073e-08	1.6039220887361284e-08
3	3.3406650729704892e-06	1.1056372158568893e-06	1.0367365803289077e-08	1.8875010606752765e-09	9e-08	1.8450583167125812e-10	1.1911127854864067e-11	4.64428117759952e-12	8.938759296278343e-12	0.0	2.4985235631535474e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0806718046880448e-12	9.896363785166433e-09	1.444925705834537e-10	4.985774570244943e-10	4.334693191817467e-11	4.334693191817467e-11	2.0363621483356924e-10	1.9052579794943564e-08	1.5911162538889524e-07	2.4256828294784064e-11	3.3630534154515232e-12	1.4764368464535093e-12	5.675809538253722e-10	3.7675857942638714e-10	2.252990069121557e-07	5.74321517875629e-08
4	3.2367304884735447e-06	7.087737687710315e-07	6.483985419361347e-08	1.0372416510313745e-08	9e-08	1.694192554231088e-10	1.5340624078300016e-11	8.655901629596442e-12	1.6584218868994684e-11	0.0	2.4974493333885582e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.584657469140726e-21	9.75253952986896e-09	9.889748912558552e-14	5.893755075003109e-10	8.528547451197394e-11	8.528547451197392e-11	3.474604701310458e-10	1.7839330229620045e-08	1.578475794029997e-07	6.08783797130918e-11	5.73756143523262e-12	2.5506666114422357e-12	1.515580846175852e-09	6.450889241955538e-10	4.634928547702189e-07	1.528760168306261e-07
5	3.0521663128958546e-06	2.333514030999387e-07	2.6407925079608397e-07	5.009427097755259e-08	9e-08	1.5639030291927104e-10	1.8355284045578886e-11	1.2174945758977102e-11	2.307946727617286e-11	0.0	2.494891447510651e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.404469875107395e-27	9.221298154296525e-09	5.13928414263705e-17	5.385248556482579e-10	1.2622067992375226e-10	1.2622067992375223e-10	8.787018457034815e-10	1.5959745962733975e-08	1.5587529100047016e-07	1.3913778861667513e-10	1.112915388153879e-11	5.108552489349558e-12	3.543419743546894e-09	4.968342937191629e-10	5.55268309144041e-07	2.9770993168866447e-07
6	2.840573124753424e-06	2.4615630031043004e-08	5.355402031419108e-07	1.5206930792281506e-07	9e-08	1.4573528270318806e-10	2.096918237128482e-11	1.5104191519693688e-11	2.8191343405833276e-11	0.0	2.4894983891257844e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.874746821024207e-30	7.983969250500694e-09	5.472721538122132e-16	4.929136544341883e-10	1.637902633681322e-10	1.637902633681322e-10	2.116030749499323e-09	1.3575318037036292e-08	1.5333588659824545e-07	2.7296673773544593e-10	2.177174677515387e-11	1.0501610874217464e-11	6.330969194473514e-09	9.371276849023911e-11	2.813663197411277e-07	4.0731482639461295e-07
7	2.666277368173645e-06	7.180240437336863e-10	6.03665129993753e-07	2.898971948405264e-07	9e-08	1.3699023464460027e-10	2.3253074825270185e-11	1.757511778591316e-11	3.2181572744216234e-11	0.0	2.479705915627974e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6430398872846503e-31	6.408639562337317e-09	-2.820840302260131e-21	4.5191396947588575e-10	1.9832933999680683e-10	1.983293399968068e-10	3.6913604376626956e-09	1.0828660436075818e-08	1.5035179652072073e-07	4.784896205356621e-10	3.989863770303118e-11	2.029408437202661e-11	9.167378504836054e-09	3.961059088178229e-12	6.295340478960246e-08	4.4376228527329563e-07
8	2.5338094427494403e-06	5.653537154410036e-12	5.273017057711156e-07	4.162318865317766e-07	9e-08	1.297743027017263e-10	2.5288637751327048e-11	1.9682631774499047e-11	3.5254427772447504e-11	0.0	2.4627239388294436e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.655113430551659e-32	4.9539566558949575e-09	-8.23948752383855e-24	4.149325229406191e-10	2.3013041751244375e-10	2.3013041751244373e-10	5.1460433441050535e-09	7.911795826888983e-09	1.4702271014623003e-07	8.407710782233002e-10	6.97841134925553e-11	3.72760611705555e-11	1.2088163019068236e-08	4.115404281991037e-14	7.597115038375778e-09	4.498635979675347e-07
9	2.4318498804740816e-06	1.2025012102618747e-14	4.32457351830608e-07	5.175471305048743e-07	9e-08	1.2379591462845888e-10	2.71369260645016e-11	2.1496254599112632e-11	3.7570904707926615e-11	0.0	2.4323781597178614e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.681715002257823e-29	3.624019919169973e-09	1.7872400112020495e-20	3.8148226390547044e-10	2.59450576769619e-10	2.5945057676961896e-10	6.475980080830037e-09	5.120739671151159e-09	1.434304954126814e-07	1.5577421403106411e-09	1.213093731689679e-10	6.762184028213857e-11	1.4879260221036391e-08	1.0781247937456357e-16	5.409628098861104e-10	4.504545427218071e-07
