	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
76	0.2586348892291001	0.05390842614809707	0.24144743615373762	0.022324414385475132	0.05390104470180038	0.004653100116207421	0.0019266062748573207	0.004651519144463047	0.036164187329072374	0.15897732233926046	0.028138585834152047	0.01592848610572256	0.02813635440240332	0.012889306616901455	0.007295230189107897	0.01288632325833628	0.0807483405643522	0.1721916933575514	0.27219000265684506	0.027808306642448086	0.12260546299899185	0.027809997343154234
77	0.25863088913088833	0.05390899529312055	0.2414453356093773	0.02232522567734326	0.053902628342952785	0.004653400963130571	0.0019268245448940953	0.004652036047670954	0.03616364300846473	0.15897717176659124	0.028138094761257573	0.01592840402048717	0.028136176808527213	0.012889217038586502	0.007295416681544518	0.01288665142488161	0.08074894137886401	0.17219150606655098	0.27219003917748863	0.027808493933448513	0.12260529206533254	0.027809960822510717
78	0.2586274417123724	0.05390948381986123	0.24144352385566328	0.02232592521945176	0.05390399389204154	0.004653660180233606	0.0019270129237438903	0.004652482252296185	0.0361631758187353	0.15897704210554237	0.028137672134865663	0.0159283334535728	0.028136024085374245	0.01288913954486867	0.0072955771534054595	0.012886933809083467	0.080749462514184	0.17219134358559154	0.27219007149302016	0.027808656414407964	0.12260514088469435	0.02780992850697923
79	0.25862447160443386	0.05390990304653196	0.241441961742824	0.02232652819486592	0.053905170977318735	0.004653883453910314	0.0019271754430815983	0.004652867279858251	0.03616277493682676	0.1589769304875333	0.028137308523449367	0.01592827280502817	0.02813589278662233	0.012889072531677079	0.00729571519011003	0.012887176725844447	0.08074991432316138	0.17219120269561144	0.27219010004628746	0.02780879730438805	0.12260500736361209	0.02780989995371189
80	0.2586219135564768	0.053910262714807346	0.24144061533697175	0.02232704775870786	0.05390618526855846	0.004654075705776559	0.001927315601202814	0.004653199394470764	0.03616243104129726	0.15897683443263927	0.02813699577757712	0.015928220694625603	0.028135779937654315	0.012889014603635597	0.0072958338949201595	0.012887385629706491	0.08075030584876822	0.1721910805840918	0.27219012524121267	0.0278089194159077	0.12260488959532444	0.02780987475878676
81	0.2586197111052988	0.053910571211184186	0.24143945524312235	0.02232749530160637	0.05390705899291905	0.004654241193516442	0.001927436431516182	0.004653485763959547	0.03616213610752707	0.15897675179650014	0.028136726859143205	0.015928175932128363	0.028135682972219522	0.012888964547708893	0.007295935945292341	0.012887565231280429	0.080750644983241	0.17219097479578807	0.2721901474446253	0.027809025204211375	0.12260478585032125	0.0278098525553741
82	0.2586178154145796	0.05391083575162971	0.2414384560099889	0.022327880682154026	0.05390781138804965	0.0046543835986886835	0.0019275405629364307	0.004653732601962422	0.03616188322936035	0.1589766807263539	0.02813649569198385	0.01592813749147282	0.028135599677048297	0.01288892130991306	0.007296023653305776	0.012887719596597916	0.08075093860980931	0.17219088318883108	0.27219016698841836	0.027809116811168415	0.12260469456554421	0.027809833011580975
83	0.25861618425897714	0.05391106254522539	0.24143759560995254	0.022328212429372503	0.053908459097660254	0.004654506103624198	0.0019276302727529112	0.0046539452923881714	0.036161666464721694	0.15897661962145235	0.028136297032027652	0.015928104488323994	0.028135528143835922	0.012888883974883419	0.007296099012646418	0.012887852234711785	0.08075119272797761	0.17219080389590344	0.2721901841718784	0.027809196104096007	0.12260461433289413	0.027809815828120983
84	0.2586147811473892	0.0539112569306352	0.24143685498739406	0.0223284979189932	0.053909016514817554	0.004654611457722805	0.0019277075326530944	0.004654128497789389	0.03616148070265892	0.15897656710017916	0.02813612635501585	0.015928076160779563	0.028135466727745796	0.012888851748045183	0.007296163745322005	0.012887966172075153	0.08075141256356996	0.1721907352901243	0.2721901992640754	0.027809264709875096	0.12260454388756979	0.027809800735923894
85	0.2586135745558822	0.05391142349927253	0.24143621766559964	0.022328743526107045	0.05390949608054355	0.004654702035507061	0.0019277740488302447	0.0046542862538577695	0.036161321548594284	0.15897652196974207	0.02813597975923	0.01592805185260693	0.02813541401157094	0.012888823940041132	0.00729621933449051	0.012888064018687079	0.08075160266546964	0.1721906759550462	0.27219021250624126	0.027809324044953183	0.12260448209654791	0.027809787493757936
86	0.2586125372605065	0.05391156619895207	0.24143566940274594	0.02232895475906579	0.053909908544939975	0.0046547798870646764	0.0019278312971563215	0.004654422052315028	0.03616118522475744	0.15897648320074526	0.028135853880735317	0.015928030998718035	0.0281353687745231	0.01288879995303506	0.0072962670574829806	0.012888148024731764	0.08075176699124693	0.17219062465808732	0.2721902241141331	0.027809375341912065	0.12260442794720447	0.027809775885865955
87	0.2586116457632716	0.0539116884202443	0.24143519789421392	0.02232913637562408	0.05391026319300834	0.00465484678140285	0.0019278805536704655	0.004654538912778678	0.036161068484630424	0.15897644990609566	0.028135745820299565	0.015928013112708934	0.02813532996532824	0.012888779268810838	0.007296308017999097	0.012888220128576211	0.08075190898193965	0.17219058032732165	0.2721902342802791	0.027809419672677745	0.1226043805365521	0.02780976571971988
88	0.25861087978746417	0.05391179307734358	0.2414347925136614	0.02232929248310475	0.05391056804098439	0.00465490424463312	0.0019279229211152356	0.004654639445355129	0.0361609685391403	0.1589764213206348	0.02813565308010863	0.01592799777599414	0.028135296679028168	0.01288876143838683	0.007296343165028512	0.012888282000337158	0.08075203162770732	0.17219054203109427	0.2721902431761188	0.027809457968905108	0.12260433906101174	0.02780975682388016
89	0.25861022184033894	0.053911882674838374	0.24143444408669204	0.022329426626332843	0.05391083000784848	0.004654953593006759	0.0019279593521746778	0.004654725905460344	0.03616088299260832	0.1589763967844737	0.02813557350864273	0.015927984628411124	0.028135268136764452	0.012888746072894119	0.007296373314072609	0.012888335078761947	0.08075213752578277	0.1721905089600222	0.27219025095403465	0.027809491039977232	0.12260430280673872	0.027809749045964217
90	0.2586096568415988	0.05391195936102747	0.2414341446965549	0.022329541863542267	0.05391105506247931	0.004654995960927258	0.0019279906694586117	0.004654800240966683	0.03616080978810781	0.15897637572988774	0.028135505253494102	0.01592797336024651	0.028135243668456413	0.012888732835710523	0.0072963991703743816	0.012888380601655957	0.080752228930655	0.17219048041140309	0.2721902577492178	0.027809519588596336	0.12260427114076278	0.02780974225078104
