time	C	M	X	Y	Z
24.0.	0.21966126685213402	0.356748239275667	0.1530483410085	3.035343337528861	0.42228351881534304
25.0.	0.22702806248829302	0.432860210115705	0.185967441535579	3.070590566933942	0.432240504311166
26.0.	0.21696406308436303	0.496699142025302	0.23022702698862202	3.1044456987527	0.441823528975183
27.0.	0.18916050533699202	0.5385465266046391	0.281327940188204	3.1396055661876	0.44834586500806606
28.0.	0.14651412732190802	0.5482502966473171	0.33310613997783	3.178384868023572	0.44938870448678003
29.0.	0.096550966861492	0.515058723992866	0.37764163737862505	3.222179910775765	0.44336648880675306
30.0.	0.053381701393039	0.43176122406840606	0.40566183625476204	3.27067499215448	0.43037883879411704
31.0.	0.032313295726492004	0.31198567060632604	0.408979031812836	3.321101209073086	0.41304832453301904
32.0.	0.029304961224746004	0.193788350061063	0.38551796301833	3.369822574202204	0.395021538650823
33.0.	0.033838241465734005	0.108804072742224	0.34072022182417	3.415005048733129	0.37826933838848203
34.0.	0.044101694890586005	0.070546071122039	0.284891625047124	3.455886698052587	0.363742149823619
35.0.	0.061324035756997006	0.06968190139640901	0.22900266349297801	3.491728046106551	0.35239885900598705
36.0.	0.08630064142681501	0.09183782416798701	0.180947958208448	3.52165150259126	0.34537203991978704
37.0.	0.117639064723457	0.131358458554716	0.14585516265085502	3.544900189765496	0.34371043512561605
38.0.	0.15136076095390402	0.18607758140826	0.126839375131825	3.56127128949149	0.34793041061092805
39.0.	0.18203583680555102	0.252595048542597	0.12477549375010101	3.571436802282859	0.357662092362925
40.0.	0.20437568961876001	0.325292451395836	0.13859694916825102	3.576967887552732	0.37158410457517804
41.0.	0.21426570731289601	0.39688734358368205	0.166182148039137	3.580108254490809	0.38761450685699905
42.0.	0.209197264498194	0.45916426232484203	0.204734592202986	3.58344431772422	0.40321814613656204
43.0.	0.18859081253315102	0.5034748778452041	0.25048397724147403	3.589559146362322	0.415745629164579
44.0.	0.15434345848122402	0.520948451221929	0.29828499597482705	3.600666449196285	0.422808144802694
45.0.	0.111709130423288	0.502592848991491	0.341471679349165	3.618173474126733	0.42274111264367703
46.0.	0.070398218285268	0.44137073831903606	0.37211080095340104	3.642104288619961	0.41522984835856
47.0.	0.04315163423794301	0.341769174996349	0.38238258869100605	3.6704859802034973	0.402000277928357
48.0.	0.034304203583365	0.23004310027103303	0.36813804709129805	3.699826723967943	0.38642729760194006
49.0.	0.036456176544438	0.138941768706485	0.33192316578832504	3.7273790253812242	0.37129016724289504
50.0.	0.04543455413666601	0.088531832966004	0.282075093589691	3.751782457340485	0.358070182206009
51.0.	0.06144788979002701	0.07820237694105	0.229299469921062	3.772069696081592	0.34790402006464105
52.0.	0.08503430659539901	0.095135968845938	0.182480595819126	3.7872511664426973	0.341993535195424
53.0.	0.114858271698782	0.13119492066645902	0.14749834665994002	3.7964978120894872	0.341421164069703
54.0.	0.147185539575572	0.18283148336125601	0.127809587368857	3.799553376962121	0.34672119180777805
55.0.	0.176876054446633	0.24634349464499103	0.12450315054641001	3.797047633329894	0.357532762234099
56.0.	0.19888117135131902	0.31626697219444905	0.136670133358573	3.7905166342873713	0.372538278178621
57.0.	0.20925292604467802	0.38563239433620905	0.162293078048514	3.782169400670155	0.38966085225116803
58.0.	0.20556532635833202	0.44659050497574404	0.19869346415381903	3.77455074892114	0.40637913371371404
59.0.	0.187194260778617	0.490887523534957	0.24230544896431203	3.770194023511373	0.42006786046875105
60.0.	0.155782866392343	0.5101117834934561	0.28829822818079803	3.7712652549462753	0.42836268439602304
61.0.	0.11597651940157601	0.49587845589350504	0.33042448115501805	3.779153647125017	0.42959559371391604
62.0.	0.076284852497238	0.44156001324841904	0.36124540459270005	3.793954619816118	0.423358289591092
63.0.	0.048115123852178004	0.34989488975167105	0.37328575407465003	3.81392685048146	0.41111623414483506
64.0.	0.037165569836488006	0.24279518078876902	0.362048767765048	3.835771719103147	0.39601118596309004
65.0.	0.038111821226501	0.151431969717227	0.32910544000581404	3.856550941032867	0.380973314473775
66.0.	0.046449778995621006	0.09737083859550401	0.281873577471465	3.874649375248226	0.367710642100787
67.0.	0.061900603036682	0.08317199685082201	0.230646446486888	3.888983260168759	0.35745666734068204
68.0.	0.08483964454380001	0.09763245991150701	0.18449852386517201	3.8985152129468883	0.351444951908914
69.0.	0.11394706514258401	0.132037318698243	0.14959732289539002	3.902390667780216	0.350768967939636
70.0.	0.145606046648066	0.182250038743062	0.12957426021708401	3.9003327303817983	0.35597023453847704
71.0.	0.17481463721590101	0.24439844921792203	0.125652249758735	3.892950121991489	0.366696541332915
72.0.	0.196628020508464	0.31306494980222305	0.137030785592409	3.881758491671502	0.381639290024731
73.0.	0.20715958682469401	0.381403413088285	0.161757574661091	3.8689481753554773	0.39872980605059505
74.0.	0.204008414243386	0.441712267461126	0.197202638177838	3.8570457291670532	0.415455401422103
75.0.	0.18652933977273	0.48589814565333206	0.23987375169777303	3.848565634081668	0.42920096211395703
76.0.	0.156267771153582	0.5057361293314571	0.28505858506894	3.8456571571008373	0.43761105155309504
77.0.	0.11763927776765001	0.493085395644315	0.326674951360514	3.849704393226876	0.43901549855263305
78.0.	0.078704164191574	0.44150537956523006	0.357486173374896	3.8608311254624903	0.43296999836787303
79.0.	0.050324932681787005	0.35316696144225	0.37017685174391	3.8773862006614923	0.42083963203040703
80.0.	0.038552298065779006	0.248278885964642	0.360155748885977	3.896162772754374	0.40565957241979206
81.0.	0.038936564736279	0.157084094387991	0.328609173077099	3.914170226862745	0.39039647814572204
82.0.	0.046951419294248	0.10158170168711701	0.28253676574233805	3.9296899836099892	0.376850226541661
83.0.	0.062112360420855	0.08563069582754301	0.231999902522315	3.941586320573771	0.36629828633016603
84.0.	0.08472060650427801	0.09887391720495801	0.18611406471667402	3.948801710119142	0.359987913866456
85.0.	0.113473707832569	0.13243780080578801	0.15116884970205702	3.950470446577283	0.35901794992107605
86.0.	0.144820978986673	0.181936202040361	0.13088800351159002	3.946303911504002	0.36393638959614605
87.0.	0.173828941661532	0.24342464360718002	0.126576546540595	3.9368969558892113	0.374400250826087
88.0.	0.19559567932229802	0.311511455435976	0.137501944779774	3.923751995241618	0.389110170895935
89.0.	0.206252051255531	0.379408425751502	0.16175095382870902	3.909049137434801	0.40600425595532
90.0.	0.203396984075598	0.43947952798509904	0.19671797543147	3.895307676682971	0.422574038823719
91.0.	0.18636539769669602	0.483700744938701	0.23894430899566002	3.885036959525369	0.43620679053167205
92.0.	0.156649434505532	0.503927381442423	0.283771605029845	3.880383890588723	0.444546876620076
93.0.	0.11855346139889	0.492121022497822	0.32519290718376603	3.882736812198311	0.44591731131670104
94.0.	0.079933427228356	0.441905350902962	0.35606195205572605	3.892239541615953	0.43985070243856705
95.0.	0.051416940111674005	0.35516080789299903	0.36913014986701403	3.907287715694573	0.42766081777420606
96.0.	0.039221474770558006	0.25128771061354604	0.35975139541656703	3.924718947532591	0.412331563643312
97.0.	0.039303351294664	0.16007460685274003	0.32891656074291403	3.941518534492783	0.39684635475971203
98.0.	0.047126907306612	0.103736944709166	0.283410162340458	3.955918654046155	0.38304898724685005
99.0.	0.062106321430811004	0.08679543071388501	0.23317241064415803	3.966759536762532	0.37223735135476305
100.0.	0.08451388897406201	0.09933017977156	0.18733969509268603	3.97297467107547	0.365664756555218
