	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
70	8.379988099362928	2.371894822051586	1.468382047538639	0.20524726220272824	0.21045805016836427	0.3281313889401455	0.10479839468893311	0.06501221609714068	0.9144483002601412	1.9065827438678042	4.3417194091819775	2.0257233498682288	0.6378314938524258	2.90721127737684	1.0153132840450623	0.11872095613672184
71	8.181878383731965	2.379665912227508	1.9170002192986075	0.21798079261313733	0.3159629871898162	0.33113422610432725	0.13058837064485476	0.10967717383514027	0.9172370455216406	1.8981857220464091	4.878860267918102	2.189720912557026	0.6498723595593371	3.2266388559688686	1.0550069870319196	0.11968814672443424
72	7.993458991874394	2.36563119584842	2.3884476152145453	0.2270755946527692	0.4479803532360094	0.3327994006467255	0.15298840737117989	0.17160990133065607	0.9197757389302185	1.8240209983232474	5.408644122185224	2.344986802989969	0.6607033707374949	3.5358501071105244	1.0855477393335622	0.12035498758078281
73	7.827283432631174	2.328578642541445	2.874860315948139	0.23362854331384425	0.6109039269584957	0.3330211871205318	0.17183871881217308	0.2514571546141936	0.9219570515026563	1.6866030898649127	5.929042403692484	2.491159926690148	0.670403149340501	3.832315191034312	1.1094599225114123	0.1208364429896734
74	7.695654332395538	2.269361189873862	3.37057871538052	0.23840926145201852	0.8130140381149235	0.33158198972067365	0.18752909189209477	0.346921571468381	0.9236730103693563	1.4959220617150761	6.437343958732761	2.6263207987734267	0.6790661545209894	4.1099892848054544	1.1278366452439426	0.12119270197093701
75	7.609004813385885	2.1911629246611293	3.870236180162616	0.24194991392279003	1.0663366532375733	0.32809740173112145	0.20056926370417244	0.4512883819660871	0.924819936301931	1.2686278158406123	6.929568075714523	2.744710150187654	0.6867895266193268	4.353968970509066	1.140103282949271	0.12144807748921832
76	7.573093798718585	2.099419563749393	4.364801824583224	0.24461154878421149	1.3849963709080373	0.32194603743226863	0.21140768276602243	0.55267502285307	0.925307400498491	1.0267509093858471	7.398019514253936	2.8301311911493277	0.6936651501150244	4.526845813627313	1.1426213888037646	0.12158987335663245
77	7.586231516958636	2.0012729119808585	4.832127780514082	0.24663381235778103	1.7805242572086866	0.31223067382243247	0.2203813314618468	0.6354207372115659	0.9250706728795068	0.7950954870758747	7.82341816845331	2.8397943713601412	0.6997732193318468	4.545113730856404	1.1258280320694534	0.1215434967071005
78	7.6390825734909145	1.9045912007985266	5.221615596127405	0.2481629324308518	2.2520204473431176	0.2979162417592748	0.227728830587556	0.6845516136593288	0.9240863297584954	0.5964314807752784	8.156170126093084	2.691369769920549	0.7051718780527763	4.297433915661374	1.0752588572110002	0.12113442440874776
79	7.718519068496075	1.8166457519870052	5.4576693025111	0.24927203878842732	2.7734937652697673	0.2784204759591294	0.2336249618885613	0.6923808201536034	0.9223871037078378	0.44493137542160105	8.305395550928534	2.332750020946467	0.709881297075049	3.782478568385694	0.9893813550850635	0.12014781037506825
80	7.812834222476745	1.7427611584745557	5.489254326043718	0.2499919912198036	3.29254550557653	0.25464896361743516	0.23822493453693946	0.662912905799009	0.9200683233413222	0.3415994613074218	8.188772661133106	1.8353009422026598	0.7138782853996446	3.127651107166765	0.8883872753836354	0.11853362131942795
81	7.914350293569575	1.6854775847653853	5.32032783542766	0.2503432460646166	3.7484297086185405	0.22943188063221961	0.24169782496054004	0.6091867997754301	0.9172786381117811	0.2766689692269387	7.7858580027883875	1.3025790026390809	0.7171103489267562	2.4343672143579904	0.7890689129449143	0.11641732806849064
82	8.018933967773293	1.6447437212457416	4.9848623316567595	0.25034156426343834	4.0921117787121455	0.20630165416420568	0.24422531956566418	0.545545977509541	0.9141957978606748	0.23767344392323328	7.128999569710394	0.8015389788697692	0.7195013817153856	1.749345849539027	0.6942980228965953	0.11388049156470689
83	8.124531577290039	1.6189076622370717	4.522744839519681	0.24998532907403812	4.293642050292604	0.1877744842788321	0.2459795018925258	0.4824180861867564	0.9109988564030178	0.21527006521229905	6.291326274441279	0.38947691479573177	0.7209417683263104	1.1021516184434401	0.5996397237375349	0.11080854266362686
84	8.230082458764205	1.6057378602844767	3.9754533068202185	0.2492421591332732	4.340926046397368	0.1747637867733398	0.2471021036671977	0.4256034350457917	0.9078474945846362	0.20406857286009814	5.3929774445699845	0.13134786391814993	0.7212903237678139	0.5369038137801793	0.4994894446996853	0.10680343641213166
85	8.334961608976633	1.6030431647439785	3.3912181136780646	0.24804310360531565	4.237419130760245	0.16705166377754124	0.24769457989003993	0.37741498040848515	0.904871794955458	0.20129149352472406	4.5731161396517646	0.033207107262028523	0.720429457257512	0.1503708820227638	0.3977362305728313	0.10124400528901496
86	8.43872418486366	1.6089309322036272	2.82792006690575	0.24629745748895432	4.001634691836973	0.16394054854820223	0.24781747180332522	0.33784172637216187	0.9021700817336505	0.20561352001193675	3.8851941680483773	0.010806791924210156	0.7183230535259894	0.02105422113615454	0.32018166169666534	0.094424033357978
87	8.540979400912397	1.6218709460245215	2.3305306158365275	0.24393177407455888	3.6648305283185025	0.16465728868405732	0.24749513578711604	0.3055663979359724	0.899811383703872	0.2164827030376455	3.2931759625331027	0.007546731957585811	0.7149339716698047	0.005097918391744329	0.27508112855164124	0.08831668646059612
88	8.641314654370317	1.64067866583787	1.9045078876736845	0.24087798415314235	3.2610384090723685	0.1685084790261168	0.24671736940081657	0.2786866162264573	0.8978399769799573	0.23389190946341	2.763912588147169	0.00876478702572086	0.7101126086259432	0.004800111595361865	0.24503157756531496	0.08359016232514975
89	8.739223908110004	1.6644901992970793	1.536313532042933	0.23699632773070448	2.8183869717155705	0.1749341033565646	0.24542856019104944	0.25508505411108784	0.8962805738703967	0.2584432762746975	2.2839650243837	0.012282700370150277	0.7035600120703405	0.006759252757526917	0.2198309116624266	0.07954809019511917
90	8.834013541069684	1.6927504696684144	1.2126927959864655	0.23199673731299653	2.3581578424619054	0.1835141104341908	0.24350231043311388	0.2326353927095755	0.895143515721436	0.29147049766849475	1.8481994089492508	0.018982002355066543	0.6947807515649325	0.010612664023799075	0.19574679375727777	0.07550899576767904
91	8.924662579064606	1.725212651528611	0.925083182718634	0.22533574002889709	1.896909512381934	0.19393580670073102	0.24069269636577725	0.20931325172737192	0.8944296077925146	0.3351957265418417	1.4559637679207313	0.03165549048838091	0.6829850331108509	0.018043882052724194	0.17150675131847107	0.07103518595733535
