	EC	Fraction_Inactive_Channels	Rho	Y	Z
0	0.0	0.0	0.0	0.36	0.0
1	-0.17829842811691365	-0.44954522226622073	0.44954522226622073	0.47395408434180347	0.06434434377511004
2	-0.3371912222502234	-0.692094862910966	0.692094862910966	0.6263049436006323	0.07088627864959106
3	-0.4876484057158184	-0.8199119653144438	0.8199119653144439	0.768938745938807	0.07870965977701155
4	-0.6265762590997119	-0.8808308278231728	0.8808308278231729	0.8952747810158738	0.09130147808383829
5	-0.6700411747827322	-0.07439050075553753	0.0743905007555377	0.6122737867268985	0.4177673880558341
6	-0.6195895769832542	-0.29882105215786536	0.29882105215786553	0.804630292249709	0.17495928473354547
7	-0.5569840437027209	-0.14106748629460877	0.14106748629460902	0.6622017225440572	0.25478232115866334
8	-0.5146439971721273	-0.20772414254303284	0.207724142543033	0.6004461312533614	0.2741978659187649
9	-0.45251387640477503	-0.22689414455617132	0.2268941445561715	0.5783618687260981	0.23415200767867547
10	-0.39238354806461234	-0.20296542388255603	0.20296542388255623	0.5099212056675996	0.2424623423970112
11	-0.345555810825303	-0.22439179550925015	0.22439179550925034	0.45775711132344454	0.2477986995018569
12	-0.3001258610756139	-0.24891751026805822	0.24891751026805842	0.43092593718240846	0.22919992389320396
13	-0.2578052497949925	-0.24399794290070456	0.24399794290070467	0.38535672648408964	0.2324485233109012
14	-0.22956040932930313	-0.2833280737542428	0.2833280737542429	0.36348515477314153	0.22607525455616004
15	-0.1974125970130044	-0.2838281689151571	0.2838281689151572	0.3436451222438241	0.21376747476917882
16	-0.18470912983386453	-0.3185195867266456	0.3185195867266457	0.31737381802461573	0.22733531180924768
17	-0.16114121126426895	-0.32433666531217453	0.3243366653121747	0.332825926311659	0.18831528495260866
18	-0.23131311807596494	-0.549780093724462	0.5497800937244622	0.5041485627527154	0.08716455532324822
19	-0.38191458110620774	-0.7438789818622342	0.7438789818622343	0.668519735236967	0.07339484586923929
20	-0.5292776317760572	-0.8461133596232412	0.8461133596232413	0.8076080324833583	0.08166959929269729
21	-0.6629118905541266	-0.8897465803054948	0.8897465803054949	0.9239303476330674	0.09898154292105804
22	-0.6200048818011522	-0.09209700287702602	0.09209700287702619	0.7153727323875255	0.26463214941362523
23	-0.624459743775797	-0.3527115342688532	0.35271153426885327	0.7814448027254781	0.20301494105031687
24	-0.5434800407849003	-0.19816260567517313	0.19816260567517313	0.6830310836428206	0.2204489571420777
25	-0.48738339289631344	-0.16858833777205223	0.16858833777205218	0.5806592284098524	0.26672416448645875
26	-0.437066392846543	-0.22563134202036142	0.22563134202036142	0.5467464660136495	0.2503199268328915
27	-0.3783792869962024	-0.22289737878491706	0.22289737878491706	0.5045160662634557	0.23386322073274482
28	-0.32837561146299954	-0.21811035811429824	0.21811035811429824	0.44444314718386196	0.2439324642791357
29	-0.2885766992270746	-0.25401593083467205	0.254015930834672	0.41462935603836804	0.23394734318870455
30	-0.2473600814136383	-0.2571487666016734	0.25714876660167335	0.3835432248821155	0.223816856531521
31	-0.2188361856538608	-0.27415167865177403	0.274151678651774	0.3466284483073413	0.23220773734651787
32	-0.19382831313825669	-0.3084007750834422	0.30840077508344216	0.34857608022472414	0.20525223291353115
33	-0.17320903809719967	-0.2855588802058049	0.2855588802058047	0.29800635525644464	0.23520268284075335
34	-0.16918027953551035	-0.3782977797071133	0.3782977797071133	0.36524215460964093	0.1639381249258677
35	-0.2765579336031046	-0.6216819960198091	0.6216819960198091	0.5629467327472054	0.07361120085589709
36	-0.42896429686842485	-0.7830441197124041	0.7830441197124041	0.7134307826768385	0.07553351419158481
37	-0.5729840626307515	-0.8650023691055482	0.8650023691055482	0.8477274826512184	0.08525657997953168
38	-0.6978513835483059	-0.8880433873141378	0.8880433873141378	0.9385047363960802	0.11934664715222458
39	-0.6103317682604188	-0.18658461166888282	0.18658461166888277	0.7713116834809305	0.1990200847794882
40	-0.6000007854766185	-0.19472886701173428	0.19472886701173428	0.6400129526320553	0.31998783284456295
41	-0.5368210929609866	-0.24723724013134607	0.24723724013134607	0.6737452353502902	0.22307585761069562
42	-0.4677743279088949	-0.18868023486676447	0.18868023486676444	0.5874785343621256	0.2402957935467684
43	-0.41596971957523254	-0.20035771904365024	0.20035771904365018	0.5172943869158811	0.25867533265934994
44	-0.3655177828246316	-0.23580297560966787	0.23580297560966776	0.48804386417360696	0.23747391865102332
45	-0.31391102160420203	-0.22836931898440152	0.2283693189844014	0.4400015876344358	0.23390943396976466
46	-0.2747739567655847	-0.24608894738554243	0.24608894738554235	0.3957158550492908	0.2390581017162923
47	-0.23955838142638666	-0.27542272486093833	0.2754227248609382	0.38005237309481943	0.21950600833156564
48	-0.2071359155020116	-0.2665502052949185	0.26655020529491846	0.33862288492236775	0.2285130305796422
49	-0.19213593505362433	-0.3303645555127777	0.33036455551277766	0.34595972761859506	0.20617620743502751
50	-0.16254489487498813	-0.2783696107929459	0.27836961079294587	0.3036453071787902	0.2188995876961961
51	-0.18856439098941774	-0.4503011768913359	0.4503011768913359	0.4184651754278292	0.13009921556158682
52	-0.3240272452317725	-0.6829176246836164	0.6829176246836165	0.6122231795264912	0.07180406570527961
