time	ATP	Fru16P2	HMP
0.0.	4.0	1.0	0.1
0.0.2.0	0.16964619238691903	1.11274285887666	4.854461622387418
0.0.4.0	0.40801503821415	2.109557562252003	6.265207232678614
0.0.6000000000000001.0	0.765600815474019	3.060127922904436	7.446140780668863
0.0.8.0	1.141989376155736	3.813998345269753	8.333374929912006
1.0.	1.4737158188854211	4.388393003299847	8.982058211592754
1.0.2000000000000002.0	1.745772991897955	4.829887325164551	9.457553918979608
1.0.4000000000000001.0	1.962693264749833	5.176484531614931	9.80924162222032
1.0.6.0	2.133982139816387	5.454635730202418	10.071944738571295
1.0.8.0	2.269150921841475	5.682242322201573	10.270138768199882
2.0.	2.376287000882095	5.871512571199736	10.421183669686314
2.0.2.0	2.4618311229960312	6.030944369042638	10.537509264311684
2.0.4000000000000004.0	2.5307506017370462	6.166608933694458	10.628080587762122
2.0.6.0	2.586815017351685	6.282967488601525	10.699399143108865
2.0.8000000000000003.0	2.632865929665834	6.383390407476903	10.756201693323892
3.0.	2.671044497068938	6.470489761244416	10.801955566452056
3.0.2.0	2.702970538352151	6.546335417557232	10.839212765797003
3.0.4000000000000004.0	2.729878043571394	6.612598357216793	10.869864005414211
3.0.6.0	2.7527155058754973	6.670648142531396	10.89532104828849
3.0.8000000000000003.0	2.772219361572516	6.72162108955256	10.91664751919407
4.0.	2.7889675072785662	6.766469335615991	10.934652733539073
4.0.2.0	2.803418314173797	6.805997130603588	10.949959055019937
4.0.4.0	2.815939177663886	6.840888341300437	10.963050358932811
4.0.6000000000000005.0	2.826827538580853	6.871727737253823	10.974307032631167
4.0.800000000000001.0	2.836326482287664	6.89901775460615	10.984031385632415
5.0.	2.844636417306835	6.923191890425896	10.992466218511538
5.0.2.0	2.851923902370435	6.944625533121948	10.99980849705684
5.0.4.0	2.858328384144447	6.963644807361867	11.006219508678226
5.0.6000000000000005.0	2.863967391462139	6.980533858901682	11.011832476075643
5.0.800000000000001.0	2.868940579195527	6.995540898713549	11.016758320295523
6.0.	2.873332906881297	7.008883250365881	11.021090066453505
6.0.2.0	2.877217160484742	7.020751589666957	11.024906245521537
6.0.4.0	2.880655970862364	7.031313524751439	11.028273546951569
6.0.6000000000000005.0	2.8837034430530872	7.040716633934372	11.031248907112039
6.0.800000000000001.0	2.886406481959452	7.049091055018813	11.033881168879283
7.0.	2.888805879120091	7.056551701427082	11.036212412222985
7.0.2.0	2.890937209920839	7.063200166198633	11.038279030061524
7.0.4.0	2.8928315791982673	7.069126363600082	11.040112605123355
7.0.6000000000000005.0	2.8945162446658212	7.074409949121038	11.041740630002012
7.0.800000000000001.0	2.896015141164628	7.079121551459078	11.043187102612169
8.0.	2.8973493238549812	7.083323844332781	11.044473021843354
8.0.200000000000001.0	2.898537344721693	7.087072481301956	11.045616802660023
8.0.4.0	2.899595573878207	7.090416912987451	11.046634625709897
8.0.6.0	2.900538474909033	7.093401102989818	11.047540733317733
8.0.8.0	2.901378841732601	7.096064156267006	11.048347681300164
9.0.	2.902128003081461	7.098440871636953	11.049066554151612
9.0.200000000000001.0	2.902795999598068	7.100562228335112	11.049707149683902
9.0.4.0	2.903391737667364	7.102455815111751	11.050278138052551
9.0.600000000000001.0	2.9039231234029153	7.104146209145204	11.050787199195511
9.0.8.0	2.9043971796344383	7.105655311031819	11.051241141989832
10.0.	2.904820148282065	7.107002641256964	11.051646007855865
10.0.200000000000001.0	2.905197580125159	7.108205602825936	11.052007161075581
10.0.4.0	2.905534413663065	7.109279714116798	11.052329367716998
10.0.600000000000001.0	2.905835044509238	7.11023881549069	11.052616864751943
10.0.8.0	2.906103386547541	7.11109525274423	11.052873420704966
11.0.	2.906342925902358	7.111860040101138	11.053102388966186
11.0.200000000000001.0	2.9065567686257943	7.112543005106032	11.053306754731189
11.0.4.0	2.906747682880277	7.113152917494598	11.0534891763902
11.0.600000000000001.0	2.906918136289454	7.113697603863678	11.053652022071097
11.0.8.0	2.907070329040671	7.114184049747202	11.053797401942088
12.0.	2.907206223246133	7.114618490513978	11.053927196796733
12.0.200000000000001.0	2.9073275690046163	7.115006492337706	11.054043083373625
12.0.4.0	2.9074359275497	7.115353024344397	11.054146556803188
12.0.600000000000001.0	2.907532691822333	7.11566252291525	11.054238950523203
12.0.8.0	2.907619104764003	7.115938949011226	11.054321453960844
13.0.	2.907696275590777	7.1161858392872634	11.054395128241643
13.0.200000000000001.0	2.9077651942772293	7.116406351677418	11.054460920153435
13.0.4.0	2.907826744452095	7.116603306055795	11.054519674565448
13.0.600000000000001.0	2.9078817148837173	7.116779220510592	11.0545721454785
13.0.8.0	2.907930809712658	7.116936343708867	11.054619005861117
14.0.	2.907974657570599	7.117076683776774	11.054660856408283
14.0.200000000000001.0	2.908013819708767	7.117202034073161	11.05469823334329
14.0.4.0	2.908048797245047	7.117313996192931	11.054731615369295
14.0.600000000000001.0	2.9080800376266	7.117414000499616	11.054761429864955
14.0.8.0	2.908107940393934	7.117503324454002	11.054788058407485
15.0.	2.908132862322728	7.117583108976449	11.054811841697333
15.0.200000000000001.0	2.908155122011239	7.117654373054755	11.054833083950042
15.0.4.0	2.908175003973576	7.117718026786385	11.05485205681366
15.0.600000000000001.0	2.9081927622924892	7.117774883023442	11.05486900286343
15.0.8.0	2.908208623879383	7.117825667770518	11.054884138719839
16.0.	2.908222791384075	7.117871029469345	11.054897657830908
16.0.2.0	2.908235445792121	7.117911547289718	11.054909732955192
16.0.400000000000002.0	2.908246748743427	7.117947738533264	11.054920518377868
16.0.6.0	2.908256844602184	7.117980065245184	11.054930151888774
16.0.8.0	2.908265862304912	7.1180089401188305	11.054938756548133
17.0.	2.908273917010479	7.118034731768875	11.054946442262809
17.0.2.0	2.9082811115733733	7.11805776944068	11.05495330719357
17.0.400000000000002.0	2.908287537859229	7.118078347216237	11.054959439011506
17.0.6.0	2.908293277919538	7.118096727770523	11.054964916019825
17.0.8.0	2.908298405040636	7.118113145726408	11.054969808155542
18.0.	2.90830298468047	7.118127810651036	11.05497417788388
18.0.2.0	2.9083070753051583	7.11814090973203	11.054978080996962
18.0.400000000000002.0	2.9083107291360912	7.1181526101677655	11.054981567327058
18.0.6.0	2.908313992817138	7.11816306130225	11.05498468138349
18.0.8.0	2.908316908010533	7.118172396531961	11.054987462921435
19.0.	2.908319511929057	7.118180735008969	11.054989947449926
19.0.200000000000003.0	2.908321837811339	7.118188183162143	11.054992166685485
19.0.400000000000002.0	2.908323915346368	7.118194836055869	11.054994148957304
19.0.6.0	2.908325771052636	7.118200778603644	11.054995919569103
19.0.8.0	2.908327428616774	7.118206086652063	11.054997501122314
20.0.	2.908328909196006	7.118210827949023	11.054998913804713
