	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0	0.0718881703463	0.172	9.99995987352	0.0	1.00002047766	0.0	0.0	0.0	0.16	4.55143591758	0.0	0.246	8.19196275198	2.34	10.0	0.0	0.0	1.0	2.65492801346	0.0	3.10622230584	8.92966391891	0.0	4.13791713892	4.828
1	-58.71083045480445	31787723.297982957	-0.33708331092950944	10.337043184449513	31788340.634517368	-0.0010865707696074494	0.5181092808714183	0.37225090460968047	-0.21225090460968052	4.3360106617071	0.21542525587290762	4603692.354155955	10.262663525333636	0.28520908076398527	9.981402559190801	0.2775079150564446	0.0023462559219680637	1106235.4944421523	-9207369.118855475	-324.5902069153254	372.79814305041214	-0.018713953177037803	-31788339.634496894	-31787392.997224208	-31787718.297982942
2	-121.89204731408095	31787102.187438484	-0.33728779459388264	10.337247668113884	31788340.87011309	3.39243354563752e-05	1.1204366549938658	0.3720364867712977	-0.21203648677129783	4.336010715988404	0.21542520159160428	9554031.748063087	12.440048198071374	-1.913151792549228	9.981402666336095	0.2775079791305807	0.0051165272119820275	1106235.4998706765	-19108020.92287513	-675.1616008317983	759.5766607840467	-0.01873643504753304	-31788339.870092615	-31786421.324776042	-31787097.18743847
3	-185.13744584213782	31786504.950957607	-0.33755488216905233	10.337514755689055	31788341.034118365	0.018051946194955003	1.81126760008982	0.37182181004056153	-0.21182181004056164	4.336010731856023	0.21542518572398336	14504370.56627343	14.616585541275246	-4.114284567912413	9.981402773483444	0.27750801351651677	0.007886851929943853	1106235.50280777	-29008671.512753144	-1049.7412812439254	1170.3635181380628	-0.018751122307630166	-31788340.03409789	-31785449.516724236	-31786499.950957593
4	-248.4210489366525	31785908.466090903	-0.33764291826800663	10.337602791788008	31788341.173406165	-0.11102877032669052	2.5851884639670826	0.37160687302869205	-0.21160687302869216	4.336010739581207	0.2154251779987985	19454709.185708024	16.791560708772856	-6.311587826132889	9.981402880632803	0.27750803783627404	0.010657228882637815	1106235.5048846328	-38909321.66783718	-1425.134508403436	1581.9637349046304	-0.018756030659399417	-31788340.17338569	-31784477.645590186	-31785903.466090888
5	-311.71511648095645	31785311.9778086	-0.33880886771839563	10.338768741238392	31788341.298580617	-451670.6827171696	3.438099181429189	0.3713916734252263	-0.21139167342522652	4.336010744163985	0.2154251734160236	24405047.691607263	18.964151068360184	15709.612075560652	9.98140298778419	0.27750791465813046	0.013427659379836865	1106235.50647015	-48809971.297035344	-1800.8372369692818	1993.5841110721906	0.2716652730859987	-31788340.298560143	-31783505.460547544	-31785306.977808584
6	-374.99849745245484	31784715.486603178	-0.33866251782449347	10.33862239134449	31788341.41555602	-873373.1717433222	4.364202736215721	0.37117621161715236	-0.21117621161715258	4.336010747188796	0.21542517039121206	29355386.131518256	21.13382235455137	30382.64752486169	9.981403094937573	0.27750759347608334	0.01619814162106822	1106235.5077700906	-58710620.823476434	-2176.516019320316	2405.198267794315	0.5430555774430912	-31788340.415535547	-31782533.29572169	-31784710.486603163
7	-438.2606374487795	31784118.993172653	-0.33848868209634936	10.338448555616347	31788341.52665077	-1269726.8379996365	5.359690860447463	0.3709604853323147	-0.21096048533231485	4.336010749360044	0.21542516821996416	34305724.524099566	23.300339836332405	44173.545266616085	9.981403202092968	0.27750714427248224	0.018968675749418712	1106235.5088652044	-68611270.29330142	-2552.160412415938	2816.7941560331315	0.7983038583963817	-31788340.526630297	-31781561.162378218	-31784113.993172638
8	-501.4940062088099	31783522.497971565	-0.3382859707642068	10.338245844284206	31788341.633325297	-1644437.5377975453	6.420897602774774	0.37074449319794145	-0.21074449319794164	4.336010750969925	0.21542516661008246	39256062.881104365	25.46356906142792	57211.26930869421	9.981403309250375	0.277506609842976	0.021739261753813584	1106235.5098063573	-78511919.73600052	-2927.7634273781373	3228.3633470777418	1.0388474344490135	-31788340.633304823	-31780589.06806709	-31783517.49797155
9	-564.6917658726649	31782926.001364656	-0.33806072613141935	10.338020599651419	31788341.73672373	-2001095.6813281933	7.5435285696686485	0.37052823357136444	-0.21052823357136463	4.33601075222965	0.21542516535035774	44206401.211739935	27.62342154284889	69620.76615967191	9.981403416409794	0.27750602270848107	0.024509899608171452	1106235.5106333978	-88412569.17671815	-3303.3175558395073	3639.898337078534	1.2646872769420752	-31788340.736703254	-31779617.02077393	-31782921.00136464
