[Wnt{default}]	[Complex_br_(Wnt/Frizzled)]	[Frizzled]	[Complex_br_(Frizzled/Wnt/_br_LRP5/6)]	[LRP5/6]	[Casein Kinase 1]	[Casein Kinase 2]	[ATP]	[ADP]	[Glycogen Synthase Kinase-3_Beta_]	[Diversin]	[Complex_br_(Ebi/Siah-1)]	[Complex_br_(Siah-1/Ebi)]	[FRAT]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Axin/PP2A/_br_Adenomatous Polyposis Coli)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/Casein Kinase 1/_br_Glycogen Synthase Kinase-3_Beta_/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A)]	[Pygo]	[CBP]	[SWI/SNF]	[Bcl9]	[Wnt Target Genes]	[Complex_br_(TCF/Smad4)]	"[Wnt{""Cell Membrane""}]"	"[_Beta_-Catenin{""Plasma Membrane""}]"	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br__Beta_-Catenin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/_Beta_-Catenin/_br_PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/_Beta_-Catenin/_br_Siah-1/Ebi)]	[_Beta_-Catenin{Nucleus}]	[Complex_br_(TCF/Smad4/_br__Beta_-Catenin)]	[Complex_br_(TCF/_Beta_-Catenin/_br_Smad4/Bcl9)]	[Complex_br_(Bcl9/_Beta_-Catenin/_br_TCF/Smad4/_br_Pygo)]	[Complex_br_(_Beta_-Catenin/TCF/_br_Smad4/Bcl9/_br_Pygo/SWI/_br_SNF)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A/_br_Diversin/Casein Kinase 1)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Glycogen Synthase Kinase-3_Beta_/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1)]	[Ubiquitin]	[_Beta_-Catenin_2]	[_Beta_-Catenin_3]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Siah-1/Ebi/_br_Axin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)_2]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo/Casein Kinase 2)]	[Complex_br_(Dishevelled/Casein Kinase 2/_br_Beta-Arrestin/Frodo/_br_FRAT)]	[_beta_TrCP]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)_2]	[Complex_br_(_beta_TrCP/_Beta_-Catenin)]	[6 bromoindirubin 3'oxime]	[Complex_br_(Bcl9/Pygo/../Smad4)]
0.0	0.0	3.0	0.0	3.0	1.0	3.0	1.0	0.0	0.0	1.0	3.0	0.0	3.0	3.0	4.0	0.0	0.0	2.0	2.0	2.0	2.0	0.0	4.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.5	0.0
1.2413775662398965	0.809357317410557	0.6819212035468325	1.5087214790425922	1.4912785209574118	0.049590133155071936	2.4091340770552483	0.6930599597614787	0.30694004023851873	0.07400395566358788	0.7112002312245168	1.7829998543662242	0.9239598252041811	2.675651409303928	2.2338531424113848	2.1460862748270384	0.07431274282798417	0.9221570349760521	0.022697462434718155	0.08513527171248123	0.04740961302296907	0.006720593184476029	1.9138214503357855	0.6607624632121512	1.4405436373069564	0.10050807952311053	0.3481138107636892	0.1544414965320718	0.29201890732102376	0.7020208542859495	1.345958129972342	0.015976869250243293	0.02471215058825765	0.0377256586895096	0.33221330210791233	3.8941682346334034	0.0005906136654162742	3.099715879627468e-05	0.0006185303035616669	0.0010214131085709002	0.001802790228127567	1.125690801488784	0.2665173322486805	0.2503446350324867	1.1661959527540549	0.833548587480265	0.00011540519383964629	0.00014005457183163925	0.5	0.0010432779517338658
1.2413775662398974	0.8093573174105572	0.6819212035468323	1.5087214790425925	1.4912785209574115	0.056307658942056776	2.348793847363155	0.6985147245518889	0.3014852754481085	0.08131931462161876	0.7095540382615277	1.781685656089189	0.9254545116536184	2.6440008817269853	2.0178608019354267	2.1419323731676325	0.07453620241329661	0.9254448073648869	0.012146438324839508	0.04511983355370958	0.027858908661575643	0.0035803062250839646	1.9546297577767113	0.6601964490054014	1.4405436373069578	0.10080576800040657	0.3493073211830716	0.1550269421729896	0.29285432681103	0.7012998367072719	1.3433838572196992	0.008566132099756698	0.0157124703367429	0.017260924892131383	0.40744333362613055	3.8281743173740566	3.167991012480565e-06	1.6354419758256832e-07	3.3221285727305996e-06	5.505446162843262e-06	9.704288730299078e-06	1.274625386485664	0.2952070343638341	0.2746798036513982	1.1747340922772036	0.8252645536560919	6.124959017496169e-07	7.415707926782513e-07	0.5	0.00025040866957912097
1.2413775662398978	0.8093573174105577	0.6819212035468324	1.5087214790425931	1.4912785209574109	0.058975741797051874	2.3258173738009003	0.7019802568719139	0.29801974312808366	0.08408705122996628	0.7174142012744783	1.780259101816224	0.9254625589267806	2.63203453590446	1.9331951785619994	2.146385489623684	0.07453739119002054	0.9254625066574255	0.008912649976415039	0.031924115113394554	0.02104971099752903	0.0026212490656523065	1.9679646291919153	0.6584108548271251	1.4405436373069584	0.10115735468945805	0.35128781346700905	0.15765326941168023	0.29427830960575346	0.7036388648790178	1.344210394238544	0.006291400910763878	0.012137061021120764	0.01087440411586293	0.4228383985217598	3.8052453438992226	1.696354637193296e-08	8.729665064309584e-10	1.7894406013074468e-08	2.965124170928379e-08	5.226935329833238e-08	1.3336464534418442	0.3062171621035619	0.2838784128655759	1.1776886003347302	0.8223113924344293	3.2684031477156578e-09	3.9624289212777245e-09	0.5	0.00011125569469198519
1.2413775662398983	0.809357317410558	0.681921203546832	1.5087214790425931	1.4912785209574109	0.06000527816341089	2.3171015179667	0.7037996504360978	0.29620034956389857	0.085132811606716	0.7237425090121197	1.7791714811326504	0.9254626022025748	2.627511073583881	1.9006641533110404	2.1501213849423855	0.07453739753025564	0.9254626019220523	0.007364961154134304	0.02527089771652667	0.017456986607409252	0.002163176783251066	1.974665920562804	0.6569781830403564	1.440543637306959	0.10142839199486116	0.35279260520237515	0.1596717669186395	0.29536591650565436	0.7056711753183608	1.345184993742911	0.0052017843708843875	0.010092025453281675	0.007813911109114864	0.4231594644673421	3.797569440275412	9.060573975384176e-11	4.6577434333778414e-12	9.604212635549451e-11	1.5911929110003687e-10	2.805217168876596e-10	1.356432086492244	0.3104095556171848	0.2873561148094044	1.1786805781826195	0.821319421778786	1.743688268291757e-11	2.114896757876173e-11	0.5	6.318172066989591e-05
1.241377566239899	0.8093573174105576	0.6819212035468316	1.508721479042593	1.491278520957411	0.06041955198318853	2.313619464171145	0.7046959483306267	0.29530405166936974	0.08554950862646714	0.7274112312727987	1.7785524764944487	0.9254626024344884	2.6257073499652663	1.8875882848948442	2.152315621349496	0.07453739756407518	0.9254626024329864	0.006456275160416916	0.021225752621288053	0.015188160085979542	0.0018948675054017482	1.9787332819979122	0.656135419474931	1.4405436373069596	0.10158261347110367	0.3536480864177427	0.16082791588687223	0.2959849210702093	0.706868427349754	1.3457594480304866	0.004561407655016315	0.008731884925569347	0.006037592535305965	0.42138369159903416	3.7948693483810803	4.83582224840866e-13	2.4849908229267516e-14	5.140400236178784e-13	8.51565282775139e-13	1.501364098135564e-12	1.365611627293105	0.31208788579412633	0.28874314140826846	1.1790295847037477	0.820970415296037	9.302608867895704e-14	1.1284732247035011e-13	0.5	4.096538080142166e-05
1.2413775662398991	0.8093573174105579	0.6819212035468316	1.508721479042593	1.491278520957411	0.060594974940602356	2.31214979064818	0.7051259366006796	0.29487406339931754	0.08572508714393548	0.729309070338148	1.7782361316587834	0.9254626024357288	2.624946881512573	1.8820520572442203	2.1534600688879397	0.07453739756425563	0.9254626024357202	0.005853503535279685	0.018488484940072374	0.013602126689151657	0.0017172551043183088	1.9814826545318842	0.6556877031203701	1.4405436373069598	0.10166103343532117	0.354085133108983	0.16142253646741242	0.29630126590548145	0.7074867385729808	1.3460295519839645	0.004136248430962526	0.007748623153878687	0.004886358250918184	0.42004915071140686	3.793843891245279	2.5811239060058127e-15	1.3261708328927188e-16	2.7476639988606875e-15	4.551593530458236e-15	8.02498890715414e-15	1.3695027584633523	0.3127970908643964	0.28932803134349416	1.179162046326501	0.8208379536734884	4.964496703601146e-16	6.022628423657847e-16	0.5	2.8860528044442314e-05
1.2413775662399025	0.8093573174105514	0.6819212035468338	1.5087214790425971	1.4912785209574069	0.06067225098056318	2.311503387805317	0.7053297495693494	0.29467025043064815	0.08580223169199282	0.7302437158558195	1.778082408060962	0.9254626024357352	2.6246126152651286	1.8796130363494956	2.15402866229206	0.07453739756425656	0.9254626024357347	0.005419628390163317	0.016502765675008566	0.012418423308003721	0.001589606764901111	1.9834757113063792	0.6554568904920921	1.4405436373069587	0.10169873946346086	0.35429746162471265	0.1617138727541584	0.296454989503301	0.7077868133207027	1.3461327162728254	0.0038300216252633596	0.006998794917847119	0.004084342367002317	0.4192954529266477	3.793425600841065	1.3780669253684995e-17	7.079935012382185e-19	1.468054234391004e-17	2.4318601769477755e-17	4.287452417887233e-17	1.3712181004752528	0.31310922745981445	0.2895851530428817	1.179216039941946	0.8207839600580441	2.650404791592923e-18	3.2153746073013526e-18	0.5	2.1523018612692995e-05
1.2413775662398994	0.8093573174105575	0.6819212035468312	1.5087214790425927	1.4912785209574113	0.060707187389881984	2.311211374523037	0.7054258480806579	0.29457415191933994	0.08583706073466081	0.7306937179129599	1.778009882672989	0.9254626024357352	2.624461663188003	1.8785102285414763	2.1543059847989863	0.07453739756425656	0.9254626024357347	0.005088687663235395	0.014990019840496475	0.01149378362906734	0.0014923449232015639	1.9849932506497892	0.6553368949434907	1.4405436373069602	0.10171616740884551	0.3543976157869541	0.16185316093691585	0.29652751489127244	0.707926712333645	1.3461554499797261	0.0035963427400349827	0.006405095965838662	0.0034962362114266095	0.4189093680465597	3.793245615832682	7.352401206588063e-20	3.777302015752707e-21	7.834934563729645e-20	1.2978360759665805e-19	2.2882851956751963e-19	1.3719939585916756	0.31325028866496885	0.28970127607733864	1.17923926029337	0.8207607397066184	1.414020793876881e-20	1.715458057186973e-20	0.5	1.672950971576811e-05
1.2413775662398996	0.8093573174105578	0.6819212035468311	1.5087214790425925	1.4912785209574115	0.0607232367849026	2.311077279442666	0.7054710890363033	0.29452891096369427	0.08585304886675828	0.7309083187002731	1.7779764986804945	0.9254626024357352	2.624392358542262	1.8780035639204462	2.154441121366878	0.07453739756425656	0.9254626024357347	0.004825268165189676	0.01379501091315268	0.01074689626536966	0.0014149809787043	1.9861915700258845	0.655272074272375	1.4405436373069607	0.10172387470533582	0.35444369601388237	0.16191882080580888	0.29656089888376563	0.7079893209339303	1.3461429067063455	0.003410287186486527	0.005921628100186701	0.003048114647780506	0.41871965569717623	3.7931654113442996	3.9267878383168735e-22	2.017366015355185e-23	4.1851444263474176e-22	6.932543999314949e-22	1.2223181307112326e-21	1.3723504787373109	0.31331507909960205	0.28975459259098196	1.1792496041118103	0.8207503958881772	7.551942528834353e-23	9.161881766693325e-23	0.5	1.3419060964369366e-05
