	s1	s10	s11	s12	s13	s14	s15	s16	s17	s2	s3	s4	s5	s6	s7	s8	s9
18	0.26101537903199445	6.836762842448923	0.6298218489959192	1.057623590218743	1.290443054275905	0.23982323313654955	0.3013807877865748	0.1908591101701173	0.206751531096296	1.4802630058677995	66.44378482987098	0.1933786876445048	5.651052981779844	6.314744518040243	0.06994594325146854	6.840973227876929	1.9913754285072074
19	0.2555575553599976	7.089169967595871	0.6270323640125522	0.9927974637301544	1.2468732614725373	0.23932857571319732	0.29232513616021044	0.1882712390360277	0.2078320428690686	1.44660096591877	66.65689668821541	0.19251139458645897	5.412143180033207	6.332209218984597	0.06797867947571717	6.859893320566645	1.892578946269541
20	0.2504663163167985	7.332687522804551	0.6241202483109916	0.9342992987740603	1.2051962983656712	0.23877849975342835	0.28360700294443403	0.1856975408004066	0.20885878924808607	1.4154425164014373	66.85020954956492	0.19170204550881062	5.187038955522674	6.34800607956719	0.0660784025273977	6.877006586197788	1.8008043473913589
21	0.24571046586181844	7.56792674779744	0.6210991533451146	0.8814748280715122	1.165344789099592	0.2381780053371985	0.27521785623703	0.18314174005689274	0.20983523742129895	1.3864836061341055	67.02519553975404	0.1909411462184763	4.974972644075867	6.362250548052662	0.06424383165240505	6.8924380937237215	1.7155457671608623
22	0.2412630337605579	7.795455571559022	0.617981539913945	0.833739056876984	1.1272517416496375	0.2375316731650257	0.2671488517915214	0.18060710901277935	0.21076457393925932	1.3594956052126395	67.18316819951312	0.19022212523535184	4.77521306310396	6.37504873439527	0.062473580442269805	6.906302795594879	1.6363327448337623
23	0.23710017065668745	8.015801609411124	0.6147788179737279	0.7905690519940741	1.0908509683811543	0.23684371398665446	0.2593909446429439	0.17809652370625695	0.21164973893581304	1.3342965419000787	67.32531686715906	0.1895401448574719	4.587065250814316	6.386498533609989	0.06076618327751966	6.918706744744158	1.5627281939489497
24	0.23320046749065823	8.229454988076569	0.6115014554348984	0.7514973717097589	1.0560773756475623	0.23611800690576784	0.2519349719773722	0.17561250825769098	0.2124934523151235	1.3107347507294254	67.45272862882203	0.18889143233180472	4.409869653421761	6.396690488957271	0.05912011536176534	6.929748029703712	1.4943263028568026
25	0.22954451628226724	8.436870993980225	0.6081590670831738	0.7161061342980913	1.0228671695608569	0.2353581305821018	0.24477171725017052	0.1731572713329354	0.2132982348591363	1.288679427889641	67.56640313322163	0.1882728998249356	4.243001012042295	6.4057084901139465	0.057533808555665415	6.939517530956772	1.4307504621661193
26	0.22611461039627295	8.638472547540443	0.6047604900409456	0.6840216923223346	0.9911580054394089	0.23456738964453042	0.2378919614022509	0.17073273723874288	0.21406642594987305	1.2680150454366206	67.66726322546627	0.1876819251446623	4.085867092255382	6.413630360969895	0.05600566430215524	6.948099557717382	1.3716512687328062
27	0.22289452733692428	8.834652510048132	0.6013138495473966	0.6549098666388783	0.9608890974198105	0.2337488376751749	0.2312865246917567	0.168340573087242	0.21480019889810512	1.248637934388364	67.75616305623298	0.1871162222849151	3.9379073385087033	6.420528369070402	0.054534064419518274	6.955572399826266	1.3167046299253706
28	0.21986936202873356	9.025775831560424	0.5978266173540111	0.6284716897465685	0.9320012984812774	0.23290529758919207	0.22494630133896784	0.16598221291303245	0.21550157447575535	1.2304540985292165	67.83389460248146	0.18657376246990856	3.7985915013058915	6.426469676032932	0.05311738024769432	6.962008815702341	1.2656099777425533
29	0.21702539237552207	9.212181548964095	0.5943056641921771	0.6044396085302381	0.9044371575523622	0.2320393799315934	0.2188622884256247	0.16365887931168024	0.21617243302645645	1.2133777368942347	67.9011931355152	0.18605272386255745	3.6674182656672243	6.431516741086362	0.05175398046639401	6.967476469510228	1.2180885946880056
30	0.21434996659241037	9.394184643493757	0.5907573072866029	0.5825740991273347	0.8781409582758215	0.23115349943823865	0.21302561004745713	0.16137160298649295	0.21681452540101137	1.1973301833981977	67.95874194897517	0.1855514577842982	3.5439138981511227	6.43572768576414	0.05044223780613873	6.972038326244486	1.1738820492272657
31	0.21183140611094142	9.572077766800131	0.5871873536047011	0.5626606503121683	0.8530587427473358	0.23024989010601796	0.20742753745257933	0.1591212404828414	0.2174294828899427	1.182239099846358	68.00717653426868	0.1850684646564714	3.427630923148123	6.439156625376138	0.049180534814802876	6.975753010824152	1.1327507365585159
32	0.2094589202793444	9.746132844309273	0.5836011393604392	0.5445070757591205	0.8291383227561183	0.2293306189555593	0.20205950573206638	0.15690849032347795	0.2180188262805583	1.1680378294942761	68.04708832030767	0.18460237584682698	3.3181468351984313	6.44185397143643	0.047967268805697474	6.978675135722803	1.0944725194318177
33	0.20722253045533123	9.916602564188109	0.5800035661831555	0.5279411194521508	0.8063292805389911	0.22839759863109088	0.19691312751993034	0.15473390771631396	0.21858397413807892	1.154664857788513	68.0790280540791	0.184151939255767	3.21506285161156	6.443866708320408	0.04680085608931568	6.980855600680448	1.0588414633516714
34	0.20511300188251438	10.083721759758948	0.576399134289866	0.5128083222217832	0.7845829607017795	0.2274525989563984	0.1919802040838843	0.15259791797768413	0.21912625039204658	1.1420633489612342	68.10350887506048	0.18371600739601548	3.118002708075362	6.445238646828851	0.045679735574247024	6.982341867397924	1.0256666604409612
35	0.20312178220870197	10.247708692745256	0.5727919729494437	0.49897012078339764	0.7638524547001301	0.22649725754797498	0.187252734132735	0.1505008287939684	0.21964689129663326	1.130180739524768	68.1210091224744	0.1832935272327626	3.026611498854095	6.446010656925433	0.044602371810621586	6.98317821166922	0.9947711363504781
36	0.20124094578884544	10.408766244269419	0.5691858684895431	0.48630215374606245	0.7440925790701769	0.22553308957317564	0.1827229206231734	0.14844284142911635	0.22014705182417937	1.1189683767256624	68.13197490567222	0.18288353133995708	2.940554562414369	6.446220881610358	0.04356725754002129	6.983405955077886	0.9659908348058407
37	0.19946314309583804	10.567083020079789	0.5655842900678154	0.474692751848303	0.7252598484371096	0.2245614967308222	0.17838317581387364	0.1464240609734527	0.22062781154411426	1.1083811940467092	68.13682246228247	0.18248513009218126	2.8595164127582313	6.44590493365702	0.04257291580816643	6.983063678128434	0.9391736746357133
38	0.19778155468291958	10.722834376056568	0.5619904134048574	0.4640415921777402	0.7073124441952005	0.2235837755232202	0.1742261247856846	0.14444450571904488	0.2210901800335752	1.0983774182082287	68.135940324868	0.18209750470579728	2.7831997163257856	6.445096076746783	0.041617901690300906	6.982187416475676	0.9141786744006596
