time	a1	a2	a3	x1	x2	x3
0.0.	1.0	1.0	1.0	0.01	0.01	0.01
0.0.5.0	0.9967627841601711	1.643319237505481	12.764466106362354	0.016475700200793	0.016475875802969	0.016476226374801003
1.0.	0.9914531967826111	2.694877984333457	162.60380873399197	0.027133473121867	0.027134474112250003	0.027135662533058002
1.0.5.0	0.982773512120468	4.4041387831678325	2064.249619056011	0.044654672374861	0.044657920342673005	0.044660520973230006
2.0.	0.96866206889837	7.15686108610108	26057.394152015222	0.07340669993594001	0.07341511559003	0.07342003602737901
2.0.5.0	0.945924489462816	11.522591257569303	325884.6685255862	0.120447319110451	0.120466659207766	0.12047536123635001
3.0.	0.9098205124302571	18.272248296279425	4014298.92615827	0.197033868568872	0.19707512980820702	0.197089935653383
3.0.5.0	0.8538403432724551	28.27174928008026	48247293.82574706	0.32073604095816705	0.320819668045809	0.320844170022333
4.0.	0.7703006852373551	42.050382728213	557431022.6176791	0.517994418303729	0.518157427452236	0.518196937595743
4.0.5.0	0.6529700296198521	58.76583837782646	6051246143.674408	0.8262062791597161	0.826513913537076	0.826575700329861
5.0.	0.5029490897575001	74.62022888239481	59685957747.279274	1.292779031405362	1.293343931405349	1.293436636803355
5.0.5.0	0.336246442999522	82.23440804962723	510929546560.794	1.966282517035355	1.967301860438409	1.967433143052462
6.0.	0.184497041586505	74.36710662359094	3589019437485.0264	2.8745692553511732	2.8764315292516063	2.876603449023076
6.0.5.0	0.078479347352085	52.12016437522554	19538183540386.902	3.992930848233156	3.996653871524617	3.996858075012902
7.0.	0.024820288810249003	27.13663335390553	79016084479472.27	5.223292889669345	5.232676799218426	5.232895312024344
7.0.5.0	0.005783277345219001	10.376770892271388	234694557680959.22	6.407024110298395	6.440831058733027	6.441049019017219
8.0.	0.0010303136895750001	2.985977889296477	524578946753163.06	7.322057310302102	7.489646503641968	7.489886334657414
8.0.5.0	0.00015829787186700002	0.679713103047062	927547160917310.8	7.46799919002261	8.310244870389132	8.310694363881115
9.0.	2.739569702958717e-05	0.12975105458785602	1375330256200366.0	6.417379551953322	8.900699087731876	8.90242995779252
9.0.5.0	6.509666529153025e-06	0.021898516750974	1802951945477160.2	5.118704258033263	9.294721399889829	9.304243151844787
10.0.	2.059830098184201e-06	0.0034056667290990003	2177578102496804.2	4.143087801634317	9.507134203149258	9.566124405564793
10.0.5.0	8.008103573922789e-07	0.000503445459103	2495049763260308.0	3.453754913084516	9.374236683708498	9.732270559694129
