time	AcCoA	AcP	Acs	HOAc	LacI	OAc	Pta
0.0.	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0.	7.421797636875212e-05	1.386376710673372	0.062916249594894	2.3023585453195763e-05	0.003145812479744	1.101351069782538	5.518241328714177
10.0.	0.00014487619513200002	2.755880954513938	0.41939004852840506	9.070319638378376e-05	0.02096950242642	2.2266097571739722	4.25327252134012
15.0.	0.000357204687518	4.3151027088927965	1.287952023813884	0.00018528968904000002	0.064397601190694	3.15537705717172	3.157797567868536
20.0.	0.0008740124867470001	6.120948310342261	2.81818452658945	0.00028966490417200004	0.140909226329472	3.819860342122107	2.3403264904439602
25.0.	0.001967274888732	8.172432615064597	5.021701221359708	0.000389187343531	0.251085061067985	4.19927231788497	1.734000357329316
30.0.	0.004053821871975	10.388854681561346	7.731037597095085	0.00047353867796300005	0.38655187985475403	4.335395159706838	1.284667058504657
35.0.	0.007798828432505	12.626365584273303	10.663539622888091	0.0005378826071950001	0.533176981144404	4.306568376234553	0.9517460733138091
40.0.	0.014427044827046001	14.714922859596435	13.542210307463696	0.0005817846899950001	0.677110515373185	4.171564687565358	0.7050944251418331
45.0.	0.026621578679238003	16.46223547919737	16.168163935792446	0.000606019532983	0.8084081967896221	3.918315759774375	0.522362384914101
50.0.	0.051453295963425	17.57509895249044	18.417731816107146	0.0006080474671970001	0.9208865908053571	3.4084019951645033	0.38698705555517904
55.0.	0.10995833552577201	17.359367006028837	20.17979585835534	0.000574865801641	1.008989792917767	2.246590933329053	0.28669627241496803
60.0.	0.170095615639271	14.021601693583214	21.138602145167756	0.00047879057896500006	1.056930107258386	0.435864866602071	0.21239783028522802
65.0.	0.127751299846803	9.447747472779325	20.541144889852454	0.000364383016679	1.027057244492622	0.13154880318394502	0.1573560427813
70.0.	0.100066909532598	6.395694195186334	18.43985292810601	0.00027411755435000003	0.9219926464053011	0.07509767970526701	0.116581304940836
75.0.	0.08301785443408301	4.389361064905269	15.54278242637549	0.00020576754083000002	0.777139121318775	0.053593057665618005	0.08637766734040901
80.0.	0.072046887024569	3.054019553116728	12.532195853370176	0.00015448667968100002	0.626609792668509	0.042956814191520004	0.06400811467513201
85.0.	0.06489839566695	2.156214269987755	9.816744628607797	0.000116155251816	0.49083723143039004	0.036979919184874005	0.047446985882332
90.0.	0.06021916734818201	1.544717280352347	7.550444494510959	8.755961622332228e-05	0.37752222472554803	0.033386485264834	0.035197256737056
95.0.	0.057112697320380004	1.121898480362483	5.740426425051592	6.625371102120806e-05	0.28702132125258	0.031162645416911	0.026156480446803004
100.0.	0.05499040405577701	0.8259716356825021	4.331750318168612	5.039521970304085e-05	0.21658751590843	0.029835413928778004	0.019519847764284
105.0.	0.053474334826991	0.61837840864141	3.252768417597944	3.860674951102795e-05	0.16263842087989702	0.029266018353334002	0.014712664463822002
110.0.	0.05230828738007601	0.47559298234574204	2.434852454169557	2.986949661498498e-05	0.12174262270847801	0.029670555797571004	0.011348045748275
115.0.	0.051281054527669005	0.384777694302727	1.8193362887659532	2.3450920101308272e-05	0.090966814438297	0.03191299666793	0.009209294864879002
120.0.	0.050144096355431	0.342593594721444	1.358896408872946	1.8876481294403122e-05	0.06794482044364701	0.038471954384563	0.008260601654459
125.0.	0.048443693286857006	0.35738281827677904	1.016958622004924	1.5992770940258693e-05	0.050847931100246005	0.056779987859357006	0.008692881397450001
130.0.	0.044960524519741	0.45755988303506	0.76731059224913	1.5338501279425254e-05	0.038365529612456005	0.112861437643647	0.010998645872806
135.0.	0.037142721039982	0.709728523628234	0.597194589820997	1.9640087486495e-05	0.029859729491049	0.29442691016774303	0.015928499968605
140.0.	0.027652678840815	1.189329153351042	0.52000574456019	3.597183439084864e-05	0.026000287228009	0.717257273340802	0.023377162367797
145.0.	0.024852911378395	1.841520694824003	0.584014094047913	7.055590836539147e-05	0.029200704702395	1.293156301335669	0.029224072515176003
150.0.	0.031966782234523004	2.474784204255409	0.8288162638035861	0.00011989935983300001	0.041440813190179004	1.7767509936110661	0.028968602628551002
155.0.	0.049996436602396006	2.808805444703185	1.197007350024637	0.000170418666235	0.059850367501231	1.918419894663535	0.024907023856367002
160.0.	0.07252161533632101	2.563986208732203	1.487903170432853	0.00020283114553600002	0.07439515852164201	1.562633144326943	0.020323163880269002
165.0.	0.08151574882444901	1.8057250204406632	1.5013792260320469	0.00020249818926400002	0.07506896130160201	0.870174589670714	0.016549944518404
170.0.	0.06852354576891401	1.03879468605629	1.277235946274559	0.000173772197402	0.063861797313727	0.323343761881945	0.014047135375625
175.0.	0.053002187462467	0.702495943745244	1.00519562167612	0.000138444945009	0.050259781083805	0.18412624527947502	0.013140589506653
180.0.	0.045399790166365	0.7060250535703101	0.7849913792537381	0.00011128025439900001	0.039249568962686006	0.23885656669933303	0.014222107310162001
185.0.	0.037532430836755004	0.925531089661857	0.6373037273301291	9.683372669728217e-05	0.031865186366506	0.44781832677398303	0.017642023069159
190.0.	0.030544784897343004	1.352128859033763	0.5830350671318201	9.943480312864468e-05	0.029151753356591002	0.84209698805635	0.022691556781173003
195.0.	0.029743345706615004	1.901172164264414	0.6591901800591341	0.00012091821029800001	0.032959509002956	1.320028671209762	0.026103318670024002
200.0.	0.037712404272211	2.387098276368735	0.878594285980931	0.000155548314995	0.043929714299046005	1.678314820138524	0.025382268519492
205.0.	0.053946227073907005	2.565866934255076	1.165663897163062	0.00019004480285200002	0.058283194858153003	1.717594562988123	0.022126760515143003
210.0.	0.07053524636972601	2.2663674592761582	1.352692223622534	0.00020817643625	0.067634611181126	1.361226731714584	0.018513926761684
215.0.	0.074652795430506	1.6263838447421382	1.318953926059597	0.00020035297744700002	0.065947696302979	0.7979089236123471	0.015601740986790002
220.0.	0.06408856028983101	1.042061005235414	1.12255218480292	0.00017238357740700003	0.056127609240146	0.381740061661543	0.013882123638318
225.0.	0.051670157202919	0.793843263552494	0.8986860366093601	0.000140708088389	0.044934301830468	0.26899012367499103	0.013760622665989002
230.0.	0.043030912083075	0.848759874907769	0.720977617214089	0.00011731555986700001	0.036048880860704	0.360971246590559	0.015653288786418
235.0.	0.035029321397208005	1.135336828355141	0.6170804698968051	0.00010806262016700001	0.030854023494840004	0.635751610619639	0.019589539624845
240.0.	0.030613577655556	1.6006319112342942	0.6174886526291491	0.00011678569128100001	0.030874432631457	1.058600057942423	0.023880804322705
245.0.	0.033546615624502	2.110033411133442	0.751555797721251	0.000142114552119	0.037577789886062	1.477101721683723	0.025313643815546003
250.0.	0.044947260335819	2.455287088322888	0.9968094387012421	0.000175026980533	0.049840471935062004	1.6917267268394172	0.02336169088415
255.0.	0.061493129393597	2.419119528069967	1.236891573305291	0.000200992410239	0.06184457866526401	1.554182252563884	0.020042934005736
260.0.	0.072585399482275	1.961176533390868	1.318659670788034	0.00020651293299600002	0.06593298353940101	1.10078615535977	0.01690313777197
265.0.	0.06973742083814201	1.345486296129182	1.204112982979099	0.00018877101743300002	0.060205649148954	0.601812877169398	0.014663093230813001
