	Ib	It	Iv	Sb	St	Sv
0	39455.0	36931.0	234800.0	2590800.0	2425100.0	15418000.0
1	41310.32853913	37488.39012984361	242219.21687519338	2589903.604863292	2428479.6853284123	15434533.769154472
2	43208.467899721014	38071.78902091155	249856.5588436076	2588946.732907598	2431819.981439029	15450734.364605805
3	45150.72259314903	38681.81307074126	257718.34626208863	2587927.757921307	2435120.0829205406	15466593.88260551
4	47138.425022120166	39319.0969456307	265811.0582508827	2586845.015839907	2438379.161594182	15482104.21307067
5	49172.93685862946	39984.29437693224	274141.3398705229	2585696.8028485267	2441596.3652827777	15497257.028964007
6	51255.65133553868	40678.079768447475	282716.0159126311	2584481.372192371	2444770.815728091	15512043.767895583
7	53387.98801008826	41401.14487232494	291542.06180397695	2583196.941229178	2447901.6127344496	15526455.669899017
8	55571.39843602282	42154.20265413728	300626.6368936131	2581841.683610934	2450987.8292422164	15540483.7334644
9	57807.36491545375	42937.9865880688	309977.0780967244	2580413.730904405	2454028.5121605396	15554118.723489223
10	60097.40252631915	43753.25217137403	319600.91265615396	2578911.1697046384	2457022.6803788855	15567351.154013198
11	62443.054622671225	44600.77405551994	329505.83299880277	2577332.047702784	2459969.3283626596	15580171.320935883
12	64845.89870513307	45481.35018498013	339699.7320468535	2575674.365497458	2462867.4208267163	15592569.25497258
13	67307.54276742249	46395.799505814524	350190.6830213556	2573936.081494047	2465715.8955905833	15604534.747800117
14	69829.6279541857	47344.96398708061	360986.9563318382	2572115.108094468	2468513.660931776	15616057.32916441
15	72413.82778344456	48329.70831359047	372097.0163723056	2570209.3126138346	2471259.5959086344	15627126.270516701
16	75061.8485279764	49350.92037919628	383529.52517104475	2568216.5165914306	2473952.5496600647	15637730.579562992
17	77775.42905296078	50409.51145997583	395293.34314230544	2566134.4958157213	2476591.3411030057	15647858.998523816
18	80556.34135564715	51506.41683415051	407397.53375300905	2563960.979402925	2479174.7580690505	15657499.997294584
19	83406.3903006204	52642.59596270017	419851.3641080529	2561693.6499076267	2481701.5569728944	15666641.771717701
20	86327.41394751004	53819.03299869801	432664.3085450424	2559330.14266855	2484170.4620854934	15675272.238077281
21	89321.28327663003	55036.7369384975	445846.0490054726	2556868.045947263	2486580.1652493775	15683379.031715993
