time	G1	G2	T1	T2
0.0.	6.6	10.3	7.6	0.41000000000000003
10.0.	5.188140562459548	12.304290549806964	1.833816634019438	0.984702456320473
20.0.	7.792919903267521	12.150447272644964	0.35737448444582604	2.230211925560094
30.0.	10.783507731967076	9.154371561168224	0.384664566630377	3.630550371373255
40.0.	12.95416043948273	7.80567202779798	0.892072744960378	2.076434432181174
50.0.	12.362658251667119	9.1358741592612	2.682741302536971	0.9283275848848451
60.0.	8.137620369061263	10.956304164577828	4.325466642742604	0.97626789650736
70.0.	7.165766052837415	11.631176766861943	1.7978166783810092	1.660962139064515
80.0.	9.040178641355617	10.412364605148925	0.7036536545178631	2.63624326458736
90.0.	11.307892141356204	8.893672627802099	0.701042273003981	2.425964126306177
100.0.	12.594540553003716	9.124066336085912	1.344852624067412	1.429197574395703
110.0.	11.025337959997094	10.390208346436577	3.124522776408992	1.114775523440722
120.0.	7.9868489134009195	11.190776639808949	3.2977211642697	1.5570525098806791
130.0.	8.011244728244453	10.520576243135286	1.434098319456887	2.322060618824032
140.0.	9.818359813217867	9.32435564467363	0.792915574514037	2.329491374159755
150.0.	11.694374668169063	9.317543034070097	0.8926683982284901	1.577689930174799
160.0.	12.292980487664268	10.31865267374156	1.7385446233113422	1.190993288256655
170.0.	10.087880386722704	11.155372255647313	3.36374555515967	1.4844195588563092
180.0.	7.892794716302095	10.584531274878502	2.701341487026805	2.338059920510037
190.0.	8.501148591866231	9.20681853868212	1.2286381274635851	2.467506043765525
200.0.	10.334639953801188	9.11015042358289	0.7968917816423551	1.598320518731339
210.0.	12.032756543302373	10.240988338340513	0.9907516720959091	1.087076759301977
220.0.	12.114120603030688	11.435551151748303	2.072944198818076	1.237320045849321
230.0.	9.373966229505669	11.219932276016406	3.591658457016341	2.228246615572895
240.0.	7.695536562749721	9.162800615142087	2.366977018214889	3.035978640961417
250.0.	8.73759033782455	8.376189325508616	1.039866129753472	1.8915821137967241
260.0.	10.762552691975975	9.595309538974503	0.7049587872022961	0.9679453999692741
270.0.	12.502349156705485	11.409468363006145	0.9929937164972151	0.845594618192487
