time	ADP	ATP	BPG	P3G	gap	glc	nadp	nadph	pep	pyr
0.0.	0.0	10.0	0.0	3.0	0.0	10.0	0.0	0.2	5.0	0.4
1.0.2.0	0.00014156869586300002	9.999858431304139	0.004484999507964001	2.961193394191167	0.033293513678814	9.965997047067738	0.00031865336859700005	0.19968134663140202	4.957794100296569	0.44220589970342605
2.0.4.0	0.00014249654258	9.999857503457415	0.0045211478882940005	2.923101980350891	0.067939806281582	9.927942090176847	0.000318961937651	0.19968103806234802	4.915723878609044	0.48427612139095405
3.0.5999999999999996.0	0.00014343762448200002	9.999856562375516	0.004553609288266001	2.885124402039083	0.100231731532136	9.889997276575686	0.00031926524832900005	0.19968073475167	4.87373732541284	0.526262674587159
4.0.8.0	0.00014439136068100002	9.99985560863932	0.004582945925386	2.8472580458265133	0.130324029640479	9.852160577763671	0.00031958601175900004	0.19968041398824002	4.831834717388262	0.568165282611737
6.0.	0.000145357658072	9.99985464234193	0.004609364212872001	2.809500641133739	0.15836140655601003	9.814429927549165	0.00031992220253800003	0.19968007779746103	4.79001645273444	0.60998354726556
7.0.199999999999999.0	0.000146336426981	9.999853663573024	0.004633054323703	2.771850195093502	0.18447892695905002	9.776803521302277	0.000320271885055	0.19967972811494403	4.748283032270299	0.6517169677297
8.0.4.0	0.00014732757960200002	9.999852672420404	0.004654191587803	2.734304975837178	0.20880265458344902	9.739279800635664	0.00032063321066700003	0.199679366789332	4.706635056409419	0.6933649435905811
9.0.6.0	0.00014833102861	9.999851668971395	0.004672937671656	2.6968634973097663	0.23145024973341302	9.701857439390066	0.00032100440862400004	0.199678995591375	4.665073222560438	0.734926777439559
10.0.799999999999999.0	0.000149346685785	9.999850653314219	0.004689441649415	2.659524505469592	0.252531526800406	9.664535330896664	0.00032138377763	0.19967861622236902	4.623598322918966	0.776401677081028
12.0.	0.00015037446063800001	9.999849625539369	0.0047038409770090005	2.622286965756387	0.272148974475578	9.627312576411432	0.000321769678	0.19967823032199902	4.582211242624956	0.8177887573750361
13.0.2.0	0.00015141425902500001	9.999848585740985	0.004716262379234001	2.585150051723933	0.290398241169252	9.590188474627567	0.000322160524363	0.19967783947563603	4.54091295826293	0.8590870417370581
