	EC	Fraction_Inactive_Channels	Rho	Y	Z
0	0.0	0.0	0.0	0.36	0.0
1	-0.17829842934754694	-0.44954522215193765	0.4495452221519376	0.4739540838962173	0.0643443454513296
2	-0.3371912231024115	-0.692094862573427	0.6920948625734271	0.6263049422970757	0.0708862808053356
3	-0.4876484149760327	-0.8199119537423422	0.8199119537423422	0.7689387576308547	0.0787096573451779
4	-0.6265762940402587	-0.8808308461384455	0.8808308461384459	0.895274835777336	0.09130145826292255
5	-0.6700423251545184	-0.07439278866070681	0.07439278866070695	0.6122733185687165	0.4177690065858043
6	-0.6195898458968497	-0.2988202392667651	0.2988202392667648	0.804630459450121	0.17495938644673187
7	-0.5569844695384899	-0.14106723024022266	0.14106723024022227	0.6622018035640116	0.25478266597448057
8	-0.5146443707732995	-0.20772444132668147	0.20772444132668103	0.6004467088692644	0.27419766190403805
9	-0.4525141430276035	-0.22689384931205864	0.22689384931205792	0.578362053048404	0.23415208997920262
10	-0.3923838392382507	-0.20296538383850957	0.20296538383850884	0.5099214046394916	0.24246243459876363
11	-0.3455560727985354	-0.22439198631542537	0.22439198631542462	0.4577575149509261	0.24779855784761393
12	-0.30012601967339936	-0.24891718630364384	0.2489171863036432	0.4309260050216863	0.2292000146517174
13	-0.25780544039751574	-0.2439978646211452	0.24399786462114445	0.38535679408811935	0.2324486463094008
14	-0.2295605359286133	-0.2833280523678571	0.28332805236785613	0.36348540323212886	0.22607513269648893
15	-0.1974126787298517	-0.2838278416607215	0.28382784166072106	0.3436450108749118	0.21376766785494478
16	-0.1847092077570283	-0.31851985691462026	0.3185198569146199	0.31737424444945683	0.22733496330757677
17	-0.1611411428432254	-0.3243360100156961	0.3243360100156957	0.3328254224312477	0.18831572041198313
18	-0.23131202851732144	-0.5497783151719434	0.5497783151719426	0.5041467421258153	0.08716528639151169
19	-0.3819133140860913	-0.7438779596779822	0.7438779596779816	0.6685185182068817	0.07339479587921392
20	-0.5292764454982476	-0.8461128585573168	0.8461128585573162	0.8076069315049449	0.08166951399330716
21	-0.6629108845033337	-0.8897465111259075	0.889746511125907	0.923929642459525	0.09898124204381334
22	-0.6200058364503979	-0.09209425987698483	0.092094259876984	0.7153703411523468	0.26463549529805624
23	-0.6244599655051685	-0.3527113447111678	0.35271134471116755	0.7814476810231488	0.20301228448202627
24	-0.5434804591386574	-0.19816060929060358	0.19816060929060328	0.6830309343122926	0.22044952482637148
25	-0.487384363369972	-0.16858847503255847	0.16858847503255828	0.5806593048842574	0.2667250584857204
26	-0.4370671369079927	-0.22563195645056858	0.2256319564505684	0.5467478357333826	0.2503193011746152
27	-0.3783798293379384	-0.22289668801571683	0.22289668801571658	0.5045164804812539	0.23386334885668975
28	-0.3283762544253891	-0.21811024924078196	0.21811024924078176	0.44444348357519037	0.24393277085020368
29	-0.2885772105619936	-0.2540159869486119	0.2540159869486117	0.4146301047861217	0.23394710577587666
30	-0.24736045258891684	-0.25714811692062206	0.257148116920622	0.3835433262479711	0.223817126340951
31	-0.2188366707401172	-0.2741522157696362	0.2741522157696362	0.3466290544981385	0.23220761624198394
32	-0.19382840063585385	-0.30839971030066543	0.30839971030066526	0.3485759523053684	0.2052524483304908
33	-0.17320955032382832	-0.285560126769864	0.28556012676986375	0.2980067356070753	0.23520281471675872
34	-0.16917972041847598	-0.37829513576483764	0.37829513576483753	0.3652403176535751	0.16393940276490643
35	-0.27655575941197275	-0.6216790172900709	0.6216790172900698	0.5629442932199047	0.07361146619207262
36	-0.42896214468117305	-0.7830425327324126	0.783042532732412	0.7134287403273487	0.07553340435382903
37	-0.5729820845210086	-0.8650016421403122	0.865001642140311	0.8477256972271441	0.08525638729386949
38	-0.6978500889045852	-0.8880441725012291	0.8880441725012279	0.9385056577051576	0.11934443119943228
39	-0.6103320451641273	-0.18657938836231164	0.18657938836231291	0.7713098662678833	0.1990221788962541
40	-0.6000032453973957	-0.19474035142495122	0.19474035142495164	0.6400167240017888	0.31998652139561684
41	-0.5368217200320831	-0.24723580245459686	0.24723580245459717	0.6737470316798779	0.2230746883522142
42	-0.46777526835631383	-0.1886785833839087	0.18867858338390883	0.5874784748812487	0.24029679347507338
43	-0.4159709582601068	-0.2003585926254221	0.20035859262542227	0.5172953806277649	0.25867557763235016
44	-0.36551861515843004	-0.23580278979464545	0.23580278979464553	0.4880451210199226	0.23747349413851548
45	-0.3139117730541308	-0.22836845552056462	0.2283684555205646	0.4400018900186928	0.23390988303544605
46	-0.2747748000933065	-0.24608939769793192	0.2460893976979318	0.3957167102319004	0.23905808986141427
47	-0.23955883594135996	-0.27542191534340643	0.27542191534340604	0.38005283306997373	0.2195060028713947
48	-0.20713651376878742	-0.2665499867314805	0.2665499867314803	0.33862293652911707	0.22851357723967908
49	-0.1921361498417869	-0.3303640294757822	0.33036402947578186	0.34596043051244413	0.2061757193293518
50	-0.16254527416513828	-0.2783685094112482	0.27836850941124774	0.3036444681137315	0.2189008060514159
51	-0.1885634182418969	-0.45029787898640755	0.4502978789864077	0.4184629203163123	0.13010049792559303
52	-0.3240256267983267	-0.6829154532487716	0.6829154532487709	0.6122215833653665	0.07180404343296853
53	-0.4747546684673972	-0.8151598524015256	0.815159852401525	0.756694801297219	0.07805986717018634
54	-0.6148055246944242	-0.8792261668122912	0.8792261668122905	0.8849403533403174	0.08986517135411486
55	-0.6902101957307555	-0.274681436372574	0.274681436372573	0.6156929081100185	0.43451728762074665
56	-0.6158859636252628	-0.27863080279865643	0.2786308027986558	0.8001286311037715	0.17575733252150194
57	-0.5621363735435582	-0.12960838811864958	0.12960838811864875	0.6513730216000961	0.2707633519434739
58	-0.5209604716152041	-0.22745625442311462	0.22745625442311357	0.615467923042881	0.2654925485723361
59	-0.45505288874631095	-0.22140979936774766	0.2214097993677465	0.583082292202041	0.2319705965442837
60	-0.39612101661309945	-0.19863772970202076	0.19863772970201946	0.5097270165741217	0.24639400003899128
61	-0.3497647019939892	-0.22843767211639107	0.2284376721163904	0.4630442413402443	0.24672046065375827
62	-0.3025036953911433	-0.2454897451897181	0.24548974518971745	0.43369748440239764	0.22880621098875925
63	-0.26073115019513865	-0.24233490162540552	0.2423349016254048	0.38581977414577945	0.23491137604937298
64	-0.23178907527840265	-0.284523316628833	0.2845233166288323	0.3681570823840006	0.2236319928944161
65	-0.19858737704207782	-0.27771357653121204	0.27771357653121126	0.3416355089171494	0.2169518681249431
66	-0.18737564660697062	-0.3276495824676465	0.3276495824676457	0.32570978832897696	0.22166585827800822
67	-0.15997231713043825	-0.3102852636240078	0.3102852636240065	0.3252480841126756	0.19472423301777772
68	-0.22198942980200081	-0.531042032732507	0.5310420327325054	0.48986040088366456	0.09212902891835094
69	-0.37153940346901776	-0.7334288108946805	0.7334288108946793	0.6585743545964707	0.07296504887256164
70	-0.5195877102388904	-0.8408940948059057	0.8408940948059046	0.798630644202488	0.08095706603641721
71	-0.6545982409590435	-0.8883956347688196	0.8883956347688184	0.9178219146533511	0.09677632630570689
72	-0.6266173783910161	-0.07425741761148555	0.07425741761148442	0.6959481053794608	0.29066927301156803
73	-0.6241951223980279	-0.34675760420389734	0.34675760420389595	0.7954600641198588	0.18873505827818032
74	-0.5454811358659869	-0.18421120583886796	0.18421120583886694	0.6801377730475622	0.22534336281843664
75	-0.4932178600684313	-0.17134615101126616	0.17134615101126516	0.5809082583412675	0.2723096017271755
76	-0.4411117743368778	-0.22929075835410143	0.22929075835409993	0.5551924404551322	0.2459193338817562
77	-0.3812907401841398	-0.21817557160933804	0.21817557160933645	0.5063883105547937	0.23490242962935667
78	-0.33214154015289465	-0.21820106546015405	0.2182010654601525	0.446394261141474	0.24574727901143076
79	-0.2913621428424718	-0.25417650978345685	0.2541765097834553	0.41896585914700707	0.2323962836954745
80	-0.24945281424411692	-0.25328323616615367	0.2532832361661522	0.38379223555490155	0.22566057868922515
81	-0.22148391789403676	-0.27703307525228754	0.2770330752522862	0.3501469079597802	0.23133700993426592
82	-0.19435345238625482	-0.3024012333776296	0.3024012333776284	0.3476803669094802	0.20667308547678429
