	C3	C3_star	C8	C8_star	FL	FS	IKK	L	L_RF	L_RF_C8	L_RF_C8_FS	L_RF_FL	L_RF_FL_FL	L_RF_FL_FS	L_RF_FS	L_RF_FS_FS	NF_kB_IkB	NF_kB_IkB_P	NF_kB_star	RF	p43_FLIP	p43_FLIP_IKK_star	p43_p41
7	1.4386595596350737	0.002856776999065588	45.52698495779254	0.28927053611424985	1.641943544578483e-09	1.7012854321168623e-25	5.713338523154361	21.95408000000004	70.70089477054128	9.05431478073655	0.2935172072333468	0.7162319014517533	0.46548388349514724	4.7888546535359175	0.0003210200239879575	0.0006150596033761943	3.9741152577925623	0.018596806770125932	0.7132367835688386	2.7858483041627057e-74	0.9030211995344564	0.048540247990759955	7.976024805759734
8	1.434297410741793	0.005104301401896859	43.07694952807347	0.46928460205239414	-4.7407535966249146e-08	4.700259329107752e-24	5.699583312583875	21.95408000000004	69.27545784737653	9.59489742239084	0.2935462496656151	0.6514348776402823	0.46548387015540393	4.78885465352994	0.0002919775976985827	0.0006150596033761943	3.7097852565817226	0.02082022491435513	0.9561038980250419	-7.735731545204119e-74	0.9540630885103843	0.058018112981707365	9.382566357708
9	1.427564477218294	0.008263609227346608	40.69943057474748	0.7011764408285195	-3.241158267792702e-09	-1.8864869223830213e-23	5.685181271457343	21.95408000000004	67.95411865910174	10.035706006113609	0.2935712892288435	0.595568582526447	0.46548384735641546	4.788854653519723	0.00026693804468889254	0.0006150596033761943	3.42109014891159	0.02236328780464637	1.2181648933814528	-1.5149188488959133e-76	0.9955273439395066	0.0673854704005631	10.678654374807305
10	1.4179099043891876	0.012377181543672112	38.38648119776473	0.9823775155678689	7.52507714710635e-10	3.849232146039453e-30	5.670266661969688	21.95408000000004	66.72988211902472	10.394932832973213	0.29359295344424546	0.5472333131253923	0.4654838493732057	4.7888546535206284	0.0002452738283831309	0.0006150596033761943	3.1173460769965065	0.023196855529420808	1.4898001129074925	-1.489116969344072e-79	1.0289479958247545	0.07652198345879065	11.847188364707117
11	1.404861472795102	0.017407458188494814	36.131073723297135	1.3073278263257135	1.0075519516287981e-09	6.804480815445182e-30	5.654952171310937	21.95408000000004	65.59654429633646	10.687306316945893	0.2936117549881345	0.5052849852267622	0.46548385143860377	4.788854653521553	0.00022647228356829327	0.0006150596033761943	2.807802086798695	0.02334960494360246	1.7616202825681049	-6.753272192388653e-81	1.055581828677867	0.08533730583626327	12.880711038466021
12	1.3880640135618	0.023241157821441958	33.92861787540457	1.668329390166374	-2.3702704695457006e-09	1.1696910148085894e-30	5.639332692731045	21.95408000000004	64.54856880000531	10.924811253478785	0.2936281151951814	0.4687835415827019	0.4654838520290738	4.788854653521818	0.00021011207625659979	0.0006150596033761943	2.500970211512814	0.022894503915816197	2.0251363842450987	3.854087442408625e-83	1.076463795938654	0.09376512665014877	13.77794815532507
13	1.3673051083721495	0.029701346801004395	31.777789839767976	2.0563340407547934	-2.5356372900578554e-10	-1.0958057116595044e-30	5.623488425697668	21.95408000000004	63.58093922261558	11.11725800234178	0.29364238309175356	0.4369502662895609	0.46548385191322356	4.788854653521765	0.00019584417973636124	0.0006150596033761943	2.2041572292741676	0.02193369124970037	2.2732167834639974	-1.7264087113305852e-84	1.0924528023134608	0.10175836421342163	14.541149574288566
14	1.3425279367780536	0.036564638284363876	29.68070630248411	2.4616063566981716	-1.0603621375095208e-08	-1.57602133439523e-29	5.607487289926743	21.95408000000004	62.689017667835145	11.27271372646936	0.29365485006783354	0.4091349873046665	0.4654838437259876	4.788854653518096	0.00018337720732580713	0.0006150596033761943	1.9231887948315003	0.020583766994288464	2.5003427420814903	-4.448112653197033e-83	1.1042669722556298	0.10928534288521072	15.174336326177588
15	1.3138321473535588	0.04358028804937281	27.642558239164558	2.8742338013495186	5.8661830692182435e-09	-5.324558669642029e-38	5.591386917682002	21.95408000000004	61.868414255493455	11.397840889435711	0.2936657615431885	0.3847902548825942	0.4654838433165348	4.7888546535179115	0.00017246573215443735	0.0006150596033761943	1.6623184947957825	0.018963185900822545	2.7026739959366495	1.1051978713738417e-87	1.1125113167822454	0.11632671421600302	15.682369509883037
16	1.2814642197075579	0.050489572269151496	25.67084927693392	3.2845279959066755	-1.0655220071816388e-10	-1.3409260967159158e-36	5.575236256374213	21.95408000000004	61.11488393548017	11.498156302743151	0.29367532595320095	0.363450991221552	0.465483842847614	4.788854653517703	0.0001629013223522288	0.0006150596033761943	1.424279542841042	0.017182578802754485	2.8779689053541078	-4.622617674338628e-89	1.117699926046284	0.12287298295994263	16.070625943112613
17	1.2457973376354405	0.05704464259893613	23.774368479323652	3.6833780868089905	-2.2197142690014983e-10	-3.1065051769481814e-36	5.559076759026027	21.95408000000004	60.42426783410067	11.578220890836505	0.2936837211589869	0.34472035232634674	0.46548384285001365	4.788854653517703	0.00015450611656522798	0.0006150596033761943	1.2104381103870645	0.015338271447262778	3.0254007392992466	-6.689368998540272e-89	1.1202710677039236	0.12892249374785994	16.345025692728182
18	1.2073072549642445	0.06302298684938053	21.96217988913162	4.062483748513647	-2.699160073206736e-08	-5.021748893549278e-37	5.542943660430093	21.95408000000004	59.79243570935859	11.6418213336786	0.2936911006057349	0.3282561387457639	0.46548385891827826	4.7888546535249015	0.000147126662615395	0.0006150596033761943	1.02102133009182	0.013508865192072235	3.145306151139374	-1.7371394450700375e-88	1.120602177314472	0.13447977578036374	16.51223801556416
19	1.1665419139359443	0.06824070704522413	20.242626399903866	4.414618269229811	3.721275487107208e-10	-3.4255033429150497e-41	5.526866729026677	21.95408000000004	59.215287301488175	11.692082194889506	0.2936975968360131	0.3137622991133887	0.46548385887206234	4.78885465352488	0.00014063043235790971	0.0006150596033761943	0.8553522992974191	0.011754274087473957	3.238925570707663	2.756925470617628e-94	1.1190190582721569	0.1395542442465243	16.579839931831255
20	1.1240886317018717	0.07256087423348911	18.622545849433966	4.733813274069278	-3.7494379984926685e-08	-7.305153830237835e-41	5.51087102465883	21.95408000000004	58.68876876416622	11.731573361519695	0.293703324664284	0.30098290456186044	0.4654838596980589	4.788854653525251	0.000134902603716853	0.0006150596033761943	0.7121003162502886	0.01011657059338846	3.308133734703383	-9.343751517866196e-93	1.1158027846699827	0.14415905475598753	16.5563576572276
