	Ln_	NR	NRLc	NRLn	NRc	RE	REL
0	0.0	358.754	0.0	0.0	3.58	3.7	0.0
1	0.00013533270719083166	358.5302957848761	0.014953337464467047	0.04683345017247361	3.570840448288294	3.5430856081968876	0.1569143918031128
2	0.0002711443044590432	358.3277206533687	0.01502904197425929	0.0955187809426333	3.5696110639279794	3.385222021307866	0.31477797869213453
3	0.00041276478578868676	358.1318499251424	0.015107046336888412	0.1462340497337088	3.5680801618218942	3.235062136311819	0.4649378636881818
4	0.0005595063449512236	357.9421157268614	0.01518821166089956	0.1987322726722123	3.566597861094305	3.0930000279125474	0.6069999720874532
5	0.0007109289174344941	357.75862094306206	0.015272439814500422	0.25285481189642167	3.565196514814818	2.959091043126071	0.7409089568739298
6	0.0008663684292731531	357.58155012399624	0.015359326088092932	0.308365070536349	3.5638724033009677	2.833268929094835	0.866731070905166
7	0.0010250859037411232	357.41105632750816	0.015448422095597391	0.3649999861903108	3.5626235404056987	2.7154152956473223	0.984584704352679
8	0.0011863270691785288	357.24725958572674	0.015539275108609429	0.42249120897126946	3.56144878154182	2.605376323160542	1.094623676839459
9	0.0013492733568772179	357.09024718545595	0.015631397505074994	0.4805481106737069	3.560346791261764	2.5029423907709276	1.1970576092290732
10	0.0015130459596243398	356.94007205534064	0.01572426445510507	0.5388593712692414	3.5593157121265455	2.4078469015021433	1.2921530984978578
11	0.0016768437047586767	356.7967496295409	0.01581739485390869	0.5971416528741408	3.5583534542141533	2.319813095871648	1.3801869041283532
12	0.001839489999917673	356.6602642824796	0.015910095842145085	0.654979829149741	3.5574568518213323	2.2383969313590413	1.4616030686409596
13	0.002000247086216696	356.5305652134611	0.01600190215664987	0.7121142862200178	3.5566228981035897	2.163276033910776	1.536723966089225
14	0.0021587566203864644	356.4075686351645	0.016092568565065243	0.7684175026337469	3.555849145164456	2.0942298184221113	1.6057701815778902
15	0.0023142904064644585	356.29116310714437	0.016181681384347626	0.8236325835208902	3.5551328205091655	2.0308789749650518	1.6691210250349497
16	0.0024655629469022174	356.1812054890953	0.016268526260257012	0.8773110166223413	3.5544700154486986	1.9726159271595487	1.7273840728404528
17	0.002611872278025867	356.0775164463039	0.016352625705796854	0.9292103638174916	3.553856376377413	1.9190022617412736	1.7809977382587279
18	0.00275400402190056	355.97990051037374	0.016434302205517438	0.9796012823911918	3.55328958113135	1.870106279814116	1.8298937201858856
19	0.002892113892025987	355.8881520103815	0.016513728113020494	1.028531477384882	3.5527685305472376	1.82576682315168	1.8742331768483216
20	0.003023316941701842	355.8020472549945	0.016589471815899162	1.0750078199717827	3.552288292853207	1.7847451532709415	1.91525484672906
21	0.003147156346119026	355.72133341714226	0.016661003975347064	1.1188822329577222	3.551842496564335	1.7466165964033467	1.9533834035966549
22	0.0032665983996016646	355.64576919940805	0.016729786117120622	1.1611722191869538	3.5514310619325715	1.712162117432879	1.9878378825671226
23	0.0033823695513684904	355.57513099941775	0.016796486646663986	1.2021190015459091	3.5510558294743153	1.681407978713769	2.0185920212862323
24	0.003490523364191349	355.5091849733603	0.01685915057361666	1.2403778311655433	3.5507116047818235	1.6527509618612677	2.0472490381387334
25	0.0035909555009630938	355.4476558579245	0.016917255435850088	1.275924037202653	3.550390036121081	1.6258605660455139	2.074139433954487
26	0.003687503947740187	355.3902906032724	0.016972942860975438	1.3100643489006676	3.550093797989857	1.6018070595482294	2.098192940451772
27	0.003779957346909003	355.33688301217455	0.017026388255053555	1.3427242187194248	3.5498255253610993	1.5803193777941638	2.119680622205838
28	0.003864808628584631	355.2871741176607	0.017075593631268277	1.3727216789620835	3.549577129473699	1.5599218428733408	2.1400781571266614
29	0.0039445459738511905	355.24094132514836	0.017121688828584242	1.4009064683468664	3.549345697674394	1.5412354581167307	2.1587645418832713
30	0.004020033278917364	355.1979787311084	0.017165393827486115	1.4275728162571257	3.5491343300182105	1.524361707278585	2.1756382927214166
31	0.004090646856764867	355.15809560498985	0.017206276699859472	1.4525133704339128	3.5489404886747304	1.5088922783808165	2.1911077216191854
32	0.004156483432741875	355.1210920024552	0.01724441634552757	1.4757660642790422	3.548761601095915	1.4946565712549265	2.2053434287450755
33	0.004218007375909215	355.08677558756835	0.017280043322564	1.4974914555103278	3.548596874207708	1.4816208701274982	2.218379129872504
34	0.00427543878921493	355.05496834350373	0.017313318245816053	1.5177679530657369	3.5484454153694776	1.4696830456889287	2.230316954311074
35	0.004328934952781247	355.0255015263143	0.017344311983611044	1.5366527589652008	3.5483060306458896	1.4587276876701336	2.241272312329869
36	0.004378727828429807	354.9982144285504	0.017373167557567442	1.55422827639608	3.548177689209274	1.4486734338101566	2.251326566189846
37	0.00442504986605599	354.97295572820866	0.01740001140895814	1.5705766300390427	3.5480595612609136	1.4394486641106894	2.2605513358893132
38	0.004468104891327452	354.94958335954004	0.017424966936238014	1.5857703137625085	3.547950830231926	1.4309814191041474	2.2690185808958554
39	0.004508073836030073	354.9279759331089	0.017448134788584767	1.5998735188243638	3.5478508035595557	1.423212461799229	2.276787538200774
40	0.004545276267725633	354.90800422892454	0.01746969694749565	1.6129990736216746	3.547758970980197	1.416124269852923	2.28387573014708
41	0.004579742127949736	354.8895461399839	0.01748968273841886	1.6251568802914287	3.5476745204603852	1.409601942404783	2.2903980575952203
42	0.004611553642440417	354.8724873147628	0.01750813288203874	1.6363800440547538	3.547596495106615	1.4035610774453695	2.2964389225546333
43	0.004641061312149643	354.85672285067966	0.017525237333209407	1.6467893416741333	3.5475245002253897	1.398016843944763	2.3019831560552397
44	0.004668451257962133	354.84215762800176	0.017541116426787042	1.6564492761390484	3.547458304488824	1.3929382428503903	2.3070617571496124
45	0.004693803500307709	354.8286891817965	0.017555820016386767	1.6653912005057747	3.5473973086892863	1.388252270066537	2.3117477299334657
46	0.0047172936944006255	354.8162499710083	0.01756943960561937	1.673675034133536	3.5473411138655218	1.383950244876055	2.3160497551239474
47	0.004739002610849817	354.80476570287226	0.01758203196355945	1.6813311313779642	3.5472893650012596	1.3799872015737433	2.3200127984262586
48	0.004759095885615502	354.7941647445668	0.017593682228489154	1.6884164710580327	3.547241699001629	1.3763475287510365	2.3236524712489652
49	0.004777660457105675	354.7843802985089	0.017604451305157035	1.694962968860347	3.547197802663754	1.3729954754846165	2.3270045245153854
50	0.004794830886349372	354.77535059890687	0.017614407634294595	1.701017176951035	3.5471573705987214	1.3699150119941121	2.33008498800589
51	0.004810689713456583	354.7670184103044	0.01762360744559832	1.7066090332837935	3.547120132233458	1.3670781024829821	2.3329218975170196
52	0.004825348294567783	354.7593307476953	0.017632107987387024	1.7117772289463957	3.5470858316748166	1.3644697688117446	2.335530231188257
