	IKK	IkBaIKK	IkBaIKKNFkB	IkBaNFkB_cytoplasm	IkBaNFkB_nucleus	IkBa_cytoplasm	IkBa_mRNA	IkBa_nucleus	IkBbIKK	IkBbIKKNFkB	IkBbNFkB_cytoplasm	IkBbNFkB_nucleus	IkBb_cytoplasm	IkBb_mRNA	IkBb_nucleus	IkBeIKK	IkBeIKKNFkB	IkBeNFkB_cytoplasm	IkBeNFkB_nucleus	IkBe_cytoplasm	IkBe_mRNA	IkBe_nucleus	NFkB_cytoplasm	NFkB_nucleus
0	0.001	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
1	0.00033621611854871465	2.3479457250866195e-05	0.00046348838996265924	0.053818829672382815	0.0001072618212511207	0.009448891899200326	0.006472583183381821	0.0004926870185846492	1.1196839217870142e-06	0.00012648000234876126	0.02935494841079955	2.6668471961068232e-05	0.0013941392017180114	0.0012442551337230698	6.313691869336985e-05	1.0767770178712676e-06	4.8139570949340135e-05	0.009707320589008136	1.8951128893170875e-05	0.0009911554311346925	0.0008877550673192695	4.487678039195842e-05	4.0328057657862857e-05	0.00628758388478551
2	0.0003264246043669617	5.248776271253705e-05	0.0004467176054525166	0.05359305864954522	0.00022773375016053038	0.018755618108578988	0.011272222802652831	0.0010123416023119936	1.982199490825302e-06	0.00012308021995133446	0.029351440154197207	4.664050747704477e-05	0.0022501980767228196	0.0018796790390866738	0.00010373337822602456	1.912349463379552e-06	4.7395258562445186e-05	0.00983941731239429	3.320063782813286e-05	0.0016019150650352313	0.001341119314404537	7.384473765640318e-05	3.7071983123761583e-05	0.006254243921307486
3	0.00031668020731792374	6.344040749313032e-05	0.0004484053168389973	0.05550881939078703	0.00022246456676512587	0.022095320529083896	0.01257497374438083	0.001542104173253408	2.3637625413484635e-06	0.00011980988986562582	0.02950682239399894	4.4051580357927394e-05	0.0026898693028766154	0.002204181248106081	0.00015205838243260726	2.281945042453721e-06	4.701847090052084e-05	0.010076006889141622	3.1370787877155566e-05	0.0019156209677324786	0.0015726461714015301	0.00010828812047250604	3.462179359169256e-05	0.003960608919875341
4	0.0003136924115869719	6.361553088212668e-05	0.00045149957186676895	0.05640648116663848	0.0001878804840380287	0.022090104718353244	0.01241184088587943	0.0018153398494073904	2.55890237810695e-06	0.00011881174227616482	0.029588131036681155	3.8745736762254906e-05	0.002915160758920554	0.0023699000427545203	0.00018711480400386842	2.471750446434738e-06	4.735009056342647e-05	0.010253150237573188	2.759696961289662e-05	0.0020763818106429677	0.001690883738369799	0.00013327497963386864	3.388464670614977e-05	0.0028464683172814875
5	0.0003136239020542839	6.217749757941639e-05	0.0004520793942701031	0.05647793242696342	0.00017499435431280635	0.02159816068510244	0.012134561253715715	0.0018512278073384751	2.670195753737647e-06	0.00011888543612613409	0.029627298996257014	3.795886038207106e-05	0.00302989284434767	0.002454530341484084	0.00020114692972559263	2.5799901551228908e-06	4.7983584061200857e-05	0.010395343484544359	2.70387788445365e-05	0.0021582668060390405	0.0017512660301599928	0.0001432811019681996	3.380502841519582e-05	0.0026066796558231495
6	0.0003140844389521408	6.122060176206754e-05	0.0004513935281154332	0.05630442051844688	0.0001718956522861145	0.021267368424045075	0.011967670104544158	0.0018269079534997926	2.732154530884713e-06	0.00011922537963443618	0.02967123801670753	3.865496485123947e-05	0.0030882808587902903	0.002497749865928357	0.00020573280606919818	2.6402271391346884e-06	4.870366986589358e-05	0.01053641699373715	2.7535930554937963e-05	0.002199954325058349	0.0017821024324320349	0.00014655444226213123	3.3823054713337666e-05	0.0025966922910870376
7	0.00031450811685587406	6.07580946618197e-05	0.00045024561602910695	0.056083860469413944	0.00017121799310810886	0.02109999484118542	0.011886403739419495	0.001806137930298315	2.7658523067659067e-06	0.00011960877691483878	0.029726684229883178	3.92847082784952e-05	0.0031180617343943293	0.002519821479689703	0.00020739732840485792	2.6730450111397507e-06	4.944049822044577e-05	0.010681200019979116	2.7985374090752496e-05	0.0022212320401977558	0.0017978501568572628	0.00014774452491457646	3.381949214754679e-05	0.0026166528219344694
8	0.0003148396292361393	6.0571105873376255e-05	0.00044895967959742355	0.05586438483647884	0.00017099004411357183	0.02102366887009392	0.01184981177796574	0.0017955246459785844	2.7842748763968846e-06	0.00011998681124747456	0.02978885812401312	3.962930851888332e-05	0.0031332862600373912	0.0025310931475050484	0.00020817777664762225	2.691065215037305e-06	5.0167433954142595e-05	0.010826327776707813	2.823146819945772e-05	0.002232123843235844	0.0018058923018715808	0.0001483036470794139	3.379060458334971e-05	0.0026286739125859085
9	0.00031510979910342215	6.051075397440775e-05	0.0004476592426462878	0.05565488369207183	0.00017078803626019028	0.02098933403156992	0.011833170732397974	0.0017912774376436296	2.7947058696480786e-06	0.00012035080558800617	0.02985317155212807	3.977379246424027e-05	0.0031410877112757665	0.002536849432883617	0.00020864303683557086	2.701346323423648e-06	5.08733464947943e-05	0.010968633810270257	2.8334881250750257e-05	0.002237718670687173	0.0018099993144731431	0.00014863760465363778	3.37483988160829e-05	0.002631782442009474
