time	species_1	species_2	species_3	species_4
0.0.	0.1	0.1	0.1	0.1
6.0.	0.591792596119697	0.051226626277058006	0.9977691062982641	0.025871338492800003
12.0.	0.640296964957609	0.11723045333390801	0.999993862219494	0.049768591997864
18.0.	0.659113201763281	0.148524991165082	0.9999965026988081	0.06096755854077401
24.0.	0.6708898855814891	0.168156843904254	0.999991689204842	0.068397868026251
30.0.	0.6804349110492021	0.18407145217133702	0.9999847184017581	0.07465144119620801
36.0.	0.6898773468910111	0.199818362475835	0.9999738834241041	0.08103805815798201
42.0.	0.7012063799682681	0.21871724700519202	0.999953678608105	0.088959236813096
48.0.	0.718328237020428	0.247295457608552	0.999901527830866	0.10145473553785501
54.0.	0.755344643741465	0.309179170157509	0.99963248327133	0.13054167109314901
60.0.	0.9406835103994531	0.626376018465428	0.9804443226385551	0.310563243618441
66.0.	1.191871070342084	1.8857158850959932	0.037969447533667	0.766612385519675
72.0.	0.7883638191477581	1.270920769630631	0.081118774700335	0.36986580392093105
78.0.	0.601043586527466	0.08380944938597701	0.9943297097254331	0.031321015081537
84.0.	0.642985270728882	0.121802268911153	0.9999851259509951	0.051320628838198004
90.0.	0.660586398962512	0.15098104532838102	0.999996048757089	0.061879605289546
96.0.	0.6719771202262611	0.169969469600588	0.9999910572333941	0.069099813583456
102.0.	0.681424548966445	0.185721674096224	0.999983789135598	0.07531151697211601
108.0.	0.690962614527533	0.20162849132916502	0.9999723252606451	0.08178472671497701
114.0.	0.702661784082088	0.22114566444491002	0.9999503746130161	0.08999703724006601
120.0.	0.72087873207199	0.251554508311262	0.999890852337679	0.103369100517313
126.0.	0.7624917340582541	0.32114931413561704	0.9995425753871051	0.136470845856974
132.0.	1.003059204980025	0.741392488115387	0.95050319256932	0.38017701942395304
138.0.	1.177605478114976	1.8955991879752352	0.027313393500772002	0.7587123270632911
144.0.	0.663395089135978	1.023433711136996	0.19069226979292803	0.245405528187281
150.0.	0.608562722263917	0.082912951507829	0.9970263178163671	0.033958742716022006
156.0.	0.6454553727536151	0.12584788598166102	0.9999915878364221	0.052756475247744
162.0.	0.6619954018187041	0.15332951057976602	0.99999561199118	0.06275659013536801
168.0.	0.673043457779242	0.171747286777534	0.9999904007530791	0.069790868741279
174.0.	0.6824152024293	0.187373627096124	0.999982814514176	0.075974457505967
180.0.	0.6920712239776211	0.20347761213206902	0.9999706584630411	0.08255012438895501
186.0.	0.7041851004217311	0.22368754260660903	0.9999467193078151	0.09108814874304501
192.0.	0.7236479928935181	0.25617954749034	0.9998782401276811	0.10546302640829601
198.0.	0.7708760180506551	0.33520303210915203	0.9994153404445931	0.143550409215415
204.0.	1.078587466067235	0.8983262781011491	0.866364232866712	0.470087889036913
210.0.	1.160772487392526	1.888645093225049	0.021719491946238	0.746688912669457
216.0.	0.567129539614557	0.7598557686016091	0.43035890688863104	0.146826379021394
222.0.	0.614929185250892	0.08561441026612801	0.9984404796853341	0.036620129274666
228.0.	0.647738036857263	0.12961293541052102	0.9999948409368111	0.054097329520572
234.0.	0.6633472488821921	0.15558286031919902	0.9999951465827511	0.06360230617428901
240.0.	0.674091734354036	0.17349502573924	0.9999897183945651	0.070472725680482
246.0.	0.68340897815338	0.18903082550733602	0.9999817906452181	0.07664168278906301
252.0.	0.693206319088385	0.20537097449642902	0.999968870456811	0.08333659872364
258.0.	0.7057844887111591	0.226356523559248	0.9999426552153761	0.09223911182237701
264.0.	0.7266711895091691	0.261229534378966	0.9998631754274171	0.10776712315848101
270.0.	0.7808531038690281	0.35194477623345005	0.9992281451500881	0.15214557571318402
276.0.	1.150021667012078	1.094461702311935	0.689976240203918	0.5674948738566921
