time	cdhap	ce4p	cf6p	cfdp	cg1p	cg6p	cgap	cglcex	cpep	cpg	cpg2	cpg3	cpgp	cpyr	crib5p	cribu5p	csed7p	cxyl5p
0.0.	0.167	0.098	0.6000000000000001	0.272	0.653	3.48	0.218	2.0	2.67	0.808	0.399	2.13	0.008	2.67	0.398	0.111	0.276	0.138
0.0.4.0	0.18863539204583502	0.103259324117891	0.724308135609892	0.36009029357155004	0.655964108506317	4.228277904917093	0.23009441684535803	1.983467092620996	2.123320243405924	0.8138437752045371	0.32320953482313003	1.747311171313009	0.004121078669118	3.657069181039544	0.400403952017833	0.116851035702103	0.301987074442134	0.15581949472626802
0.0.8.0	0.22540562080883902	0.11306171301232401	0.7501634615429931	0.49829439981725004	0.6606651378373061	4.378925611923897	0.258128280559417	1.975401813088368	1.9665781180521602	0.823188690521892	0.29902367292417503	1.616781487588682	0.002957755293225	3.988643498932671	0.41940001292747703	0.12463768298656301	0.31622802141309103	0.169006524240414
1.0.2000000000000002.0	0.249669220804823	0.11967510878021201	0.7617240671448471	0.5941850439473191	0.6655369132240171	4.443607527615279	0.274831703419641	1.968960653338197	1.9241945904142672	0.832936447262924	0.292978986958987	1.586434788706649	0.002473167687167	4.158199154190756	0.441868964360058	0.129755247276914	0.32184816753620504	0.17444937262505802
1.0.6.0	0.26028407898739503	0.12282460507873101	0.772102543108885	0.6356726235394561	0.6704610343411911	4.5014089804626725	0.280040043545765	1.963149796589789	1.945429278658259	0.8426765445638661	0.29650572854931	1.607077553122101	0.002237527088629	4.253858929726835	0.459161135958343	0.13262116056561202	0.32879885237369305	0.176296925726473
2.0.	0.26157361830568504	0.12373762694956901	0.7836124755318321	0.63765815189271	0.6755374396650551	4.56635868970547	0.278181439369306	1.9576719314206512	2.000733122948975	0.85244149135691	0.305033017525213	1.6538466056251742	0.002114044213583	4.308437676532293	0.470845975933797	0.134191088377024	0.33832755334948	0.176818844082996
2.0.4000000000000004.0	0.257434239731949	0.12332352353326101	0.796125449998717	0.616973192790173	0.6808528721606031	4.637699188389597	0.272556085300112	1.9524178465451572	2.072507563048633	0.862304720905102	0.31592093024878803	1.712692935309002	0.0020475847707390003	4.337503408670436	0.47837854249458706	0.13504259667676002	0.34963396062079505	0.17686009934264701
2.0.8000000000000003.0	0.250609557341311	0.12219619572227601	0.8090639596929331	0.586096185582319	0.686445279038543	4.711951656274209	0.265263110557996	1.947340851136461	2.150443937377855	0.872301978683078	0.327649724711293	1.775637634739236	0.0020127894694840004	4.34971744000643	0.483132052596201	0.135482382747352	0.361866991697454	0.176730452396399
3.0.2.0	0.24290279220108302	0.12077819258175701	0.821908128246937	0.553009467633383	0.692312376166152	4.785980088854506	0.25763801529512703	1.942416160228579	2.228694040041543	0.8824286654290521	0.33937023763981705	1.838279052722458	0.0019970066131930002	4.350523834797602	0.48613689051428205	0.13568986627030702	0.374350840674236	0.17657226796566203
3.0.6.0	0.23545122241033703	0.11936315408055001	0.8342934696338971	0.522338088746736	0.69842636427616	4.857579098994697	0.25053467135373203	1.93762656694511	2.304184775377804	0.8926526439443051	0.35064526806434904	1.898392110707154	0.0019936192864950003	4.343645748869334	0.48814218763556905	0.13578641083953802	0.38655139911086805	0.176477682190502
4.0.	0.228929937118781	0.118150118486638	0.8459995742798331	0.49645717754871005	0.704745989253665	4.9254044879009555	0.24447898748409402	1.932957389841044	2.375569570412025	0.9029270924925981	0.36129127790464105	1.955080670764677	0.0019990769864020002	4.331758199493114	0.489693656608699	0.135861818032985	0.398048070076195	0.17651755798263802
4.0.4.0	0.223693403232002	0.11726394939595801	0.856915906167041	0.47632706528321206	0.71122483181812	4.988767962921997	0.23975981889111	1.928394871645998	2.442542716300857	0.913200179346179	0.371275738426449	2.008231180157328	0.002011438687684	4.316826251615716	0.49118435851866105	0.13598297308956	0.408525915862952	0.176744280994829
4.0.800000000000001.0	0.219877016602906	0.11677047033203901	0.8670084938950141	0.46207360674900005	0.717816486434063	5.047438439578514	0.236493005860149	1.9239258529111811	2.505380831871299	0.9234214994340351	0.38064893374899605	2.058151616128755	0.0020296114429700003	4.300297741401364	0.49288474806054106	0.136196525631227	0.41777470279573603	0.177189993183219
5.0.2.0	0.21747293755392003	0.11669020857748501	0.8762930911569871	0.45337306678189504	0.7244775081083931	5.101482526985247	0.23467298098372202	1.919537870342417	2.564639008962625	0.9335459095699131	0.389499171809619	2.105336131199405	0.0020529401158960003	4.283227613258316	0.49496344585633006	0.136530674694561	0.42568477352995704	0.177866838518488
