	RCC1	RCC1_Ran	RCC1_RanGDP	RCC1_RanGTP	RanBP1	RanGAP	RanGDP_cy	RanGDP_nuc	RanGTP_RanBP1	RanGTP_cy	RanGTP_nuc
0	0.7	0.0	0.0	0.0	2.0	0.7	5.0	0.0	0.0	0.0	0.0
1	0.613197321567598	0.005016649348053477	0.027874891583431528	0.05391113750091585	1.9999996495932424	0.7	4.882197910370034	0.04533266950152329	3.5040675775980366e-07	4.8559177972208145e-05	0.04449442213389668
2	0.5336718390228872	0.009541055951879228	0.032531574217025204	0.1242555308082074	1.999998650576233	0.7	4.768024459528518	0.058611403564700515	1.3494237663049843e-06	0.00017630106237733495	0.12275727043613646
3	0.46731164462992	0.01330916613660083	0.03509191475800645	0.18428727447547175	1.9999974531165248	0.7	4.65731809692334	0.07056061614149621	2.5468834733992877e-06	0.0003278685108459083	0.21027826001186525
4	0.4125986490581689	0.016415066123494384	0.03702757648405683	0.23395870833427845	1.999996155232117	0.7	4.55004934433542	0.08289122215550562	3.84476788055031e-06	0.0004918541641284473	0.30388986200144497
5	0.3676415754095205	0.01896663763020607	0.03852907826769013	0.27486270869258195	1.9999947869245394	0.7	4.446179802008028	0.09552441579582102	5.213075458761264e-06	0.0006645725664116744	0.40184277813877767
6	0.3306442627052244	0.02106591935471	0.03968798721393926	0.30860183072612496	1.9999933707452522	0.7	4.345657557005115	0.10826129597897026	6.629254745286953e-06	0.0008432012565390922	0.5026218854515783
7	0.3000474186679332	0.02280150266403427	0.04057564757179682	0.33657543109623456	1.9999919260054462	0.7	4.2484187241058	0.12092759315424176	8.073994551527095e-06	0.0010253253699208608	0.6049416403082015
8	0.2745656908757797	0.02424643543259765	0.04124948340692963	0.3599383902846918	1.999990468576557	0.7	4.154389964800072	0.13338838722879545	9.531423440538097e-06	0.0012089644475573032	0.7077646126402919
9	0.2531711263951043	0.025459147501216185	0.04175496859422196	0.3796147575094563	1.9999890109810081	0.7	4.063491068777024	0.14554533876258416	1.0989018989361254e-05	0.0013925584631200726	0.8102838632437386
10	0.2350546790333006	0.02648562953296591	0.04212769266570789	0.3963319987680242	1.9999875628192902	0.7	3.9756372291372033	0.15733035019888503	1.243718070663262e-05	0.0015749128003069693	0.9118874601570076
11	0.2195837656706495	0.027361841556619696	0.04239537968002228	0.41065901309270714	1.9999861313038974	0.7	3.8907408949005964	0.16869897287275407	1.3868696099108292e-05	0.0017551308158232173	1.0121199511790344
12	0.20626401578269024	0.028115885875647104	0.04257963388708587	0.42304046445457544	1.9999847217665618	0.7	3.8087132100936056	0.1796246545285049	1.5278233434508053e-05	0.0019325502497483224	1.1106478033889227
13	0.1947077787579942	0.028769797037453755	0.042697348929965157	0.43382507527458536	1.9999833380872427	0.7	3.729465098917282	0.19009409897309182	1.6661912753835853e-05	0.0021066896389484537	1.2072310040813479
14	0.18460936076164566	0.029340949701955228	0.042761804628513526	0.4432878849078842	1.999981983036401	0.7	3.6529080674174477	0.20010367480742725	1.801696359546058e-05	0.0022772056427253647	1.301700750918489
15	0.1757260089420754	0.029843139904811414	0.0427835049192908	0.45164734623382097	1.9999806585399185	0.7	3.5789547860520914	0.20965669893979696	1.9341460078197013e-05	0.0024438600462208934	1.3939423286646133
16	0.16786347126856185	0.030287406192729554	0.042770812866083634	0.4590783096726237	1.9999793658810512	0.7	3.507519506184873	0.21876140748944323	2.0634118945151074e-05	0.0026064946179920334	1.4838821113963214
17	0.16086507192596786	0.03068265085430161	0.04273043099368055	0.4657218462260487	1.999978105853426	0.7	3.4385183519716933	0.22742945029832204	2.1894146569997534e-05	0.0027650120665625466	1.5714777343503246
18	0.15460343978743388	0.031036110273777263	0.042667765335750195	0.4716926846030373	1.99997687887683	0.7	3.3718695192051396	0.2356747778652148	2.3121123165655586e-05	0.0029193616276217394	1.656710658988247
19	0.14897422312790065	0.031353712325445544	0.042587202537450825	0.4770848620092016	1.999975685085046	0.7	3.3074934048204203	0.24351282009929062	2.4314914949741626e-05	0.0030695281298987074	1.7395805312306258
20	0.1438912882686583	0.0316403493753542	0.042492321983322	0.48197604037266406	1.9999745243927587	0.7	3.2453126847590665	0.2509598814724165	2.5475607237475204e-05	0.0032155236648298206	1.8201008807494614
21	0.13928302861875597	0.0319000881350698	0.04238605924471265	0.4864308240014601	1.9999733965467885	0.7	3.1852523533848305	0.25803269666364465	2.660345320733462e-05	0.0033573812063595236	1.8982958248884347
22	0.13508950780119128	0.03213633208304455	0.04227083289176355	0.49050332722399903	1.9999723011655546	0.7	3.127239734303791	0.26474810544706134	2.7698834441126932e-05	0.003495149696044392	1.9741975281026358
23	0.13126023260057076	0.032351948071218516	0.042148643579329195	0.4942391757488798	1.9999712377696433	0.7	3.071204469967094	0.27112281640776337	2.8762230352297248e-05	0.0036288902345177677	2.0478442325447817
24	0.12775240439259786	0.03254936572418609	0.0420211520169817	0.49767707786623266	1.999970205805633	0.7	3.017078495603363	0.2771732370172844	2.9794194362646728e-05	0.00375867311316519	2.1192787230088976
