time	A	E	G	R
0.0.	1.0	0.0	100000000.0	0.0
1.0.6.0	3.212454677039289	5133.709157451216	1902374.5681565516	1267.1486178739253
3.0.2.0	2.094091358152083	6762.814871701248	2662259.2516110977	1840.170349298646
4.0.800000000000001.0	1.689304600016384	6970.081619910866	2788158.455149296	1991.0161368989682
6.0.4.0	1.5072838947639382	6759.280789664606	2716213.9531364264	1981.660955774897
8.0.	1.396752731076398	6436.621538764947	2590206.6723065977	1910.5292665663621
9.0.600000000000001.0	1.311262558159014	6094.776536537512	2453718.7545807646	1814.8929282979977
11.0.200000000000001.0	1.236424290850551	5761.196734224846	2319719.2556446227	1710.3642343485767
12.0.8.0	1.167651264416189	5443.434527736704	2191835.4561254373	1604.31288110173
14.0.4.0	1.103363392242901	5142.994706041867	2070852.9679350462	1500.535624893765
16.0.	1.042912193310764	4859.5724250561425	1956704.127547666	1401.0473966214365
17.0.6.0	0.9859462484279491	4592.352330647573	1849077.3530103944	1306.8734439889104
19.0.200000000000003.0	0.9322162427156461	4340.4071475653955	1747604.111643918	1218.4548500486399
20.0.8.0	0.8815143085346471	4102.819117191876	1651915.9924758242	1135.8805282017
22.0.400000000000002.0	0.8336545179346531	3878.71550806755	1561661.5568346058	1059.0289299233239
24.0.	0.788466073268672	3667.2772020526145	1476510.6069305248	987.6572911519519
25.0.6.0	0.7457904869830351	3467.7387597089432	1396154.4768758062	921.4583369452048
27.0.200000000000003.0	0.705480071144829	3279.385815963328	1320305.0726768011	860.0961362337118
28.0.8.0	0.667396902430198	3101.551724138964	1248693.550467927	803.2284215808941
30.0.400000000000002.0	0.6314119953563181	2933.614103573659	1181068.934870459	750.5201001650225
32.0.	0.5974045924564341	2774.9915230935703	1117196.784048366	701.6510533917772
33.0.6.0	0.5652615358448061	2625.140401546623	1056857.9389940684	656.3202650709235
35.0.2.0	0.534876703138611	2483.552148064055	999847.368143255	614.2476216408198
36.0.800000000000004.0	0.50615049748175	2349.7505402240845	945973.1074622903	575.1742666151141
38.0.400000000000006.0	0.478989384343443	2223.28932765927	895055.2914049395	538.8620854295799
40.0.	0.45330546932814403	2103.7500442812616	846925.2681557409	505.0926940663042
41.0.6.0	0.429016112242519	1990.740010992888	801424.7919395502	473.66617073673694
43.0.2.0	0.40604357340293	1883.890511005665	758405.285216881	444.39968155414937
44.0.800000000000004.0	0.38431468874380503	1782.8551208991714	717727.1639632671	417.12609320116724
46.0.400000000000006.0	0.363760570755051	1687.3081819214794	679259.2197639823	391.69262787401703
48.0.	0.34431633266364603	1596.943397500913	642878.0530412226	367.9595914396064
49.0.6.0	0.325920833599039	1511.4725443902996	608467.5523135297	345.79919022698624
51.0.2.0	0.308516442756518	1430.6242862289753	575918.4149377189	325.0944421641448
52.0.800000000000004.0	0.292048820806794	1354.1430795549632	545127.7052883222	305.73818205328143
54.0.400000000000006.0	0.27646671700088304	1281.7881634203015	515998.4467839083	287.63215731960065
56.0.	0.261721780592422	1213.3326247584112	488439.24457392294	270.6862086891815
57.0.6.0	0.24776838534952902	1148.562532531538	462363.93605681555	254.81752937060114
59.0.2.0	0.23456346605865502	1087.2761344591804	437691.2667143141	239.9499960527324
