species_1	species_2	species_3	species_4
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
0.0	0.0	1.0	1.0
0.0	0.0	1.0	1.0
0.0	0.0	1.0	1.0
0.0	0.0	1.0	1.0
1.0	1.0	1.0	1.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	1.0
1.0	0.0	1.0	1.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
