G1	G2	T1	T2
1.0	1.0	1.0	1.0
0.0	1.0	0.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	0.0	0.0
1.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0
0.0	1.0	0.0	0.0
0.0	0.0	0.0	1.0
1.0	1.0	0.0	0.0
1.0	0.0	0.0	0.0
0.0	0.0	1.0	1.0
1.0	1.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0
1.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0
1.0	1.0	1.0	0.0
1.0	0.0	0.0	1.0
1.0	1.0	1.0	0.0
1.0	0.0	1.0	0.0
0.0	0.0	0.0	0.0
0.0	1.0	1.0	0.0
1.0	0.0	0.0	1.0
0.0	1.0	0.0	0.0
1.0	0.0	1.0	0.0
1.0	0.0	0.0	1.0
0.0	1.0	0.0	0.0
0.0	0.0	1.0	0.0
1.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	0.0	0.0
0.0	1.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	1.0	0.0	0.0
1.0	0.0	0.0	0.0
0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	1.0	0.0	0.0
1.0	1.0	0.0	0.0
1.0	1.0	0.0	1.0
1.0	1.0	0.0	1.0
0.0	1.0	0.0	0.0
1.0	1.0	0.0	0.0
0.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0
0.0	1.0	0.0	1.0
1.0	1.0	0.0	0.0
1.0	1.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	1.0
0.0	0.0	1.0	1.0
0.0	1.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	1.0
0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	1.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	1.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
1.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	1.0
0.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	1.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
