time	A	I1	I2	S
27.0.	2532.5013055847767	8290.142578057983	488.5071771244484	393.0272248418256
28.0.	2532.3270683197734	8289.988344361356	488.26021841687924	393.0383376163132
29.0.	2532.204181553509	8289.88325371869	488.0822921063675	393.04605073929275
30.0.	2532.11749836724	8289.811679013428	487.9541858700943	393.051405130797
31.0.	2532.0563437317182	8289.762953544843	487.8620070762623	393.0551227550107
32.0.	2532.013193049922	8289.729799020486	487.79571867417286	393.0577044149118
33.0.	2531.9827415528125	8289.707250999572	487.74807515204503	393.05949754966076
34.0.	2531.961248839362	8289.691924586949	487.7138501936351	393.0607432368848
35.0.	2531.946077135978	8289.681512790605	487.68927670531815	393.0616087803044
36.0.	2531.9353659686726	8289.674443930322	487.6716412483384	393.0622103055672
37.0.	2531.927802909638	8289.669647744227	487.6589905908824	393.0626284297752
38.0.	2531.9224619995407	8289.66639575925	487.64991957985984	393.0629191293172
39.0.	2531.9186898491566	8289.664192384254	487.6434179293334	393.0631212785336
40.0.	2531.916025337946	8289.662700636003	487.63875965134537	393.06326187987986
41.0.	2531.914142990438	8289.661691504187	487.6354233211783	393.0633596931028
42.0.	2531.912813042512	8289.661009445996	487.6330346191602	393.06342775393443
43.0.	2531.911873273878	8289.66054888228	487.63132495304995	393.06347512240984
44.0.	2531.911209136941	8289.66023819484	487.63010167939865	393.0635080966559
45.0.	2531.9107397363637	8289.660028836006	487.6292266852209	393.0635310557346
46.0.	2531.9104079352614	8289.659887921109	487.62860099149276	393.0635470450144
47.0.	2531.91017337243	8289.659793192506	487.62815369130857	393.0635581828022
48.0.	2531.9100075334263	8289.65972959796	487.6278340063359	393.0635659428657
49.0.	2531.9098902708993	8289.659686967141	487.62760558525565	393.063571350764
50.0.	2531.9098073477317	8289.659658434817	487.62744241325686	393.063575120312
51.0.	2531.909748702113	8289.659639371555	487.62732587862484	393.0635777484498
52.0.	2531.9097072222476	8289.659626659002	487.62724266996935	393.06357958120964
53.0.	2531.9096778808907	8289.659618199163	487.627183269469	393.06358085959596
54.0.	2531.909657123959	8289.659612582334	487.6271408735962	393.06358175150007
55.0.	2531.9096424385743	8289.659608862603	487.6271106203119	393.06358237390646
56.0.	2531.9096320478525	8289.659606406218	487.62708903589333	393.063582808347
57.0.	2531.909624695209	8289.65960478927	487.62707363909897	393.0635831116571
58.0.	2531.909619491924	8289.65960372871	487.62706265800847	393.0635833234662
59.0.	2531.9096158093844	8289.659603035929	487.627054827521	393.06358347141224
60.0.	2531.9096132029185	8289.659602585498	487.6270492445783	393.0635835747748
61.0.	2531.9096113579435	8289.659602294221	487.62704526468866	393.06358364700577
62.0.	2531.9096100518896	8289.65960210705	487.62704242797787	393.06358369749364
63.0.	2531.9096091272663	8289.659601987676	487.62704040636635	393.0635837327916
64.0.	2531.9096084726307	8289.659601912224	487.62703896583963	393.0635837574756
65.0.	2531.909608009114	8289.659601865054	487.62703793950743	393.06358377474123
66.0.	2531.909607680897	8289.65960183597	487.62703720836817	393.06358378682086
67.0.	2531.909607448471	8289.659601818357	487.6270366875823	393.06358379527387
68.0.	2531.9096072838684	8289.659601807938	487.62703631667284	393.06358380119065
69.0.	2531.90960716729	8289.65960180198	487.62703605253665	393.0635838053331
70.0.	2531.909607084719	8289.659601798738	487.62703586445787	393.063583808234
71.0.	2531.909607026232	8289.659601797113	487.62703573055063	393.0635838102659
72.0.	2531.9096069848006	8289.659601796431	487.62703563522103	393.0635838116895
73.0.	2531.9096069554516	8289.65960179627	487.6270355673615	393.0635838126871
74.0.	2531.909606934659	8289.659601796377	487.6270355190608	393.06358381338623
75.0.	2531.909606919928	8289.659601796608	487.6270354846848	393.0635838138764
76.0.	2531.9096069094912	8289.659601796875	487.6270354602214	393.0635838142201
77.0.	2531.9096069021134	8289.659601797139	487.6270354428551	393.06358381446057
78.0.	2531.9096068969425	8289.659601797375	487.6270354306305	393.0635838146273
79.0.	2531.9096068932577	8289.659601797579	487.6270354218836	393.063583814745
80.0.	2531.9096068906306	8289.659601797744	487.6270354156255	393.0635838148282
81.0.	2531.909606888758	8289.659601797879	487.6270354111485	393.0635838148869
82.0.	2531.9096068874237	8289.659601797985	487.62703540794564	393.06358381492845
83.0.	2531.9096068864715	8289.659601798066	487.6270354056547	393.0635838149579
84.0.	2531.9096068857925	8289.65960179813	487.627035404016	393.06358381497864
85.0.	2531.9096068853087	8289.659601798181	487.62703540284394	393.06358381499325
86.0.	2531.9096068849635	8289.65960179822	487.6270354020057	393.06358381500365
87.0.	2531.9096068847184	8289.659601798247	487.62703540140615	393.06358381501104
88.0.	2531.909606884541	8289.659601798265	487.6270354009775	393.06358381501644
89.0.	2531.9096068844156	8289.659601798283	487.6270354006709	393.06358381502
90.0.	2531.909606884328	8289.659601798301	487.62703540045175	393.06358381502235
91.0.	2531.9096068842637	8289.659601798301	487.62703540029503	393.0635838150245
92.0.	2531.909606884216	8289.659601798303	487.6270354001829	393.06358381502605
93.0.	2531.9096068841823	8289.659601798305	487.6270354001025	393.0635838150272
94.0.	2531.909606884158	8289.659601798305	487.627035400045	393.06358381502804
95.0.	2531.909606884142	8289.659601798307	487.6270354000039	393.0635838150286
96.0.	2531.9096068841295	8289.659601798307	487.6270353999746	393.063583815029
97.0.	2531.90960688412	8289.659601798307	487.6270353999534	393.06358381502923
98.0.	2531.909606884115	8289.659601798307	487.6270353999384	393.0635838150295
99.0.	2531.9096068841104	8289.659601798307	487.6270353999278	393.0635838150296
100.0.	2531.9096068841063	8289.659601798307	487.62703539992	393.0635838150297
