time	A	I1	I2	S
0.0.	1800.0	5400.0	4500.0	15300.0
1.0.	4677.980219467934	17129.06688516493	3502.495581965414	180.81655215873857
2.0.	5108.269335797581	14434.272116550343	2757.8932419263692	215.28775979214524
3.0.	4732.128941821981	12553.920301485517	2189.9216518471453	248.76115727786936
4.0.	4223.334320805474	11243.3772779725	1759.1648897222221	279.4094373582207
5.0.	3776.369648807335	10331.539910864325	1434.1163509207606	305.96872369743465
6.0.	3428.7982324895147	9698.468372224463	1189.9337620900935	327.88317462752616
7.0.	3171.601817112992	9259.966109224282	1007.2396032757896	345.2263481530443
8.0.	2985.642946101461	8956.93287573907	871.0511685226668	358.4928470282535
9.0.	2852.75712927633	8747.955576832115	769.8692710467839	368.3734296233195
10.0.	2758.391780299149	8604.099371169194	694.924872936579	375.58414844562725
11.0.	2691.616891860186	8505.21744253928	639.5689114983052	380.76766232982993
12.0.	2644.4627650359125	8437.329852587536	598.7855212111477	384.4532747380802
13.0.	2611.2049555035305	8390.765422525681	568.8083083127349	387.05338382647335
14.0.	2587.765354268316	8358.850696351645	546.8208795274442	388.87758253755874
15.0.	2571.252454407834	8336.990067549053	530.7251485570469	390.1524874900992
16.0.	2559.6219338739015	8322.023800887042	518.9634513581866	391.0411321265423
17.0.	2551.4309837425003	8311.782036832416	510.38290106009407	391.659420749013
18.0.	2545.662436244518	8304.776079672802	504.13257696640335	392.0890822449938
19.0.	2541.5996779254383	8299.985313159026	499.5860180327939	392.3874249745123
20.0.	2538.738039832178	8296.71043477294	496.28307150778153	392.5944798695763
21.0.	2536.722187018562	8294.47252932035	493.8864485899418	392.738136426831
22.0.	2535.301950701867	8292.943747856794	492.1493904868418	392.837791051071
23.0.	2534.3012027351174	8291.899737805586	490.8916850137822	392.90691762218944
24.0.	2533.595935156595	8291.187022122404	489.98193116654016	392.9548687340224
25.0.	2533.0988282943063	8290.700642094012	489.32445984853615	392.9881331576243
26.0.	2532.748388912642	8290.368841428333	488.84971216885265	393.01121148211627
