	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.006751389497477464	0.003056498466285638	0.002680522822067284	0.040412455653012935	0.8276551684443599	0.0027786285396393324	1.237747772597339e-05	0.0	0.00025469553428507526	0.009931132495819518	0.0016494136957476433	0.002659396168419095	0.0	0.004317251433128041	0.2172501126128051	0.33841177465786665	0.0027174419722051047	0.4472616426379458	0.0027192293654016374	0.001180360185668009	0.026544750379407383	0.0011180790891664792	8.319215426643579e-05
2	0.0	0.03526021020603063	0.004602092899426368	0.010157246685526727	0.049090954085935924	0.5599710051117834	0.0026398646565058644	2.364264337433624e-05	0.0	0.000482964900424508	0.017907280448822834	0.012805868615409995	0.016243407613338	0.0	0.009793922338407573	0.4048090111176978	0.49167947877797297	0.00493941088278279	0.8522610759067507	0.004945843110180924	0.0021698117311309993	0.08208116737782822	0.008063280970206638	0.0044501245739230885
3	0.0	0.05992626898960855	0.0032018368701080893	0.011286580777467347	0.03642349287666563	0.2725423742871329	0.002474515233431017	3.7653269841024125e-05	0.0	0.0007654094818095597	0.02757784906339091	0.04516719625243694	0.049176217660970564	0.0	0.01725846630557722	0.5507236980817023	0.5417381456141604	0.006755966322043042	0.9951903313938663	0.006769187399211934	0.003308173664695225	0.15828883038859592	0.02654643061597156	0.045525322546981606
4	0.0	0.06587359420297163	0.0017358951319244582	0.00894194347537545	0.02660480841745821	0.149876161428134	0.0023733330544950613	5.2631902549529733e-05	0.0	0.0010646325873180792	0.03707861980727601	0.09139351488428354	0.09629360960560547	0.0	0.02226186474009796	0.6565793996764966	0.5442272609422054	0.008240618788420704	0.9934128068535467	0.00826241881656556	0.00417419983546872	0.24475934002619004	0.05062082014049265	0.16986074781162896
5	0.0	0.0653757796504106	0.0010530149546321367	0.007220219075338013	0.020697746726260544	0.09816654006030909	0.002314459730891699	6.530760487864248e-05	0.0	0.0013165003824529252	0.04454727868163425	0.14009542001050135	0.14929845523077503	0.0	0.025323346405126193	0.73775919858798	0.542260112267078	0.009453550883464758	0.9917883621135413	0.009485351452617726	0.004616963462090746	0.33443560707409614	0.06407807967006605	0.36778183548400895
6	0.0	0.06270765401992164	0.0007422419245586377	0.005968341879634549	0.016777190417323364	0.07079960398442152	0.002251677544421966	7.601043562889273e-05	0.0	0.0015288405248828386	0.05061202368835239	0.18838395885264855	0.20443375436679945	0.0	0.028850600938062246	0.7978055577237719	0.5363848517951885	0.010444261288735431	0.9904011574565419	0.010486918751746406	0.00505133439132265	0.42236490831091544	0.06098109286173702	0.5849484461687913
7	0.0	0.059384281040900995	0.0006084563636510935	0.004993848327698706	0.01402200221372129	0.05427537250933786	0.0021575958323726075	8.533715585703928e-05	0.0	0.0017136804761456034	0.055754849793520606	0.23518693837834032	0.25818746631035694	0.0	0.03468611420721882	0.8284535079888592	0.5171847530001911	0.011253396813908587	0.9891742165497159	0.01130720292632485	0.005743395899963877	0.5023670081075667	0.045899350972349436	0.7681693744438907
8	0.0	0.05603613324769854	0.0005802250997144301	0.004178730764823667	0.01203352807352267	0.04345565246882831	0.002007229627965072	9.38244095231788e-05	0.0	0.0018817949443788286	0.0603603158541308	0.2800109946332436	0.3052545102433963	0.0	0.045312945007357754	0.8112666827856306	0.4734678200540196	0.011914322348157699	0.9880341047023098	0.011979035908367961	0.006775261565205681	0.5646506024936812	0.027734307707396474	0.8917202623231772
9	0.0	0.05297922609836783	0.000638503144644682	0.0034357986366614097	0.010586854747691724	0.036001940130172744	0.0017793337019490272	0.00010192707703375217	0.0	0.002042203907940574	0.06470633676198351	0.32263584268696005	0.3365373509141727	0.0	0.06498580142720821	0.7101910300385528	0.39229003802863566	0.012454431712184745	0.9869174447496082	0.012529310296609088	0.008061884003877194	0.5929853610580555	0.013277742870548913	0.9589634469572977
