	Epo	EpoR	Epo_EpoR	Epo_EpoRi	dEpoe	dEpoi
0	2030.19	516.0	0.0	0.0	0.0	0.0
1	1800.8099599909694	298.9023215869986	202.92216053004427	25.904303091321104	0.46371952782017833	0.08985685984548342
2	1680.2739835360853	205.06469985266182	270.36418010657354	76.05418200141709	2.929912948864421	0.567741407059462
3	1604.346054815891	162.24603935560663	286.31434127140864	129.97358746781742	8.004877976008453	1.5511384688749121
4	1548.706752005218	142.6564525081109	282.53475945046097	180.25355737562208	15.660358438943923	3.0345727297555167
5	1502.8985739715217	134.21778635549487	272.0851886300283	224.58852746036575	25.64782442274054	4.969885515344292
6	1462.1060201956568	131.32370327724158	260.3953057464122	262.72696625273073	37.66349573061783	7.29821207458294
7	1424.0211592038672	131.2678668022341	249.59513142784408	295.1973751186189	51.413689911174565	9.962644338495686
8	1387.509105347014	132.70878464207422	240.3681716706884	322.7621337506046	66.63788864242048	12.91270058927285
9	1352.0016936090055	134.96765797687166	232.78032239519985	346.1888951978254	83.11378525763799	16.105303540331604
10	1317.210820349428	137.69471119699182	226.65607155291258	366.16373091840586	100.65503314491639	19.50434403433745
11	1282.9893093251217	140.70652360406675	221.74742239563955	383.2670360166747	119.10647555861516	23.079756703949393
12	1249.2620706851683	143.90520022686644	217.80651345987934	397.97596482245376	138.33893981166852	26.806511220830636
13	1215.9914992813885	147.23756086586812	214.61359717574794	410.6767813705625	158.2444395515719	30.66368262072994
14	1183.1598321679244	150.67422556396394	211.98477197521814	421.67967610394703	178.73206484484191	34.633654908069175
15	1150.76002458169	154.19873385359412	209.771016262333	431.23290260062464	199.72459235860856	38.70146419674435
16	1118.7909593273291	157.8017913699339	207.85393668688275	439.5350869928559	221.1557485968884	42.85426839604542
17	1087.2548877151767	161.47817121241792	206.14069679482316	446.74546324295267	242.96802785954895	47.080924387499536
18	1056.1560338985253	165.2250087862691	204.55918162330337	452.99216594538785	265.11096516991154	51.37165336287309
19	1025.4998135479918	169.04083900903566	203.05378833775092	458.3788462281124	287.5397748675106	55.717777018635346
20	995.2923813219826	172.92503559880487	201.58192891046158	462.9899002854225	310.2142794826119	60.111509999522475
21	965.5403568599361	176.87747226516626	200.11120144593895	466.8945776961522	333.0980673350164	64.54579666295724
22	936.2506491707856	180.89830901700927	198.61713999564742	470.1501986948005	356.1578295323206	69.01418260644688
23	907.4303360909896	184.98785076627613	197.08144382579616	472.80466936365565	379.36283732672035	73.51071339283918
24	879.0865750173707	189.14644887820074	195.4905942519632	474.89844703252487	402.68452916655747	78.02985453158468
25	851.2265316221362	193.3744290297097	193.8347799497918	476.4660768757643	426.0961834796967	82.56642807261191
26	823.8573189907702	197.6720357356029	192.1070653376786	477.5373949507775	449.5726585245879	87.11556219618673
27	796.9859428088212	202.03938782791423	190.30274920151922	478.1384721987047	473.0901848030761	91.67265098787993
28	770.619250032955	206.4764414264323	188.4188715034812	478.2923574712384	496.62619877547957	96.23332221684682
29	744.7638795376199	210.98295826544555	186.453835200938	478.0196646919477	520.1592091444081	100.7934114250872
30	719.4262138687235	215.55847804983713	184.40711706159243	477.33903912072816	543.6686889338038	105.34894101515252
31	694.612331626528	220.20229400730068	182.27904716675664	476.2675297813353	567.1349881074992	109.8961033178808
32	670.327960303826	224.91343117632897	180.0706412367181	474.8208889622672	590.5392626475732	114.43124684961529
33	646.5784295200236	229.69062711141018	177.78347349414918	473.0138149278053	613.8634169148613	118.95086514316036
34	623.3686248168775	234.53231494152854	175.4195804297513	470.860150260753	637.0900568192334	123.45158767339105
35	600.7029422174068	239.43660875086755	172.98138802357315	468.3730453981695	660.2024518593205	127.93017250153711
36	578.5852438663522	244.40129136765276	170.47165659841608	465.5650946841764	683.1845045081565	132.38350034290585
37	557.0188151283196	249.42380469298487	167.89343876813092	462.44845054389134	706.0207257358527	136.80856982381258
38	536.0063235717911	254.50124273882838	165.25004694136365	459.03492004393104	728.6962157025487	141.20249374037274
39	515.5497803068357	259.6303475659505	162.54502761621757	455.3360470716112	751.196648838026	145.56249616731668
40	495.65050417043	264.8075083194366	159.78214030866346	451.36318256613134	773.5082626629477	149.88591029183462
41	476.3090892667895	270.0287635535246	156.96533943601074	447.1275446188698	795.6178498107178	154.17017686761938
42	457.5253763701973	275.2898070194589	154.09875785560416	442.6402697888307	817.5127527861445	158.4128431992307
43	439.2984286843814	280.5859970608022	151.18669106366016	437.91245661983527	839.1808610541651	162.6115625779654
44	421.626512424916	285.912369720767	148.23358130604726	432.95520207718914	860.6106100933954	166.76409409845965
45	404.5070826509203	291.2636556176377	145.24400105729467	427.77963142098923	881.7909820796631	170.86830279114014
46	387.9367747093433	296.63430057582934	142.2226354960487	422.3969219020396	902.7115078833231	174.92216000925217
47	371.911401636462	302.0184900083609	139.1742637294389	416.81832051805446	923.3622700999266	178.92374401612477
48	356.42595763601395	307.41017675684907	136.10373871214227	411.055156155306	943.7339067872366	182.87124070930813
49	341.4746279180155	312.80311240508917	133.01596578178354	405.1188461701843	963.817615690669	186.76294443935467
50	327.0508048200258	318.19088161072847	129.91587996993152	399.0208976988896	983.6051586478515	190.59725886330867
51	313.1471101996562	323.5669391809804	126.80842222654984	392.77290385321714	1003.0888659338793	194.3726977867045
52	299.75542392309785	328.92464946267654	123.69851479881557	386.38653503415895	1022.2616402981363	198.08788594579838
53	286.8669181792917	334.2573275709008	120.59103605110687	379.87352562614274	1041.1169604587606	201.74155968470535
54	274.47209724995434	339.5582819304772	117.49079505223172	373.245656377944	1059.6488838350149	205.33256748486224
55	262.5608422707824	344.82085756330673	114.40250628412903	366.5147328243959	1077.8520483134378	208.8598703072619
56	251.1224604352847	350.0384795286627	111.33076483987699	359.6925601503872	1095.7216728628355	212.3225417116227
57	240.14573801988846	355.204695909825	108.28002248145049	352.79091494420453	1113.2535568338083	215.71976772065523
58	229.61899655012041	360.31321974170004	105.25456491797146	345.82151432831256	1130.4440778015505	219.05084640205217
59	219.53015138542366	365.3579692908127	102.25849064403977	338.7959829892505	1147.2901878356256	222.31518714566755
60	209.86677197346734	370.3331061293471	99.29569164699002	331.72581865441725	1163.789408106693	225.51230961843942
61	200.61614301618783	375.2330704891418	96.36983625250458	324.6223565788367	1179.9398217675564	228.64184238492138
62	191.7653257980502	380.0526134381222	93.48435433096812	317.4967336104589	1195.7400650738325	231.7035211866973
63	183.30121895140795	384.7868254878225	90.6424250355569	310.3598523963548	1211.189316737343	234.69718687934417
64	175.2106179732994	389.4311613153668	87.84696718765318	303.22234627541036	1226.2872855327298	237.62278303091412
65	167.48027286065556	393.98146036311135	85.10063236895496	296.0945453755128	1241.0341962039129	240.48035319097053
66	160.09694329451315	398.43396316219463	82.40580072381206	288.9864443959924	1255.4307737416952	243.27003784399378
67	153.04745087609496	402.78532330952754	79.76457942201772	281.90767251020947	1269.4782261263445	245.99207106534004
68	146.318727995895	407.0326151089683	77.17880368298412	274.8674657701724	1283.1782256491197	248.64677690183558
69	139.897862998746	411.17333696435844	74.65004021820769	267.87464233651644	1296.532888944079	251.23456550245743
70	133.77214139058626	415.2054106826301	72.1795929113663	260.9375807948215	1309.5447558758956	253.75592902733726
71	127.92908291420865	419.1271769079539	69.7685105247861	254.0642017548359	1322.2167674406664	256.21143736551
72	122.35647439932875	422.9373869614005	67.41759619799083	247.26195286450286	1334.552242844792	258.6017336933925
73	117.04239836544639	426.63519140434823	65.12741848840176	240.53779730731293	1346.554855931913	260.92752990693305
74	111.97525742245496	430.22012567718855	62.89832369604624	233.89820579100464	1358.2286111297667	263.18960196073454
75	107.14379457299313	433.692093187953	60.73044921270201	227.3491519792452	1369.5778190878118	265.38878514725485
76	102.53710957142836	437.0513462386246	58.62373764068938	220.89611126659574	1380.6070721728088	267.52596934848447
77	98.14467153681417	440.298465180601	56.577951436607805	214.54406275186176	1391.3212199834156	269.60209429130725
78	93.95632804985082	443.43433618634447	54.592687850187126	208.297494226386	1401.7253450372925	271.6181448362902
79	89.962310991838	446.4601280105342	52.6673939468297	202.1604099612208	1411.8247387727038	273.57514632741385
80	86.15323939902711	449.37726809880616	50.80138152098862	196.13634105303638	1421.624877998304	275.47416002864946
81	82.52011961331863	452.18741837294533	48.99384173772273	190.2283580699578	1431.1314019088152	277.3162786701913
82	79.05434302254054	454.89245100074277	47.243859349213146	184.43908572787683	1440.350089775021	279.1026221253544
83	75.7476816730604	457.49442442141793	45.550426372442125	178.7707193190203	1449.2868393996098	280.8343332358734
84	72.59228203430418	459.99555986969403	43.912455126348235	173.22504261887497	1457.947646419291	282.5125738011877
85	69.58065718416918	462.3982186069123	42.32879055332602	167.80344699918027	1466.3385845188868	284.138520744444
86	66.70567766989032	464.7048800350902	40.79822176957849	162.5069514847658	1474.4657866103046	285.7133624654673
87	63.9605612827441	466.91812083767314	39.31949280787131	157.3362235042789	1482.3354270166164	287.23829538849594
88	61.33886196719678	469.040595260332	37.891312533014954	152.29160010004944	1489.9537046895753	288.71452071017035
89	58.83445806612375	471.0750166163582	36.51236372533912	147.37310937972575	1497.32682747772	290.1432413510979
90	56.44154008440024	473.0241400748775	35.18131134015758	142.5804920111017	1504.460997452007	291.5256591123399
91	54.15459813384472	474.8907467662302	33.8968099618753	137.91322258130543	1511.3623972866171	292.86297203636383
92	51.968409203505836	476.6776292175494	32.65751048012624	133.37053066171293	1518.0371776842678	294.1563719703938
93	49.878024381021305	478.3875781129504	31.462066022277515	128.95142143996375	1524.4914458280657	295.4070423286784
94	47.878756133507686	480.02337035686764	30.30913718163197	124.654695800324	1530.731254835581	296.6161560489621
95	45.966165740176436	481.5877584055807	29.19739658452551	120.47896975242148	1536.7625941854706	297.784873737413
96	44.13605095389377	483.0834608210297	28.125532841726756	116.42269312650954	1542.5913810824916	298.9143419953853
97	42.38443395550064	484.51315399182346	27.092253931224082	112.48416746973489	1548.2234527228945	300.0056919206525
98	40.70754965005195	485.87946496290675	26.0962900563081	108.66156309701661	1553.6645594210966	301.06003777553366
99	39.101834349851345	487.184965300803	25.136396032658983	104.95293525322481	1558.9203585513292	302.0784758129425
100	37.563914867775466	488.43216593454923	24.21135323910584	101.35623937536563	1563.9964092650102	303.06208325274963
