	L	REL	ReNR
0	0.0	0.0	3.7
1	0.004907452563849887	0.018057195677311854	3.6819428043226883
2	0.00504717430345382	0.01836871748199698	3.681631282518003
3	0.004994375548119648	0.01841308049759775	3.681586919502402
4	0.005029999150226322	0.018385153042586498	3.6816148469574137
5	0.004995601639471101	0.01841107728032297	3.681588922719677
6	0.004999936647239414	0.018408110692183323	3.6815918893078172
7	0.005000005376864989	0.018407925822273977	3.6815920741777264
8	0.0049999989681529565	0.018407954518882146	3.681592045481118
9	0.004999999753545415	0.01840795905690872	3.681592040943092
10	0.004999999950088299	0.01840795993845857	3.6815920400615423
11	0.004999999988843367	0.018407960140686762	3.681592039859314
12	0.0049999999975007875	0.018407960186012325	3.6815920398139883
13	0.004999999999442736	0.01840796019610727	3.6815920398038933
14	0.004999999999875725	0.01840796019835862	3.6815920398016417
15	0.00499999999997228	0.018407960198860807	3.6815920398011395
16	0.0049999999999938175	0.01840796019897282	3.6815920398010276
17	0.004999999999998621	0.018407960198997802	3.6815920398010027
18	0.004999999999999692	0.01840796019900338	3.6815920398009974
19	0.004999999999999932	0.018407960199004623	3.681592039800996
20	0.0049999999999999845	0.0184079601990049	3.6815920398009956
21	0.004999999999999997	0.01840796019900496	3.681592039800995
22	0.004999999999999999	0.018407960199004973	3.681592039800995
23	0.004999999999999999	0.018407960199004977	3.681592039800995
24	0.005	0.018407960199004977	3.681592039800995
25	0.005	0.018407960199004977	3.681592039800995
26	0.005	0.018407960199004977	3.681592039800995
27	0.005	0.018407960199004977	3.681592039800995
28	0.005	0.018407960199004977	3.681592039800995
29	0.005	0.018407960199004977	3.681592039800995
30	0.005	0.018407960199004977	3.681592039800995
31	0.005	0.018407960199004977	3.681592039800995
32	0.005	0.018407960199004977	3.681592039800995
33	0.005	0.018407960199004977	3.681592039800995
34	0.005	0.018407960199004977	3.681592039800995
35	0.005	0.018407960199004977	3.681592039800995
36	0.005	0.018407960199004977	3.681592039800995
37	0.005	0.018407960199004977	3.681592039800995
38	0.005	0.018407960199004977	3.681592039800995
39	0.005	0.018407960199004977	3.681592039800995
40	0.005	0.018407960199004977	3.681592039800995
41	0.005	0.018407960199004977	3.681592039800995
42	0.005	0.018407960199004977	3.681592039800995
43	0.005	0.018407960199004977	3.681592039800995
44	0.005	0.018407960199004977	3.681592039800995
45	0.005	0.018407960199004977	3.681592039800995
46	0.005	0.018407960199004977	3.681592039800995
47	0.005	0.018407960199004977	3.681592039800995
48	0.005	0.018407960199004977	3.681592039800995
49	0.005	0.018407960199004977	3.681592039800995
50	0.005	0.018407960199004977	3.681592039800995
51	0.005	0.018407960199004977	3.681592039800995
52	0.005	0.018407960199004977	3.681592039800995
53	0.005	0.018407960199004977	3.681592039800995
54	0.005	0.018407960199004977	3.681592039800995
55	0.005	0.018407960199004977	3.681592039800995
56	0.005	0.018407960199004977	3.681592039800995
57	0.005	0.018407960199004977	3.681592039800995
58	0.005	0.018407960199004977	3.681592039800995
59	0.005	0.018407960199004977	3.681592039800995
60	0.005	0.018407960199004977	3.681592039800995
61	0.005	0.018407960199004977	3.681592039800995
62	0.005	0.018407960199004977	3.681592039800995
63	0.005	0.018407960199004977	3.681592039800995
64	0.005	0.018407960199004977	3.681592039800995
65	0.005	0.018407960199004977	3.681592039800995
66	0.005	0.018407960199004977	3.681592039800995
67	0.005	0.018407960199004977	3.681592039800995
68	0.005	0.018407960199004977	3.681592039800995
69	0.005	0.018407960199004977	3.681592039800995
70	0.005	0.018407960199004977	3.681592039800995
71	0.005	0.018407960199004977	3.681592039800995
72	0.005	0.018407960199004977	3.681592039800995
73	0.005	0.018407960199004977	3.681592039800995
74	0.005	0.018407960199004977	3.681592039800995
75	0.005	0.018407960199004977	3.681592039800995
76	0.005	0.018407960199004977	3.681592039800995
77	0.005	0.018407960199004977	3.681592039800995
78	0.005	0.018407960199004977	3.681592039800995
79	0.005	0.018407960199004977	3.681592039800995
80	0.005	0.018407960199004977	3.681592039800995
81	0.005	0.018407960199004977	3.681592039800995
82	0.005	0.018407960199004977	3.681592039800995
83	0.005	0.018407960199004977	3.681592039800995
84	0.005	0.018407960199004977	3.681592039800995
85	0.005	0.018407960199004977	3.681592039800995
86	0.005	0.018407960199004977	3.681592039800995
87	0.005	0.018407960199004977	3.681592039800995
88	0.005	0.018407960199004977	3.681592039800995
89	0.005	0.018407960199004977	3.681592039800995
90	0.005	0.018407960199004977	3.681592039800995
91	0.005	0.018407960199004977	3.681592039800995
92	0.005	0.018407960199004977	3.681592039800995
93	0.005	0.018407960199004977	3.681592039800995
94	0.005	0.018407960199004977	3.681592039800995
95	0.005	0.018407960199004977	3.681592039800995
96	0.005	0.018407960199004977	3.681592039800995
97	0.005	0.018407960199004977	3.681592039800995
98	0.005	0.018407960199004977	3.681592039800995
99	0.005	0.018407960199004977	3.681592039800995
100	0.005	0.018407960199004977	3.681592039800995
