observableId	preequilibrationConditionId	simulationConditionId	measurment	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
GAP			0.365497076	0	NaN			
GAP			1.306432749	40	NaN			
GAP			2.373099415	80	NaN			
GAP			3.195906433	120	NaN			
stdev			0.044808451	0	NaN			
stdev			0.216695668	40	NaN			
stdev			0.267969654	80	NaN			
stdev			0.154289577	120	NaN			
3PG			3.11754386	0	NaN			
3PG			1.735087719	40	NaN			
3PG			0.740350877	80	NaN			
3PG			0.263157895	120	NaN			
stdev.1			0.114196916	0	NaN			
stdev.1			0.222350686	40	NaN			
stdev.1			0.309175374	80	NaN			
stdev.1			0.199591766	120	NaN			
BPG			0.149122807	0	NaN			
BPG			0.139912281	40	NaN			
BPG			0.136052632	80	NaN			
BPG			0.121929825	120	NaN			
stdev.2			0.136459203	0	NaN			
stdev.2			0.122193014	40	NaN			
stdev.2			0.105321694	80	NaN			
stdev.2			0.050862067	120	NaN			
