time	ADP	AMP	ATP	NADH	Pyr
0.0.	0.0	0.0	16.3	256.0	0.0
6.0.	0.45367738378229905	3.5660662058930113	12.280256410324675	255.74155775078526	0.021715945259172
12.0.	0.872759024962636	5.85780118283621	9.569439792201141	254.73521473563233	0.043017351606451
18.0.	1.043781871062957	7.454646403667771	7.801571725269255	253.2881857406255	0.051830780681751
24.0.	1.079651258308493	8.641881914219814	6.578466827471676	251.69322335308127	0.053759397939444
30.0.	1.056800674342983	9.565670398182144	5.677528927474853	250.09192391136457	0.052688134944423
36.0.	1.010464610800034	10.308072908717252	4.98146248048269	248.5436566845073	0.050413260970386
42.0.	0.9559182390391481	10.91921670900853	4.424865051952295	247.07124464268722	0.047713419658852
48.0.	0.899864325641728	11.431793578710458	3.9683420956477873	245.68162728057538	0.044930194465815004
54.0.	0.8452860017589531	11.868203514063923	3.5865104841770963	244.37471813168608	0.042215791427933004
60.0.	0.793475905696559	12.244390711736825	3.262133382566588	243.14731632626706	0.039636459387212004
66.0.	0.744923285883015	12.572054181445015	2.983022532671942	241.9949194432557	0.037217613403257
72.0.	0.6997254510635701	12.859994711819612	2.740279837116794	240.91259684053617	0.034964729217664005
78.0.	0.657788863274075	13.11497283156606	2.52723830515984	239.89541725235733	0.032873546056091
84.0.	0.618931241290365	13.34227542757631	2.3387933311333002	238.93865466388465	0.030935246815921004
90.0.	0.58293456744806	13.54610143230471	2.170964000247201	238.0378802941642	0.029139149788608
96.0.	0.549572739283364	13.729831197796642	2.020596062919966	237.18899514911533	0.027474115775253
102.0.	0.5186257432090341	13.896218866986327	1.885155389804612	236.3882316577525	0.025929272197119
108.0.	0.48988653204702104	14.047532456495295	1.762581011457656	235.6321396936732	0.0244943671448
114.0.	0.46316392366478204	14.185657635580462	1.651178440754726	234.91756531089467	0.023159921279669003
120.0.	0.438283341804073	14.31217579942501	1.549540858770889	234.2416267401451	0.021917269800493
126.0.	0.41508641463682205	14.428423619435518	1.4564899659276311	233.60169009784198	0.020758545940356
132.0.	0.39343000219713803	14.535539034571343	1.371030963231493	232.99534608585122	0.019676634978781003
138.0.	0.373184973993662	14.63449717524362	1.292317850762692	232.42038829806563	0.018665115109767
144.0.	0.354234915656267	14.726138714966842	1.219626369376867	231.87479337780138	0.017718194291880002
150.0.	0.33647486152127404	14.811192458877104	1.152332679601599	231.35670306422705	0.016830648051057003
156.0.	0.319810102758081	14.890293498242059	1.089896398999835	230.86440805623852	0.015997760804157
162.0.	0.304155093437043	14.963997919358563	1.031846987204369	230.39633356784037	0.015215271886019002
168.0.	0.28943246149977003	15.032794810108873	0.9777727283913351	229.9510264265728	0.014479326673730001
174.0.	0.275572123074862	15.0971161289166	0.9273117480085131	229.52714356194596	0.013786432763920001
180.0.	0.262510494135878	15.157344869326867	0.8801446365372321	229.12344173601804	0.013133420928111001
186.0.	0.250189791433444	15.213821855522202	0.8359883530443311	228.73876837837486	0.012517410461752
192.0.	0.23855741394096203	15.266851430469847	0.79459115558917	228.37205340001347	0.01193577850346
198.0.	0.22756539612940901	15.316706242537098	0.7557283613334721	228.02230187340376	0.011386132901485001
204.0.	0.217169924870823	15.363631293660667	0.719198781468484	227.68858747840102	0.010866288226071
210.0.	0.20733091244835503	15.407847379172624	0.684821708378991	227.37004662525905	0.01037424455849
216.0.	0.198011618898627	15.449554023744405	0.652434357356938	227.06587317653447	0.009908168723395
222.0.	0.189178317658687	15.488931997834648	0.6218896845066271	226.77531369912836	0.009466377667415002
228.0.	0.18079999919712503	15.526145483201965	0.593054517600874	226.49766318610028	0.009047323721392001
234.0.	0.17284810795823302	15.561343943490296	0.565807948551435	226.2322611952831	0.008649581515445
240.0.	0.16529630853249203	15.594663745876549	0.540039945590924	225.97848835821264	0.008271836344757
246.0.	0.158120277485738	15.62622957172877	0.5156501507854541	225.7357632185603	0.007912873809494
252.0.	0.15129751773628702	15.656155647734334	0.49254683452933906	225.50353936420723	0.007571570574803001
258.0.	0.14480719276912102	15.684546823693646	0.47064598353719306	225.2813028214199	0.007246886116532
264.0.	0.13862997832461002	15.711499518884207	0.44987050279114105	225.0685696833516	0.006937855335539001
270.0.	0.132747929502053	15.737102555385752	0.43014951511215604	224.8648839483802	0.006643581938423001
276.0.	0.127144361480989	15.76143789386628	0.41141774465269204	224.6698155466574	0.006363232495496001
282.0.	0.12180374229102	15.78458128494056	0.39361497276838003	224.48295853574683	0.006096031098091001
288.0.	0.11671159625816901	15.806602847231392	0.37668555651039803	224.30392944841503	0.005841254547080001
294.0.	0.11185441692694201	15.82756758161401	0.36057800145900704	224.1323657775551	0.005598228012953
300.0.	0.107219588405513	15.847535829744812	0.345244581849638	223.96792458489574	0.0053663211151430005
306.0.	0.102795314210221	15.866563683818523	0.33064100197121604	223.81028122162377	0.005144944374704001
312.0.	0.09857055279735501	15.884703353523927	0.31672609367867904	223.65912815033653	0.004933545999952001
318.0.	0.094534959067384	15.902003495345523	0.303461545587054	223.51417385888064	0.004731608969544001
324.0.	0.090678831211464	15.918509508661543	0.29081166012695203	223.375141857633	0.0045386483816320005
330.0.	0.086993062343778	15.934263802496211	0.278743135159971	223.24176975266752	0.004354209041429
336.0.	0.08346909642766001	15.949306036279163	0.267224867293134	223.11380838802654	0.004177863262701
342.0.	0.08009888805974401	15.96367333753327	0.256227774406944	222.99102105101394	0.004009208861493
348.0.	0.07687486572560101	15.977400499041941	0.24572463523241403	222.8731827350364	0.0038478673228580004
354.0.	0.073789898183548	15.990520157729076	0.23568994408732902	222.76007945506322	0.003693482123498
