	Akt	AktPIP	AktPIP3	AktPIPP	E	ERK	ERKP	ERKPP	GS	HRG	MEK	MEKP	MEKPP	MKP3	PI3K	PI3Kstar	PIP3	PP2A	P_I	R	RHRG	RHRG2	RP	RPI3K	RPI3Kstar	RShGS	RShP	RShc	Raf	Rafstar	RasGDP	RasGTP	ShGS	ShP	Shc	internalization
0	10.0	0.0	0.0	0.0	7.0	1000.0	0.0	0.0	10.0	330.0	120.0	0.0	0.0	2.4	10.0	0.0	0.0	11.4	800.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	120.0	0.0	0.0	0.0	1000.0	0.0
1	9.583359636541827	0.11879239301282235	0.1863107514236483	0.11153721902172013	7.0	999.7325984098168	0.2673415085102588	6.0081678982625755e-05	2.8164825732232766	250.2935799530888	100.24686691543025	18.350680858237734	1.4024522263313122	2.4	8.850221212562168	1.0505428411401692	0.008977523616157057	11.4	799.574382112923	0.29357995309006507	5.981021921626347	1.5299927349108502	1.0836035923418743	0.08075829732074712	0.01847764897690472	6.416026699509907	20.919635874756906	6.8021690371526216	97.00840993989011	2.9915900601095387	119.89992822826021	0.1000717717402413	0.7674907272668561	612.2587364654547	352.83594119585877	0.012035177671962919
2	8.742607719073277	0.35188361623308095	0.5111874976557521	0.39432116703798736	7.0	991.7274162517859	8.215277017766137	0.057306730466129045	3.489594083174568	250.01458010661932	60.036855689574494	45.090541873983874	14.872602436441198	2.4	6.519195221727291	3.1557789070175155	0.02700741425001556	11.4	798.7156003048168	0.01458010661735525	5.798163989567042	4.722644864521039	4.662224023023991	0.25532859266912655	0.06969727858606803	6.333978052191297	16.551215787854723	4.447137093787866	96.31310675525343	3.6868932447461304	119.99065912361935	0.009340876380626013	0.17642786463416685	950.280828133666	22.210413067867442	0.05140225927381123
3																																				
4																																				
5																																				
6																																				
7																																				
8																																				
9																																				
10																																				
11																																				
12																																				
13																																				
14																																				
15																																				
16																																				
17																																				
18																																				
19																																				
20																																				
21																																				
22																																				
23																																				
24																																				
25																																				
26																																				
27																																				
28																																				
29																																				
30																																				
31																																				
32																																				
33																																				
34																																				
35																																				
36																																				
37																																				
38																																				
39																																				
40																																				
41																																				
42																																				
43																																				
44																																				
45																																				
46																																				
47																																				
48																																				
49																																				
50																																				
51																																				
52																																				
53																																				
54																																				
55																																				
56																																				
57																																				
58																																				
59																																				
60																																				
61																																				
62																																				
63																																				
64																																				
65																																				
66																																				
67																																				
68																																				
69																																				
70																																				
71																																				
72																																				
73																																				
74																																				
75																																				
76																																				
77																																				
78																																				
79																																				
80																																				
81																																				
82																																				
83																																				
84																																				
85																																				
86																																				
87																																				
88																																				
89																																				
90																																				
91																																				
92																																				
93																																				
94																																				
95																																				
96																																				
97																																				
98																																				
99																																				
100																																				
