time	TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	VIIa_TF_Xa_TFPI	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
0.0.	2.4	1.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0
0.0.15.0	1.934365485570142	0.31079050431784505	0.200124637651677	0.140051306343942	0.348012502526157	153.0667954034071	16.127394138167304	0.11660096274332502	0.001021049160376
0.0.3.0	1.472463626650676	0.18230763245490703	0.10983506388433201	0.08919582440868101	0.61438499044518	143.62544287434116	25.247989864016354	0.308874894097246	0.004276488806897
0.0.44999999999999996.0	1.107538862540421	0.097926058855182	0.056767685831711004	0.04991103080209901	0.7875597296437881	138.58909857203062	30.011761573875976	0.49706591294857405	0.007835494867217001
0.0.6.0	0.835326256777117	0.048919720724080004	0.027768821334761003	0.025430935597148003	0.887355736909849	136.05202316769874	32.33010333214641	0.666793220878875	0.010524785434159
0.0.75.0	0.6338343836061291	0.023125807262747003	0.012980588637194	0.012135957851201001	0.93956052122995	134.83802303119046	33.37069480592724	0.8144079701450151	0.012197125018904001
0.0.8999999999999999.0	0.48388214422833403	0.010700325498976001	0.005968537433470001	0.005644612216776	0.964563356072026	134.27676063587055	33.79550835870746	0.93843133092089	0.013123168778748001
1.0.05.0	0.37156023514580405	0.005166394607727	0.002869954892001	0.0027377564453870003	0.9756122602777271	134.01513532388077	33.950817199927556	1.039213870799311	0.013613633777155002
1.0.2.0	0.2870403252415	0.0028522499592280003	0.0015792194536400001	0.001519685363478	0.9801624491331751	133.8823044348401	34.00163698558424	1.118910829534847	0.013886396090475001
1.0.3499999999999999.0	0.223270048279604	0.0019238241910050002	0.001062239550948	0.001030663383022	0.981921120580002	133.8020958868431	34.019081258502496	1.180746678845372	0.014062152295019002
1.0.5.0	0.17508503014322702	0.0015559077308920002	0.0008573402652840001	0.0008368668214730001	0.982551607559991	133.742807763833	34.03058305922335	1.228165084674422	0.014198277622356
1.0.65.0	0.13864791353621	0.001406059220047	0.000773684762511	0.000757990982769	0.982743002892242	133.6918880750388	34.045228162752004	1.264289821429118	0.014319262142428001
1.0.7999999999999998.0	0.11108302574615402	0.0013401296660100002	0.000736672882575	0.0007233634392920001	0.9827650561491971	133.64449397634917	34.065129013074994	1.2917171402417251	0.014434777862922
1.0.95.0	0.090225444969176	0.001307349844808	0.0007181025742610001	0.000706228938523	0.9827198869783701	133.59874662608155	34.090054487374736	1.312506236388416	0.014548431664034002
2.0.1.0	0.074441278894918	0.0012886699184180002	0.0007073936874560001	0.000696543992487	0.9826458831455751	133.55388128676617	34.119156054448595	1.328251328703443	0.014661509256060001
2.0.25.0	0.06249569232396401	0.0012767601393950001	0.0007004716694840001	0.0006904415431500001	0.9825578768412631	133.50955461314823	34.15155016596292	1.340171981028065	0.014774449806704
2.0.4.0	0.05345469071561	0.0012685967662810001	0.000695651931578	0.0006863246298460001	0.9824620318335581	133.46559001343064	34.18648270072329	1.349195882612095	0.014887394838734
2.0.55.0	0.046611500412668004	0.001262777605179	0.0006921506978290001	0.000683451679211	0.9823612354052241	133.42188333238906	34.22335256564628	1.356026879569551	0.015000384612553002
2.0.6999999999999997.0	0.041431161626895	0.001258552531452	0.0006895472147110001	0.000681425408283	0.9822570484623241	133.3783663835842	34.261693805419426	1.361198363527551	0.015113426383226
2.0.85.0	0.037508725325498	0.0012554646202010001	0.000687584502057	0.0006800035291010001	0.9821504297975201	133.33499154980333	34.301149587490684	1.365114327325861	0.015226517551116002
3.0.	0.034537663548999	0.0012532087938640002	0.000686090708724	0.0006790241287610001	0.9820420230872611	133.29172437969024	34.34144816902089	1.36808066008235	0.015339653281386001
3.0.15.0	0.032285972635634	0.001251569925162	0.0006849445619430001	0.0006783729597710001	0.9819322836866881	133.24853948252547	34.38238317258802	1.370328914811242	0.015452828866431002
3.0.3.0	0.030578083503234002	0.001250391733124	0.0006840579396860001	0.0006779669843840001	0.9818215430000661	133.20541796352057	34.42379809505814	1.37203433315396	0.015566040342735002
3.0.4499999999999997.0	0.029281162012896003	0.001249558870667	0.0006833658018630001	0.0006777448882880001	0.9817100458895611	133.16234568819092	34.46557436313135	1.373329507547921	0.015679284549618002
3.0.5999999999999996.0	0.028294731601842003	0.001248985463786	0.000682819734214	0.000677661006197	0.981597974768266	133.11931205165644	34.507622199204484	1.374314734602355	0.015792559027531003
3.0.75.0	0.027542811818333002	0.001248607264677	0.0006823835227890001	0.00067768116037	0.9814854661657951	133.07630908324197	34.54987366389267	1.375065860129502	0.015905861886365003
3.0.9.0	0.026967962924688	0.0012483760630560001	0.000682030000306	0.0006777796952890001	0.9813726225573031	133.033330785727	34.592277367501566	1.3756402228339621	0.016019191684041
4.0.05.0	0.026526774893566002	0.001248255615967	0.000681738748973	0.0006779373171490001	0.9812595209925081	132.99037264378606	34.634794455040854	1.376081156788521	0.016132547325399
4.0.2.0	0.026186451045447003	0.001248218644995	0.000681494405762	0.000678139499319	0.981146219468441	132.9474312565108	34.67739556062901	1.376421401504628	0.016245927981478
4.0.35.0	0.025922221249863	0.0012482446036000002	0.0006812854025100001	0.000678375296324	0.9810327616711261	132.90450406184564	34.72005849870487	1.376685684052569	0.016359333026436003
4.0.5.0	0.02571538373959	0.001248318008798	0.000681103024654	0.000678636457291	0.980919180520423	132.86158912953158	34.762766514725485	1.376892673751152	0.016472761988828
4.0.6499999999999995.0	0.025551823186025002	0.001248427190435	0.0006809407057400001	0.000678916761077	0.980805500828486	132.81868500532008	34.80550696039857	1.377056461471225	0.016586214514257
4.0.8.0	0.025420889531595003	0.0012485633514140002	0.0006807934974740001	0.000679211516515	0.9806917412977201	132.7757905936575	34.8482702908596	1.377187678833806	0.016699690336873
4.0.95.0	0.025314550019595	0.001248719860496	0.000680657671032	0.000679517186215	0.980577916024535	132.7329050692922	34.89104930586969	1.377294344698146	0.016813189257716
5.0.1.0	0.025226748056570002	0.0012488917195630001	0.000680530416817	0.0006798311030680001	0.98046403563226	132.69002781065166	34.93383857588442	1.377382505182876	0.016926711128288002
5.0.25.0	0.025152918617385	0.001249075162021	0.000680409618188	0.000680151256459	0.9803501081252081	132.64715834962072	34.97663400812135	1.377456717419281	0.017040255838119002
5.0.3999999999999995.0	0.025089622093924003	0.0012492673499450001	0.0006802936808820001	0.000680476130996	0.9802361395327951	132.60429633368094	35.01943251860038	1.377520415067897	0.017153823305378003
