	Ta	Tastarstar	Tm	Tmstarstar	Ttot	Tv	V
0	10.0	0.0	540.0	0.0	1000.0	450.0	5e-05
1	9.947964081946575	6.924134388599588e-09	539.9584303825515	6.43093787084187e-07	998.2669728892349	448.36057777471694	2.70783816786504e-06
2	9.908915779405813	1.0683793323329135e-08	539.5703042178828	9.922143510174072e-07	996.9035875555444	447.4243665553546	4.189893825752658e-06
3	9.87241620026676	1.648135522368636e-08	539.0533538594099	1.530705867290387e-06	995.6248553729044	446.69908376603763	6.493184477671022e-06
4	9.836350088061154	2.547345773364045e-08	538.484995096593	2.3661801745004416e-06	994.3540712245924	446.0327236482809	1.0099509388758194e-05
5	9.798958997301265	3.952116938780997e-08	537.8863145126279	3.6718797928807405e-06	993.0276523068906	445.3423750855563	1.5795685241490568e-05
6	9.758671439739722	6.165200367005329e-08	537.2528452823454	5.729780078707341e-06	991.5882051187755	444.5766826052538	2.4881995838523627e-05
7	9.713976665739526	9.68456394293759e-08	536.5683583676303	9.00392446584711e-06	989.9794584898142	443.6971143556698	3.9533123673441235e-05
8	9.663325333769535	1.5338236088109249e-07	535.8105670134521	1.4266333679932034e-05	988.1421971309694	442.66829036402777	6.342944862618075e-05
9	9.605047637907663	2.451757397241633e-07	534.952992126241	2.281489422033317e-05	986.0106936025933	441.4526307783709	0.00010287130211421983
10	9.537284513340055	3.9583376373424263e-07	533.9649958457265	3.6852794661864604e-05	983.5093520471438	440.00703443944474	0.00016876065453218572
11	9.45793184756382	6.457587631153539e-07	532.8109212900425	6.015197226977194e-05	980.5494314616484	438.2805175263067	0.00028014523351140534
12	9.364602088888384	1.064575336546403e-06	531.4487797997658	9.921439999641638e-05	977.0258620052457	436.2123798376121	0.00047057505899171
13	9.254612741086335	1.7728266987136738e-06	529.8287172480146	0.00016529894012132096	972.8143409665893	433.7308439057178	0.0007994946078263805
14	9.125016930880514	2.9795579464111235e-06	527.8914350882428	0.0002779304967905421	967.7691213094907	430.75238838030975	0.0013725486562867874
15	8.972696635750744	5.046484501076814e-06	525.5667806676522	0.00047088607290090325	961.7221953675047	427.18224213154065	0.0023773605360648694
16	8.794541998722726	8.595041770829444e-06	522.7728283529397	0.0008021673231800495	954.4849081557288	422.916727041698	0.004145361930184993
17	8.587736411503544	1.4678897480226691e-05	519.415927705332	0.0013700390832864166	945.8533292895747	417.8482804547548	0.0072555420433638275
18	8.350151420987729	2.5048418572392744e-05	515.3923603933797	0.002337545856672947	935.6188039954782	411.87392958683114	0.012701295038400532
19	8.080823857449342	4.252816048810796e-05	510.59234985415424	0.0039673598723062985	923.5847394673791	404.9075558677387	0.022143175638568744
20	7.780441879031956	7.150221988617148e-05	504.90708695077996	0.006666305727169192	909.5895969758948	396.89533033813143	0.03826097233301288
21	7.451720752051869	0.00011844309197930116	498.23902965616645	0.01103335849039436	893.5341623780511	387.8322601682465	0.06518791608637814
22	7.099529596754802	0.00019232675869777807	490.5149234979671	0.017896349583922302	875.4088046751965	377.7762629041286	0.10895116164206967
23	6.730664507734078	0.0003046795042689047	481.699875559661	0.028313885071406805	855.3145248240337	366.85536619206033	0.17776492208420414
24	6.353257136806061	0.0004689692967933662	471.8097707516247	0.04351650112852488	833.471368122315	355.26435476345625	0.2819630390884457
