time	EGF	GS	Grb	PLCg	PLCgP	PLCgl	R	R2	RG	RGS	RP	RPLCg	RPLCgP	RSh	RShG	RShGS	RShP	Ra	SOS	ShG	ShGS	ShP	Shc
0.0.	680.0	0.0	85.0	105.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	150.0
0.0.8.0	603.0789417734617	0.229623889796596	84.70941265016846	104.33985883702039	0.004465320357858	0.000580373174711	23.078941773461377	11.035358220806827	0.025688327762914003	0.0017875814139590002	0.38425623731380704	0.548332096080388	0.10676337336665401	0.575251465607943	0.02938847496638	0.001567034798112	0.7338603870892361	50.03655182812617	33.766719851422444	0.0022303985246510004	0.000301642568889	0.036910134516606005	148.62049046192826
1.0.6.0	586.654466999436	0.44868499415793206	83.83828439351561	101.66026884278621	0.09357098978066501	0.029038617549606002	6.654466999435886	17.439290637510364	0.12274229293597701	0.020971587851176	0.722409268207854	2.165013523415044	1.052108026468425	1.3710353097840882	0.42091410686837705	0.05363042728593401	4.5120903018476515	37.5851220362143	33.45379798742788	0.071857194107908	0.022915003277069003	0.5783665808503591	142.96919107597873
2.0.4000000000000004.0	582.4432439601833	0.641854025066208	82.00289196307085	98.4123461393486	0.36952982173427	0.19926461296104503	2.443243960182927	16.229989172601222	0.22454874685593101	0.065958774654832	0.792102080294615	3.264986303819597	2.7538731221364223	1.5437872920043492	1.258469638204602	0.27478980212826304	8.499001962056749	27.74174225030387	32.830665644438774	0.344755296307275	0.18673175371195502	1.929001224106738	135.96346303148002
3.0.2.0	581.2210156900493	0.8101868814085871	79.36469093425723	95.31201137532956	0.7932633451601451	0.648363284707931	1.221015690048745	13.544474597719386	0.302846779593889	0.129706546048415	0.7811835622075091	3.69747380122618	4.548888193576087	1.493366946281863	2.190789631053675	0.703909628080426	11.142803350788936	21.70809823679848	31.695420511062437	0.8370931661576061	0.660776433400158	3.7951428372766403	129.1761180069606
4.0.	580.8009828425772	0.972542587706232	76.21351665673923	92.45142763512703	1.263611037201418	1.446686352775717	0.8009828425766211	11.252433197197687	0.359195772736751	0.20237764650346102	0.759302078148766	3.775863399867869	6.062411575027866	1.403718636221422	2.966897122843201	1.277002124881676	12.592372957158174	17.895868136249597	30.01228535337135	1.4726758010521581	1.535792287537296	5.847246847174041	122.90429422313187
4.0.800000000000001.0	580.6198506269606	1.150261460046649	72.77920127050866	89.77925660176926	1.703246668335691	2.5893461024905493	0.6198506269598071	9.636320108260142	0.40146482713637005	0.27630591114152603	0.7444808694044801	3.722701919634628	7.205448707769791	1.323227598553515	3.518301563174353	1.89762890783602	13.288330916106482	15.351726715005556	27.880555629160927	2.181587968341521	2.795248091814885	7.898745367240468	117.09692958693256
5.0.6000000000000005.0	580.5219906038606	1.355809212956074	69.21401987956183	87.2351861657245	2.076538287494149	4.027271007480136	0.5219906038597211	8.582633153449928	0.43648429246304404	0.346650627124358	0.7391874390350841	3.641380791264002	8.019623748037148	1.25938876446896	3.871336009757362	2.486611079093744	13.56916912162903	13.573079343494927	25.452692335040492	2.930852153258296	4.358236745785327	9.875089626884447	111.64931649912262
6.0.4.0	580.4599254657089	1.590018632794039	65.61498368006835	84.77455416185394	2.377568615601396	5.697249412342692	0.45992546570811604	7.929477934346544	0.46881633101893805	0.410752418413725	0.74203726845424	3.569114887465306	8.581512922736609	1.2096987142123221	4.077902572058681	2.996380744116258	13.640272989261808	12.288140970123004	22.87736899379309	3.715666410647123	6.125479210882888	11.760989096156548	106.47361026266418
7.0.2.0	580.4168662404167	1.844664083899009	62.04535480687957	82.36761223468879	2.615101924195595	7.53956878827198	0.41686624041573206	7.547759355660315	0.5011759789397751	0.46734457576315	0.7511863664267711	3.514659379430243	8.963057673413338	1.170268749252825	4.185053640934587	3.406589802771841	13.614066870162834	11.340808974072905	20.27680296230303	4.545218535549101	8.00459857526298	13.566492371970048	101.5077114540956
8.0.	580.3856488299384	2.106626025785117	58.54865558693237	79.99507993869346	2.802544311794578	9.505179348712044	0.385648829937406	7.348429916792134	0.535054261684209	0.5159657912140121	0.765151167558025	3.476747666009141	9.220448734790702	1.13786094921304	4.227012745821518	3.714842251130004	13.548005956192064	10.635312289252887	17.744077507353815	5.433354912915732	9.918488424517065	15.310155473057447	96.7102792871529
8.0.8.0	580.3625881301616	2.361571980193219	55.15664369438492	77.64449417821518	2.952897573461148	11.556837008091703	0.362588130160776	7.273315112585632	0.571185095056943	0.556603014316443	0.782891419088077	3.45162306345952	9.394148176772386	1.110126512831415	4.226064486154724	3.928665160306267	13.469426409387419	10.109314969921565	15.347631764624314	6.393738489027752	11.805528080559775	17.011953102052406	92.05449775968003
9.0.600000000000001.0	580.3454908982065	2.596472948405761	51.893556852635314	75.30778756856054	3.076867478688313	13.667604731174887	0.34549089820600304	7.285167856801521	0.60983329551394	0.589502087877486	0.803719079738176	3.435631685664709	9.512108535911514	1.085431386961603	4.195716404327575	4.060117231970987	13.38990671684944	9.72024053856009	13.136465883344014	7.437359330867211	13.617441848401766	18.69075176006259	87.5232753205586
10.0.4.0	580.3329188872855	2.800995111188036	48.778270009263416	72.97977679068075	3.182556293495343	15.818605034019201	0.332918887284884	7.360233088731509	0.650956747518449	0.615079169673247	0.827193623274981	3.425869208803084	9.593192673001584	1.062645138307868	4.143720664363398	4.122631523279461	13.313073745635744	9.437889947536458	11.14391699867817	8.570969577532935	15.317377197181102	20.36359611490273	83.10598603879649
11.0.200000000000001.0	580.3238694461472	2.968060462637874	45.82533712106387	70.65723113680036	3.275793017038832	17.996879850929712	0.323869446146739	7.4832923284701245	0.69429602599632	0.633883224781674	0.853040753667719	3.420170208305316	9.649925786925722	1.0409767205148701	4.074361222671121	4.12933244482925	13.238685490328852	9.240202140871318	9.389851461015112	9.795857091283837	16.878872406736107	22.04556411965011	78.7963505039856
12.0.	580.317615153707	3.093883445504028	43.04545424825684	68.33829411925517	3.360629462030934	20.193647917834568	0.317615153706646	7.644513912090963	0.739429851651578	0.646577122982673	0.8810965558094471	3.416934799518532	9.69049370136077	1.019861814001342	3.990033834552843	4.092205515280724	13.164706048264579	9.11067853526645	7.881839593778345	11.106921659317127	18.285494322454245	23.74970790273648	74.5910689033924
12.0.8.0	580.3136133273833	3.177708598944999	40.44564330680303	66.022117314574	3.439805464179736	22.402990583407515	0.313613327382932	7.837490352562681	0.7858203704590361	0.6539180119814231	0.9112711925096961	3.414957273191363	9.720129364647375	0.998889416808696	3.892285132894553	4.021723398270598	13.08833737258843	9.036742900789362	6.616047809075537	12.492298998918956	19.530602181727467	25.486935730928373	70.48892776786268
13.0.600000000000001.0	580.311450532484	3.221378167155284	38.02934055860917	63.70862217830207	3.515122338484617	24.620901573835827	0.31145053248336	8.05802286236199	0.8328605261556311	0.656727753022962	0.943525940034149	3.413297040185654	9.742056869191833	0.9777550036269511	3.7824592168337983	3.92671358143672	13.00652757363296	9.00865673455135	5.578490582613382	13.933830281014838	20.616689915771676	27.265824881138123	66.49019954654467
14.0.4.0	580.3108065615728	3.228790098696931	35.79651732378398	61.39834020852196	3.587721394064647	26.844616099909604	0.310806561572307	8.303366795392341	0.8799263134653441	0.6558524755311841	0.9778586970403471	3.41119107279981	9.758131224703984	0.9562306705416821	3.662054221684928	3.814368073753447	12.916227108504168	9.01878013159323	4.747017654515279	15.408519795581066	21.553971697503187	29.092405089057298	62.596223343373964
15.0.200000000000001.0	580.3114301044579	3.20527995248013	33.743919402949025	59.092302646004605	3.658283799196463	29.072143535114666	0.31143010445740604	8.571758466278053	0.9264297028456321	0.652116577370475	1.014294505415483	3.407996895876318	9.769273123807947	0.934145775459789	3.532859724878188	3.690352714743026	12.814529677705176	9.061055566782432	4.094035492989524	16.89082666231673	22.358215262416874	30.96997012402233	58.809100058457624
16.0.	580.3131218201307	3.156967585803025	31.86546531750845	56.791963155395806	3.727171155129559	31.301944420027443	0.31312182012999	8.86211238151496	0.9718644974983821	0.646279709381946	1.05287877973862	3.403155392739156	9.77576587670806	0.9113739782950571	3.39693475820437	3.558990918007421	12.698763054375783	9.13063948694251	3.589602348688844	18.355337775477686	23.048159438118788	32.89897730616208	55.131462771358535
16.0.8.0	580.3157222662385	3.090129721504466	30.152791562438953	54.49914379641295	3.7945233699155603	33.53270834150683	0.315722266237814	9.173820893775304	1.015837871690246	0.6390047565364201	1.093671849507431	3.396165641052995	9.777458851111701	0.887824272332119	3.256486499434943	3.423493801834434	12.56655751884629	9.223633821518433	3.204343955386585	19.779228021822487	23.643027764738118	34.877082950444205	51.56629917054713
17.0.6.0	580.319103093087	3.010669035979059	28.595888902089165	52.2159980806993	3.860326417372872	35.7632017939391	0.31910309308635104	9.506615156410792	1.058083980813886	0.6308412755384001	1.136744084723236	3.386567044392559	9.77390666359621	0.8634346843156361	3.113708861318936	3.286203122007171	12.41590060814201	9.336885944395988	2.911689738563128	21.144007994341187	24.160596827912272	36.899336506218916	48.11681139574362
18.0.400000000000002.0	580.3231604675423	2.923736504332798	27.183751551634167	49.94498645475732	3.9244590230142133	37.992164350931795	0.323160467541496	9.86046299850927	1.098460713046581	0.622224243403479	1.182171298165555	3.373926332261591	9.764463839035132	0.8381679291404971	2.970630545100235	3.14881537330122	12.245178477870894	9.467836032789581	2.6891726832548892	22.436329873473966	24.616051195707644	38.958523664794946	44.78630294061036
19.0.200000000000003.0	580.3278100401495	2.8335301593784683	25.90496551412047	47.68886018875221	3.986724658675362	40.21823802281524	0.32781004014880505	10.235489531685523	1.136934188946154	0.6134844045909871	1.230030320467714	3.357828404321003	9.74834872543625	0.8120085806461871	2.829004185292235	3.012565903061282	12.053201916868264	9.614397637219986	2.518825019260873	23.647921130902084	25.021594513708425	41.045619303822505	41.578084465698794
20.0.	580.332982995262	2.743255319103658	24.74818628416686	45.45065002826875	4.046873372630038	42.439919296199804	0.33298299526145303	10.631912193524675	1.173556909209604	0.604865057204353	1.280394693063124	3.337870646287784	9.724686656613692	0.784961413224854	2.690248069520877	2.878365780637861	11.83921613016467	9.774861905835548	2.386903709948043	24.77491244705077	25.38661013310612	43.15029418725597	38.49539183903865
20.0.8.0	580.3386228748716	2.655204037101552	23.70248652684908	43.23365636297623	4.104616716197456	44.6555266454381	0.338622874871287	11.049985130191356	1.208444731293217	0.5965406029876741	1.33333040343598	3.313660526131208	9.692539749257076	0.757050597476545	2.555435999946134	2.746895590383331	11.602895715930845	9.947819031061977	2.283244187813956	25.8168769297256	25.71811558171352	45.26141851047321	35.54131107435057
21.0.6.0	580.3446829678055	2.5709020733081758	22.757579867862418	41.04143811920939	4.159638149032475	46.86317868580868	0.34468296780523	11.4899495065201	1.241756097035959	0.588633692226022	1.388891563896401	3.284816257735392	9.65092878821413	0.7283194589856281	2.425322278350678	2.618666280455605	11.344328307637216	10.132092570080518	2.200497218926206	26.775838975677214	26.021300735084033	47.36751773981787	32.718706223991525
22.0.400000000000002.0	580.3511241230315	2.491277737910721	21.903942186608027	38.87779803142948	4.211600671827181	49.06077987167139	0.35112412303134005	11.951987312653927	1.273675102957508	0.581229412499223	1.447115941963852	3.250970266320853	9.598851158751176	0.6988305461787281	2.300386961719241	2.494058079343441	11.06399132471946	10.326683662753853	2.133413342040914	27.655409090756205	26.300021428205746	49.457154918128616	30.030147650948333
